Geschäftsjahr;Haushaltskennzeichen;Teilabschnitt;POST;Finanzwirtschaftliches Kennzeichen;Konsument/Unternehmer;Quers;VRV-Querschnitt;Geschäftsgruppe lt. ANWR;Anweisungsrecht;Deckung;Antrag;Nachtrag;HH-Soll-Änderung;Rechnungs-Soll;Rechnungs-Ist;Kassenrest;Beschreibung;Beschreibung 2;Beschreibung 3;Bemerkungs-Kz;Anfangsbestand;Einnahmen-Ist;Ausgaben-Ist;Kassenbestand;Währung;GG-Budget;Zuständiger Referent;Sachbereich;Rechtliche Stellung;Finanzstelle;Nachweis
2012;0;0100;370000;;-;;-;1;PPO;;0;0;0;0;0;0;Stempelgebühren;;;0;0;780,6;-546,6;234;EUR;;-;;G;MAG;
2012;0;0100;900004;;-;;-;1;PPO;;0;0;0;0;0;0;Verfahrenskosten Rechtshilfe und Geldstrafen;;;0;554,86;0;0;554,86;EUR;;-;;-;MAG;
2012;0;0110;362000;;-;;-;1;PPO;;0;0;0;0;0;0;Gehaltsabzugsgebarung-Lohnsteuer;;;0;5.806,53;0;0;5.806,53;EUR;-;-;;-;MAG;
2012;0;0110;362010;;-;;-;1;PPO;;0;0;0;0;0;0;Gehaltsabzugsgebarung-WF-Beitrag;;;0;-0,4;0;0;-0,4;EUR;-;-;;-;MAG;
2012;0;0110;362020;;-;;-;1;PPO;;0;0;0;0;0;0;Gehaltsabzugsgebarung-Pensionsbeitrag;;;0;912,48;0;0;912,48;EUR;-;-;;-;MAG;
2012;0;0110;362030;;-;;-;1;PPO;;0;0;0;0;0;0;Gehaltsabzugsgebarung-Krankenfürsorge;;;0;-37.365,36;0;0;-37.365,36;EUR;-;-;;-;MAG;
2012;0;0110;362040;;-;;-;1;PPO;;0;0;0;0;0;0;Gehaltsabzugsgebarung-Sozialversicherung;;;0;-80,84;0;0;-80,84;EUR;-;-;;-;MAG;
2012;0;0110;362060;;-;;-;1;PPO;;0;0;0;0;0;0;Gehaltsabzugsgebarung-Ärztekammerumlage;;;0;-33.694,25;0;0;-33.694,25;EUR;-;-;;-;MAG;
2012;0;0110;362090;;-;;-;1;PPO;;0;0;0;0;0;0;Gehaltsabzugsgebarung-Kost- u.Wohnungsers.;;;0;139,96;0;0;139,96;EUR;-;-;;-;MAG;
2012;0;0110;362110;;-;;-;1;PPO;;0;0;0;0;0;0;Gehaltsabzugsgebarung-fremde Gelder;;;0;6.179,95;0;0;6.179,95;EUR;-;-;;-;MAG;
2012;0;0110;362120;;-;;-;1;PPO;;0;0;0;0;0;0;Gehaltsabzugsgebarung-Vorschussersätze;;;0;109,14;0;0;109,14;EUR;-;-;;-;MAG;
