NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_0_14;POP_15_29;POP_30_44;POP_45_59;POP_60_74;POP_75;POP_TOTAL;REF_DATE
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz;33956;61778;57597;50945;38132;19815;262223;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60301;Aibl;192;268;300;328;212;127;1427;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60302;Deutschlandsberg;1100;1369;1701;1914;1299;732;8115;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60303;Eibiswald;187;224;251;340;240;143;1385;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz;417;521;614;691;420;280;2943;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60306;Freiland bei Deutschlandsberg;30;23;37;31;27;6;154;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60307;Bad Gams;290;353;454;550;389;251;2287;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60308;Garanas;42;36;57;66;31;32;264;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60309;Georgsberg;239;257;340;339;214;99;1488;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60310;Greisdorf;133;186;184;254;168;90;1015;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60311;Gressenberg;48;47;67;60;55;30;307;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60312;Groß Sankt Florian;424;489;621;661;436;288;2919;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60313;Großradl;202;275;308;360;180;104;1429;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60314;Gundersdorf;57;70;104;96;54;35;416;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60315;Hollenegg;275;366;438;543;327;177;2126;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60316;Kloster;21;26;40;52;34;19;192;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach;479;534;783;773;518;227;3314;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60319;Limberg bei Wies;151;145;195;226;140;63;920;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60320;Marhof;136;172;223;259;179;80;1049;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60321;Osterwitz;18;23;25;42;28;12;148;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60322;Pitschgau;222;282;335;387;230;120;1576;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn;192;295;289;381;316;195;1668;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding;225;308;342;422;246;150;1693;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60325;Rassach;199;278;334;324;205;97;1437;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark);195;258;298;329;221;97;1398;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60327;Sankt Martin im Sulmtal;240;326;352;443;317;138;1816;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60328;Sankt Oswald ob Eibiswald;69;85;120;106;99;80;559;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal;197;231;300;310;201;118;1357;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60330;Sankt Stefan ob Stainz;308;393;439;543;337;166;2186;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60331;Schwanberg;277;319;399;527;367;197;2086;01.01.2012
