NUTS2;LAU2_CODE;LAU2_NAME;LIVEBIRTHS_TOTAL;LIVEBIRTHS_MALE;LIVEBIRTHS_FEMALE;YEAR
AT12;30101;Krems an der Donau;185;88;97;2013
AT12;30201;St. Pölten;485;244;241;2013
AT12;30301;Waidhofen an der Ybbs;108;62;46;2013
AT12;30401;Wiener Neustadt;458;234;224;2013
AT12;30501;Allhartsberg;20;6;14;2013
AT12;30502;Amstetten;256;137;119;2013
AT12;30503;Ardagger;44;28;16;2013
AT12;30504;Aschbach-Markt;49;25;24;2013
AT12;30506;Behamberg;34;15;19;2013
AT12;30507;Biberbach;22;10;12;2013
AT12;30508;Ennsdorf;29;14;15;2013
AT12;30509;Ernsthofen;12;3;9;2013
AT12;30510;Ertl;12;8;4;2013
AT12;30511;Euratsfeld;30;16;14;2013
AT12;30512;Ferschnitz;22;13;9;2013
AT12;30514;Haag;41;25;16;2013
AT12;30515;Haidershofen;23;12;11;2013
AT12;30516;Hollenstein an der Ybbs;13;9;4;2013
AT12;30517;Kematen an der Ybbs;34;12;22;2013
AT12;30520;Neuhofen an der Ybbs;33;14;19;2013
AT12;30521;Neustadtl an der Donau;24;12;12;2013
AT12;30522;Oed-Oehling;15;5;10;2013
AT12;30524;Opponitz;19;13;6;2013
AT12;30526;St. Georgen am Reith;8;6;2;2013
AT12;30527;St. Georgen am Ybbsfelde;21;8;13;2013
AT12;30529;St. Pantaleon-Erla;28;13;15;2013
AT12;30530;St. Peter in der Au;48;23;25;2013
AT12;30531;St. Valentin;80;44;36;2013
AT12;30532;Seitenstetten;35;16;19;2013
AT12;30533;Sonntagberg;34;20;14;2013
AT12;30534;Strengberg;20;9;11;2013
AT12;30536;Viehdorf;25;16;9;2013
AT12;30538;Wallsee-Sindelburg;23;14;9;2013
AT12;30539;Weistrach;24;12;12;2013
AT12;30541;Winklarn;11;4;7;2013
AT12;30542;Wolfsbach;20;8;12;2013
AT12;30543;Ybbsitz;33;16;17;2013
AT12;30544;Zeillern;19;6;13;2013
AT12;30601;Alland;14;7;7;2013
AT12;30602;Altenmarkt an der Triesting;28;11;17;2013
AT12;30603;Bad Vöslau;86;35;51;2013
AT12;30604;Baden;203;113;90;2013
AT12;30605;Berndorf;79;43;36;2013
AT12;30607;Ebreichsdorf;98;53;45;2013
AT12;30608;Enzesfeld-Lindabrunn;34;16;18;2013
AT12;30609;Furth an der Triesting;13;7;6;2013
AT12;30612;Günselsdorf;13;6;7;2013
AT12;30613;Heiligenkreuz;9;7;2;2013
AT12;30614;Hernstein;11;4;7;2013
AT12;30615;Hirtenberg;24;13;11;2013
AT12;30616;Klausen-Leopoldsdorf;15;9;6;2013
AT12;30618;Kottingbrunn;56;18;38;2013
AT12;30620;Leobersdorf;55;29;26;2013
AT12;30621;Mitterndorf an der Fischa;21;9;12;2013
AT12;30623;Oberwaltersdorf;33;18;15;2013
AT12;30625;Pfaffstätten;33;21;12;2013
AT12;30626;Pottendorf;54;24;30;2013
AT12;30627;Pottenstein;30;17;13;2013
AT12;30629;Reisenberg;8;5;3;2013
AT12;30631;Schönau an der Triesting;17;12;5;2013
AT12;30633;Seibersdorf;15;9;6;2013
AT12;30635;Sooß;7;5;2;2013
AT12;30636;Tattendorf;13;6;7;2013
AT12;30637;Teesdorf;12;6;6;2013
AT12;30639;Traiskirchen;179;99;80;2013
AT12;30641;Trumau;37;18;19;2013
AT12;30645;Weissenbach an der Triesting;11;5;6;2013
AT12;30646;Blumau-Neurißhof;20;15;5;2013
AT12;30701;Au am Leithaberge;5;2;3;2013
AT12;30702;Bad Deutsch-Altenburg;14;7;7;2013
AT12;30703;Berg;3;0;3;2013
AT12;30704;Bruck an der Leitha;69;36;33;2013
AT12;30706;Enzersdorf an der Fischa;26;10;16;2013
AT12;30708;Göttlesbrunn-Arbesthal;19;7;12;2013
AT12;30709;Götzendorf an der Leitha;17;11;6;2013
AT12;30710;Hainburg a. d. Donau;64;28;36;2013
AT12;30711;Haslau-Maria Ellend;23;10;13;2013
AT12;30712;Höflein;8;3;5;2013
AT12;30713;Hof am Leithaberge;9;4;5;2013
AT12;30715;Hundsheim;1;0;1;2013
AT12;30716;Mannersdorf am Leithagebirge;26;18;8;2013
AT12;30718;Petronell-Carnuntum;8;4;4;2013
AT12;30719;Prellenkirchen;8;2;6;2013
AT12;30721;Rohrau;12;3;9;2013
AT12;30722;Scharndorf;10;5;5;2013
AT12;30724;Sommerein;19;8;11;2013
AT12;30726;Trautmannsdorf an der Leitha;18;10;8;2013
AT12;30728;Wolfsthal;13;7;6;2013
AT12;30801;Aderklaa;1;0;1;2013
AT12;30802;Andlersdorf;0;0;0;2013
AT12;30803;Angern an der March;19;11;8;2013
AT12;30804;Auersthal;19;8;11;2013
AT12;30805;Bad Pirawarth;12;8;4;2013
AT12;30808;Deutsch-Wagram;64;34;30;2013
AT12;30810;Drösing;13;5;8;2013
AT12;30811;Dürnkrut;20;10;10;2013
AT12;30812;Ebenthal;10;4;6;2013
AT12;30813;Eckartsau;9;6;3;2013
AT12;30814;Engelhartstetten;17;10;7;2013
AT12;30817;Gänserndorf;121;63;58;2013
AT12;30819;Glinzendorf;2;1;1;2013
AT12;30821;Groß-Enzersdorf;80;39;41;2013
AT12;30822;Großhofen;0;0;0;2013
AT12;30824;Groß-Schweinbarth;10;4;6;2013
AT12;30825;Haringsee;11;9;2;2013
AT12;30826;Hauskirchen;10;6;4;2013
AT12;30827;Hohenau an der March;11;6;5;2013
AT12;30828;Hohenruppersdorf;11;5;6;2013
AT12;30829;Jedenspeigen;7;3;4;2013
AT12;30830;Lassee;27;14;13;2013
AT12;30831;Leopoldsdorf im Marchfelde;25;13;12;2013
AT12;30834;Mannsdorf an der Donau;0;0;0;2013
AT12;30835;Marchegg;15;5;10;2013
AT12;30836;Markgrafneusiedl;8;6;2;2013
AT12;30838;Matzen-Raggendorf;19;9;10;2013
AT12;30841;Neusiedl an der Zaya;8;5;3;2013
AT12;30842;Obersiebenbrunn;11;6;5;2013
AT12;30844;Orth an der Donau;21;11;10;2013
AT12;30845;Palterndorf-Dobermannsdorf;11;5;6;2013
AT12;30846;Parbasdorf;3;2;1;2013
AT12;30848;Prottes;13;4;9;2013
AT12;30849;Raasdorf;2;1;1;2013
AT12;30850;Ringelsdorf-Niederabsdorf;5;2;3;2013
AT12;30852;Schönkirchen-Reyersdorf;20;8;12;2013
AT12;30854;Spannberg;10;5;5;2013
AT12;30856;Strasshof an der Nordbahn;78;42;36;2013
AT12;30857;Sulz im Weinviertel;5;4;1;2013
AT12;30858;Untersiebenbrunn;7;5;2;2013
AT12;30859;Velm-Götzendorf;6;0;6;2013
AT12;30860;Weikendorf;19;8;11;2013
AT12;30863;Zistersdorf;31;18;13;2013
AT12;30865;Weiden an der March;12;3;9;2013
AT12;30902;Amaliendorf-Aalfang;5;2;3;2013
AT12;30903;Brand-Nagelberg;10;7;3;2013
AT12;30904;Eggern;7;2;5;2013
AT12;30906;Eisgarn;10;6;4;2013
AT12;30908;Gmünd;31;14;17;2013
AT12;30909;Großdietmanns;32;16;16;2013
AT12;30910;Bad Großpertholz;11;7;4;2013
AT12;30912;Großschönau;14;7;7;2013
AT12;30913;Moorbad Harbach;7;3;4;2013
AT12;30915;Haugschlag;5;4;1;2013
AT12;30916;Heidenreichstein;32;19;13;2013
AT12;30917;Hirschbach;4;2;2;2013
AT12;30920;Hoheneich;8;5;3;2013
AT12;30921;Kirchberg am Walde;9;4;5;2013
AT12;30925;Litschau;14;5;9;2013
AT12;30929;Reingers;10;5;5;2013
AT12;30932;St. Martin;7;2;5;2013
AT12;30935;Schrems;32;16;16;2013
AT12;30939;Unserfrau-Altweitra;4;1;3;2013
AT12;30940;Waldenstein;12;7;5;2013
AT12;30942;Weitra;24;12;12;2013
AT12;31001;Alberndorf im Pulkautal;7;3;4;2013
AT12;31008;Göllersdorf;20;13;7;2013
AT12;31009;Grabern;13;7;6;2013
