Staatsangehigkeit in Wien gemeldeter Personen nach Geschlecht und Alter;;;;;;;;;;;;;;;;;;;
Nationality of residents in Vienna by sex and age;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;AGE;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;00000;0000;2;0;8486;362;277;180;173;64;67;146;24;43;991;6159;20110101
AT1;AT13;AT130;00000;0000;2;1;8306;343;282;191;225;82;50;123;20;45;981;5964;20110101
AT1;AT13;AT130;00000;0000;2;2;8316;327;268;179;193;51;73;114;25;35;910;6141;20110101
AT1;AT13;AT130;00000;0000;2;3;8228;343;245;159;180;73;51;99;17;44;845;6172;20110101
AT1;AT13;AT130;00000;0000;2;4;8341;351;223;147;175;55;67;76;18;27;795;6407;20110101
AT1;AT13;AT130;00000;0000;2;5;8010;336;217;134;137;69;72;82;18;24;709;6212;20110101
AT1;AT13;AT130;00000;0000;2;6;7841;317;220;106;114;56;61;79;13;28;670;6177;20110101
AT1;AT13;AT130;00000;0000;2;7;7642;330;216;90;99;58;64;59;10;17;621;6078;20110101
AT1;AT13;AT130;00000;0000;2;8;7841;309;231;112;91;62;56;39;7;15;629;6290;20110101
AT1;AT13;AT130;00000;0000;2;9;7573;311;252;94;104;68;74;51;10;19;571;6019;20110101
AT1;AT13;AT130;00000;0000;2;10;7713;372;271;78;90;68;74;61;10;14;596;6079;20110101
AT1;AT13;AT130;00000;0000;2;11;7452;363;239;59;96;61;70;54;3;18;543;5946;20110101
AT1;AT13;AT130;00000;0000;2;12;7510;367;222;73;98;88;87;47;9;19;527;5973;20110101
AT1;AT13;AT130;00000;0000;2;13;7645;363;223;76;92;82;85;49;12;16;541;6106;20110101
AT1;AT13;AT130;00000;0000;2;14;7913;377;222;73;107;71;89;65;5;24;561;6319;20110101
AT1;AT13;AT130;00000;0000;2;15;7917;402;215;64;79;68;79;57;7;18;519;6409;20110101
AT1;AT13;AT130;00000;0000;2;16;8180;415;240;60;114;68;88;53;5;18;538;6581;20110101
AT1;AT13;AT130;00000;0000;2;17;8208;402;213;57;99;60;77;52;13;16;534;6685;20110101
AT1;AT13;AT130;00000;0000;2;18;8804;480;234;53;103;54;59;53;7;26;582;7153;20110101
AT1;AT13;AT130;00000;0000;2;19;10211;431;360;127;101;97;108;165;12;67;817;7926;20110101
AT1;AT13;AT130;00000;0000;2;20;11086;451;411;229;124;98;102;225;15;73;1000;8358;20110101
AT1;AT13;AT130;00000;0000;2;21;11763;422;478;348;130;126;130;249;23;78;1178;8601;20110101
AT1;AT13;AT130;00000;0000;2;22;12515;510;475;367;200;146;141;322;24;106;1397;8827;20110101
AT1;AT13;AT130;00000;0000;2;23;12739;549;486;454;212;160;133;322;42;96;1502;8783;20110101
AT1;AT13;AT130;00000;0000;2;24;12999;541;545;507;250;184;146;309;38;93;1704;8682;20110101
AT1;AT13;AT130;00000;0000;2;25;13220;627;578;548;325;209;147;268;38;119;1802;8559;20110101
AT1;AT13;AT130;00000;0000;2;26;13773;624;563;558;328;236;159;306;40;119;1947;8893;20110101
AT1;AT13;AT130;00000;0000;2;27;14043;620;573;558;402;233;158;254;40;152;2135;8918;20110101
AT1;AT13;AT130;00000;0000;2;28;14258;628;561;560;396;191;175;263;50;139;2154;9141;20110101
AT1;AT13;AT130;00000;0000;2;29;14378;676;629;565;427;210;155;335;56;163;2190;8972;20110101
AT1;AT13;AT130;00000;0000;2;30;13888;660;545;554;429;179;175;325;60;141;2209;8611;20110101
AT1;AT13;AT130;00000;0000;2;31;12984;657;512;518;411;152;196;299;75;167;1974;8023;20110101
AT1;AT13;AT130;00000;0000;2;32;12704;634;512;426;449;132;127;305;79;181;1931;7928;20110101
AT1;AT13;AT130;00000;0000;2;33;12599;705;482;424;413;116;155;276;68;185;1910;7865;20110101
AT1;AT13;AT130;00000;0000;2;34;12452;653;397;438;402;134;141;272;101;152;1877;7885;20110101
AT1;AT13;AT130;00000;0000;2;35;12696;667;387;383;407;138;158;256;81;173;1762;8284;20110101
AT1;AT13;AT130;00000;0000;2;36;13073;691;450;315;351;138;153;267;67;165;1648;8828;20110101
AT1;AT13;AT130;00000;0000;2;37;12846;645;429;309;329;126;160;170;76;126;1588;8888;20110101
AT1;AT13;AT130;00000;0000;2;38;13248;645;357;327;307;116;187;184;58;117;1461;9489;20110101
AT1;AT13;AT130;00000;0000;2;39;13500;617;325;271;333;148;146;168;53;115;1407;9917;20110101
AT1;AT13;AT130;00000;0000;2;40;13812;611;319;327;278;104;174;167;56;123;1341;10312;20110101
AT1;AT13;AT130;00000;0000;2;41;14112;578;299;288;241;112;164;149;48;102;1196;10935;20110101
AT1;AT13;AT130;00000;0000;2;42;14559;521;261;295;267;109;140;186;34;94;1123;11529;20110101
AT1;AT13;AT130;00000;0000;2;43;14174;469;213;295;221;116;182;163;43;97;1014;11361;20110101
AT1;AT13;AT130;00000;0000;2;44;14036;444;253;287;230;111;148;78;31;59;992;11403;20110101
AT1;AT13;AT130;00000;0000;2;45;14029;419;324;269;229;137;141;89;25;53;908;11435;20110101
AT1;AT13;AT130;00000;0000;2;46;14027;423;305;255;186;97;138;88;25;49;947;11514;20110101
AT1;AT13;AT130;00000;0000;2;47;13978;413;252;259;205;126;117;65;27;48;909;11557;20110101
AT1;AT13;AT130;00000;0000;2;48;13462;392;227;231;202;99;122;54;17;42;844;11232;20110101
AT1;AT13;AT130;00000;0000;2;49;12964;436;185;214;180;104;108;52;18;40;681;10946;20110101
AT1;AT13;AT130;00000;0000;2;50;12665;410;278;175;193;112;109;63;13;37;707;10568;20110101
AT1;AT13;AT130;00000;0000;2;51;12214;437;227;180;183;104;104;51;16;40;654;10218;20110101
AT1;AT13;AT130;00000;0000;2;52;11633;383;204;153;193;130;108;57;20;45;570;9770;20110101
AT1;AT13;AT130;00000;0000;2;53;11217;422;176;132;197;96;108;58;18;42;618;9350;20110101
AT1;AT13;AT130;00000;0000;2;54;11410;505;201;127;168;114;103;56;17;49;575;9495;20110101
AT1;AT13;AT130;00000;0000;2;55;10806;576;243;110;168;143;98;32;13;48;502;8873;20110101
AT1;AT13;AT130;00000;0000;2;56;10332;646;231;100;156;117;94;41;13;42;461;8431;20110101
AT1;AT13;AT130;00000;0000;2;57;9971;644;183;118;148;130;86;32;14;35;441;8140;20110101
AT1;AT13;AT130;00000;0000;2;58;9825;673;183;96;141;142;80;32;20;36;437;7985;20110101
AT1;AT13;AT130;00000;0000;2;59;9274;587;139;75;105;89;65;33;18;23;415;7725;20110101
AT1;AT13;AT130;00000;0000;2;60;9716;624;164;73;100;80;62;34;7;28;379;8165;20110101
AT1;AT13;AT130;00000;0000;2;61;10119;550;182;73;75;123;69;37;12;26;355;8617;20110101
AT1;AT13;AT130;00000;0000;2;62;10905;550;161;78;93;96;57;28;8;27;348;9459;20110101
AT1;AT13;AT130;00000;0000;2;63;11453;465;126;69;68;86;51;17;6;17;350;10198;20110101
AT1;AT13;AT130;00000;0000;2;64;8620;344;117;57;55;82;50;17;8;25;327;7538;20110101
AT1;AT13;AT130;00000;0000;2;65;8468;287;129;55;46;55;48;12;4;11;280;7541;20110101
AT1;AT13;AT130;00000;0000;2;66;10782;284;114;69;43;51;41;16;3;13;240;9908;20110101
AT1;AT13;AT130;00000;0000;2;67;10600;291;75;77;33;50;39;15;4;10;219;9787;20110101
AT1;AT13;AT130;00000;0000;2;68;9920;247;85;77;25;40;37;9;3;14;205;9178;20110101
AT1;AT13;AT130;00000;0000;2;69;11124;252;61;75;28;45;26;17;4;8;212;10396;20110101
AT1;AT13;AT130;00000;0000;2;70;11565;242;94;83;11;59;28;17;1;1;206;10823;20110101
AT1;AT13;AT130;00000;0000;2;71;10797;222;73;65;24;48;32;13;0;5;164;10151;20110101
AT1;AT13;AT130;00000;0000;2;72;6570;172;58;38;16;44;29;9;1;8;169;6026;20110101
AT1;AT13;AT130;00000;0000;2;73;5501;166;65;29;15;35;37;12;0;2;161;4979;20110101
AT1;AT13;AT130;00000;0000;2;74;5339;179;37;28;19;37;19;15;1;5;130;4869;20110101
AT1;AT13;AT130;00000;0000;2;75;5200;156;38;30;18;32;28;12;0;3;120;4763;20110101
AT1;AT13;AT130;00000;0000;2;76;5217;145;33;23;15;18;23;7;2;6;113;4832;20110101
AT1;AT13;AT130;00000;0000;2;77;5281;131;47;22;8;21;22;6;1;4;99;4920;20110101
AT1;AT13;AT130;00000;0000;2;78;5498;126;49;15;16;17;29;10;1;1;73;5161;20110101
AT1;AT13;AT130;00000;0000;2;79;5505;101;26;16;13;15;16;6;0;3;75;5234;20110101
AT1;AT13;AT130;00000;0000;2;80;5592;109;30;15;8;6;12;4;0;5;82;5321;20110101
AT1;AT13;AT130;00000;0000;2;81;5262;80;21;17;9;12;11;11;1;0;63;5037;20110101
AT1;AT13;AT130;00000;0000;2;82;5161;59;19;23;8;9;11;6;1;3;69;4953;20110101
AT1;AT13;AT130;00000;0000;2;83;4952;45;14;11;10;7;7;5;0;2;54;4797;20110101
AT1;AT13;AT130;00000;0000;2;84;5203;41;13;13;7;8;7;3;1;3;73;5034;20110101
AT1;AT13;AT130;00000;0000;2;85;5041;24;13;22;3;0;2;2;1;2;52;4920;20110101
AT1;AT13;AT130;00000;0000;2;86;4736;28;8;13;7;3;5;2;0;0;49;4621;20110101
AT1;AT13;AT130;00000;0000;2;87;4450;17;4;15;9;1;6;2;0;1;50;4345;20110101
AT1;AT13;AT130;00000;0000;2;88;3964;13;3;19;6;0;1;2;0;3;34;3883;20110101
AT1;AT13;AT130;00000;0000;2;89;3381;10;4;23;1;1;2;1;1;2;25;3311;20110101
AT1;AT13;AT130;00000;0000;2;90;2619;8;2;14;2;3;1;0;0;2;23;2564;20110101
AT1;AT13;AT130;00000;0000;2;91;1735;6;0;6;0;0;3;0;0;2;16;1702;20110101
AT1;AT13;AT130;00000;0000;2;92;990;1;2;5;3;0;0;0;0;2;9;968;20110101
AT1;AT13;AT130;00000;0000;2;93;776;1;0;4;2;0;1;0;0;0;9;759;20110101
AT1;AT13;AT130;00000;0000;2;94;661;0;0;4;0;0;1;1;0;0;7;648;20110101
AT1;AT13;AT130;00000;0000;2;95;600;1;1;3;1;0;0;0;0;0;8;586;20110101
