NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;SUM_ANKUENFTE;SUM_UEBERNACHTUNGEN;YEAR
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz;508722;943817;2012
AT2;AT22;AT225;603;Deutschlandsberg;60301;Aibl;485;1291;2012
AT2;AT22;AT225;603;Deutschlandsberg;60302;Deutschlandsberg;12750;39269;2012
AT2;AT22;AT225;603;Deutschlandsberg;60303;Eibiswald;2954;7146;2012
AT2;AT22;AT225;603;Deutschlandsberg;60307;Bad Gams;4275;13919;2012
AT2;AT22;AT225;603;Deutschlandsberg;60308;Garanas;238;656;2012
AT2;AT22;AT225;603;Deutschlandsberg;60310;Greisdorf;8944;18597;2012
AT2;AT22;AT225;603;Deutschlandsberg;60311;Gressenberg;383;1531;2012
AT2;AT22;AT225;603;Deutschlandsberg;60312;Groß Sankt Florian;103;391;2012
AT2;AT22;AT225;603;Deutschlandsberg;60316;Kloster;239;904;2012
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach;4246;11942;2012
AT2;AT22;AT225;603;Deutschlandsberg;60319;Limberg bei Wies;1146;4540;2012
AT2;AT22;AT225;603;Deutschlandsberg;60327;Sankt Martin im Sulmtal;673;2035;2012
AT2;AT22;AT225;603;Deutschlandsberg;60328;Sankt Oswald ob Eibiswald;306;863;2012
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal;3066;9825;2012
AT2;AT22;AT225;603;Deutschlandsberg;60330;Sankt Stefan ob Stainz;1733;4850;2012
AT2;AT22;AT225;603;Deutschlandsberg;60331;Schwanberg;6276;43689;2012
AT2;AT22;AT225;603;Deutschlandsberg;60332;Soboth;1488;4238;2012
AT2;AT22;AT225;603;Deutschlandsberg;60333;Stainz;7849;14413;2012
AT2;AT22;AT225;603;Deutschlandsberg;60338;Trahütten;2150;9092;2012
AT2;AT22;AT225;603;Deutschlandsberg;60343;Wies;1443;3892;2012
AT2;AT22;AT221;606;Graz-Umgebung;60603;Deutschfeistritz;1658;3001;2012
AT2;AT22;AT221;606;Graz-Umgebung;60606;Eggersdorf bei Graz;606;1528;2012
AT2;AT22;AT221;606;Graz-Umgebung;60607;Eisbach;494;1981;2012
AT2;AT22;AT221;606;Graz-Umgebung;60610;Frohnleiten;6777;25138;2012
AT2;AT22;AT221;606;Graz-Umgebung;60613;Gratkorn;8009;17117;2012
AT2;AT22;AT221;606;Graz-Umgebung;60620;Hitzendorf;688;1667;2012
AT2;AT22;AT221;606;Graz-Umgebung;60622;Judendorf-Straßengel;1018;2151;2012
AT2;AT22;AT221;606;Graz-Umgebung;60624;Kalsdorf bei Graz;15968;33284;2012
AT2;AT22;AT221;606;Graz-Umgebung;60628;Laßnitzhöhe;8944;99442;2012
AT2;AT22;AT221;606;Graz-Umgebung;60629;Lieboch;2658;4129;2012
AT2;AT22;AT221;606;Graz-Umgebung;60642;Sankt Radegund bei Graz;3977;51511;2012
AT2;AT22;AT221;606;Graz-Umgebung;60645;Semriach;6396;15736;2012
AT2;AT22;AT221;606;Graz-Umgebung;60651;Übelbach;1340;8897;2012
AT2;AT22;AT221;606;Graz-Umgebung;60652;Unterpremstätten;53395;110622;2012
AT2;AT22;AT221;606;Graz-Umgebung;60653;Vasoldsberg;2957;6624;2012
AT2;AT22;AT221;606;Graz-Umgebung;60654;Weinitzen;3448;23524;2012
AT2;AT22;AT225;610;Leibnitz;61002;Arnfels;1541;3436;2012
AT2;AT22;AT225;610;Leibnitz;61005;Ehrenhausen;9721;18886;2012
AT2;AT22;AT225;610;Leibnitz;61006;Eichberg-Trautenburg;9309;25879;2012
AT2;AT22;AT225;610;Leibnitz;61009;Gamlitz;40121;96056;2012
AT2;AT22;AT225;610;Leibnitz;61010;Glanz an der Weinstraße;18619;44038;2012
AT2;AT22;AT225;610;Leibnitz;61011;Gleinstätten;1239;3678;2012
AT2;AT22;AT225;610;Leibnitz;61013;Großklein;5509;15029;2012
AT2;AT22;AT225;610;Leibnitz;61018;Kaindorf an der Sulm;13060;22576;2012
AT2;AT22;AT225;610;Leibnitz;61019;Kitzeck im Sausal;8813;24831;2012
AT2;AT22;AT225;610;Leibnitz;61022;Leibnitz;26757;53985;2012
AT2;AT22;AT225;610;Leibnitz;61023;Leutschach;3321;7167;2012
AT2;AT22;AT225;610;Leibnitz;61024;Oberhaag;1767;6030;2012
AT2;AT22;AT225;610;Leibnitz;61028;Ratsch an der Weinstraße;7708;19543;2012
AT2;AT22;AT225;610;Leibnitz;61030;Sankt Andrä-Höch;1845;4026;2012
AT2;AT22;AT225;610;Leibnitz;61032;Sankt Johann im Saggautal;1545;5410;2012
AT2;AT22;AT225;610;Leibnitz;61033;Sankt Nikolai im Sausal;5322;10771;2012
AT2;AT22;AT225;610;Leibnitz;61037;Schloßberg;5321;13913;2012
AT2;AT22;AT225;610;Leibnitz;61038;Seggauberg;17117;38345;2012
AT2;AT22;AT225;610;Leibnitz;61039;Spielfeld;1879;4059;2012
AT2;AT22;AT225;610;Leibnitz;61047;Wildon;2841;5681;2012
AT2;AT22;AT223;611;Leoben;61101;Eisenerz;10543;26494;2012
AT2;AT22;AT223;611;Leoben;61104;Hieflau;524;2311;2012
AT2;AT22;AT223;611;Leoben;61105;Kalwang;465;1317;2012
AT2;AT22;AT223;611;Leoben;61106;Kammern im Liesingtal;1412;1596;2012
AT2;AT22;AT223;611;Leoben;61107;Kraubath an der Mur;382;699;2012
AT2;AT22;AT223;611;Leoben;61108;Leoben;44790;91498;2012
AT2;AT22;AT223;611;Leoben;61109;Mautern in Steiermark;3038;4843;2012
AT2;AT22;AT223;611;Leoben;61111;Proleb;285;406;2012
AT2;AT22;AT223;611;Leoben;61112;Radmer;353;883;2012
AT2;AT22;AT223;611;Leoben;61114;Sankt Peter-Freienstein;1144;6698;2012
AT2;AT22;AT223;611;Leoben;61115;Sankt Stefan ob Leoben;1020;2349;2012
AT2;AT22;AT223;611;Leoben;61118;Vordernberg;8792;37516;2012
AT2;AT22;AT223;611;Leoben;61119;Wald am Schoberpaß;1114;6150;2012
AT2;AT22;AT223;611;Leoben;61120;Trofaiach;5193;15518;2012
AT2;AT22;AT222;612;Liezen;61201;Admont;11611;27884;2012
AT2;AT22;AT222;612;Liezen;61202;Aich;7746;38188;2012
AT2;AT22;AT222;612;Liezen;61203;Aigen im Ennstal;21645;78951;2012
AT2;AT22;AT222;612;Liezen;61204;Altaussee;36162;137569;2012
AT2;AT22;AT222;612;Liezen;61205;Altenmarkt bei Sankt Gallen;688;869;2012
AT2;AT22;AT222;612;Liezen;61206;Ardning;1090;2238;2012
AT2;AT22;AT222;612;Liezen;61207;Bad Aussee;52147;235723;2012
AT2;AT22;AT222;612;Liezen;61208;Donnersbach;14778;62985;2012
AT2;AT22;AT222;612;Liezen;61209;Donnersbachwald;16653;73688;2012
AT2;AT22;AT222;612;Liezen;61210;Gaishorn am See;591;1862;2012
AT2;AT22;AT222;612;Liezen;61211;Gams bei Hieflau;303;1731;2012
AT2;AT22;AT222;612;Liezen;61212;Gössenberg;3166;12962;2012
AT2;AT22;AT222;612;Liezen;61213;Gröbming;13941;98900;2012
AT2;AT22;AT222;612;Liezen;61214;Großsölk;1229;6247;2012
AT2;AT22;AT222;612;Liezen;61215;Grundlsee;39452;146457;2012
AT2;AT22;AT222;612;Liezen;61216;Hall;1732;8156;2012
AT2;AT22;AT222;612;Liezen;61217;Haus;58975;277469;2012
AT2;AT22;AT222;612;Liezen;61218;Irdning;4757;18128;2012
AT2;AT22;AT222;612;Liezen;61219;Johnsbach;11919;23476;2012
AT2;AT22;AT222;612;Liezen;61220;Kleinsölk;1776;6331;2012
AT2;AT22;AT222;612;Liezen;61221;Landl;6207;16643;2012
AT2;AT22;AT222;612;Liezen;61222;Lassing;2904;13877;2012
AT2;AT22;AT222;612;Liezen;61223;Liezen;3473;5854;2012
AT2;AT22;AT222;612;Liezen;61224;Michaelerberg;5914;24350;2012
AT2;AT22;AT222;612;Liezen;61225;Mitterberg;8750;37618;2012
AT2;AT22;AT222;612;Liezen;61226;Bad Mitterndorf;64431;271389;2012
AT2;AT22;AT222;612;Liezen;61227;Niederöblarn;4733;19587;2012
AT2;AT22;AT222;612;Liezen;61228;Öblarn;2062;6149;2012
AT2;AT22;AT222;612;Liezen;61229;Oppenberg;505;1103;2012
AT2;AT22;AT222;612;Liezen;61230;Palfau;7092;16081;2012
AT2;AT22;AT222;612;Liezen;61232;Pichl-Preunegg;68518;291532;2012
AT2;AT22;AT222;612;Liezen;61233;Pichl-Kainisch;1925;8330;2012
AT2;AT22;AT222;612;Liezen;61234;Pruggern;19044;108026;2012
AT2;AT22;AT222;612;Liezen;61235;Pürgg-Trautenfels;1826;7278;2012
AT2;AT22;AT222;612;Liezen;61236;Ramsau am Dachstein;133169;684803;2012
AT2;AT22;AT222;612;Liezen;61237;Rohrmoos-Untertal;111718;511083;2012
AT2;AT22;AT222;612;Liezen;61238;Rottenmann;2807;9820;2012
AT2;AT22;AT222;612;Liezen;61239;Sankt Gallen;5970;13649;2012
AT2;AT22;AT222;612;Liezen;61240;Sankt Martin am Grimming;3647;13344;2012
AT2;AT22;AT222;612;Liezen;61241;Sankt Nikolai im Sölktal;1849;7063;2012
AT2;AT22;AT222;612;Liezen;61242;Schladming;127283;494347;2012
AT2;AT22;AT222;612;Liezen;61244;Stainach;991;1592;2012
AT2;AT22;AT222;612;Liezen;61245;Tauplitz;40017;161660;2012
AT2;AT22;AT222;612;Liezen;61246;Treglwang;1347;1965;2012
AT2;AT22;AT222;612;Liezen;61247;Trieben;864;1605;2012
AT2;AT22;AT222;612;Liezen;61249;Weißenbach bei Liezen;438;1036;2012
AT2;AT22;AT222;612;Liezen;61250;Weng im Gesäuse;3728;6276;2012
AT2;AT22;AT222;612;Liezen;61251;Wildalpen;13295;33666;2012
AT2;AT22;AT222;612;Liezen;61252;Wörschach;4440;10197;2012
AT2;AT22;AT226;614;Murau;61401;Dürnstein in der Steiermark;3347;27903;2012
AT2;AT22;AT226;614;Murau;61404;Krakaudorf;1341;5810;2012
AT2;AT22;AT226;614;Murau;61405;Krakauhintermühlen;5937;23713;2012
AT2;AT22;AT226;614;Murau;61406;Krakauschatten;1402;7127;2012
AT2;AT22;AT226;614;Murau;61408;Laßnitz bei Murau;1714;5711;2012
AT2;AT22;AT226;614;Murau;61409;Mariahof;4419;21175;2012
AT2;AT22;AT226;614;Murau;61410;Mühlen;6268;25276;2012
AT2;AT22;AT226;614;Murau;61411;Murau;21520;55464;2012
AT2;AT22;AT226;614;Murau;61412;Neumarkt in Steiermark;1523;4226;2012
AT2;AT22;AT226;614;Murau;61414;Oberwölz Stadt;2970;10240;2012
AT2;AT22;AT226;614;Murau;61415;Oberwölz Umgebung;1187;6839;2012
AT2;AT22;AT226;614;Murau;61417;Predlitz-Turrach;33738;166523;2012
AT2;AT22;AT226;614;Murau;61418;Ranten;1531;7623;2012
AT2;AT22;AT226;614;Murau;61419;Rinegg;230;1711;2012
AT2;AT22;AT226;614;Murau;61420;Sankt Blasen;2807;13822;2012
AT2;AT22;AT226;614;Murau;61421;Sankt Georgen ob Murau;53492;257860;2012
AT2;AT22;AT226;614;Murau;61422;Sankt Lambrecht;21037;69858;2012
AT2;AT22;AT226;614;Murau;61423;Sankt Lorenzen bei Scheifling;155;660;2012
AT2;AT22;AT226;614;Murau;61424;Sankt Marein bei Neumarkt;848;3540;2012
AT2;AT22;AT226;614;Murau;61425;Sankt Peter am Kammersberg;7695;45917;2012
AT2;AT22;AT226;614;Murau;61427;Scheifling;1064;1778;2012
AT2;AT22;AT226;614;Murau;61428;Schöder;2254;9350;2012
AT2;AT22;AT226;614;Murau;61429;Schönberg-Lachtal;18002;77353;2012
AT2;AT22;AT226;614;Murau;61430;Stadl an der Mur;4213;18713;2012
AT2;AT22;AT226;614;Murau;61431;Stolzalpe;1243;5881;2012
AT2;AT22;AT226;614;Murau;61434;Winklern bei Oberwölz;1218;3644;2012
AT2;AT22;AT226;614;Murau;61435;Zeutschach;2787;12453;2012
AT2;AT22;AT225;616;Voitsberg;61601;Bärnbach;1698;4245;2012
AT2;AT22;AT225;616;Voitsberg;61602;Edelschrott;373;592;2012
AT2;AT22;AT225;616;Voitsberg;61607;Hirschegg;8933;25347;2012
AT2;AT22;AT225;616;Voitsberg;61609;Köflach;13215;76940;2012
AT2;AT22;AT225;616;Voitsberg;61612;Ligist;1799;4701;2012
AT2;AT22;AT225;616;Voitsberg;61613;Maria Lankowitz;8628;25884;2012
AT2;AT22;AT225;616;Voitsberg;61616;Pack;2739;9159;2012
AT2;AT22;AT225;616;Voitsberg;61619;Salla;951;2751;2012
AT2;AT22;AT225;616;Voitsberg;61625;Voitsberg;4943;8598;2012
AT2;AT22;AT224;617;Weiz;61702;Anger;11706;31468;2012
AT2;AT22;AT224;617;Weiz;61704;Baierdorf bei Anger;2070;6397;2012
AT2;AT22;AT224;617;Weiz;61708;Fischbach;6432;30645;2012
AT2;AT22;AT224;617;Weiz;61709;Fladnitz an der Teichalm;34908;95235;2012
AT2;AT22;AT224;617;Weiz;61710;Floing;427;2321;2012
AT2;AT22;AT224;617;Weiz;61711;Gasen;1538;4927;2012
AT2;AT22;AT224;617;Weiz;61713;Gleisdorf;3876;7775;2012
