Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Alter;;;;;;;;;;;;;;;;;;;
Migration background of residents in Vienna by sex and age;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;AGE;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;00000;0000;2;0;8486;365;279;187;173;64;67;146;25;44;1030;6106;20110101
AT1;AT13;AT130;00000;0000;2;1;8306;345;284;197;225;85;52;124;22;46;1043;5883;20110101
AT1;AT13;AT130;00000;0000;2;2;8316;334;277;192;194;52;73;116;29;39;999;6011;20110101
AT1;AT13;AT130;00000;0000;2;3;8228;353;248;180;181;75;51;99;20;49;948;6024;20110101
AT1;AT13;AT130;00000;0000;2;4;8341;364;225;172;176;56;69;76;19;30;927;6227;20110101
AT1;AT13;AT130;00000;0000;2;5;8010;341;223;147;139;70;72;82;21;28;803;6084;20110101
AT1;AT13;AT130;00000;0000;2;6;7841;324;223;135;117;57;63;79;22;31;780;6010;20110101
AT1;AT13;AT130;00000;0000;2;7;7642;348;227;113;100;61;65;60;12;17;764;5875;20110101
AT1;AT13;AT130;00000;0000;2;8;7841;318;242;136;96;62;57;42;11;20;787;6070;20110101
AT1;AT13;AT130;00000;0000;2;9;7573;333;284;122;106;71;75;51;10;21;745;5755;20110101
AT1;AT13;AT130;00000;0000;2;10;7713;389;317;102;92;73;74;65;14;21;784;5782;20110101
AT1;AT13;AT130;00000;0000;2;11;7452;381;300;81;103;62;72;56;4;26;743;5624;20110101
AT1;AT13;AT130;00000;0000;2;12;7510;411;316;99;105;93;89;50;12;22;735;5578;20110101
AT1;AT13;AT130;00000;0000;2;13;7645;429;315;102;104;85;88;58;19;28;743;5674;20110101
AT1;AT13;AT130;00000;0000;2;14;7913;423;319;93;114;76;91;72;8;26;786;5905;20110101
AT1;AT13;AT130;00000;0000;2;15;7917;447;319;88;88;71;82;64;10;24;745;5979;20110101
AT1;AT13;AT130;00000;0000;2;16;8180;463;345;89;123;74;90;57;10;25;752;6152;20110101
AT1;AT13;AT130;00000;0000;2;17;8208;449;311;89;105;65;80;60;17;21;737;6274;20110101
AT1;AT13;AT130;00000;0000;2;18;8804;546;342;84;113;106;65;58;9;33;853;6595;20110101
AT1;AT13;AT130;00000;0000;2;19;10211;529;496;162;111;228;124;170;17;74;1085;7215;20110101
AT1;AT13;AT130;00000;0000;2;20;11086;610;573;271;143;243;124;250;16;76;1356;7424;20110101
AT1;AT13;AT130;00000;0000;2;21;11763;637;709;406;155;313;159;289;26;84;1556;7429;20110101
AT1;AT13;AT130;00000;0000;2;22;12515;711;727;421;225;338;178;374;31;114;1791;7605;20110101
AT1;AT13;AT130;00000;0000;2;23;12739;784;781;497;264;334;163;377;55;109;1940;7435;20110101
AT1;AT13;AT130;00000;0000;2;24;12999;758;828;552;292;348;177;385;42;104;2131;7382;20110101
AT1;AT13;AT130;00000;0000;2;25;13220;820;815;586;373;378;171;319;50;132;2171;7405;20110101
AT1;AT13;AT130;00000;0000;2;26;13773;817;809;612;372;422;211;357;51;139;2304;7679;20110101
AT1;AT13;AT130;00000;0000;2;27;14043;803;777;611;458;405;177;305;56;169;2525;7757;20110101
AT1;AT13;AT130;00000;0000;2;28;14258;807;746;624;447;328;201;313;67;150;2482;8093;20110101
AT1;AT13;AT130;00000;0000;2;29;14378;863;838;623;486;377;175;368;79;189;2568;7812;20110101
AT1;AT13;AT130;00000;0000;2;30;13888;843;803;611;506;334;198;390;89;170;2617;7327;20110101
AT1;AT13;AT130;00000;0000;2;31;12984;844;775;596;488;304;214;346;100;191;2396;6730;20110101
AT1;AT13;AT130;00000;0000;2;32;12704;842;772;490;534;280;144;367;112;215;2350;6598;20110101
AT1;AT13;AT130;00000;0000;2;33;12599;919;755;491;484;280;179;341;99;213;2455;6383;20110101
AT1;AT13;AT130;00000;0000;2;34;12452;915;688;515;489;298;161;332;136;177;2415;6326;20110101
AT1;AT13;AT130;00000;0000;2;35;12696;904;719;483;496;291;178;323;105;215;2358;6624;20110101
AT1;AT13;AT130;00000;0000;2;36;13073;968;869;430;420;340;189;334;112;203;2267;6941;20110101
AT1;AT13;AT130;00000;0000;2;37;12846;941;917;409;400;355;193;237;112;160;2305;6817;20110101
AT1;AT13;AT130;00000;0000;2;38;13248;1055;841;431;409;366;243;278;95;139;2208;7183;20110101
AT1;AT13;AT130;00000;0000;2;39;13500;1106;792;370;452;437;194;250;94;159;2183;7463;20110101
AT1;AT13;AT130;00000;0000;2;40;13812;1123;817;428;433;381;223;252;95;169;2184;7707;20110101
AT1;AT13;AT130;00000;0000;2;41;14112;1135;754;351;364;431;233;250;88;158;2019;8329;20110101
AT1;AT13;AT130;00000;0000;2;42;14559;1071;666;366;401;416;199;298;71;141;1947;8983;20110101
AT1;AT13;AT130;00000;0000;2;43;14174;1015;531;403;343;393;242;282;96;153;1780;8936;20110101
AT1;AT13;AT130;00000;0000;2;44;14036;955;659;375;377;385;220;139;73;93;1758;9002;20110101
AT1;AT13;AT130;00000;0000;2;45;14029;944;825;346;394;390;207;153;64;93;1719;8894;20110101
AT1;AT13;AT130;00000;0000;2;46;14027;886;757;339;327;327;203;144;69;96;1761;9118;20110101
AT1;AT13;AT130;00000;0000;2;47;13978;890;641;336;341;347;175;133;79;89;1649;9298;20110101
AT1;AT13;AT130;00000;0000;2;48;13462;874;538;332;356;290;167;129;59;85;1652;8980;20110101
AT1;AT13;AT130;00000;0000;2;49;12964;950;481;299;400;290;157;111;60;85;1366;8765;20110101
AT1;AT13;AT130;00000;0000;2;50;12665;916;638;249;424;312;157;127;65;72;1405;8300;20110101
AT1;AT13;AT130;00000;0000;2;51;12214;918;524;258;455;263;143;109;68;77;1376;8023;20110101
AT1;AT13;AT130;00000;0000;2;52;11633;853;458;225;480;297;152;124;73;92;1274;7605;20110101
AT1;AT13;AT130;00000;0000;2;53;11217;901;368;208;497;232;137;117;99;89;1279;7290;20110101
AT1;AT13;AT130;00000;0000;2;54;11410;1116;437;208;445;268;147;133;94;124;1329;7109;20110101
AT1;AT13;AT130;00000;0000;2;55;10806;1213;501;200;488;281;142;95;72;151;1213;6450;20110101
AT1;AT13;AT130;00000;0000;2;56;10332;1351;406;185;442;264;146;105;97;157;1127;6052;20110101
AT1;AT13;AT130;00000;0000;2;57;9971;1391;334;208;400;257;122;71;101;148;1098;5841;20110101
AT1;AT13;AT130;00000;0000;2;58;9825;1363;319;186;415;266;118;96;105;129;1103;5725;20110101
AT1;AT13;AT130;00000;0000;2;59;9274;1159;216;168;335;186;95;80;131;113;1005;5786;20110101
AT1;AT13;AT130;00000;0000;2;60;9716;1281;289;163;326;175;107;94;113;118;937;6113;20110101
AT1;AT13;AT130;00000;0000;2;61;10119;1133;273;195;243;214;110;88;143;122;878;6720;20110101
AT1;AT13;AT130;00000;0000;2;62;10905;1069;245;179;265;163;79;71;173;152;851;7658;20110101
AT1;AT13;AT130;00000;0000;2;63;11453;911;194;234;217;141;89;53;163;149;831;8471;20110101
AT1;AT13;AT130;00000;0000;2;64;8620;649;173;277;179;115;73;52;165;135;757;6045;20110101
AT1;AT13;AT130;00000;0000;2;65;8468;532;175;399;156;87;59;50;340;99;662;5909;20110101
AT1;AT13;AT130;00000;0000;2;66;10782;542;145;371;208;87;49;54;491;129;663;8043;20110101
AT1;AT13;AT130;00000;0000;2;67;10600;537;103;353;182;67;53;57;385;113;574;8176;20110101
AT1;AT13;AT130;00000;0000;2;68;9920;526;111;355;143;60;64;48;346;118;569;7580;20110101
AT1;AT13;AT130;00000;0000;2;69;11124;465;85;356;119;63;42;59;396;99;525;8915;20110101
AT1;AT13;AT130;00000;0000;2;70;11565;456;113;388;93;73;42;62;361;79;514;9384;20110101
AT1;AT13;AT130;00000;0000;2;71;10797;388;87;292;99;63;41;63;300;74;470;8920;20110101
