Wanderung gegenüber Wien nach Zählbezirken, Staatsangehörigkeit und Geschlecht;;;;;;;;;;;;;;;;;;
Migration in Vienna by subdistrict, nationality and sex;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;NATIONALITY;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;IMM_SDC;EMI_SDC;MIG_SDC_INT;REF_DATE
AT1;AT13;AT130;00000;9010101;2;AUT;-6;-4;5;9;-2;26;19;66;75;6;2007
AT1;AT13;AT130;00000;9010101;2;DEU;5;6;8;2;-1;2;2;5;6;1;2007
AT1;AT13;AT130;00000;9010101;2;POL;1;4;6;2;-3;0;0;0;3;0;2007
AT1;AT13;AT130;00000;9010101;2;ROU;5;3;5;2;2;0;0;4;2;0;2007
AT1;AT13;AT130;00000;9010101;2;SVK;2;3;3;0;-1;1;1;0;1;0;2007
AT1;AT13;AT130;00000;9010101;2;HUN;0;1;1;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010101;2;BGR;2;1;2;1;1;0;0;2;1;0;2007
AT1;AT13;AT130;00000;9010101;2;CZE;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010101;2;REST-EU;-3;5;12;7;-8;0;1;3;10;0;2007
AT1;AT13;AT130;00000;9010101;2;SCG;2;1;2;1;1;1;0;1;1;0;2007
AT1;AT13;AT130;00000;9010101;2;TUR;0;0;0;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010101;2;HRV;-1;0;0;0;-1;0;0;1;2;0;2007
AT1;AT13;AT130;00000;9010101;2;MKD;2;0;0;0;2;0;0;2;0;0;2007
AT1;AT13;AT130;00000;9010101;2;RUS;5;2;2;0;3;3;1;1;0;0;2007
AT1;AT13;AT130;00000;9010101;2;CHN;1;0;1;1;1;0;0;4;3;0;2007
AT1;AT13;AT130;00000;9010101;2;OTHER;1;11;26;15;-10;0;2;8;16;3;2007
AT1;AT13;AT130;00000;9010101;1;AUT;-9;-4;10;14;-5;22;31;71;67;5;2007
AT1;AT13;AT130;00000;9010101;1;DEU;10;12;16;4;-2;3;1;4;8;0;2007
AT1;AT13;AT130;00000;9010101;1;POL;-1;0;3;3;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010101;1;ROU;0;2;3;1;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010101;1;HUN;2;4;4;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010101;1;BGR;0;0;0;0;0;0;0;2;2;0;2007
AT1;AT13;AT130;00000;9010101;1;CZE;2;2;2;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010101;1;REST-EU;2;7;13;6;-5;0;1;5;9;0;2007
AT1;AT13;AT130;00000;9010101;1;SCG;-4;1;2;1;-5;0;0;0;5;1;2007
AT1;AT13;AT130;00000;9010101;1;TUR;-1;0;0;0;-1;0;0;1;2;0;2007
AT1;AT13;AT130;00000;9010101;1;BIH;-2;0;1;1;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010101;1;HRV;2;1;1;0;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9010101;1;RUS;2;1;1;0;1;2;0;0;1;0;2007
AT1;AT13;AT130;00000;9010101;1;CHN;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010101;1;OTHER;8;18;29;11;-10;1;2;12;21;3;2007
AT1;AT13;AT130;00000;9010102;2;AUT;0;-1;4;5;1;15;6;24;32;0;2007
AT1;AT13;AT130;00000;9010102;2;DEU;7;2;2;0;5;1;0;4;0;0;2007
AT1;AT13;AT130;00000;9010102;2;POL;1;1;2;1;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010102;2;ROU;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010102;2;SVK;1;2;2;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010102;2;HUN;-4;-2;0;2;-2;0;1;1;2;0;2007
AT1;AT13;AT130;00000;9010102;2;BGR;2;3;3;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010102;2;REST-EU;5;5;5;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010102;2;SCG;-1;2;2;0;-3;0;0;0;3;0;2007
AT1;AT13;AT130;00000;9010102;2;BIH;0;0;0;0;0;1;0;0;1;0;2007
AT1;AT13;AT130;00000;9010102;2;HRV;-2;0;0;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010102;2;MKD;-1;-1;0;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010102;2;RUS;11;6;6;0;5;1;0;5;1;0;2007
AT1;AT13;AT130;00000;9010102;2;OTHER;2;-1;2;3;3;0;1;4;0;0;2007
AT1;AT13;AT130;00000;9010102;1;AUT;12;3;11;8;9;15;8;37;35;0;2007
AT1;AT13;AT130;00000;9010102;1;DEU;0;1;2;1;-1;0;1;2;2;0;2007
AT1;AT13;AT130;00000;9010102;1;POL;1;0;0;0;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9010102;1;SVK;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010102;1;BGR;1;1;2;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010102;1;REST-EU;11;8;10;2;3;0;0;4;1;0;2007
AT1;AT13;AT130;00000;9010102;1;SCG;1;1;1;0;0;0;0;2;2;0;2007
AT1;AT13;AT130;00000;9010102;1;TUR;-1;-1;0;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010102;1;BIH;2;0;0;0;2;0;0;2;0;0;2007
AT1;AT13;AT130;00000;9010102;1;HRV;1;2;2;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010102;1;RUS;6;5;5;0;1;0;0;2;1;0;2007
AT1;AT13;AT130;00000;9010102;1;OTHER;7;2;3;1;5;0;0;8;3;0;2007
AT1;AT13;AT130;00000;9010103;2;AUT;-15;-11;7;18;-4;13;10;24;31;0;2007
AT1;AT13;AT130;00000;9010103;2;DEU;1;2;3;1;-1;0;0;3;4;0;2007
AT1;AT13;AT130;00000;9010103;2;POL;4;0;0;0;4;0;0;4;0;0;2007
AT1;AT13;AT130;00000;9010103;2;ROU;3;2;2;0;1;1;0;0;0;0;2007
AT1;AT13;AT130;00000;9010103;2;SVK;0;0;1;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010103;2;HUN;0;1;2;1;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;2;BGR;2;1;1;0;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9010103;2;REST-EU;3;2;6;4;1;0;0;2;1;3;2007
AT1;AT13;AT130;00000;9010103;2;SCG;2;4;4;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010103;2;TUR;2;1;1;0;1;0;0;2;1;0;2007
AT1;AT13;AT130;00000;9010103;2;BIH;0;1;1;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;2;HRV;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;2;MKD;0;0;0;0;0;0;0;2;2;1;2007
AT1;AT13;AT130;00000;9010103;2;RUS;3;0;0;0;3;2;1;5;3;0;2007
AT1;AT13;AT130;00000;9010103;2;CHN;-2;0;0;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010103;2;OTHER;-4;-2;7;9;-2;1;0;6;9;1;2007
AT1;AT13;AT130;00000;9010103;1;AUT;-8;-11;8;19;3;7;5;36;35;3;2007
AT1;AT13;AT130;00000;9010103;1;DEU;2;1;6;5;1;0;0;4;3;0;2007
AT1;AT13;AT130;00000;9010103;1;POL;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010103;1;ROU;-1;0;0;0;-1;0;0;1;2;0;2007
AT1;AT13;AT130;00000;9010103;1;SVK;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010103;1;HUN;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;1;BGR;-1;1;1;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010103;1;REST-EU;3;5;10;5;-2;0;1;1;2;0;2007
