Wanderung gegenüber Wien nach Bezirken, Migrationshintergrund und Geschlecht;;;;;;;;;;;;;;;;;;
Migration in Vienna by district, migrationbackground and sex;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;MIG_BACKGROUND;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;IMM_DC;EMI_DC;MIG_DC_INT;REF_DATE
AT1;AT13;AT130;90101;00000000;2;AUT;-13;-30;26;56;17;120;78;215;240;53;2002
AT1;AT13;AT130;90101;00000000;2;DEU;0;5;29;24;-5;8;4;19;28;6;2002
AT1;AT13;AT130;90101;00000000;2;POL;-4;2;6;4;-6;0;1;3;8;2;2002
AT1;AT13;AT130;90101;00000000;2;ROU;2;1;4;3;1;4;1;5;7;2;2002
AT1;AT13;AT130;90101;00000000;2;SVK;6;2;7;5;4;0;0;5;1;0;2002
AT1;AT13;AT130;90101;00000000;2;HUN;2;-1;2;3;3;1;1;11;8;6;2002
AT1;AT13;AT130;90101;00000000;2;BGR;8;5;8;3;3;1;0;8;6;3;2002
AT1;AT13;AT130;90101;00000000;2;CZE;0;0;4;4;0;0;0;3;3;0;2002
AT1;AT13;AT130;90101;00000000;2;REST-EU;-5;2;43;41;-7;2;5;18;22;7;2002
AT1;AT13;AT130;90101;00000000;2;SCG;-8;9;13;4;-17;2;1;12;30;5;2002
AT1;AT13;AT130;90101;00000000;2;TUR;4;1;4;3;3;1;0;5;3;0;2002
AT1;AT13;AT130;90101;00000000;2;BIH;7;1;2;1;6;1;0;7;2;1;2002
AT1;AT13;AT130;90101;00000000;2;HRV;1;0;2;2;1;1;0;3;3;3;2002
AT1;AT13;AT130;90101;00000000;2;MKD;-2;-1;0;1;-1;0;0;1;2;0;2002
AT1;AT13;AT130;90101;00000000;2;RUS;-5;0;5;5;-5;0;1;4;8;4;2002
AT1;AT13;AT130;90101;00000000;2;CHN;6;4;5;1;2;1;0;5;4;0;2002
AT1;AT13;AT130;90101;00000000;2;OTHER;-2;13;65;52;-15;9;11;31;44;7;2002
AT1;AT13;AT130;90101;00000000;1;AUT;-5;-22;43;65;17;137;95;243;268;50;2002
AT1;AT13;AT130;90101;00000000;1;DEU;5;19;37;18;-14;4;6;13;25;6;2002
AT1;AT13;AT130;90101;00000000;1;POL;-4;-1;3;4;-3;0;0;1;4;1;2002
AT1;AT13;AT130;90101;00000000;1;ROU;-1;3;3;0;-4;1;4;4;5;1;2002
AT1;AT13;AT130;90101;00000000;1;SVK;2;1;4;3;1;0;1;4;2;1;2002
AT1;AT13;AT130;90101;00000000;1;HUN;0;3;4;1;-3;1;1;3;6;4;2002
AT1;AT13;AT130;90101;00000000;1;BGR;2;-2;1;3;4;0;0;8;4;2;2002
AT1;AT13;AT130;90101;00000000;1;CZE;-1;3;5;2;-4;3;5;1;3;0;2002
AT1;AT13;AT130;90101;00000000;1;REST-EU;19;13;66;53;6;5;1;27;25;11;2002
AT1;AT13;AT130;90101;00000000;1;SCG;-14;3;11;8;-17;3;3;18;35;6;2002
AT1;AT13;AT130;90101;00000000;1;TUR;7;3;7;4;4;1;1;8;4;0;2002
AT1;AT13;AT130;90101;00000000;1;BIH;1;1;1;0;0;2;0;2;4;0;2002
