Wanderung gegenüber Wien nach Zählbezirken, Migrationshintergrund und Geschlecht;;;;;;;;;;;;;;;;;;
Migration in Vienna by subdistrict, migrationbackground and sex;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;MIG_BACKGROUND;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;IMM_SDC;EMI_SDC;MIG_SDC_INT;REF_DATE
AT1;AT13;AT130;00000;9010101;2;AUT;-9;-3;4;7;-6;23;18;52;63;5;2007
AT1;AT13;AT130;00000;9010101;2;DEU;5;5;8;3;0;2;3;8;7;1;2007
AT1;AT13;AT130;00000;9010101;2;POL;1;4;6;2;-3;0;0;0;3;0;2007
AT1;AT13;AT130;00000;9010101;2;ROU;6;3;5;2;3;0;0;5;2;0;2007
AT1;AT13;AT130;00000;9010101;2;SVK;1;3;3;0;-2;1;1;0;2;0;2007
AT1;AT13;AT130;00000;9010101;2;HUN;0;1;1;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010101;2;BGR;3;1;2;1;2;0;0;3;1;0;2007
AT1;AT13;AT130;00000;9010101;2;CZE;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010101;2;REST-EU;0;5;12;7;-5;3;1;3;10;0;2007
AT1;AT13;AT130;00000;9010101;2;SCG;1;1;2;1;0;1;0;3;4;0;2007
AT1;AT13;AT130;00000;9010101;2;TUR;-2;0;0;0;-2;0;0;1;3;0;2007
AT1;AT13;AT130;00000;9010101;2;HRV;-1;0;0;0;-1;0;0;2;3;1;2007
AT1;AT13;AT130;00000;9010101;2;MKD;2;0;0;0;2;0;0;2;0;0;2007
AT1;AT13;AT130;00000;9010101;2;RUS;6;2;2;0;4;3;1;2;0;0;2007
AT1;AT13;AT130;00000;9010101;2;CHN;1;0;1;1;1;0;0;4;3;0;2007
AT1;AT13;AT130;00000;9010101;2;OTHER;2;11;27;16;-9;0;2;13;20;3;2007
AT1;AT13;AT130;00000;9010101;1;AUT;-14;-6;6;12;-8;22;30;56;56;5;2007
AT1;AT13;AT130;00000;9010101;1;DEU;9;13;17;4;-4;3;1;4;10;0;2007
AT1;AT13;AT130;00000;9010101;1;POL;0;0;3;3;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010101;1;ROU;1;2;3;1;-1;0;0;1;2;0;2007
AT1;AT13;AT130;00000;9010101;1;HUN;2;4;4;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010101;1;BGR;1;0;0;0;1;0;0;3;2;0;2007
AT1;AT13;AT130;00000;9010101;1;CZE;1;2;2;0;-1;0;1;1;1;0;2007
AT1;AT13;AT130;00000;9010101;1;REST-EU;4;7;13;6;-3;0;1;7;9;0;2007
AT1;AT13;AT130;00000;9010101;1;SCG;-4;1;2;1;-5;0;0;0;5;1;2007
AT1;AT13;AT130;00000;9010101;1;TUR;-4;-1;0;1;-3;0;0;1;4;0;2007
AT1;AT13;AT130;00000;9010101;1;BIH;-2;0;1;1;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010101;1;HRV;1;1;1;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010101;1;RUS;3;2;2;0;1;2;0;0;1;0;2007
AT1;AT13;AT130;00000;9010101;1;CHN;-1;0;0;0;-1;0;0;1;2;0;2007
AT1;AT13;AT130;00000;9010101;1;OTHER;13;19;31;12;-6;1;2;20;25;3;2007
AT1;AT13;AT130;00000;9010102;2;AUT;1;-3;2;5;4;14;6;21;25;0;2007
AT1;AT13;AT130;00000;9010102;2;DEU;7;2;2;0;5;1;0;4;0;0;2007
AT1;AT13;AT130;00000;9010102;2;POL;1;1;2;1;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010102;2;ROU;-2;0;0;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010102;2;SVK;1;2;2;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010102;2;HUN;-4;-2;0;2;-2;0;1;1;2;0;2007
AT1;AT13;AT130;00000;9010102;2;BGR;2;3;3;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010102;2;REST-EU;6;6;6;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010102;2;SCG;-1;2;2;0;-3;0;0;0;3;0;2007
AT1;AT13;AT130;00000;9010102;2;BIH;-2;0;0;0;-2;1;0;0;3;0;2007
AT1;AT13;AT130;00000;9010102;2;HRV;-2;0;0;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010102;2;MKD;0;-1;0;1;1;1;0;0;0;0;2007
AT1;AT13;AT130;00000;9010102;2;RUS;12;6;6;0;6;1;0;7;2;0;2007
AT1;AT13;AT130;00000;9010102;2;OTHER;1;0;3;3;1;0;1;5;3;0;2007
AT1;AT13;AT130;00000;9010102;1;AUT;11;0;7;7;11;13;8;31;25;0;2007
AT1;AT13;AT130;00000;9010102;1;DEU;3;3;4;1;0;1;1;2;2;0;2007
AT1;AT13;AT130;00000;9010102;1;POL;3;1;1;0;2;0;0;2;0;0;2007
AT1;AT13;AT130;00000;9010102;1;ROU;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010102;1;SVK;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010102;1;BGR;1;1;2;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010102;1;REST-EU;11;8;10;2;3;0;0;4;1;0;2007
AT1;AT13;AT130;00000;9010102;1;SCG;1;1;1;0;0;0;0;2;2;0;2007
AT1;AT13;AT130;00000;9010102;1;TUR;-1;-1;0;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010102;1;BIH;-1;0;0;0;-1;0;0;2;3;0;2007
AT1;AT13;AT130;00000;9010102;1;HRV;1;2;2;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010102;1;MKD;1;0;0;0;1;1;0;0;0;0;2007
AT1;AT13;AT130;00000;9010102;1;RUS;6;5;5;0;1;0;0;2;1;0;2007
AT1;AT13;AT130;00000;9010102;1;CHN;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010102;1;OTHER;7;2;4;2;5;0;0;13;8;0;2007
AT1;AT13;AT130;00000;9010103;2;AUT;-9;-8;4;12;-1;10;9;21;23;0;2007
AT1;AT13;AT130;00000;9010103;2;DEU;1;2;4;2;-1;1;1;3;4;0;2007
AT1;AT13;AT130;00000;9010103;2;POL;6;1;1;0;5;0;0;5;0;0;2007
AT1;AT13;AT130;00000;9010103;2;ROU;3;2;2;0;1;1;0;0;0;0;2007
AT1;AT13;AT130;00000;9010103;2;SVK;-1;0;1;1;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;2;HUN;0;1;2;1;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;2;BGR;1;1;1;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010103;2;REST-EU;3;3;7;4;0;0;0;3;3;3;2007
AT1;AT13;AT130;00000;9010103;2;SCG;0;4;4;0;-4;0;0;0;4;0;2007
AT1;AT13;AT130;00000;9010103;2;TUR;2;1;1;0;1;0;0;2;1;0;2007
AT1;AT13;AT130;00000;9010103;2;BIH;0;1;1;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;2;HRV;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010103;2;MKD;0;0;0;0;0;0;0;2;2;1;2007
AT1;AT13;AT130;00000;9010103;2;RUS;2;0;0;0;2;2;1;5;4;0;2007
