Wohnungen in Wien, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dwellings in Vienna, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE_2;SUB_DISTRICT_CODE_4;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_WSA_MITHWS;WHG_WSA_OHNEHWS;WHG_NOC_1;WHG_NOC_2;WHG_NOC_3BIS5;WHG_NOC_6BIS;WHG_NOC_ENTFAELLT;WHG_RECHTSVERH_GEBEIG;WHG_RECHTSVERH_WOHNEIG;WHG_RECHTSVERH_HAUPTM;WHG_RECHTSVERH_SONSTIGE;WHG_NOR_1;WHG_NOR_2;WHG_NOR_3BIS5;WHG_NOR_6BIS;WHG_NTZFL_BIS44;WHG_NTZFL_45BIS59;WHG_NTZFL_60BIS89;WHG_NTZFL_90BIS129;WHG_NTZFL_130BIS;WHG_BEHEIZ_ZENTRAL;WHG_BEHEIZ_NICHTZENTRAL;WHG_BAD_BADDUSCHE;WHG_BAD_KEINBADDUSCHE;WHG_TOI_WASSERTOILETTE;WHG_TOI_KEINWASSERTOILETTE;WHG_WSS_WASSER;WHG_WSS_KEINWASSER;WHG_AUSST_A;WHG_AUSST_B;WHG_AUSST_C;WHG_AUSST_D;WHG_TYP_WOHNGEB;WGH_TYP_ANDEREGEB;WHG_EIGENTOBJ_PRIVAT;WHG_EIGENTOBJ_OEFEENTL;WHG_EIGENTOBJ_GEMEINN;WHG_EIGENTOBJ_SONSTIGE;WHG_BAUPOBJ_BIS1918;WHG_BAUPOBJ_1919BIS1944;WHG_BAUPOBJ_1945BIS1960;WHG_BAUPOBJ_1961BIS1970;WHG_BAUPOBJ_1971BIS1980;WHG_BAUPOBJ_1981BIS1990;WHG_BAUPOBJ_1991BIS2000;WHG_BAUPOBJ_2001BIS;WHG_ANZWHGOBJ_1;WHG_ANZWHGOBJ_2;WHG_ANZWHGOBJ_3BIS5;WHG_ANZWHGOBJ_6BIS10;WHG_ANZWHGOBJ_11BIS20;WHG_ANZWHGOBJ_21MEHR
AT1;AT13;AT130;01;0101;90101;9010101;2148;856;1178;560;388;22;856;50;321;2342;291;284;501;1833;386;384;504;930;706;480;2900;104;2910;94;2904;100;2999;5;2755;81;68;100;2627;377;1372;514;0;1118;2076;278;289;260;10;45;38;8;20;32;247;616;1086;1003
AT1;AT13;AT130;01;0102;90101;9010102;781;268;377;205;185;14;268;22;111;813;103;51;117;645;236;115;116;220;251;347;1014;35;1027;22;1030;19;1049;0;981;30;19;19;829;220;598;38;1;412;732;158;101;32;0;11;3;12;10;2;66;265;433;273
AT1;AT13;AT130;01;0103;90101;9010103;1023;366;476;286;241;20;366;18;234;972;165;82;129;892;286;99;108;335;406;441;1348;41;1362;27;1366;23;1388;1;1309;36;21;23;1096;293;768;63;0;558;1006;12;286;0;6;4;61;14;22;14;115;424;570;244
AT1;AT13;AT130;01;0104;90101;9010104;722;292;309;222;177;14;292;18;50;837;109;27;89;619;279;45;82;236;252;399;971;43;982;32;982;32;1013;1;919;39;24;32;800;214;426;217;10;361;966;11;16;7;0;0;1;13;14;24;76;337;519;44
AT1;AT13;AT130;01;0105;90101;9010105;1064;273;494;300;255;15;273;10;145;1073;109;59;175;889;214;87;182;390;344;334;1275;62;1309;28;1313;24;1337;0;1234;56;23;24;1202;135;653;219;6;459;1008;17;187;85;0;8;6;26;11;10;38;330;702;246
AT1;AT13;AT130;01;0106;90101;9010106;1463;452;826;333;281;23;452;32;231;1485;167;183;308;1157;267;271;356;504;438;346;1857;58;1876;39;1863;52;1915;0;1783;54;26;52;1749;166;1061;372;24;458;1180;171;399;85;12;36;13;19;17;22;126;515;725;510
AT1;AT13;AT130;01;0107;90101;9010107;1434;598;779;368;269;18;598;16;434;1366;216;192;299;1235;306;272;292;561;494;413;1979;53;1977;55;1994;38;2031;1;1902;46;46;38;1666;366;1087;413;12;520;1146;47;614;203;22;0;0;0;10;14;150;449;770;639
AT1;AT13;AT130;02;0201;90201;9020101;4851;327;2137;1359;1263;92;327;18;410;4603;147;403;1018;3698;59;701;1172;2626;655;24;5114;64;5074;104;5007;171;5175;3;4908;36;63;171;5096;82;1112;1821;1573;672;739;329;664;538;626;118;745;1419;3;6;8;29;1462;3670
AT1;AT13;AT130;02;0202;90201;9020102;5437;908;2498;1488;1329;122;908;102;886;4893;464;653;1233;4265;194;1519;1668;2268;755;135;5658;687;5924;421;5406;939;6308;37;4909;333;164;939;6266;79;4585;817;221;722;4332;200;730;628;117;229;67;42;13;6;20;367;2809;3130
AT1;AT13;AT130;02;0203;90201;9020103;6281;1268;3160;1668;1377;76;1268;113;1009;5896;531;586;1350;5196;417;1367;1825;2743;1404;210;6935;614;7173;376;6908;641;7529;20;6366;347;195;641;7375;174;4965;1107;523;954;4465;494;794;604;170;212;322;488;14;4;83;791;3869;2788
AT1;AT13;AT130;02;0204;90201;9020104;6831;1557;3103;1978;1560;190;1557;129;1235;6238;786;652;1368;5883;485;1214;1896;3255;1548;475;7729;659;8073;315;7757;631;8363;25;7177;424;156;631;8140;248;5625;1482;435;846;4928;183;1180;1110;394;340;138;115;11;14;98;958;4042;3265
AT1;AT13;AT130;02;0205;90201;9020105;4466;892;2118;1297;965;86;892;104;1131;3702;421;373;821;3849;315;664;1232;2190;979;293;5013;345;5228;130;5054;304;5351;7;4765;231;58;304;4958;400;3629;875;276;578;2885;44;753;1061;230;196;134;55;6;6;89;748;2085;2424
AT1;AT13;AT130;02;0206;90201;9020106;3336;901;1580;1012;705;39;901;570;607;2776;284;514;721;2789;213;876;954;1448;714;245;4027;210;4109;128;4043;194;4228;9;3808;163;72;194;4176;61;2693;995;307;242;1557;223;1150;515;134;424;44;190;600;38;47;240;1689;1623
AT1;AT13;AT130;02;0207;90201;9020107;6682;1130;3371;1817;1390;104;1130;132;794;6386;500;800;1732;5103;177;2234;2226;2567;698;87;7067;745;7244;568;6631;1181;7775;37;6020;376;235;1181;7758;54;5336;1365;302;809;4713;1087;578;760;216;1;21;436;12;0;4;176;2161;5459
AT1;AT13;AT130;02;0208;90201;9020108;914;564;371;339;186;18;564;682;36;678;82;325;271;840;42;510;323;543;79;23;1411;67;1382;96;1436;42;1469;9;1302;56;78;42;1460;18;835;413;202;28;80;164;82;408;120;292;90;242;759;26;13;63;421;196
AT1;AT13;AT130;02;0209;90201;9020109;7038;509;2787;2085;1957;209;509;87;530;6676;254;696;1289;5426;136;1338;1846;3173;1141;49;7252;295;7273;274;7021;526;7516;31;6776;134;111;526;7512;35;2160;4511;716;160;1813;820;1077;1160;1436;307;101;833;4;2;14;58;1906;5563
AT1;AT13;AT130;02;0210;90201;9020110;1;2;0;1;0;0;2;3;0;0;0;0;0;2;1;0;0;1;0;2;3;0;3;0;3;0;3;0;3;0;0;0;1;2;1;0;0;2;0;0;0;0;2;0;0;1;1;2;0;0;0;0
AT1;AT13;AT130;03;0301;90301;9030101;5620;1076;2637;1688;1238;57;1076;115;769;5415;397;579;1084;4572;461;1194;1288;2259;1474;481;6128;568;6376;320;6053;643;6680;16;5567;336;150;643;6599;97;4878;752;264;802;5016;350;344;432;187;272;43;52;10;6;49;844;3648;2139
AT1;AT13;AT130;03;0302;90301;9030102;4321;854;2022;1277;966;56;854;89;626;4069;391;342;581;3682;570;532;812;1771;1406;654;4878;297;5017;158;4999;176;5166;9;4667;230;102;176;4988;187;3519;648;220;788;3404;303;349;365;442;149;91;72;15;6;93;739;2671;1651
AT1;AT13;AT130;03;0303;90301;9030103;2942;653;1397;775;720;50;653;69;391;2830;305;255;444;2354;542;438;599;1087;848;623;3437;158;3526;69;3498;97;3590;5;3321;129;48;97;3484;111;1770;811;111;903;1882;518;741;168;166;28;3;89;22;22;94;555;1592;1310
AT1;AT13;AT130;03;0304;90301;9030104;5585;1227;2840;1565;1120;60;1227;85;1736;4306;685;701;1370;4458;283;1603;1693;2430;846;240;6237;575;6510;302;6130;682;6792;20;5659;348;123;682;6733;79;5387;729;107;589;3187;513;1581;951;383;66;43;88;3;2;25;346;2370;4066
AT1;AT13;AT130;03;0305;90301;9030105;4078;741;1932;1193;909;44;741;71;774;3651;323;427;714;3480;198;779;1002;1921;986;131;4538;281;4644;175;4432;387;4799;20;4198;164;70;387;4719;100;3482;404;409;524;2441;83;232;489;365;246;555;408;9;12;76;543;2219;1960
AT1;AT13;AT130;03;0306;90301;9030106;8127;1107;4303;2168;1569;87;1107;104;978;7605;547;1045;2243;5732;214;2590;2603;2982;911;148;8689;545;8762;472;8432;802;9200;34;7907;295;230;802;9133;101;4611;2940;816;867;4366;1694;1186;733;264;382;225;384;11;12;80;730;4239;4162
AT1;AT13;AT130;03;0307;90301;9030107;2441;385;1148;682;575;36;385;23;157;2491;155;422;588;1777;39;811;841;920;215;39;2641;185;2710;116;2569;257;2816;10;2454;86;29;257;2718;108;1047;1004;396;379;730;32;835;309;133;11;281;495;20;12;7;70;748;1969
AT1;AT13;AT130;03;0308;90301;9030108;779;144;357;273;141;8;144;111;1;776;35;43;64;738;78;82;71;442;221;107;914;9;906;17;920;3;922;1;896;9;15;3;920;3;122;798;1;2;289;12;101;294;13;186;12;16;108;8;0;20;412;375
AT1;AT13;AT130;03;0309;90301;9030109;4357;773;2009;1282;1015;51;773;99;674;4059;298;283;679;3452;716;563;967;1750;1094;756;4859;271;4989;141;4879;251;5120;10;4618;197;64;251;5041;89;3478;663;461;528;3194;167;486;361;172;327;66;357;9;16;78;613;2715;1699
AT1;AT13;AT130;03;0310;90301;9030110;3784;783;1845;986;868;85;783;46;461;3773;287;541;1021;2921;84;1293;1371;1404;454;45;4229;338;4253;314;4103;464;4553;14;3716;185;202;464;4444;123;2049;2119;141;258;1836;1462;257;142;108;600;46;116;4;6;18;145;1752;2642
AT1;AT13;AT130;03;0311;90301;9030111;1438;112;748;381;288;21;112;7;98;1402;43;208;345;982;15;497;434;558;56;5;1522;28;1464;86;1546;4;1550;0;1445;17;84;4;1546;4;180;1081;289;0;2;729;422;147;0;88;9;153;1;2;3;50;1133;361
AT1;AT13;AT130;04;0401;90401;9040101;1203;355;615;332;237;19;355;27;178;1257;96;217;218;913;210;300;302;419;299;238;1510;48;1500;58;1494;64;1554;4;1430;34;30;64;1448;110;812;185;0;561;846;502;68;60;65;0;0;17;7;6;48;336;603;558
AT1;AT13;AT130;04;0402;90401;9040102;5100;1098;2549;1413;1083;55;1098;104;1043;4656;395;434;876;4197;691;897;1217;1993;1354;737;5859;339;5960;238;5920;278;6188;10;5543;234;143;278;6063;135;3938;804;214;1242;3604;370;855;529;190;194;114;342;17;8;136;778;2830;2429
AT1;AT13;AT130;04;0403;90401;9040103;6116;1333;2977;1799;1269;71;1333;110;1241;5574;524;597;978;5155;719;964;1451;2495;1725;814;7010;439;7216;233;7039;410;7437;12;6598;313;128;410;7237;212;5186;704;436;1123;4988;80;759;763;401;319;61;78;15;20;140;1303;3385;2586
AT1;AT13;AT130;04;0404;90401;9040104;3456;672;1662;973;775;46;672;38;874;2909;307;289;603;2937;299;554;812;1542;954;266;3918;210;4036;92;4039;89;4126;2;3798;171;70;89;4088;40;2806;981;23;318;1902;129;1171;613;125;142;10;36;2;4;18;333;2051;1720
AT1;AT13;AT130;05;0501;90501;9050101;6176;1487;3275;1702;1150;49;1487;146;1142;5748;627;752;1435;5121;355;1562;1710;2873;1177;341;7055;608;7298;365;6843;820;7642;21;6368;328;147;820;7476;187;5085;659;658;1261;4564;336;233;739;681;544;303;263;22;22;164;790;3567;3098
AT1;AT13;AT130;05;0502;90501;9050102;9947;1585;4965;2662;2156;164;1585;126;1601;9067;738;1406;2628;7243;255;3245;3369;3884;907;127;10595;937;10912;620;10456;1076;11497;35;9557;557;342;1076;11431;101;5877;4157;697;801;4424;2419;2737;844;429;131;284;264;7;6;35;288;5749;5447
AT1;AT13;AT130;05;0503;90501;9050103;8149;1661;4082;2195;1757;115;1661;167;1629;7290;724;1378;2113;6045;274;3042;2503;3186;925;154;8790;1020;9083;727;8219;1591;9725;85;7500;498;221;1591;9680;130;6711;1630;285;1184;5950;1061;663;648;755;221;199;313;15;8;110;973;4644;4060
AT1;AT13;AT130;05;0504;90501;9050104;3331;745;1689;979;619;44;745;63;562;3151;300;422;731;2729;194;878;971;1474;615;138;3776;300;3909;167;3690;386;4065;11;3450;173;67;386;4048;28;2976;199;117;784;2922;118;155;200;149;204;183;145;7;2;57;359;1928;1723
AT1;AT13;AT130;06;0601;90601;9060101;3749;769;1796;1120;790;43;769;76;357;3746;339;283;623;3013;599;552;737;1403;1161;665;4162;356;4326;192;4208;310;4512;6;3871;228;109;310;4416;102;3069;569;101;779;3755;103;58;209;115;155;47;76;16;16;138;766;2537;1045
AT1;AT13;AT130;06;0602;90601;9060102;4854;976;2500;1380;907;67;976;117;990;4240;483;674;1183;3756;217;1231;1511;2086;836;166;5451;379;5625;205;5414;416;5812;18;5089;221;104;416;5647;183;4107;825;443;455;2657;568;653;498;533;433;189;299;16;10;83;416;2536;2769
AT1;AT13;AT130;06;0603;90601;9060103;6739;1458;3446;1912;1312;69;1458;145;1528;5801;723;695;1490;5526;486;1249;1710;2984;1752;502;7793;404;8000;197;7820;377;8187;10;7417;281;122;377;7950;247;5874;726;619;978;4703;192;327;413;929;893;447;293;17;14;163;882;3388;3733
AT1;AT13;AT130;07;0701;90701;9070101;2961;493;1509;838;594;20;493;59;239;2914;242;225;513;2411;305;402;648;1245;840;319;3248;206;3336;118;3280;174;3446;8;3082;130;68;174;3444;10;2012;310;119;1013;2867;44;141;63;126;88;11;114;8;28;119;652;1913;734
AT1;AT13;AT130;07;0702;90701;9070102;1571;292;808;440;308;15;292;45;164;1537;117;134;231;1316;182;227;294;707;397;238;1800;63;1821;42;1809;54;1862;1;1743;45;21;54;1816;47;1395;151;55;262;1416;42;0;78;0;25;156;146;8;28;110;430;973;314
AT1;AT13;AT130;07;0703;90701;9070103;2487;331;1308;691;467;21;331;44;212;2331;231;187;468;1929;234;388;546;1083;517;284;2705;113;2762;56;2727;91;2816;2;2604;89;34;91;2688;130;1593;341;266;618;1715;192;147;282;80;151;82;169;10;4;86;340;1355;1023
AT1;AT13;AT130;07;0704;90701;9070104;4984;887;2593;1328;1017;46;887;92;795;4567;417;507;859;4154;351;912;1116;2055;1471;317;5603;268;5685;186;5478;393;5857;14;5214;172;92;393;5744;127;4422;402;255;792;4151;167;37;182;288;575;204;267;14;8;97;680;2676;2396
AT1;AT13;AT130;07;0705;90701;9070105;4254;827;2290;1145;789;30;827;88;841;3813;339;478;849;3484;270;977;1042;2011;832;219;4705;376;4856;225;4542;539;5050;31;4276;181;85;539;5000;81;3716;265;275;825;3700;228;174;176;224;290;131;158;9;14;104;765;2356;1833
AT1;AT13;AT130;08;0801;90801;9080101;2330;514;1148;645;510;27;514;56;163;2346;279;197;433;1828;386;370;536;921;623;394;2733;111;2773;71;2667;177;2838;6;2554;77;36;177;2684;160;1638;445;174;587;2170;163;123;73;154;32;98;31;6;16;65;307;1644;806
