NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;VAR A  ;VAR B  ;                                                                                                                                                                 
AT1;AT13;AT130;;1;9;0;0;0;1158879;511354;13701;268430;229223;                                                                                                                                                                 
AT1;AT13;AT130;;2;9;1;0;0;111052;50102;1739;26920;21443;                                                                                                                                                                 
AT1;AT13;AT130;;2;9;2;0;0;98047;48392;1859;26435;20098;                                                                                                                                                                 
AT1;AT13;AT130;;2;9;3;0;0;110168;44708;1349;25014;18345;                                                                                                                                                                 
AT1;AT13;AT130;;2;9;4;0;0;229630;89753;1735;46363;41655;                                                                                                                                                                 
AT1;AT13;AT130;;2;9;5;0;0;211520;99920;2585;50353;46982;                                                                                                                                                                 
AT1;AT13;AT130;;2;9;6;0;0;175024;81212;2469;40784;37959;                                                                                                                                                                 
AT1;AT13;AT130;;2;9;7;0;0;223438;97267;1965;52561;42741;                                                                                                                                                                 
AT1;AT13;AT130;90301;3;9;1;3;0;57421;26230;862;13867;11501;                                                                                                                                                                 
AT1;AT13;AT130;90401;3;9;1;4;0;20856;10370;386;5512;4472;                                                                                                                                                                 
AT1;AT13;AT130;90501;3;9;1;5;0;32775;13502;491;7541;5470;                                                                                                                                                                 
AT1;AT13;AT130;90101;3;9;2;1;0;12540;6028;170;2813;3045;                                                                                                                                                                 
AT1;AT13;AT130;90601;3;9;2;6;0;20923;9670;378;5573;3719;                                                                                                                                                                 
AT1;AT13;AT130;90701;3;9;2;7;0;20899;10407;417;6031;3959;                                                                                                                                                                 
AT1;AT13;AT130;90801;3;9;2;8;0;16598;8906;364;4727;3815;                                                                                                                                                                 
AT1;AT13;AT130;90901;3;9;2;9;0;27087;13381;530;7291;5560;                                                                                                                                                                 
AT1;AT13;AT130;90201;3;9;3;2;0;59962;25248;843;14401;10004;                                                                                                                                                                 
AT1;AT13;AT130;92001;3;9;3;20;0;50206;19460;506;10613;8341;                                                                                                                                                                 
AT1;AT13;AT130;91001;3;9;4;10;0;112127;42804;780;22018;20006;                                                                                                                                                                 
AT1;AT13;AT130;91101;3;9;4;11;0;60556;23829;403;12610;10816;                                                                                                                                                                 
AT1;AT13;AT130;91201;3;9;4;12;0;56947;23120;552;11735;10833;                                                                                                                                                                 
AT1;AT13;AT130;91301;3;9;5;13;0;38952;20920;573;9727;10620;                                                                                                                                                                 
AT1;AT13;AT130;91401;3;9;5;14;0;60498;28360;781;14011;13568;                                                                                                                                                                 
AT1;AT13;AT130;91501;3;9;5;15;0;41221;15634;473;8593;6568;                                                                                                                                                                 
AT1;AT13;AT130;92301;3;9;5;23;0;70849;35006;758;18022;16226;                                                                                                                                                                 
AT1;AT13;AT130;91601;3;9;6;16;0;59209;24939;751;13227;10961;                                                                                                                                                                 
AT1;AT13;AT130;91701;3;9;6;17;0;33544;15075;494;7736;6845;                                                                                                                                                                 
AT1;AT13;AT130;91801;3;9;6;18;0;32708;16678;627;8185;7866;                                                                                                                                                                 
AT1;AT13;AT130;91901;3;9;6;19;0;49563;24520;597;11636;12287;                                                                                                                                                                 
AT1;AT13;AT130;92101;3;9;7;21;0;104845;45095;972;23696;20427;                                                                                                                                                                 
AT1;AT13;AT130;92201;3;9;7;22;0;118593;52172;993;28865;22314;                                                                                                                                                                 
