Geburtsland in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;;;;;;;;;;;;
Country of birth of residents in Vienna by sex and of Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;90101;101;2;2088;66;12;82;40;9;10;30;38;29;386;1386;20110101
AT1;AT13;AT130;90101;102;2;863;23;0;38;17;8;4;17;9;19;183;545;20110101
AT1;AT13;AT130;90101;103;2;1114;65;12;51;20;10;1;18;15;15;254;653;20110101
AT1;AT13;AT130;90101;104;2;831;26;4;29;13;3;3;8;15;6;163;561;20110101
AT1;AT13;AT130;90101;105;2;1127;34;6;40;14;2;10;15;15;13;199;779;20110101
AT1;AT13;AT130;90101;106;2;1475;34;13;56;28;16;14;17;33;15;242;1007;20110101
AT1;AT13;AT130;90101;107;2;1382;42;11;69;24;16;9;22;33;28;258;870;20110101
AT1;AT13;AT130;90201;201;2;5044;262;238;79;139;113;32;56;69;45;690;3321;20110101
AT1;AT13;AT130;90201;202;2;5600;609;319;151;143;158;36;130;61;53;766;3174;20110101
AT1;AT13;AT130;90201;203;2;6553;378;159;253;127;108;42;109;95;67;902;4313;20110101
AT1;AT13;AT130;90201;204;2;7524;440;193;262;145;144;41;137;71;107;1224;4760;20110101
AT1;AT13;AT130;90201;205;2;4736;266;101;147;110;79;21;78;64;57;895;2918;20110101
AT1;AT13;AT130;90201;206;2;3332;173;76;101;64;43;13;46;64;31;349;2372;20110101
AT1;AT13;AT130;90201;207;2;6741;804;290;200;205;156;51;162;90;60;1231;3492;20110101
AT1;AT13;AT130;90201;208;2;1070;55;19;17;16;10;3;4;17;8;109;812;20110101
AT1;AT13;AT130;90201;209;2;8263;603;508;112;218;173;37;140;125;64;933;5350;20110101
AT1;AT13;AT130;90201;299;2;46;6;4;0;2;0;1;2;0;0;6;25;20110101
AT1;AT13;AT130;90301;301;2;5812;286;102;245;143;88;31;83;73;60;734;3967;20110101
