Sektoraler Energetischer Endverbrauch in Terajoule;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;EISEN_STAHL_ERZEU;CHE_PETR;N_EISEN_MET;ST_EISEN_GLAS;FAHRZ_BAU;MASCH_BAU;BERGBAU;NAHR_GEN_TAB;PAP_DRU;HOLZVER;BAU;TEX_LED;S_PROD;BAHN;S_LAND_VERK.;TRANS_ROHR;SCHIFF;FLUG;DIENSTLEIST.;HAUSH.;LANDWIRT.;REF_DATE
AT1;AT13;AT130;90001;0000;22;3.644;34;241;753;1.861;0;2.111;2.621;215;3.462;133;610;1.067;50.818;0;0;0;22.809;35.389;729;2010
AT1;AT13;AT130;90001;0000;18;3.475;26;315;982;1.705;0;1.909;2.293;213;3.877;145;531;1.034;49.324;0;0;0;22.105;35.854;626;2009
AT1;AT13;AT130;90001;0000;14;1.735;31;352;662;1.603;0;2.052;2.264;196;3.676;149;455;1.074;50.132;0;0;0;22.983;33.368;610;2008
AT1;AT13;AT130;90001;0000;32;1.272;40;326;768;1.591;3;2.197;2.287;169;3.680;187;520;1.077;52.355;0;0;1;26.721;37.473;631;2007
AT1;AT13;AT130;90001;0000;51;1.049;55;288;1.480;1.595;6;2.206;2.388;138;3.602;230;601;1.092;51.379;0;0;1;26.845;35.591;582;2006
AT1;AT13;AT130;90001;0000;50;839;49;262;1.422;1.419;7;2.106;2.369;180;3.902;170;596;1.063;52.590;0;0;0;28.217;37.892;520;2005
AT1;AT13;AT130;90001;0000;46;814;97;275;951;1.494;10;2.698;2.278;354;4.048;132;719;1.076;50.453;0;0;0;27.828;38.916;470;2004
AT1;AT13;AT130;90001;0000;23;598;76;274;843;1.704;13;2.290;2.251;225;2.907;133;561;1.072;49.890;0;0;0;28.085;39.055;508;2003
AT1;AT13;AT130;90001;0000;5;751;37;285;897;1.388;15;2.371;2.104;224;1.745;129;377;1.084;46.954;0;0;0;31.870;38.610;567;2002
AT1;AT13;AT130;90001;0000;5;1.187;52;285;1.004;1.509;16;2.257;2.137;245;1.870;139;331;1.145;42.430;0;0;0;31.686;40.467;572;2001
AT1;AT13;AT130;90001;0000;5;1.026;74;265;918;1.471;13;2.126;2.168;269;2.231;120;357;1.197;39.585;0;0;0;31.138;38.363;557;2000
AT1;AT13;AT130;90001;0000;5;1.026;66;262;1.032;1.464;14;1.924;2.229;312;1.952;116;327;1.146;37.804;0;0;1;33.200;40.349;539;1999
AT1;AT13;AT130;90001;0000;6;1.295;25;90;1.091;1.804;2;4.871;2.385;335;1.434;145;417;1.148;38.955;0;0;0;29.556;38.980;496;1998
AT1;AT13;AT130;90001;0000;6;1.343;25;93;1.071;1.815;2;5.032;2.438;339;1.371;156;433;1.135;34.854;0;0;5;33.065;40.913;511;1997
AT1;AT13;AT130;90001;0000;5;1.166;20;81;1.184;1.676;2;4.832;1.934;309;1.689;173;681;1.121;36.901;0;0;4;33.548;40.892;495;1996
AT1;AT13;AT130;90001;0000;5;1.047;18;81;1.205;1.696;1;5.226;1.842;311;1.476;150;800;1.154;33.583;0;0;9;33.975;43.288;577;1995
AT1;AT13;AT130;90001;0000;4;1.012;17;81;1.138;1.586;1;5.038;1.834;309;1.436;148;784;1.169;33.123;0;0;9;33.012;42.654;564;1994
AT1;AT13;AT130;90001;0000;4;965;18;81;1.057;1.372;1;4.750;1.892;304;1.340;155;741;1.167;33.052;0;0;9;29.022;45.171;479;1993
AT1;AT13;AT130;90001;0000;4;918;19;73;1.004;1.351;1;4.659;2.082;304;1.151;154;738;1.175;31.549;0;0;12;30.634;43.750;488;1992
AT1;AT13;AT130;90001;0000;4;953;37;76;989;1.371;1;4.946;2.146;301;1.355;155;759;1.172;31.523;0;0;23;28.678;41.199;479;1991
AT1;AT13;AT130;90001;0000;4;967;39;74;902;1.330;1;4.818;2.391;295;1.238;155;721;1.101;28.335;0;0;17;30.088;41.309;480;1990
AT1;AT13;AT130;90001;0000;4;957;40;71;846;1.294;1;4.029;1.993;290;1.108;135;694;1.083;27.647;0;0;5;28.255;43.116;451;1989
AT1;AT13;AT130;90001;0000;4;954;39;78;818;1.241;1;3.944;2.129;290;1.131;133;685;1.001;26.632;0;0;3;31.098;46.025;500;1988
