Energiebilanzen in Terajoule;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;INL_ERZ_ROH ;IMPORTE;LAGER;EXPORTE;BIV;UMW_EINS;UMW_AUS;VERBR_SEKTOR_ENERG;TRANS_VER;N_ENERG_VERBR;ENERG_END_VERBR;REF_DATE
AT1;AT13;AT130;90001;0000;18.434;150.642;0;1.220;167.856;69.841;54.603;2.433;4.851;114;145.220;2010
AT1;AT13;AT130;90001;0000;19.147;145.472;0;2.000;162.619;66.619;48.846;2.492;4.558;123;137.673;2009
AT1;AT13;AT130;90001;0000;18.945;142.481;0;2.068;159.358;42.942;42.050;2.244;4.558;129;136.288;2008
AT1;AT13;AT130;90001;0000;18.516;141.554;0;2.647;157.423;45.333;38.151;2.045;4.191;136;136.881;2007
AT1;AT13;AT130;90001;0000;15.648;150.607;0;1.884;164.370;52.336;40.606;3.786;4.183;172;141.045;2006
AT1;AT13;AT130;90001;0000;13.161;158.907;0;3.193;168.875;56.379;45.929;3.504;4.275;185;141.704;2005
AT1;AT13;AT130;90001;0000;12.916;172.176;28;21.011;164.110;52.513;42.427;2.299;4.258;177;141.683;2004
AT1;AT13;AT130;90001;0000;11.823;182.113;-99;29.255;164.583;45.654;43.007;2.529;4.111;180;140.708;2003
AT1;AT13;AT130;90001;0000;12.815;172.958;936;32.461;154.249;49.701;38.945;1.619;4.054;176;133.304;2002
AT1;AT13;AT130;90001;0000;11.890;163.589;4.456;30.752;149.184;48.315;36.372;2.005;3.816;183;129.105;2001
AT1;AT13;AT130;90001;0000;11.485;159.718;1.407;30.540;142.070;52.132;36.104;1.964;4.845;176;120.859;2000
AT1;AT13;AT130;90001;0000;11.707;168.555;-842;29.792;149.628;51.188;39.716;2.058;3.920;189;123.767;1999
AT1;AT13;AT130;90001;0000;11.261;154.040;-2.689;15.533;147.079;59.403;41.324;1.116;3.613;209;124.061;1998
AT1;AT13;AT130;90001;0000;8.509;151.972;110;14.941;145.650;59.410;33.626;1.470;3.567;212;122.838;1997
AT1;AT13;AT130;90001;0000;7.488;155.765;-1.710;15.430;146.113;50.330;33.547;1.380;3.161;167;122.820;1996
AT1;AT13;AT130;90001;0000;6.201;145.782;265;14.517;137.731;50.447;31.061;763;3.285;185;116.245;1995
AT1;AT13;AT130;90001;0000;6.329;148.020;-448;14.551;139.350;54.040;29.721;1.214;3.061;200;114.894;1994
AT1;AT13;AT130;90001;0000;6.038;142.219;2.651;14.799;136.109;60.062;27.786;1.138;3.263;313;113.527;1993
AT1;AT13;AT130;90001;0000;6.854;155.141;-188;21.196;140.611;58.120;26.249;3.016;2.686;446;108.200;1992
AT1;AT13;AT130;90001;0000;5.486;160.270;142;24.786;141.113;65.137;31.044;1.867;2.841;455;110.615;1991
AT1;AT13;AT130;90001;0000;5.525;147.451;933;25.160;128.749;55.791;29.058;2.965;2.687;486;99.333;1990
AT1;AT13;AT130;90001;0000;4.188;144.190;-1.422;22.618;124.338;52.322;24.844;2.193;2.408;470;98.778;1989
AT1;AT13;AT130;90001;0000;5.251;137.215;87;20.302;122.252;58.188;23.324;1.683;2.483;460;98.009;1988
