Energiebilanz in Terajoule - Aufschlüsselung: Umwandlungsausstoß;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;UMW_AUS_TOTAL;HOCHOFEN;RAFFIN;HOLZKPROD;KRAFTW;KRAFTW_EVU;KRAFTW_UEA;KWK;KWK_EVU;KWK_UEA;HEIZW;HEIZW_EVU;HEIZW_UEA;GAS;REF_DATE
AT1;AT13;AT130;90001;0;54.603;0;0;0;15.616;15.593;23;33.698;33.698;0;5.288;5.278;11;0;2010
AT1;AT13;AT130;90001;0;48.846;0;0;0;18.869;18.844;25;24.929;24.929;0;5.047;4.990;57;0;2009
AT1;AT13;AT130;90001;0;42.050;0;0;0;14.958;14.926;32;22.915;22.915;0;4.176;4.026;151;0;2008
AT1;AT13;AT130;90001;0;38.151;0;0;0;11.237;11.198;38;22.947;22.947;0;3.968;3.664;304;0;2007
AT1;AT13;AT130;90001;0;40.606;0;0;0;14.143;14.101;42;22.833;22.833;0;3.630;3.568;63;0;2006
AT1;AT13;AT130;90001;0;45.929;0;0;0;19.492;19.445;47;23.612;23.612;0;2.825;2.764;61;0;2005
AT1;AT13;AT130;90001;0;42.427;;;;;;;;;;;;;;2004
AT1;AT13;AT130;90001;0;43.007;;;;;;;;;;;;;;2003
AT1;AT13;AT130;90001;0;38.945;;;;;;;;;;;;;;2002
AT1;AT13;AT130;90001;0;36.372;;;;;;;;;;;;;;2001
AT1;AT13;AT130;90001;0;36.104;;;;;;;;;;;;;;2000
AT1;AT13;AT130;90001;0;39.716;;;;;;;;;;;;;;1999
AT1;AT13;AT130;90001;0;41.324;;;;;;;;;;;;;;1998
AT1;AT13;AT130;90001;0;33.626;;;;;;;;;;;;;;1997
AT1;AT13;AT130;90001;0;33.547;;;;;;;;;;;;;;1996
AT1;AT13;AT130;90001;0;31.061;;;;;;;;;;;;;;1995
AT1;AT13;AT130;90001;0;29.721;;;;;;;;;;;;;;1994
AT1;AT13;AT130;90001;0;27.786;;;;;;;;;;;;;;1993
AT1;AT13;AT130;90001;0;26.249;;;;;;;;;;;;;;1992
AT1;AT13;AT130;90001;0;31.044;;;;;;;;;;;;;;1991
AT1;AT13;AT130;90001;0;29.058;;;;;;;;;;;;;;1990
AT1;AT13;AT130;90001;0;24.844;;;;;;;;;;;;;;1989
AT1;AT13;AT130;90001;0;23.324;;;;;;;;;;;;;;1988
