Energiebilanz in Terajoule - Aufschlüsselung: Umwandlungseinsatz ;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;UMW_EINS_TOTAL;HOCHOFEN;RAFFIN;HOLZKPROD;KRAFTW;KRAFTW_EVU;KRAFTW_UEA;KWK;KWK_EVU;KWK_UEA;HEIZW;HEIZW_EVU;HEIZW_UEA;GAS;REF_DATE
AT1;AT13;AT130;90001;0;69.841;0;0;0;23.056;22.982;74;39.919;39.919;0;6.866;6.853;13;0;2010
AT1;AT13;AT130;90001;0;66.619;0;0;0;29.256;29.136;120;30.705;30.705;0;6.657;6.586;71;0;2009
AT1;AT13;AT130;90001;0;42.942;0;0;0;24.461;24.310;151;28.459;28.459;0;5.268;5.080;189;0;2008
AT1;AT13;AT130;90001;0;45.333;0;0;0;18.049;17.896;154;29.383;29.383;0;4.889;4.509;380;0;2007
AT1;AT13;AT130;90001;0;52.336;0;0;0;23.021;22.854;166;28.204;28.204;0;4.566;4.488;78;0;2006
AT1;AT13;AT130;90001;0;56.379;0;0;0;32.274;32.086;187;29.125;29.125;0;3.738;3.661;77;0;2005
AT1;AT13;AT130;90001;0;52.513;;;;;;;;;;;;;;2004
AT1;AT13;AT130;90001;0;45.654;;;;;;;;;;;;;;2003
AT1;AT13;AT130;90001;0;49.701;;;;;;;;;;;;;;2002
AT1;AT13;AT130;90001;0;48.315;;;;;;;;;;;;;;2001
AT1;AT13;AT130;90001;0;52.132;;;;;;;;;;;;;;2000
AT1;AT13;AT130;90001;0;51.188;;;;;;;;;;;;;;1999
AT1;AT13;AT130;90001;0;59.403;;;;;;;;;;;;;;1998
AT1;AT13;AT130;90001;0;59.410;;;;;;;;;;;;;;1997
AT1;AT13;AT130;90001;0;50.330;;;;;;;;;;;;;;1996
AT1;AT13;AT130;90001;0;50.447;;;;;;;;;;;;;;1995
AT1;AT13;AT130;90001;0;54.040;;;;;;;;;;;;;;1994
AT1;AT13;AT130;90001;0;60.062;;;;;;;;;;;;;;1993
AT1;AT13;AT130;90001;0;58.120;;;;;;;;;;;;;;1992
AT1;AT13;AT130;90001;0;65.137;;;;;;;;;;;;;;1991
AT1;AT13;AT130;90001;0;55.791;;;;;;;;;;;;;;1990
AT1;AT13;AT130;90001;0;52.322;;;;;;;;;;;;;;1989
AT1;AT13;AT130;90001;0;58.188;;;;;;;;;;;;;;1988
