Wanderung gegenüber Wien nach Bezirken, Geburtsstaat und Geschlecht;;;;;;;;;;;;;;;;;;
Migration in Vienna by district, country of birth and sex;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;COUNTRY_OF_BIRTH;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;IMM_DC;EMI_DC;MIG_DC_INT;REF_DATE
AT1;AT13;AT130;90101;00000000;2;AUT;-27;-34;27;61;7;121;79;220;255;60;2002
AT1;AT13;AT130;90101;00000000;2;DEU;2;0;22;22;2;8;4;18;20;6;2002
AT1;AT13;AT130;90101;00000000;2;POL;-4;1;6;5;-5;0;2;4;7;2;2002
AT1;AT13;AT130;90101;00000000;2;ROU;2;2;6;4;0;4;1;5;8;3;2002
AT1;AT13;AT130;90101;00000000;2;SVK;6;3;7;4;3;0;0;4;1;0;2002
AT1;AT13;AT130;90101;00000000;2;HUN;3;-1;2;3;4;1;1;12;8;5;2002
AT1;AT13;AT130;90101;00000000;2;BGR;10;6;8;2;4;1;0;9;6;3;2002
AT1;AT13;AT130;90101;00000000;2;CZE;0;-1;5;6;1;0;0;4;3;0;2002
AT1;AT13;AT130;90101;00000000;2;REST-EU;-2;3;39;36;-5;2;4;15;18;2;2002
AT1;AT13;AT130;90101;00000000;2;SCG;-8;6;11;5;-14;1;1;11;25;2;2002
AT1;AT13;AT130;90101;00000000;2;TUR;4;1;5;4;3;1;0;4;2;0;2002
AT1;AT13;AT130;90101;00000000;2;BIH;6;1;3;2;5;1;0;6;2;3;2002
AT1;AT13;AT130;90101;00000000;2;HRV;0;0;2;2;0;1;0;2;3;1;2002
AT1;AT13;AT130;90101;00000000;2;MKD;-2;-1;0;1;-1;0;0;1;2;0;2002
AT1;AT13;AT130;90101;00000000;2;RUS;-2;3;8;5;-5;0;1;4;8;4;2002
AT1;AT13;AT130;90101;00000000;2;CHN;7;4;5;1;3;1;0;5;3;0;2002
AT1;AT13;AT130;90101;00000000;2;OTHER;2;20;69;49;-18;9;10;31;48;8;2002
AT1;AT13;AT130;90101;00000000;1;AUT;-15;-21;48;69;6;139;96;249;286;52;2002
AT1;AT13;AT130;90101;00000000;1;DEU;9;20;37;17;-11;4;5;13;23;6;2002
AT1;AT13;AT130;90101;00000000;1;POL;-2;1;4;3;-3;0;0;1;4;1;2002
AT1;AT13;AT130;90101;00000000;1;ROU;-2;2;3;1;-4;1;4;4;5;1;2002
AT1;AT13;AT130;90101;00000000;1;SVK;2;1;4;3;1;0;1;5;3;1;2002
AT1;AT13;AT130;90101;00000000;1;HUN;-3;0;3;3;-3;1;1;3;6;4;2002
AT1;AT13;AT130;90101;00000000;1;BGR;1;-2;1;3;3;0;0;7;4;2;2002
AT1;AT13;AT130;90101;00000000;1;CZE;-2;2;5;3;-4;3;5;1;3;1;2002
AT1;AT13;AT130;90101;00000000;1;REST-EU;9;9;60;51;0;4;1;22;25;9;2002
AT1;AT13;AT130;90101;00000000;1;SCG;-10;3;11;8;-13;2;3;18;30;6;2002
AT1;AT13;AT130;90101;00000000;1;TUR;7;3;7;4;4;1;1;7;3;0;2002
