Wanderung gegenüber Wien nach Bezirken, Staatsangehörigkeit und Geschlecht;;;;;;;;;;;;;;;;;;
Migration in Vienna by district, nationality and sex;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;NATIONALITY;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;IMM_DC;EMI_DC;MIG_DC_INT;REF_DATE
AT1;AT13;AT130;90101;00000000;2;AUT;-27;-54;35;89;27;135;84;256;280;66;2002
AT1;AT13;AT130;90101;00000000;2;DEU;-1;9;27;18;-10;3;3;12;22;5;2002
AT1;AT13;AT130;90101;00000000;2;POL;0;3;6;3;-3;0;1;2;4;1;2002
AT1;AT13;AT130;90101;00000000;2;ROU;2;2;4;2;0;2;1;5;6;1;2002
AT1;AT13;AT130;90101;00000000;2;SVK;6;2;7;5;4;0;0;5;1;0;2002
AT1;AT13;AT130;90101;00000000;2;HUN;2;2;2;0;0;0;1;4;3;3;2002
AT1;AT13;AT130;90101;00000000;2;BGR;6;5;8;3;1;0;0;6;5;3;2002
AT1;AT13;AT130;90101;00000000;2;CZE;6;4;4;0;2;0;0;2;0;0;2002
AT1;AT13;AT130;90101;00000000;2;REST-EU;-3;5;41;36;-8;1;4;16;21;7;2002
AT1;AT13;AT130;90101;00000000;2;SCG;-2;10;13;3;-12;2;0;10;24;4;2002
AT1;AT13;AT130;90101;00000000;2;TUR;1;1;4;3;0;1;0;2;3;0;2002
AT1;AT13;AT130;90101;00000000;2;BIH;4;1;2;1;3;1;0;4;2;1;2002
AT1;AT13;AT130;90101;00000000;2;HRV;1;0;2;2;1;0;0;3;2;2;2002
AT1;AT13;AT130;90101;00000000;2;MKD;-2;-1;0;1;-1;0;0;1;2;0;2002
AT1;AT13;AT130;90101;00000000;2;RUS;-6;-1;4;5;-5;0;0;3;8;2;2002
AT1;AT13;AT130;90101;00000000;2;CHN;5;4;5;1;1;1;0;4;4;0;2002
AT1;AT13;AT130;90101;00000000;2;OTHER;5;21;61;40;-16;5;9;20;32;4;2002
AT1;AT13;AT130;90101;00000000;1;AUT;-18;-27;65;92;9;149;108;287;319;63;2002
AT1;AT13;AT130;90101;00000000;1;DEU;5;19;32;13;-14;2;4;5;17;5;2002
AT1;AT13;AT130;90101;00000000;1;POL;-1;-1;3;4;0;0;0;1;1;0;2002
AT1;AT13;AT130;90101;00000000;1;ROU;-6;3;3;0;-9;0;4;0;5;1;2002
AT1;AT13;AT130;90101;00000000;1;SVK;0;0;3;3;0;0;1;3;2;1;2002
AT1;AT13;AT130;90101;00000000;1;HUN;2;3;3;0;-1;0;0;1;2;2;2002
AT1;AT13;AT130;90101;00000000;1;BGR;1;-2;1;3;3;0;0;7;4;2;2002
AT1;AT13;AT130;90101;00000000;1;CZE;-2;1;2;1;-3;0;1;0;2;0;2002
AT1;AT13;AT130;90101;00000000;1;REST-EU;18;14;64;50;4;4;1;24;23;10;2002
AT1;AT13;AT130;90101;00000000;1;SCG;-9;5;11;6;-14;2;1;13;28;2;2002
AT1;AT13;AT130;90101;00000000;1;TUR;8;4;7;3;4;1;1;7;3;0;2002
AT1;AT13;AT130;90101;00000000;1;BIH;2;1;1;0;1;2;0;2;3;0;2002
AT1;AT13;AT130;90101;00000000;1;HRV;0;5;9;4;-5;1;2;4;8;0;2002
AT1;AT13;AT130;90101;00000000;1;MKD;0;1;2;1;-1;0;0;1;2;0;2002
AT1;AT13;AT130;90101;00000000;1;RUS;-6;-2;1;3;-4;1;1;0;4;2;2002
AT1;AT13;AT130;90101;00000000;1;CHN;-1;0;2;2;-1;1;0;5;7;0;2002
AT1;AT13;AT130;90101;00000000;1;OTHER;-15;3;53;50;-18;2;4;34;50;8;2002
AT1;AT13;AT130;90201;00000000;2;AUT;-209;-128;177;305;-81;645;567;1466;1625;783;2002
