NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;HEIFI  ;RUDGE  ;BARRO  ;                                                                                                                                                         
AT1;AT13;AT130;;1;9;0;0;0;1157283;598477;33694;468132;19409;77242;                                                                                                                                                         
AT1;AT13;AT130;;2;9;1;0;0;111977;59343;3474;47443;2153;6273;                                                                                                                                                         
AT1;AT13;AT130;;2;9;2;0;0;99128;54604;3712;44102;2119;4671;                                                                                                                                                         
AT1;AT13;AT130;;2;9;3;0;0;110106;54867;2510;43922;1400;7035;                                                                                                                                                         
AT1;AT13;AT130;;2;9;4;0;0;231280;111213;5209;85518;2972;17514;                                                                                                                                                         
AT1;AT13;AT130;;2;9;5;0;0;211754;114779;7190;89075;4110;14404;                                                                                                                                                         
AT1;AT13;AT130;;2;9;6;0;0;176028;93840;6335;72731;3729;11045;                                                                                                                                                         
AT1;AT13;AT130;;2;9;7;0;0;217010;109831;5264;85341;2926;16300;                                                                                                                                                         
AT1;AT13;AT130;90301;3;9;1;3;0;57504;30667;1812;24333;1164;3358;                                                                                                                                                         
AT1;AT13;AT130;90401;3;9;1;4;0;21092;11683;801;9253;498;1131;                                                                                                                                                         
AT1;AT13;AT130;90501;3;9;1;5;0;33381;16993;861;13857;491;1784;                                                                                                                                                         
AT1;AT13;AT130;90101;3;9;2;1;0;13430;6644;675;4845;442;682;                                                                                                                                                         
AT1;AT13;AT130;90601;3;9;2;6;0;20835;11065;619;9129;358;959;                                                                                                                                                         
AT1;AT13;AT130;90701;3;9;2;7;0;20931;11812;664;9900;365;883;                                                                                                                                                         
AT1;AT13;AT130;90801;3;9;2;8;0;16496;9700;713;7785;367;835;                                                                                                                                                         
AT1;AT13;AT130;90901;3;9;2;9;0;27436;15383;1041;12443;587;1312;                                                                                                                                                         
AT1;AT13;AT130;90201;3;9;3;2;0;59205;30296;1427;24522;766;3581;                                                                                                                                                         
AT1;AT13;AT130;92001;3;9;3;20;0;50901;24571;1083;19400;634;3454;                                                                                                                                                         
AT1;AT13;AT130;91001;3;9;4;10;0;113613;54344;2536;41560;1415;8833;                                                                                                                                                         
AT1;AT13;AT130;91101;3;9;4;11;0;60234;28538;1201;21884;705;4748;                                                                                                                                                         
AT1;AT13;AT130;91201;3;9;4;12;0;57433;28331;1472;22074;852;3933;                                                                                                                                                         
AT1;AT13;AT130;91301;3;9;5;13;0;39689;23703;2048;17770;1193;2692;                                                                                                                                                         
AT1;AT13;AT130;91401;3;9;5;14;0;60887;32278;1967;25154;1129;4028;                                                                                                                                                         
AT1;AT13;AT130;91501;3;9;5;15;0;40907;19569;800;15793;561;2415;                                                                                                                                                         
AT1;AT13;AT130;92301;3;9;5;23;0;70271;39229;2375;30358;1227;5269;                                                                                                                                                         
AT1;AT13;AT130;91601;3;9;6;16;0;58966;30079;1343;24084;861;3791;                                                                                                                                                         
AT1;AT13;AT130;91701;3;9;6;17;0;33777;17377;1070;13573;640;2094;                                                                                                                                                         
AT1;AT13;AT130;91801;3;9;6;18;0;33164;18830;1569;14500;930;1831;                                                                                                                                                         
AT1;AT13;AT130;91901;3;9;6;19;0;50121;27554;2353;20574;1298;3329;                                                                                                                                                         
AT1;AT13;AT130;92101;3;9;7;21;0;103387;52123;2614;40086;1367;8056;                                                                                                                                                         
AT1;AT13;AT130;92201;3;9;7;22;0;113623;57708;2650;45255;1559;8244;                                                                                                                                                         
