NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_AUT_NAT;POP_FOR_NAT;POP_TOTAL;REF_DATE
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz;221867;40356;262223;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60301;Aibl;1383;44;1427;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60302;Deutschlandsberg;7653;462;8115;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60303;Eibiswald;1354;31;1385;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz;2853;90;2943;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60306;Freiland bei Deutschlandsberg;148;6;154;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60307;Bad Gams;2216;71;2287;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60308;Garanas;257;7;264;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60309;Georgsberg;1451;37;1488;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60310;Greisdorf;999;16;1015;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60311;Gressenberg;307;0;307;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60312;Groß Sankt Florian;2847;72;2919;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60313;Großradl;1413;16;1429;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60314;Gundersdorf;396;20;416;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60315;Hollenegg;2048;78;2126;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60316;Kloster;185;7;192;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach;3205;109;3314;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60319;Limberg bei Wies;908;12;920;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60320;Marhof;1023;26;1049;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60321;Osterwitz;145;3;148;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60322;Pitschgau;1544;32;1576;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn;1624;44;1668;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding;1648;45;1693;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60325;Rassach;1401;36;1437;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark);1366;32;1398;01.01.2012
