Ausgewählte Erträge der städtischen Abgaben und Zuschläge in Wien in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Local Taxes and Charges in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;ACCOUNTS_PROPERTY1;ACCOUNTS_PROPERTY2;ACCOUNTS_MUNICIPAL;ACCOUNTS_LOCAL;ACCOUNTS_PUBLICATION;ACCOUNTS_AMUSEMENT;ACCOUNTS_ANIMAL;ACCOUNTS_SALE;ACCOUNTS_ANNOUNCEMENT;"	ACCOUNTS_PUBLIC";ACCOUNTS_FIRE;ACCOUNTS_CULTURE;ACCOUNTS_EMPLOYER;ACCOUNTS_PARK;ACCOUNTS_SPORTS;ACCOUNTS_ADDITIONAL;ACCOUNTS_INTEREST;ACCOUNTS_GARAGE;ACCOUNTS_TREES;ACCOUNTS_ADMINISTRATION;ACCOUNTS_COMMISSION;ACCOUNTS_TRANSFER;ACCOUNTS_CAPITAL;ACCOUNTS_BUSINESS;ACCOUNTS_BET;REF_DATE
AT1;AT13;AT130;0;0;230071,6;87955993,29;514340651,6;8161644,43;1597182,8;47588754,04;2195648,92;839982,13;461125,55;109929362,5;8281426,83;18467231,94;21366210,8;41863952,17;758468,66;2466882,36;279245,33;516961,66;826924,83;11329354,64;923342,02;32969694,16;28866675,72;208657,74;223367,33;20021231
AT1;AT13;AT130;0;0;225862,84;91568829,71;512329703,6;9149425,91;187051,9;49545824,21;2218146,55;1018098,57;;109852112,3;8802028,88;19181228,93;22372654,52;42118917,22;691409,54;6220069,64;68,24;362664,41;802480,08;17143206,15;478795,63;26502672,21;;250821,92;218177,23;20031231
AT1;AT13;AT130;0;0;220756,89;91688124,55;523951314,9;9315485,12;139724,39;48982592,05;2277714,13;904215,08;;114623546,4;9246495,44;19795549,36;21307684,96;40118120,93;1156806,6;2686331,06;225482,7;981320,74;1147082,92;17113090,42;574124,55;25391819,77;;226205,79;6070;20041231
AT1;AT13;AT130;0;0;222994,38;97662529,25;539710815,2;9782172,84;691749,68;53324880,35;2264702,14;;;111767820,2;10487492,9;20970741,23;22606639,46;41886542,47;1433528,31;1009879,14;612410,84;1180315,85;2718415,04;17294218,05;635913,5;30097027,85;15600000;408601,07;283717,8;20051231
AT1;AT13;AT130;0;0;182956,98;91511140,96;557773254,8;11136650,22;16532,99;59419882,58;2318525,27;;;121430709,3;7146901,77;24112683,72;22439693,95;44485917,03;1151918,61;;477273,41;1153554,57;420576,66;21767795,08;721054,47;32860219,29;6340127,96;424509,7;195327;20061231
AT1;AT13;AT130;0;0;223120,9;91846560,98;599592956,7;12636523,41;206566,61;61330209,69;2351910,54;;;115631699,5;8797131,94;29087201,52;22215236,71;56372299,81;1085687,71;;110680,69;1954697,74;653123,97;21585427,14;779696,51;30897880,75;;145846,22;198899,5;20071231
AT1;AT13;AT130;0;0;230293,1;102781321,4;633116342,3;13869641,69;;64816583,61;2373553,33;;;124131041,9;9807264,03;29960104,69;22972349,47;65254849,52;3566131,35;1454444,17;332348,53;2261707,39;1124105,67;20647679,02;858234,11;32819299,25;;112887,59;306952,72;20081231
AT1;AT13;AT130;0;0;223905,48;103456848,4;628899407,2;12062466,49;476,53;68174622,45;2457915,13;;;136206070,3;9615719,87;31295690,43;23577342,61;67674825,12;1260015,25;1369845,02;462029,51;2328752,78;2252935,3;21234521,86;770049,19;31777994,32;9880000;229834,3;247830,87;20091231
AT1;AT13;AT130;0;0;224530,22;103994815,4;649927283,5;12783694,91;3211,29;70044374,21;2579369,47;;;136925064;9538885,67;31104884,87;21819168,45;66663895,22;1245101,28;1294973,18;238322,63;2308960,89;1503708,2;22231432,34;877902,24;33462351,84;12702889,64;234424,64;243016,76;20101231
AT1;AT13;AT130;0;0;222802,62;106810016,8;678314532,3;14089423,57;2791,45;66373345,62;2617776,44;;;146639569,9;9753081,3;31010346,57;21968129,93;69288329,36;1047328,24;1605873,88;271499,57;3173578,01;1109587,6;20024209,16;846725,11;35594377,83;;29366,37;77372,58;20111231
AT1;AT13;AT130;0;0;232993,01;107651028,6;702558489,1;15518929,25;2935;59320090,02;4321407,46;;814,87;157191697,1;9747435,15;33467674,91;41981204,89;95484296,35;1471909,68;1348339,93;276685,78;4995418,34;1895050,28;22767598,56;830915,26;34108371,27;;624435,11;1390,34;20121231
AT1;AT13;AT130;0;0;208331,54;110536241,7;720978319,5;17364694,5;1414,13;57451601,64;4329041,87;;219,08;144676892;9794349,34;35625425,88;67175514,21;102321625,5;1548428,2;3638631,56;476468,05;3200211,38;886961,51;21858078,5;747132,45;59392915,95;;7885,91;;20131231
