NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;FPOE   ;OEVP   ;GRUE   ;KPOE   ;BZOE   ;LIF    ;SLP    ;PH     ;YC     ;WWW    ;GS     ;PRO    ;KEINE  ;OK KI  ;EMP    ;PB     ;OE     ;AL     ;WIF    ;                 
AT1;AT13;AT130;;1;1;0;0;0;1206147;705640;17519;328097;95271;129744;108215;9312;7651;3772;300;634;159;348;132;3009;211;135;175;83;144;125;604;                 
AT1;AT13;AT130;;2;1;1;0;0;14163;8037;124;2361;481;3428;1448;66;71;58;0;0;0;0;0;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;;2;1;2;0;0;63461;35452;995;16697;4606;5059;6752;664;363;184;0;0;0;0;132;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;;2;1;3;0;0;62798;35544;856;14805;4018;7520;7095;673;343;234;0;0;0;0;0;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;;2;1;4;0;0;23094;13578;328;3889;921;4012;3727;166;91;96;0;0;0;348;0;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;;2;1;5;0;0;36221;19759;507;8222;2455;3235;4521;428;186;115;90;0;0;0;0;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;;2;1;6;0;0;22712;12825;303;4452;911;3180;3628;0;89;103;0;0;159;0;0;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;;2;1;7;0;0;22424;13132;222;3555;943;2331;5585;245;103;148;0;0;0;0;0;0;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;;2;1;8;0;0;18198;10705;329;2965;704;0;3347;124;119;108;0;0;0;0;0;3009;0;0;0;0;0;0;0;                 
AT1;AT13;AT130;;2;1;9;0;0;29680;16872;329;5594;1361;4222;4868;0;146;141;0;0;0;0;0;0;211;0;0;0;0;0;0;                 
AT1;AT13;AT130;;2;1;10;0;0;117471;67572;1813;37289;12808;8075;5590;909;720;240;128;0;0;0;0;0;0;0;0;0;0;0;0;                 
