NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;OEVP   ;GRUE   ;FPOE   ;BZOE   ;KPOE   ;LIF    ;DEM    ;MUT    ;KI     ;CPOE   ;WIR    ;ECHT6  ;IGS    ;ECHT8  ;PH     ;AKTIV  ;AL     ;SLP    ;WIFF   ;IBFS   ;         
AT1;AT13;AT130;90101;4;1;1;1;0;0;95;0;28;38;10;11;0;1;2;0;0;0;0;5;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;1;886;369;10;88;146;56;38;3;4;1;0;0;0;0;23;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;2;784;410;7;120;119;75;53;3;4;5;0;0;0;0;24;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;3;779;380;7;96;141;65;38;2;4;6;0;0;0;0;21;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;4;395;167;1;31;71;26;25;6;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;5;963;423;1;90;189;66;41;8;4;3;0;0;0;0;21;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;6;710;344;4;68;145;63;27;4;3;7;0;0;0;0;23;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;7;741;320;4;85;122;47;35;4;3;4;0;0;0;0;16;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;8;742;308;10;70;121;45;30;3;2;9;0;0;0;0;18;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;9;886;447;3;131;120;89;41;7;8;5;0;0;0;0;43;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;10;897;391;2;120;109;96;31;1;4;2;0;0;0;0;26;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;11;584;254;3;59;94;51;26;4;1;6;0;0;0;0;10;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;12;765;375;5;71;150;63;55;9;1;5;0;0;0;0;16;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;13;707;283;6;60;115;41;34;6;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;14;673;345;4;78;119;78;32;4;3;3;0;0;0;0;24;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;15;927;448;7;110;126;90;62;4;5;9;0;0;0;0;35;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;16;601;284;4;60;107;61;22;4;6;7;0;0;0;0;13;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;17;902;384;9;103;113;72;47;4;7;3;0;0;0;0;26;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;18;720;330;3;69;125;56;35;3;1;2;0;0;0;0;36;0;0;0;0;0;0;0;0;0;         
AT1;AT13;AT130;90101;4;1;1;1;19;0;245;0;61;82;66;12;1;3;1;0;0;0;0;19;0;0;0;0;0;0;0;0;0;         
