NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_1869;POP_1880;POP_1890;POP_1900;POP_1910;POP_1923;POP_1934;POP_1939;POP_1951;POP_1961;POP_1971;POP_1981;POP_1991;POP_2001;POP_2011
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz;98229;116770;135660;168808;193790;199578;210845;208016;226453;237080;249089;243166;237810;226244;261726
AT2;AT22;AT225;603;Deutschlandsberg;60301;Aibl;2093;2333;2618;2418;2251;2119;2169;1996;2190;2070;1817;1636;1635;1521;1426
AT2;AT22;AT225;603;Deutschlandsberg;60302;Deutschlandsberg;3008;3938;4462;4833;5132;5078;5389;5493;6720;6693;7295;7620;7760;7983;8127
AT2;AT22;AT225;603;Deutschlandsberg;60303;Eibiswald;1079;989;1135;1173;1023;925;924;959;1093;1198;1377;1526;1568;1476;1397
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz;1211;1216;1258;1428;1339;1468;1816;1866;2166;2489;2847;2893;2949;2997;2937
AT2;AT22;AT225;603;Deutschlandsberg;60306;Freiland bei Deutschlandsberg;260;263;267;308;294;324;314;262;276;250;168;155;162;128;155
AT2;AT22;AT225;603;Deutschlandsberg;60307;Bad Gams;2389;2303;2292;2294;2360;2217;2381;2262;2378;2326;2270;2218;2296;2300;2292
AT2;AT22;AT225;603;Deutschlandsberg;60308;Garanas;649;798;671;637;555;502;594;547;511;479;411;339;332;300;267
AT2;AT22;AT225;603;Deutschlandsberg;60309;Georgsberg;932;961;1047;985;967;971;949;888;924;1002;1138;1235;1373;1422;1473
AT2;AT22;AT225;603;Deutschlandsberg;60310;Greisdorf;1310;1249;1300;1252;1204;1151;1280;1110;1122;1068;1115;1086;1012;1055;1019
AT2;AT22;AT225;603;Deutschlandsberg;60311;Gressenberg;745;710;659;626;605;603;701;680;621;561;489;405;379;352;309
AT2;AT22;AT225;603;Deutschlandsberg;60312;Groß Sankt Florian;2289;2377;2484;2624;2689;2563;2658;2503;2793;2614;2742;2826;2891;2973;2927
AT2;AT22;AT225;603;Deutschlandsberg;60313;Großradl;1742;1727;1746;1794;1742;1757;1806;1738;1694;1501;1520;1489;1558;1505;1437
AT2;AT22;AT225;603;Deutschlandsberg;60314;Gundersdorf;446;445;442;434;459;426;483;482;447;430;444;406;404;387;415
AT2;AT22;AT225;603;Deutschlandsberg;60315;Hollenegg;1348;1450;1444;1493;1530;1537;1546;1558;1685;1786;1919;2026;2146;2259;2135
AT2;AT22;AT225;603;Deutschlandsberg;60316;Kloster;274;282;273;340;324;304;310;553;307;299;300;266;244;233;192
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach;1451;1487;1404;1447;1566;1665;1608;1795;1820;1840;2154;2431;2699;3105;3315
AT2;AT22;AT225;603;Deutschlandsberg;60319;Limberg bei Wies;794;1170;1321;1387;1298;1547;1340;1171;1397;1199;1041;926;944;946;929
AT2;AT22;AT225;603;Deutschlandsberg;60320;Marhof;1141;1164;1273;1143;1164;1077;1200;1193;1186;1092;1164;1119;1074;1063;1034
AT2;AT22;AT225;603;Deutschlandsberg;60321;Osterwitz;470;445;420;353;322;368;336;322;340;275;190;186;192;167;147
AT2;AT22;AT225;603;Deutschlandsberg;60322;Pitschgau;1009;1211;1332;1334;1572;1406;1285;1231;1490;1590;1687;1649;1589;1631;1573
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn;674;1779;2044;1241;1487;1998;1943;1759;2037;2103;2115;2017;1902;1785;1665
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding;1384;1563;1574;1515;1477;1505;1454;1364;1477;1392;1577;1504;1573;1642;1684
AT2;AT22;AT225;603;Deutschlandsberg;60325;Rassach;1193;1255;1328;1269;1254;1221;1189;1109;1203;1197;1238;1273;1286;1388;1433
