Geburtsland in Wien gemeldeter Personen, Stichtag  nach Geschlecht und Wiener Bezirk ;;;;;;;;;;;;;;;;;;
Country of birth of residents in Vienna, by sex and Vienna district ;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;90101;0000;2;8880;290;58;365;156;64;51;127;158;125;1685;5801;20110101
AT1;AT13;AT130;90201;0000;2;48909;3596;1907;1322;1169;984;277;864;656;492;7105;30537;20110101
AT1;AT13;AT130;90301;0000;2;44976;2486;1137;1494;1083;749;297;680;704;494;5963;29889;20110101
AT1;AT13;AT130;90401;0000;2;16531;713;287;750;341;190;116;247;227;197;2813;10650;20110101
AT1;AT13;AT130;90501;0000;2;27339;2245;1196;856;743;646;196;492;323;271;3761;16610;20110101
AT1;AT13;AT130;90601;0000;2;15453;740;324;644;343;196;99;173;168;197;2277;10292;20110101
AT1;AT13;AT130;90701;0000;2;16176;835;305;809;322;243;110;241;187;195;2171;10758;20110101
AT1;AT13;AT130;90801;0000;2;12398;499;169;579;230;123;52;131;145;149;1784;8537;20110101
AT1;AT13;AT130;90901;0000;2;21039;1167;344;930;406;253;100;232;306;267;2961;14073;20110101
AT1;AT13;AT130;91001;0000;2;91563;7220;5845;1301;2067;2634;538;1409;1051;759;8541;60198;20110101
AT1;AT13;AT130;91101;0000;2;46644;2807;2210;685;1046;1099;236;809;497;434;4136;32685;20110101
AT1;AT13;AT130;91201;0000;2;46269;3424;2214;956;1159;1233;326;657;530;417;4914;30439;20110101
AT1;AT13;AT130;91301;0000;2;28145;709;200;1075;441;169;83;200;505;275;2533;21955;20110101
AT1;AT13;AT130;91401;0000;2;44893;2617;1074;1122;964;871;281;560;622;361;3468;32953;20110101
AT1;AT13;AT130;91501;0000;2;36743;4073;2070;836;1128;1475;368;735;365;400;4360;20933;20110101
AT1;AT13;AT130;91601;0000;2;49288;5089;2811;1038;1288;1355;355;756;525;348;4477;31246;20110101
AT1;AT13;AT130;91701;0000;2;27511;2432;884;690;706;758;195;401;333;235;2780;18097;20110101
AT1;AT13;AT130;91801;0000;2;26058;1308;431;1028;504;332;121;321;357;274;3058;18324;20110101
AT1;AT13;AT130;91901;0000;2;37551;1158;512;1311;638;329;146;316;641;478;4879;27143;20110101
AT1;AT13;AT130;92001;0000;2;42847;3667;2985;714;1177;1181;243;723;493;367;5308;25989;20110101
AT1;AT13;AT130;92101;0000;2;74529;2933;1850;1178;1727;861;259;739;1011;536;6522;56913;20110101
AT1;AT13;AT130;92201;0000;2;82929;2614;1507;1246;2011;803;249;755;1101;570;8261;63812;20110101
AT1;AT13;AT130;92301;0000;2;49812;1615;889;1058;878;661;215;455;726;410;3295;39610;20110101
AT1;AT13;AT130;90101;0000;1;8143;225;53;375;69;49;51;80;111;101;1448;5581;20110101
AT1;AT13;AT130;90201;0000;1;46613;3448;2205;1265;1268;929;258;648;364;403;6969;28856;20110101
AT1;AT13;AT130;90301;0000;1;40567;2303;1284;1424;931;733;230;505;382;439;5302;27034;20110101
AT1;AT13;AT130;90401;0000;1;14672;601;307;749;224;177;93;148;120;149;2362;9742;20110101
AT1;AT13;AT130;90501;0000;1;26145;2057;1373;936;677;671;163;341;215;234;3759;15719;20110101
AT1;AT13;AT130;90601;0000;1;14105;601;369;626;283;238;70;98;106;141;2143;9430;20110101
AT1;AT13;AT130;90701;0000;1;14475;691;352;790;242;219;83;136;84;122;1989;9767;20110101
AT1;AT13;AT130;90801;0000;1;11657;473;197;569;206;127;47;159;91;117;1867;7804;20110101
AT1;AT13;AT130;90901;0000;1;19045;1028;404;951;405;242;92;154;157;180;2890;12542;20110101
AT1;AT13;AT130;91001;0000;1;86017;6761;6601;1122;1852;2623;487;1076;596;654;8259;55986;20110101
AT1;AT13;AT130;91101;0000;1;44369;2530;2498;581;843;1007;242;696;282;525;4101;31064;20110101
AT1;AT13;AT130;91201;0000;1;42555;3144;2533;829;1045;1208;321;475;308;283;4708;27701;20110101
AT1;AT13;AT130;91301;0000;1;23291;528;228;823;275;142;72;136;228;188;1941;18730;20110101
AT1;AT13;AT130;91401;0000;1;40281;2278;1173;914;822;880;243;384;327;235;3200;29825;20110101
AT1;AT13;AT130;91501;0000;1;35855;3956;2410;810;1251;1501;336;632;217;363;4570;19809;20110101
AT1;AT13;AT130;91601;0000;1;46596;4901;3223;863;1435;1367;337;661;273;294;4615;28627;20110101
AT1;AT13;AT130;91701;0000;1;25802;2355;1098;628;798;770;173;281;172;196;2735;16596;20110101
AT1;AT13;AT130;91801;0000;1;22319;1192;522;880;462;306;119;219;175;203;2591;15650;20110101
AT1;AT13;AT130;91901;0000;1;31617;959;671;981;439;286;113;197;322;303;4224;23122;20110101
AT1;AT13;AT130;92001;0000;1;41245;3561;3357;695;954;1216;230;639;248;335;5315;24695;20110101
AT1;AT13;AT130;92101;0000;1;68133;2712;2007;877;1293;866;208;587;595;414;5726;52848;20110101
