Herkunftsgebiet (österreichisches Bundesland,Ausland) in Wien gemeldeter Personen, nach Geschlecht und Wiener Bezirk;;;;;;;;;;;;;;;;;;
Place of Birth (Austrian Provinces, Foreign) of residents in Vienna by sex and Vienna district ;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;BORN_AT13;BORN_AT11;BORN_AT12;BORN_AT21;BORN_AT22;BORN_AT31;BORN_AT32;BORN_AT33;BORN_AT34;BORN_AT_UNCLASSIFIED;FOREIGN_BORN;REF_DATE
AT1;AT13;AT130;90101;0000;2;8880;4045;123;648;161;296;272;102;87;50;17;3079;20110101
AT1;AT13;AT130;90201;0000;2;48909;20545;982;4695;656;1211;1356;425;368;228;71;18372;20110101
AT1;AT13;AT130;90301;0000;2;44976;19866;1044;4290;799;1399;1407;455;365;186;78;15087;20110101
AT1;AT13;AT130;90401;0000;2;16531;6930;320;1382;326;594;594;214;164;110;16;5881;20110101
AT1;AT13;AT130;90501;0000;2;27339;10432;708;2357;507;811;937;348;276;198;36;10729;20110101
AT1;AT13;AT130;90601;0000;2;15453;6027;334;1545;391;607;828;223;195;119;23;5161;20110101
AT1;AT13;AT130;90701;0000;2;16176;6211;336;1518;392;656;936;289;246;158;16;5418;20110101
AT1;AT13;AT130;90801;0000;2;12398;5141;266;1153;327;474;713;221;130;99;13;3861;20110101
AT1;AT13;AT130;90901;0000;2;21039;8255;436;2160;527;774;1155;359;220;162;25;6966;20110101
AT1;AT13;AT130;91001;0000;2;91563;45234;2597;7783;703;1706;1163;374;288;185;165;31365;20110101
AT1;AT13;AT130;91101;0000;2;46644;25222;1196;4176;312;843;518;170;127;63;58;13959;20110101
AT1;AT13;AT130;91201;0000;2;46269;22004;1085;4131;525;1062;903;277;241;137;74;15830;20110101
AT1;AT13;AT130;91301;0000;2;28145;15898;487;2727;446;929;834;271;216;103;44;6190;20110101
AT1;AT13;AT130;91401;0000;2;44893;23922;925;4386;616;1205;1122;330;267;114;66;11940;20110101
AT1;AT13;AT130;91501;0000;2;36743;13950;758;3128;481;854;1031;277;250;152;52;15810;20110101
AT1;AT13;AT130;91601;0000;2;49288;21957;901;4355;627;1137;1316;388;304;198;63;18042;20110101
AT1;AT13;AT130;91701;0000;2;27511;12615;451;2446;428;665;893;222;211;133;33;9414;20110101
AT1;AT13;AT130;91801;0000;2;26058;12320;406;2195;560;899;1142;361;245;160;36;7734;20110101
AT1;AT13;AT130;91901;0000;2;37551;19831;585;3437;622;960;916;329;259;125;79;10408;20110101
AT1;AT13;AT130;92001;0000;2;42847;17950;771;4545;467;834;830;229;188;114;61;16858;20110101
AT1;AT13;AT130;92101;0000;2;74529;43062;1226;8951;602;1333;930;290;299;102;118;17616;20110101
AT1;AT13;AT130;92201;0000;2;82929;49767;1406;8363;722;1701;1051;328;249;118;107;19117;20110101
AT1;AT13;AT130;92301;0000;2;49812;29290;1164;5742;542;1327;870;283;200;124;68;10202;20110101
AT1;AT13;AT130;90101;0000;1;8143;4057;81;461;142;294;264;121;98;54;9;2562;20110101
AT1;AT13;AT130;90201;0000;1;46613;20535;650;3622;658;1109;1228;371;369;259;55;17757;20110101
AT1;AT13;AT130;90301;0000;1;40567;18877;729;3177;739;1211;1189;439;394;228;51;13533;20110101
AT1;AT13;AT130;90401;0000;1;14672;6527;196;1057;312;547;525;260;185;126;7;4930;20110101
AT1;AT13;AT130;90501;0000;1;26145;10372;522;1774;527;774;872;379;285;199;15;10426;20110101
AT1;AT13;AT130;90601;0000;1;14105;5870;297;1140;321;520;701;246;194;121;20;4675;20110101
AT1;AT13;AT130;90701;0000;1;14475;5873;244;1146;394;549;881;292;205;165;18;4708;20110101
AT1;AT13;AT130;90801;0000;1;11657;5011;173;827;296;373;639;205;152;125;3;3853;20110101
AT1;AT13;AT130;90901;0000;1;19045;7881;290;1526;556;668;899;311;226;173;12;6503;20110101
AT1;AT13;AT130;91001;0000;1;86017;44316;1742;5796;666;1484;1060;345;314;175;88;30031;20110101
AT1;AT13;AT130;91101;0000;1;44369;24865;914;3276;304;837;479;143;143;68;35;13305;20110101
AT1;AT13;AT130;91201;0000;1;42555;21220;754;2922;441;892;790;276;238;133;35;14854;20110101
AT1;AT13;AT130;91301;0000;1;23291;14564;302;1704;372;669;585;221;189;101;23;4561;20110101
AT1;AT13;AT130;91401;0000;1;40281;22934;575;3247;486;961;886;309;235;163;29;10456;20110101
AT1;AT13;AT130;91501;0000;1;35855;13936;499;2392;463;734;966;315;277;195;32;16046;20110101
AT1;AT13;AT130;91601;0000;1;46596;21331;579;3046;619;958;1154;356;317;228;39;17969;20110101
AT1;AT13;AT130;91701;0000;1;25802;12275;333;1733;407;549;742;222;186;126;23;9206;20110101
AT1;AT13;AT130;91801;0000;1;22319;11254;250;1467;475;616;903;287;226;147;25;6669;20110101
AT1;AT13;AT130;91901;0000;1;31617;18009;319;2164;440;761;743;309;231;116;30;8495;20110101
AT1;AT13;AT130;92001;0000;1;41245;18015;568;3467;458;772;785;235;225;132;38;16550;20110101
AT1;AT13;AT130;92101;0000;1;68133;41929;895;6874;521;1245;728;262;226;91;77;15285;20110101
AT1;AT13;AT130;92201;0000;1;76135;48776;1055;6567;631;1400;872;289;249;112;68;16116;20110101
AT1;AT13;AT130;92301;0000;1;43896;27717;854;4331;424;1090;685;217;206;115;40;8217;20110101
AT1;AT13;AT130;90101;0000;2;8883;3985;123;633;157;291;282;102;95;45;15;3155;20120101
AT1;AT13;AT130;90201;0000;2;49421;20611;969;4672;719;1225;1409;462;376;252;61;18665;20120101
AT1;AT13;AT130;90301;0000;2;45326;19776;1023;4265;793;1415;1447;472;373;206;56;15500;20120101
AT1;AT13;AT130;90401;0000;2;16653;6858;337;1375;335;580;630;231;173;110;13;6011;20120101
AT1;AT13;AT130;90501;0000;2;27364;10350;695;2332;501;827;956;336;286;195;29;10857;20120101
AT1;AT13;AT130;90601;0000;2;15611;6003;341;1537;400;606;839;242;188;117;19;5319;20120101
AT1;AT13;AT130;90701;0000;2;16282;6109;348;1514;410;659;961;292;239;165;11;5574;20120101
AT1;AT13;AT130;90801;0000;2;12533;5101;259;1132;343;501;772;231;134;109;8;3943;20120101
AT1;AT13;AT130;90901;0000;2;21141;8189;417;2138;530;767;1204;369;235;163;19;7110;20120101
AT1;AT13;AT130;91001;0000;2;92538;45252;2551;7642;695;1706;1147;383;295;201;142;32524;20120101
AT1;AT13;AT130;91101;0000;2;47183;25298;1197;4122;318;855;548;176;136;63;44;14426;20120101
AT1;AT13;AT130;91201;0000;2;46681;21964;1062;4077;539;1044;919;289;249;141;62;16335;20120101
AT1;AT13;AT130;91301;0000;2;27964;15748;478;2650;458;911;822;279;210;105;28;6275;20120101
AT1;AT13;AT130;91401;0000;2;45114;23823;906;4365;609;1189;1155;325;272;131;55;12284;20120101
AT1;AT13;AT130;91501;0000;2;37071;13898;747;3121;489;849;1078;297;260;158;45;16129;20120101
AT1;AT13;AT130;91601;0000;2;49711;21934;889;4315;641;1149;1385;380;323;210;54;18431;20120101
AT1;AT13;AT130;91701;0000;2;27827;12584;466;2426;435;661;932;212;215;142;28;9726;20120101
AT1;AT13;AT130;91801;0000;2;26246;12270;406;2176;583;904;1157;366;243;154;29;7958;20120101
AT1;AT13;AT130;91901;0000;2;37776;19813;565;3375;634;961;931;332;265;125;68;10707;20120101
AT1;AT13;AT130;92001;0000;2;43237;17933;743;4476;480;863;840;241;204;118;54;17285;20120101
AT1;AT13;AT130;92101;0000;2;75576;43210;1201;9000;604;1355;965;312;306;105;104;18414;20120101
AT1;AT13;AT130;92201;0000;2;84919;50516;1420;8485;750;1723;1093;355;262;128;97;20090;20120101
AT1;AT13;AT130;92301;0000;2;50374;29467;1175;5755;541;1353;876;304;211;122;57;10513;20120101
AT1;AT13;AT130;90101;0000;1;8183;4019;81;460;140;299;257;112;92;56;5;2662;20120101
AT1;AT13;AT130;90201;0000;1;46987;20616;648;3632;668;1126;1326;389;385;283;43;17871;20120101
AT1;AT13;AT130;90301;0000;1;41143;18902;728;3193;726;1236;1224;481;401;223;44;13985;20120101
AT1;AT13;AT130;90401;0000;1;14875;6499;203;1075;313;549;537;259;191;126;6;5117;20120101
AT1;AT13;AT130;90501;0000;1;26247;10257;524;1746;536;773;938;389;294;205;12;10573;20120101
AT1;AT13;AT130;90601;0000;1;14305;5869;295;1135;325;551;713;249;186;117;18;4847;20120101
AT1;AT13;AT130;90701;0000;1;14657;5883;252;1132;407;547;909;300;221;165;16;4825;20120101
AT1;AT13;AT130;90801;0000;1;11843;4961;178;838;322;372;680;210;152;131;3;3996;20120101
AT1;AT13;AT130;90901;0000;1;19262;7867;262;1556;563;675;905;315;224;189;6;6700;20120101
AT1;AT13;AT130;91001;0000;1;87320;44292;1709;5737;677;1495;1093;353;314;186;76;31388;20120101
AT1;AT13;AT130;91101;0000;1;44869;25007;922;3270;307;836;497;152;148;71;30;13629;20120101
AT1;AT13;AT130;91201;0000;1;42971;21157;731;2920;440;845;827;276;264;135;26;15350;20120101
AT1;AT13;AT130;91301;0000;1;23257;14490;301;1693;380;667;595;219;191;107;15;4599;20120101
AT1;AT13;AT130;91401;0000;1;40709;22992;566;3220;499;975;907;331;236;167;21;10795;20120101
AT1;AT13;AT130;91501;0000;1;36349;13930;492;2351;490;742;980;323;282;196;28;16535;20120101
AT1;AT13;AT130;91601;0000;1;47500;21419;580;3058;650;975;1227;380;335;249;32;18595;20120101
AT1;AT13;AT130;91701;0000;1;26132;12285;341;1734;399;555;787;235;177;140;20;9459;20120101
AT1;AT13;AT130;91801;0000;1;22415;11189;248;1471;460;619;906;302;228;155;21;6816;20120101
AT1;AT13;AT130;91901;0000;1;32065;18052;332;2203;451;751;763;331;237;122;22;8801;20120101
AT1;AT13;AT130;92001;0000;1;41685;18004;557;3430;484;776;792;244;228;143;34;16993;20120101
AT1;AT13;AT130;92101;0000;1;69397;42238;886;6940;533;1276;745;279;238;96;63;16103;20120101
AT1;AT13;AT130;92201;0000;1;78039;49569;1047;6658;663;1417;894;310;253;122;58;17048;20120101
AT1;AT13;AT130;92301;0000;1;44560;27878;846;4323;425;1118;692;223;225;118;33;8679;20120101
AT1;AT13;AT130;90101;0000;2;8738;3912;131;621;147;285;287;107;94;49;14;3091;20130101
AT1;AT13;AT130;90201;0000;2;50306;20759;942;4655;770;1276;1509;491;387;277;55;19185;20130101
AT1;AT13;AT130;90301;0000;2;45845;19691;1029;4188;829;1440;1501;494;376;210;56;16031;20130101
AT1;AT13;AT130;90401;0000;2;16779;6772;325;1337;337;561;652;228;178;114;12;6263;20130101
AT1;AT13;AT130;90501;0000;2;27505;10255;684;2288;504;844;996;349;294;215;27;11049;20130101
AT1;AT13;AT130;90601;0000;2;15754;5955;349;1530;416;600;870;255;201;111;17;5450;20130101
AT1;AT13;AT130;90701;0000;2;16272;6031;332;1484;412;678;1003;291;237;174;11;5619;20130101
AT1;AT13;AT130;90801;0000;2;12518;5057;268;1120;341;488;822;224;139;113;7;3939;20130101
AT1;AT13;AT130;90901;0000;2;21342;8143;410;2089;545;769;1247;359;246;161;18;7355;20130101
AT1;AT13;AT130;91001;0000;2;93515;45129;2480;7510;696;1681;1140;380;302;195;127;33875;20130101
AT1;AT13;AT130;91101;0000;2;47663;25429;1180;4090;322;858;562;177;130;64;40;14811;20130101
AT1;AT13;AT130;91201;0000;2;47066;21896;1035;4077;556;1062;946;311;260;144;58;16721;20130101
AT1;AT13;AT130;91301;0000;2;27870;15677;476;2607;457;884;842;292;212;106;27;6290;20130101
AT1;AT13;AT130;91401;0000;2;45566;23775;901;4354;631;1204;1196;327;277;141;47;12713;20130101
AT1;AT13;AT130;91501;0000;2;37778;13867;765;3078;530;893;1153;306;273;195;44;16674;20130101
AT1;AT13;AT130;91601;0000;2;50500;21953;875;4332;658;1191;1471;412;343;229;48;18988;20130101
AT1;AT13;AT130;91701;0000;2;27956;12480;454;2457;436;667;985;246;233;153;26;9819;20130101
AT1;AT13;AT130;91801;0000;2;26535;12205;389;2180;622;890;1173;376;249;159;25;8267;20130101
AT1;AT13;AT130;91901;0000;2;37920;19657;580;3331;643;971;945;342;279;141;65;10966;20130101
AT1;AT13;AT130;92001;0000;2;43405;17748;737;4368;493;864;868;248;200;134;53;17692;20130101
AT1;AT13;AT130;92101;0000;2;76593;43462;1187;9002;605;1368;991;315;307;114;95;19147;20130101
AT1;AT13;AT130;92201;0000;2;86653;51149;1404;8576;758;1770;1138;366;272;135;92;20993;20130101
AT1;AT13;AT130;92301;0000;2;50763;29614;1167;5680;547;1350;891;307;212;125;54;10816;20130101
AT1;AT13;AT130;90101;0000;1;8041;3965;79;452;143;286;271;113;93;55;5;2579;20130101
AT1;AT13;AT130;90201;0000;1;47906;20796;646;3686;707;1152;1404;413;387;279;43;18393;20130101
AT1;AT13;AT130;90301;0000;1;41328;18866;730;3185;740;1242;1250;501;414;229;38;14133;20130101
AT1;AT13;AT130;90401;0000;1;14976;6478;213;1064;321;535;553;273;190;131;6;5212;20130101
AT1;AT13;AT130;90501;0000;1;26433;10172;526;1779;536;768;961;390;307;218;10;10766;20130101
AT1;AT13;AT130;90601;0000;1;14582;5912;312;1162;331;542;753;262;199;125;15;4969;20130101
AT1;AT13;AT130;90701;0000;1;14768;5880;248;1148;390;555;946;291;229;175;14;4892;20130101
AT1;AT13;AT130;90801;0000;1;11957;4920;180;841;322;377;717;229;163;147;1;4060;20130101
AT1;AT13;AT130;90901;0000;1;19614;7826;265;1553;579;662;965;328;233;204;7;6992;20130101
AT1;AT13;AT130;91001;0000;1;88794;44366;1656;5670;664;1504;1085;358;326;208;72;32885;20130101
AT1;AT13;AT130;91101;0000;1;45285;25142;915;3256;296;826;505;151;146;71;27;13950;20130101
AT1;AT13;AT130;91201;0000;1;43358;21154;747;2938;450;889;851;289;267;144;26;15603;20130101
AT1;AT13;AT130;91301;0000;1;23399;14489;297;1687;390;682;616;226;198;111;14;4689;20130101
AT1;AT13;AT130;91401;0000;1;41365;23121;578;3252;512;970;959;335;239;166;18;11215;20130101
AT1;AT13;AT130;91501;0000;1;37158;13977;515;2376;521;770;1079;355;299;216;27;17023;20130101
AT1;AT13;AT130;91601;0000;1;48347;21507;605;3076;676;1016;1302;395;344;257;31;19138;20130101
AT1;AT13;AT130;91701;0000;1;26356;12287;337;1735;418;578;852;240;190;161;19;9539;20130101
AT1;AT13;AT130;91801;0000;1;22684;11193;256;1460;475;595;928;312;227;169;18;7051;20130101
AT1;AT13;AT130;91901;0000;1;32362;18099;319;2190;463;757;778;337;241;128;19;9031;20130101
AT1;AT13;AT130;92001;0000;1;41777;17848;544;3387;479;794;813;251;226;150;30;17255;20130101
AT1;AT13;AT130;92101;0000;1;70535;42619;875;6950;546;1273;762;288;240;91;57;16834;20130101
AT1;AT13;AT130;92201;0000;1;79503;50108;1021;6768;695;1446;936;332;259;129;54;17755;20130101
AT1;AT13;AT130;92301;0000;1;44962;28004;831;4318;432;1105;693;228;226;120;32;8973;20130101
AT1;AT13;AT130;90101;0000;2;8571;3849;117;624;152;290;286;104;91;52;12;2994;20140101
AT1;AT13;AT130;90201;0000;2;51236;20931;938;4634;804;1316;1606;532;393;282;51;19749;20140101
AT1;AT13;AT130;90301;0000;2;45756;19541;1030;4153;815;1395;1509;516;387;220;55;16135;20140101
AT1;AT13;AT130;90401;0000;2;16794;6743;330;1313;334;568;656;226;182;120;10;6312;20140101
AT1;AT13;AT130;90501;0000;2;27582;10189;662;2268;521;829;1025;349;283;219;24;11213;20140101
