Herkunftsgebiet (Österreichisches Bundesland,Ausland) in Wien gemeldeter Personen, nach Geschlecht und Wiener Zählbezirk ;;;;;;;;;;;;;;;;;;
Place of Birth (Austrian Provinces, Foreign) of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;BORN_AT13;BORN_AT11;BORN_AT12;BORN_AT21;BORN_AT22;BORN_AT31;BORN_AT32;BORN_AT33;BORN_AT34;BORN_AT_UNCLASSIFIED;FOREIGN_BORN;REF_DATE
AT1;AT13;AT130;90101;101;2;2088;960;36;148;42;65;73;28;21;11;2;702;20110101
AT1;AT13;AT130;90101;102;2;863;395;10;59;16;30;19;6;5;4;1;318;20110101
AT1;AT13;AT130;90101;103;2;1114;483;7;58;16;40;21;6;11;9;2;461;20110101
AT1;AT13;AT130;90101;104;2;831;389;12;64;15;22;32;15;7;5;0;270;20110101
AT1;AT13;AT130;90101;105;2;1127;525;19;87;17;45;45;16;15;8;2;348;20110101
AT1;AT13;AT130;90101;106;2;1475;700;24;128;27;47;34;16;20;6;5;468;20110101
AT1;AT13;AT130;90101;107;2;1382;593;15;104;28;47;48;15;8;7;5;512;20110101
AT1;AT13;AT130;90201;201;2;5044;2323;119;519;69;116;94;22;29;22;8;1723;20110101
AT1;AT13;AT130;90201;202;2;5600;2053;92;533;62;121;157;53;61;29;13;2426;20110101
AT1;AT13;AT130;90201;203;2;6553;2653;144;698;133;199;284;95;68;31;8;2240;20110101
AT1;AT13;AT130;90201;204;2;7524;3111;153;688;114;189;259;99;68;70;9;2764;20110101
AT1;AT13;AT130;90201;205;2;4736;1887;89;462;72;141;160;38;44;21;4;1818;20110101
AT1;AT13;AT130;90201;206;2;3332;1656;90;322;45;109;85;27;17;14;7;960;20110101
AT1;AT13;AT130;90201;207;2;6741;2299;118;549;79;149;170;50;45;25;8;3249;20110101
AT1;AT13;AT130;90201;208;2;1070;625;23;113;10;15;11;8;2;3;2;258;20110101
AT1;AT13;AT130;90201;209;2;8263;3916;154;810;72;171;136;33;33;13;12;2913;20110101
AT1;AT13;AT130;90201;299;2;46;22;0;1;0;1;0;0;1;0;0;21;20110101
AT1;AT13;AT130;90301;301;2;5812;2505;115;555;128;220;248;92;65;30;9;1845;20110101
AT1;AT13;AT130;90301;302;2;4592;2174;99;468;102;140;176;42;47;22;9;1313;20110101
AT1;AT13;AT130;90301;303;2;3309;1498;58;226;71;112;105;46;31;15;7;1140;20110101
AT1;AT13;AT130;90301;304;2;5587;2020;122;485;82;178;171;57;54;21;8;2389;20110101
AT1;AT13;AT130;90301;305;2;4303;1857;124;435;85;167;119;50;32;10;5;1419;20110101
AT1;AT13;AT130;90301;306;2;7961;3518;244;862;130;224;243;62;50;42;12;2574;20110101
AT1;AT13;AT130;90301;307;2;2887;1308;68;287;33;65;60;16;16;7;7;1020;20110101
AT1;AT13;AT130;90301;308;2;862;441;18;131;16;44;24;7;12;5;2;162;20110101
AT1;AT13;AT130;90301;309;2;4572;2187;90;393;104;152;167;45;31;24;6;1373;20110101
AT1;AT13;AT130;90301;310;2;3817;1693;79;328;37;76;80;30;23;8;9;1454;20110101
AT1;AT13;AT130;90301;311;2;1274;665;27;120;11;21;14;8;4;2;4;398;20110101
AT1;AT13;AT130;90401;401;2;1220;473;10;85;31;34;41;15;15;8;0;508;20110101
AT1;AT13;AT130;90401;402;2;5146;2092;93;390;91;203;170;59;52;27;5;1964;20110101
AT1;AT13;AT130;90401;403;2;6522;2739;142;572;147;245;252;94;70;44;5;2212;20110101
AT1;AT13;AT130;90401;404;2;3643;1626;75;335;57;112;131;46;27;31;6;1197;20110101
AT1;AT13;AT130;90501;501;2;5868;2396;191;589;142;229;263;95;80;46;9;1828;20110101
AT1;AT13;AT130;90501;502;2;9929;3959;231;800;132;224;242;104;65;50;10;4112;20110101
AT1;AT13;AT130;90501;503;2;8357;2941;202;661;153;226;297;99;84;58;10;3626;20110101
AT1;AT13;AT130;90501;504;2;3183;1136;84;307;80;132;135;50;47;44;7;1161;20110101
AT1;AT13;AT130;90501;599;2;2;0;0;0;0;0;0;0;0;0;0;2;20110101
AT1;AT13;AT130;90601;601;2;3835;1598;67;347;100;156;189;60;49;34;6;1229;20110101
AT1;AT13;AT130;90601;602;2;4698;1725;87;468;96;175;240;71;59;32;6;1739;20110101
AT1;AT13;AT130;90601;603;2;6919;2704;180;730;195;276;399;92;87;52;11;2193;20110101
AT1;AT13;AT130;90601;699;2;1;0;0;0;0;0;0;0;0;1;0;0;20110101
AT1;AT13;AT130;90701;701;2;2959;1206;45;271;75;111;154;40;36;32;4;985;20110101
AT1;AT13;AT130;90701;702;2;1526;593;24;113;40;80;93;42;30;20;1;490;20110101
AT1;AT13;AT130;90701;703;2;2416;978;56;209;63;117;151;42;33;27;3;737;20110101
AT1;AT13;AT130;90701;704;2;5223;2014;123;518;119;205;306;87;88;45;4;1714;20110101
AT1;AT13;AT130;90701;705;2;4050;1420;88;406;95;143;232;78;59;34;4;1491;20110101
AT1;AT13;AT130;90701;799;2;2;0;0;1;0;0;0;0;0;0;0;1;20110101
AT1;AT13;AT130;90801;801;2;2496;989;49;240;67;102;139;43;24;24;5;814;20110101
AT1;AT13;AT130;90801;802;2;6009;2581;120;530;147;224;338;118;66;42;5;1838;20110101
AT1;AT13;AT130;90801;803;2;3890;1569;97;383;113;148;236;60;40;33;3;1208;20110101
AT1;AT13;AT130;90801;899;2;3;2;0;0;0;0;0;0;0;0;0;1;20110101
AT1;AT13;AT130;90901;901;2;4328;1746;91;474;115;167;218;68;50;32;7;1360;20110101
AT1;AT13;AT130;90901;902;2;5774;2308;136;628;154;199;287;98;60;47;8;1849;20110101
AT1;AT13;AT130;90901;903;2;2144;824;46;211;59;78;123;36;12;19;4;732;20110101
AT1;AT13;AT130;90901;904;2;4864;1676;104;498;118;180;303;95;55;46;4;1785;20110101
AT1;AT13;AT130;90901;905;2;2812;1216;47;275;54;111;142;45;34;16;1;871;20110101
AT1;AT13;AT130;90901;906;2;1117;485;12;74;27;39;82;17;9;2;1;369;20110101
AT1;AT13;AT130;91001;1001;2;471;206;8;31;3;3;3;0;2;3;0;212;20110101
AT1;AT13;AT130;91001;1002;2;9456;3926;223;725;55;151;95;40;29;14;15;4183;20110101
AT1;AT13;AT130;91001;1003;2;3572;1682;100;342;21;67;37;9;12;11;8;1283;20110101
AT1;AT13;AT130;91001;1004;2;3844;1447;86;270;43;60;49;24;17;12;5;1831;20110101
AT1;AT13;AT130;91001;1005;2;8804;3639;282;638;52;155;139;36;29;15;9;3810;20110101
AT1;AT13;AT130;91001;1006;2;5850;2030;136;374;37;83;73;12;20;16;7;3062;20110101
