NUTS1;NUTS2;SEX;GIVEN_NAME;NUMBER;REF_YEAR
AT2;AT22;1;Luca *;149;2012
AT2;AT22;1;Lukas *;144;2012
AT2;AT22;1;Sebastian *;122;2012
AT2;AT22;1;Tobias *;122;2012
AT2;AT22;1;Felix;121;2012
AT2;AT22;1;Florian *;121;2012
AT2;AT22;1;Maximilian *;117;2012
AT2;AT22;1;Alexander *;113;2012
AT2;AT22;1;David *;112;2012
AT2;AT22;1;Jakob *;107;2012
AT2;AT22;1;Julian *;107;2012
AT2;AT22;1;Jonas;106;2012
AT2;AT22;1;Raphael *;101;2012
AT2;AT22;1;Elias *;97;2012
AT2;AT22;1;Paul *;94;2012
AT2;AT22;1;Fabian *;92;2012
AT2;AT22;1;Moritz *;89;2012
AT2;AT22;1;Matthias *;79;2012
AT2;AT22;1;Leon *;72;2012
AT2;AT22;1;Simon;72;2012
AT2;AT22;1;Philipp *;71;2012
AT2;AT22;1;Nico *;63;2012
AT2;AT22;1;Michael;53;2012
AT2;AT22;1;Dominik *;52;2012
AT2;AT22;1;Noah *;51;2012
AT2;AT22;1;Jan *;50;2012
AT2;AT22;1;Samuel *;49;2012
AT2;AT22;1;Marcel *;48;2012
AT2;AT22;1;Leo;46;2012
AT2;AT22;1;Niklas *;43;2012
AT2;AT22;1;Lorenz;42;2012
AT2;AT22;1;Benjamin *;41;2012
AT2;AT22;1;Konstantin *;39;2012
AT2;AT22;1;Stefan *;39;2012
AT2;AT22;1;Valentin *;39;2012
AT2;AT22;1;Thomas *;38;2012
AT2;AT22;1;Daniel *;35;2012
AT2;AT22;1;Johannes;35;2012
AT2;AT22;1;Marco *;35;2012
AT2;AT22;1;Markus *;33;2012
AT2;AT22;1;Andreas;30;2012
AT2;AT22;1;Matteo *;30;2012
AT2;AT22;1;Clemens *;29;2012
AT2;AT22;1;Gabriel *;28;2012
AT2;AT22;1;Max;27;2012
AT2;AT22;1;Timo *;27;2012
AT2;AT22;1;Oliver;26;2012
AT2;AT22;1;Jonathan *;25;2012
AT2;AT22;1;Tim *;24;2012
AT2;AT22;1;Christoph *;23;2012
AT2;AT22;1;Fabio;23;2012
AT2;AT22;1;Kilian *;23;2012
AT2;AT22;1;Martin;23;2012
AT2;AT22;1;Ben;22;2012
AT2;AT22;1;Christian *;20;2012
AT2;AT22;1;Manuel *;20;2012
AT2;AT22;1;Bastian *;19;2012
AT2;AT22;1;Georg;19;2012
AT2;AT22;1;Laurenz *;18;2012
AT2;AT22;1;Adrian *;17;2012
AT2;AT22;2;Anna;128;2012
AT2;AT22;2;Lena *;107;2012
AT2;AT22;2;Hannah *;106;2012
AT2;AT22;2;Sarah *;95;2012
AT2;AT22;2;Sophie *;92;2012
AT2;AT22;2;Julia *;91;2012
AT2;AT22;2;Marie *;86;2012
AT2;AT22;2;Laura;81;2012
AT2;AT22;2;Emma;79;2012
AT2;AT22;2;Lea *;79;2012
AT2;AT22;2;Leonie *;79;2012
AT2;AT22;2;Katharina *;72;2012
AT2;AT22;2;Mia;70;2012
AT2;AT22;2;Johanna;69;2012
AT2;AT22;2;Jana *;65;2012
AT2;AT22;2;Valentina *;63;2012
AT2;AT22;2;Lisa *;60;2012
AT2;AT22;2;Sophia *;59;2012
AT2;AT22;2;Lara *;55;2012
AT2;AT22;2;Elena *;45;2012
AT2;AT22;2;Clara *;43;2012
AT2;AT22;2;Larissa *;41;2012
AT2;AT22;2;Viktoria *;40;2012
AT2;AT22;2;Nina *;39;2012
AT2;AT22;2;Theresa *;39;2012
AT2;AT22;2;Amelie *;38;2012
AT2;AT22;2;Emilia *;38;2012
