Geburtsland in Wien gemeldeter Personen nach Geschlecht und Alter;;;;;;;;;;;;;;;;;;;
Country of birth of residents in Vienna by sex and age;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;AGE;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;00000;0000;2;0;8486;10;3;25;4;1;1;5;4;6;93;8334;20110101
AT1;AT13;AT130;00000;0000;2;1;8306;30;5;30;20;8;2;21;5;9;204;7972;20110101
AT1;AT13;AT130;00000;0000;2;2;8316;32;21;48;17;3;3;31;13;19;263;7866;20110101
AT1;AT13;AT130;00000;0000;2;3;8228;45;16;86;36;8;3;24;8;30;340;7632;20110101
AT1;AT13;AT130;00000;0000;2;4;8341;63;27;85;37;12;4;29;9;22;374;7679;20110101
AT1;AT13;AT130;00000;0000;2;5;8010;60;36;70;52;13;7;43;11;26;368;7324;20110101
AT1;AT13;AT130;00000;0000;2;6;7841;72;59;70;54;13;7;32;19;21;446;7048;20110101
AT1;AT13;AT130;00000;0000;2;7;7642;147;70;85;57;23;5;29;10;15;476;6725;20110101
AT1;AT13;AT130;00000;0000;2;8;7841;150;107;91;56;18;5;27;12;17;562;6796;20110101
AT1;AT13;AT130;00000;0000;2;9;7573;181;158;84;65;34;7;37;9;21;578;6399;20110101
AT1;AT13;AT130;00000;0000;2;10;7713;203;192;73;61;37;11;55;13;15;650;6403;20110101
AT1;AT13;AT130;00000;0000;2;11;7452;191;202;68;80;25;10;49;4;25;630;6168;20110101
AT1;AT13;AT130;00000;0000;2;12;7510;259;232;69;75;41;19;42;12;19;639;6103;20110101
AT1;AT13;AT130;00000;0000;2;13;7645;284;242;83;64;33;13;49;15;28;652;6182;20110101
AT1;AT13;AT130;00000;0000;2;14;7913;277;218;75;73;31;17;66;7;19;701;6429;20110101
AT1;AT13;AT130;00000;0000;2;15;7917;285;234;69;56;24;13;57;11;19;655;6494;20110101
AT1;AT13;AT130;00000;0000;2;16;8180;262;235;85;77;25;14;50;9;21;681;6721;20110101
AT1;AT13;AT130;00000;0000;2;17;8208;262;209;78;62;28;18;55;15;17;665;6799;20110101
AT1;AT13;AT130;00000;0000;2;18;8804;339;258;85;85;82;19;53;9;30;804;7040;20110101
AT1;AT13;AT130;00000;0000;2;19;10211;392;411;165;93;250;44;163;16;70;1039;7568;20110101
AT1;AT13;AT130;00000;0000;2;20;11086;538;526;245;128;268;63;245;17;74;1325;7657;20110101
AT1;AT13;AT130;00000;0000;2;21;11763;587;655;376;146;364;79;292;27;78;1532;7627;20110101
AT1;AT13;AT130;00000;0000;2;22;12515;663;672;391;219;376;107;375;32;108;1769;7803;20110101
AT1;AT13;AT130;00000;0000;2;23;12739;764;750;447;264;375;87;379;61;109;1902;7601;20110101
AT1;AT13;AT130;00000;0000;2;24;12999;754;805;507;297;382;91;389;46;100;2090;7538;20110101
AT1;AT13;AT130;00000;0000;2;25;13220;812;775;547;380;426;78;323;50;129;2115;7585;20110101
AT1;AT13;AT130;00000;0000;2;26;13773;827;775;555;379;467;117;366;57;136;2251;7843;20110101
AT1;AT13;AT130;00000;0000;2;27;14043;790;739;562;461;457;92;310;70;165;2474;7923;20110101
AT1;AT13;AT130;00000;0000;2;28;14258;797;701;574;455;381;113;315;72;146;2430;8274;20110101
AT1;AT13;AT130;00000;0000;2;29;14378;828;780;588;492;426;88;375;86;185;2536;7994;20110101
AT1;AT13;AT130;00000;0000;2;30;13888;797;761;576;509;387;112;396;100;169;2578;7503;20110101
AT1;AT13;AT130;00000;0000;2;31;12984;769;729;551;498;362;119;354;112;193;2373;6924;20110101
AT1;AT13;AT130;00000;0000;2;32;12704;780;743;455;543;330;72;381;114;213;2310;6763;20110101
AT1;AT13;AT130;00000;0000;2;33;12599;874;737;457;487;322;103;347;108;209;2409;6546;20110101
AT1;AT13;AT130;00000;0000;2;34;12452;880;673;471;500;344;78;339;144;179;2357;6487;20110101
AT1;AT13;AT130;00000;0000;2;35;12696;836;704;460;501;348;97;329;109;212;2310;6790;20110101
AT1;AT13;AT130;00000;0000;2;36;13073;878;855;412;430;381;106;340;116;203;2231;7121;20110101
AT1;AT13;AT130;00000;0000;2;37;12846;881;908;389;406;412;111;241;119;153;2257;6969;20110101
AT1;AT13;AT130;00000;0000;2;38;13248;1025;832;406;412;434;138;284;102;141;2172;7302;20110101
AT1;AT13;AT130;00000;0000;2;39;13500;1119;791;361;458;489;105;256;94;156;2135;7536;20110101
AT1;AT13;AT130;00000;0000;2;40;13812;1156;815;406;432;440;123;257;97;168;2166;7752;20110101
AT1;AT13;AT130;00000;0000;2;41;14112;1191;752;318;369;488;142;256;93;157;1997;8349;20110101
AT1;AT13;AT130;00000;0000;2;42;14559;1100;667;338;400;471;132;306;73;134;1920;9018;20110101
AT1;AT13;AT130;00000;0000;2;43;14174;1071;531;373;343;462;141;295;99;147;1754;8958;20110101
AT1;AT13;AT130;00000;0000;2;44;14036;1017;661;341;382;437;132;141;75;95;1736;9019;20110101
AT1;AT13;AT130;00000;0000;2;45;14029;1010;826;327;396;419;128;158;68;92;1692;8913;20110101
AT1;AT13;AT130;00000;0000;2;46;14027;944;754;310;333;389;117;146;74;103;1722;9135;20110101
AT1;AT13;AT130;00000;0000;2;47;13978;947;642;308;343;383;108;137;89;86;1615;9320;20110101
AT1;AT13;AT130;00000;0000;2;48;13462;925;539;306;356;337;94;132;61;86;1632;8994;20110101
AT1;AT13;AT130;00000;0000;2;49;12964;1004;484;270;403;327;94;111;62;81;1347;8781;20110101
AT1;AT13;AT130;00000;0000;2;50;12665;968;635;226;426;353;92;128;68;73;1385;8311;20110101
AT1;AT13;AT130;00000;0000;2;51;12214;976;522;242;456;289;88;111;72;74;1351;8033;20110101
AT1;AT13;AT130;00000;0000;2;52;11633;909;458;221;482;334;89;128;77;88;1235;7612;20110101
AT1;AT13;AT130;00000;0000;2;53;11217;944;364;183;500;266;74;120;101;91;1273;7301;20110101
AT1;AT13;AT130;00000;0000;2;54;11410;1169;431;193;452;294;82;137;97;122;1316;7117;20110101
AT1;AT13;AT130;00000;0000;2;55;10806;1289;494;190;490;289;89;98;75;153;1183;6456;20110101
AT1;AT13;AT130;00000;0000;2;56;10332;1403;393;172;443;290;90;108;101;159;1109;6064;20110101
AT1;AT13;AT130;00000;0000;2;57;9971;1422;329;200;403;272;74;75;104;148;1092;5852;20110101
AT1;AT13;AT130;00000;0000;2;58;9825;1409;312;179;415;269;73;100;109;129;1096;5734;20110101
AT1;AT13;AT130;00000;0000;2;59;9274;1191;210;158;337;194;61;80;134;118;998;5793;20110101
AT1;AT13;AT130;00000;0000;2;60;9716;1310;282;150;327;185;75;95;120;121;927;6124;20110101
AT1;AT13;AT130;00000;0000;2;61;10119;1178;268;186;246;211;69;90;147;122;873;6729;20110101
AT1;AT13;AT130;00000;0000;2;62;10905;1099;240;161;268;181;39;70;180;152;849;7666;20110101
AT1;AT13;AT130;00000;0000;2;63;11453;947;189;222;220;135;61;57;164;153;822;8483;20110101
AT1;AT13;AT130;00000;0000;2;64;8620;690;169;276;176;110;45;54;168;136;746;6050;20110101
AT1;AT13;AT130;00000;0000;2;65;8468;564;175;386;158;93;29;52;342;99;651;5919;20110101
AT1;AT13;AT130;00000;0000;2;66;10782;570;141;351;211;93;22;55;494;134;656;8055;20110101
