Bevölkerungsindikatoren in Wien nach Wiener Bezirk ;;;;;;;;;;;;;;;;;;;;;;;
population indicators in Vienna by Vienna district ;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;DISTRICT_POP_RATIO;POP_DENSITY;RATE_M;RATE_F;SEX_RATIO;RATE_FOR_NATIONAL;RATE_FOR_BORN;RATE_MIG_BACKGROUND;AVERAGE_AGE_M;AVERAGE_AGE_F;WORKINGAGE_RATIO;YOUTH_RATIO;AGE_RATIO;OLD_AGE_RATIO;DEPENDENCY_RATIO;YOUTH_DEP_RATIO;AGE_DEP_RATIO;OLD_AGED_DER_RATIO;REF_DATE
AT1;AT13;AT130;90101;0;0,962207587;5711,364734;47,81812634;52,18187366;109,1257179;19,48123283;31,05889533;32,78608483;45,28462029;47,41157895;62,20933781;13,6588343;24,13182789;4,186756179;60,74757186;21,95624448;38,79132738;17,34951947;20110101
AT1;AT13;AT130;90201;0;5,596601002;4952,814896;49,10390128;50,89609872;103,6498066;27,88398984;37,48294894;41,10511847;37,84268222;41,17082775;64,68594573;19,72256616;15,59148811;2,403936958;54,59308644;30,48972375;24,10336269;15,41826502;20110101
AT1;AT13;AT130;90301;0;4,930249493;11348,78571;47,36465964;52,63534036;111,1278763;22,86105652;32,2303615;34,82460842;39,53710549;42,62579769;65,72806861;17,206837;17,0650944;2,533500089;52,14200283;26,17882643;25,9631764;14,84609479;20110101
AT1;AT13;AT130;90401;0;1,793517358;17204,35881;46,93690449;53,06309551;113,0519707;23,84990668;33,36825906;35,72247143;39,91433554;43,1625941;66,40581513;16,0996693;17,49451557;3,143315543;50,58922144;24,24436665;26,34485479;17,96743403;20110101
AT1;AT13;AT130;90501;0;3,097914972;26223,89389;48,85788486;51,14211514;104,6752541;28,51591379;38,57600516;42,05448031;37,89559246;40,80158642;69,02924952;17,12509241;13,84565807;2,147745152;44,8661266;24,80845805;20,05766854;15,51204819;20110101
AT1;AT13;AT130;90601;0;1,721109548;20141,7747;48,02443019;51,97556981;108,2273535;22,26354579;31,96396888;34,26027023;39,4226643;42,26449156;70,39716118;14,67858605;14,92425276;2,497611574;42,05118263;20,85110508;21,20007755;16,73525377;20110101
AT1;AT13;AT130;90701;0;1,765388128;18692,39775;47,15255139;52,84744861;112,0776014;22,93260595;31,67121283;33,72031136;39,0152381;41,27576006;71,53549331;14,53329785;13,93120884;2,275297718;39,79074634;20,31620553;19,4745408;16,33237822;20110101
AT1;AT13;AT130;90801;0;1,37292958;21449,69195;48,34252962;51,65747038;106,8571934;22,20368707;30,16382223;32,19556012;38,90134489;42,12147056;69,77629497;14,82954788;15,39415715;2,335429231;43,31514743;21,25298841;22,06215901;15,1708808;20110101
AT1;AT13;AT130;90901;0;2,308769684;13249,26071;47,41701641;52,58298359;110,8947538;24,33168002;32,35151978;34,70176777;38,70743482;42,1147874;69,46458095;14,78824876;15,74717029;2,693628386;43,95825705;21,28890516;22,66935189;17,10547569;20110101
AT1;AT13;AT130;91001;0;10,36835197;5548,257132;48,42827853;51,57172147;106,4909244;24,40557777;33,99619389;37,72358092;38,41650683;41,56546665;62,19316032;20,99253503;16,81430465;2,092796701;60,78938501;33,75376797;27,03561704;12,44652542;20110101
AT1;AT13;AT130;91101;0;5,308379163;3886,849064;48,7543421;51,2456579;105,1099362;19,42938691;29,21875346;32,19018961;37,10387783;39,71841202;63,31946811;22,42516096;14,25537093;1,494568224;57,92931146;35,4159023;22,51340916;10,48424647;20110101
AT1;AT13;AT130;91201;0;5,169142411;10862,6323;47,89998069;52,10001931;108,7683514;23,7483385;33,76844688;37,18232735;38,07878946;41,68874836;63,31299774;20,44920078;16,23780148;2,503891028;57,94545128;32,29858245;25,64686883;15,42013573;20110101
AT1;AT13;AT130;91301;0;2,992973565;1351,354812;45,27331947;54,72668053;120,8806449;12,10610996;20,14284032;21,58694031;42,56726185;47,3447225;56,75548405;17,75301181;25,49150414;4,928776047;76,19442716;31,27981747;44,91460969;19,33497537;20110101
AT1;AT13;AT130;91401;0;4,96613041;2504,703766;47,30861103;52,69138897;111,3780088;17,46328312;25,6592484;27,96632216;40,40417927;43,78159294;62,83494549;18,21181089;18,95324362;2,908970508;59,1471103;28,98357077;30,16353953;15,34814075;20110101
AT1;AT13;AT130;91501;0;4,198302263;18248,12942;49,38104097;50,61895903;102,5068691;33,74550643;42,82636975;47,26888699;37,32427839;40,10334918;67,53717251;19,13247821;13,33034927;1,892545915;48,06660729;28,32881138;19,73779591;14,19727177;20110101
AT1;AT13;AT130;91601;0;5,57598856;10947,3471;48,51765648;51,48234352;106,1105323;27,98917336;36,74316226;40,56197407;38,30357298;41,35885686;65,2262746;19,26151383;15,51221156;2,127413087;53,31245055;29,53029887;23,78215168;13,7144409;20110101
AT1;AT13;AT130;91701;0;3,070901515;4590,733723;48,29518291;51,70481709;107,0599881;25,96140975;33,62782782;37,16558622;38,69578301;41,57552334;65,10814067;18,84573461;16,04612472;2,287112998;53,59062472;28,94528152;24,6453432;14,2533667;20110101
AT1;AT13;AT130;91801;0;2,793837408;7495,586429;46,17130846;53,82869154;116,5847218;21,20861797;28,66001051;31,10667367;39,45848129;43,14073177;63,35890699;17,89385181;18,7472412;3,333683657;57,83100554;28,24204625;29,58895929;17,78226259;20110101
AT1;AT13;AT130;91901;0;3,997932883;2729,242964;45,71306864;54,28693136;118,755824;16,83632251;26,21072577;28,00863702;41,51026638;46,20563883;58,64510348;17,68092951;23,67396701;4,513873588;70,51721979;30,14902943;40,36819036;19,06682385;20110101
AT1;AT13;AT130;92001;0;4,872346735;14529,2434;48,96286565;51,03713435;104,236412;28,75531825;38,73012812;42,86902337;37,67346889;40,77151966;64,75310056;19,83873495;15,4081645;1,885041401;54,43275942;30,63750582;23,79525361;12,23404255;20110101
AT1;AT13;AT130;92101;0;8,350622924;3199,567523;47,8069466;52,1930534;109,1746223;13,88547036;22,40944029;24,63519434;39,31417602;42,04551457;61,17131625;21,27019177;17,55849197;1,81717171;63,47531184;34,77151233;28,70379951;10,34924704;20110101
AT1;AT13;AT130;92201;0;9,303023452;1548,56159;47,90458095;52,09541905;108,7483034;11,84090091;21,65361041;23,35355423;38,08691642;40,44644242;62,03879634;23,06255011;14,89865355;1,435452003;61,18945869;37,17439967;24,01505902;9,634776714;20110101
