Lebendgeburten in Wien gemeldeter Personen  nach Geschlecht und Wiener Zählbezirk;;;;;;
Life birth of residents in Vienna  by sex and Vienna subdistrict ;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;LIVEBIRTH;REF_YEAR
AT1;AT13;AT130;90101;0101;2;8;2010
AT1;AT13;AT130;90101;0102;2;4;2010
AT1;AT13;AT130;90101;0103;2;10;2010
AT1;AT13;AT130;90101;0104;2;5;2010
AT1;AT13;AT130;90101;0105;2;11;2010
AT1;AT13;AT130;90101;0106;2;11;2010
AT1;AT13;AT130;90101;0107;2;10;2010
AT1;AT13;AT130;90101;0199;2;14;2010
AT1;AT13;AT130;90201;0201;2;49;2010
AT1;AT13;AT130;90201;0202;2;71;2010
AT1;AT13;AT130;90201;0203;2;67;2010
AT1;AT13;AT130;90201;0204;2;77;2010
AT1;AT13;AT130;90201;0205;2;52;2010
AT1;AT13;AT130;90201;0206;2;25;2010
AT1;AT13;AT130;90201;0207;2;65;2010
AT1;AT13;AT130;90201;0208;2;12;2010
AT1;AT13;AT130;90201;0209;2;95;2010
AT1;AT13;AT130;90201;0299;2;52;2010
AT1;AT13;AT130;90301;0301;2;43;2010
AT1;AT13;AT130;90301;0302;2;40;2010
AT1;AT13;AT130;90301;0303;2;25;2010
AT1;AT13;AT130;90301;0304;2;52;2010
AT1;AT13;AT130;90301;0305;2;38;2010
AT1;AT13;AT130;90301;0306;2;69;2010
AT1;AT13;AT130;90301;0307;2;25;2010
AT1;AT13;AT130;90301;0308;2;6;2010
AT1;AT13;AT130;90301;0309;2;41;2010
AT1;AT13;AT130;90301;0310;2;43;2010
AT1;AT13;AT130;90301;0311;2;10;2010
AT1;AT13;AT130;90301;0399;2;33;2010
AT1;AT13;AT130;90401;0401;2;12;2010
AT1;AT13;AT130;90401;0402;2;49;2010
AT1;AT13;AT130;90401;0403;2;56;2010
AT1;AT13;AT130;90401;0404;2;34;2010
AT1;AT13;AT130;90401;0499;2;22;2010
AT1;AT13;AT130;90501;0501;2;47;2010
AT1;AT13;AT130;90501;0502;2;107;2010
AT1;AT13;AT130;90501;0503;2;72;2010
AT1;AT13;AT130;90501;0504;2;25;2010
AT1;AT13;AT130;90501;0599;2;14;2010
AT1;AT13;AT130;90601;0601;2;34;2010
AT1;AT13;AT130;90601;0602;2;42;2010
AT1;AT13;AT130;90601;0603;2;50;2010
AT1;AT13;AT130;90601;0699;2;11;2010
AT1;AT13;AT130;90701;0701;2;25;2010
AT1;AT13;AT130;90701;0702;2;12;2010
AT1;AT13;AT130;90701;0703;2;18;2010
AT1;AT13;AT130;90701;0704;2;49;2010
AT1;AT13;AT130;90701;0705;2;47;2010
AT1;AT13;AT130;90701;0799;2;14;2010
AT1;AT13;AT130;90801;0801;2;10;2010
AT1;AT13;AT130;90801;0802;2;48;2010
AT1;AT13;AT130;90801;0803;2;35;2010
AT1;AT13;AT130;90801;0899;2;9;2010
AT1;AT13;AT130;90901;0901;2;25;2010
AT1;AT13;AT130;90901;0902;2;46;2010
AT1;AT13;AT130;90901;0903;2;12;2010
AT1;AT13;AT130;90901;0904;2;47;2010
AT1;AT13;AT130;90901;0905;2;13;2010
AT1;AT13;AT130;90901;0906;2;14;2010
AT1;AT13;AT130;90901;0999;2;21;2010
AT1;AT13;AT130;91001;1001;2;13;2010
AT1;AT13;AT130;91001;1002;2;129;2010
AT1;AT13;AT130;91001;1003;2;36;2010
AT1;AT13;AT130;91001;1004;2;44;2010
AT1;AT13;AT130;91001;1005;2;98;2010
AT1;AT13;AT130;91001;1006;2;79;2010
AT1;AT13;AT130;91001;1007;2;64;2010
AT1;AT13;AT130;91001;1008;2;64;2010
AT1;AT13;AT130;91001;1009;2;27;2010
AT1;AT13;AT130;91001;1010;2;92;2010
AT1;AT13;AT130;91001;1011;2;40;2010
AT1;AT13;AT130;91001;1012;2;27;2010
AT1;AT13;AT130;91001;1013;2;17;2010
AT1;AT13;AT130;91001;1014;2;18;2010
AT1;AT13;AT130;91001;1015;2;30;2010
AT1;AT13;AT130;91001;1016;2;21;2010
AT1;AT13;AT130;91001;1017;2;4;2010
AT1;AT13;AT130;91001;1018;2;28;2010
AT1;AT13;AT130;91001;1019;2;7;2010
AT1;AT13;AT130;91001;1020;2;16;2010
AT1;AT13;AT130;91001;1021;2;21;2010
AT1;AT13;AT130;91001;1022;2;34;2010
AT1;AT13;AT130;91001;1023;2;57;2010
AT1;AT13;AT130;91001;1099;2;60;2010
AT1;AT13;AT130;91101;1101;2;9;2010
AT1;AT13;AT130;91101;1102;2;75;2010
AT1;AT13;AT130;91101;1103;2;97;2010
AT1;AT13;AT130;91101;1104;2;27;2010
AT1;AT13;AT130;91101;1105;2;31;2010
AT1;AT13;AT130;91101;1107;2;25;2010
AT1;AT13;AT130;91101;1108;2;5;2010
AT1;AT13;AT130;91101;1109;2;11;2010
AT1;AT13;AT130;91101;1110;2;123;2010
AT1;AT13;AT130;91101;1111;2;40;2010
AT1;AT13;AT130;91101;1112;2;1;2010
AT1;AT13;AT130;91101;1113;2;14;2010
AT1;AT13;AT130;91101;1199;2;43;2010
AT1;AT13;AT130;91201;1201;2;27;2010
AT1;AT13;AT130;91201;1202;2;79;2010
AT1;AT13;AT130;91201;1203;2;27;2010
AT1;AT13;AT130;91201;1204;2;46;2010
AT1;AT13;AT130;91201;1205;2;31;2010
AT1;AT13;AT130;91201;1206;2;37;2010
AT1;AT13;AT130;91201;1207;2;33;2010
AT1;AT13;AT130;91201;1208;2;16;2010
AT1;AT13;AT130;91201;1209;2;51;2010
AT1;AT13;AT130;91201;1210;2;46;2010
AT1;AT13;AT130;91201;1211;2;47;2010
AT1;AT13;AT130;91201;1299;2;33;2010
AT1;AT13;AT130;91301;0602;2;1;2010
AT1;AT13;AT130;91301;1301;2;2;2010
AT1;AT13;AT130;91301;1302;2;18;2010
AT1;AT13;AT130;91301;1303;2;44;2010
AT1;AT13;AT130;91301;1304;2;41;2010
AT1;AT13;AT130;91301;1305;2;16;2010
AT1;AT13;AT130;91301;1306;2;13;2010
AT1;AT13;AT130;91301;1307;2;10;2010
AT1;AT13;AT130;91301;1308;2;22;2010
AT1;AT13;AT130;91301;1309;2;14;2010
AT1;AT13;AT130;91301;1311;2;12;2010
AT1;AT13;AT130;91301;1399;2;19;2010
AT1;AT13;AT130;91401;1401;2;31;2010
AT1;AT13;AT130;91401;1402;2;52;2010
AT1;AT13;AT130;91401;1403;2;37;2010
AT1;AT13;AT130;91401;1404;2;95;2010
AT1;AT13;AT130;91401;1405;2;9;2010
AT1;AT13;AT130;91401;1406;2;49;2010
AT1;AT13;AT130;91401;1407;2;12;2010
AT1;AT13;AT130;91401;1408;2;14;2010
AT1;AT13;AT130;91401;1410;2;27;2010
AT1;AT13;AT130;91401;1411;2;16;2010
AT1;AT13;AT130;91401;1412;2;27;2010
AT1;AT13;AT130;91401;1499;2;24;2010
AT1;AT13;AT130;91501;1501;2;55;2010
AT1;AT13;AT130;91501;1502;2;66;2010
AT1;AT13;AT130;91501;1503;2;71;2010
AT1;AT13;AT130;91501;1504;2;42;2010
AT1;AT13;AT130;91501;1505;2;48;2010
AT1;AT13;AT130;91501;1506;2;67;2010
AT1;AT13;AT130;91501;1507;2;28;2010
AT1;AT13;AT130;91501;1599;2;26;2010
AT1;AT13;AT130;91601;1601;2;78;2010
AT1;AT13;AT130;91601;1602;2;59;2010
AT1;AT13;AT130;91601;1603;2;51;2010
AT1;AT13;AT130;91601;1604;2;45;2010
AT1;AT13;AT130;91601;1605;2;83;2010
AT1;AT13;AT130;91601;1606;2;49;2010
AT1;AT13;AT130;91601;1607;2;43;2010
AT1;AT13;AT130;91601;1608;2;11;2010
AT1;AT13;AT130;91601;1609;2;21;2010
AT1;AT13;AT130;91601;1610;2;80;2010
AT1;AT13;AT130;91601;1699;2;41;2010
AT1;AT13;AT130;91701;1701;2;52;2010
AT1;AT13;AT130;91701;1702;2;73;2010
AT1;AT13;AT130;91701;1703;2;79;2010
AT1;AT13;AT130;91701;1704;2;15;2010
AT1;AT13;AT130;91701;1705;2;27;2010
AT1;AT13;AT130;91701;1706;2;9;2010
AT1;AT13;AT130;91701;1799;2;13;2010
AT1;AT13;AT130;91801;1801;2;10;2010
AT1;AT13;AT130;91801;1802;2;76;2010
AT1;AT13;AT130;91801;1803;2;66;2010
AT1;AT13;AT130;91801;1804;2;36;2010
AT1;AT13;AT130;91801;1805;2;33;2010
AT1;AT13;AT130;91801;1899;2;13;2010
AT1;AT13;AT130;91901;1901;2;18;2010
AT1;AT13;AT130;91901;1902;2;38;2010
AT1;AT13;AT130;91901;1904;2;60;2010
AT1;AT13;AT130;91901;1905;2;33;2010
AT1;AT13;AT130;91901;1906;2;22;2010
AT1;AT13;AT130;91901;1907;2;9;2010
AT1;AT13;AT130;91901;1908;2;45;2010
AT1;AT13;AT130;91901;1909;2;19;2010
AT1;AT13;AT130;91901;1910;2;34;2010
AT1;AT13;AT130;91901;1999;2;29;2010
AT1;AT13;AT130;92001;2001;2;43;2010
AT1;AT13;AT130;92001;2002;2;94;2010
AT1;AT13;AT130;92001;2003;2;63;2010
AT1;AT13;AT130;92001;2004;2;39;2010
AT1;AT13;AT130;92001;2005;2;74;2010
AT1;AT13;AT130;92001;2006;2;37;2010
AT1;AT13;AT130;92001;2007;2;60;2010
AT1;AT13;AT130;92001;2008;2;19;2010
AT1;AT13;AT130;92001;2099;2;34;2010
AT1;AT13;AT130;92101;2101;2;3;2010
AT1;AT13;AT130;92101;2102;2;27;2010
AT1;AT13;AT130;92101;2103;2;13;2010
AT1;AT13;AT130;92101;2104;2;6;2010
AT1;AT13;AT130;92101;2105;2;69;2010
AT1;AT13;AT130;92101;2106;2;3;2010
AT1;AT13;AT130;92101;2107;2;13;2010
AT1;AT13;AT130;92101;2108;2;4;2010
AT1;AT13;AT130;92101;2109;2;13;2010
AT1;AT13;AT130;92101;2110;2;16;2010
AT1;AT13;AT130;92101;2111;2;23;2010
AT1;AT13;AT130;92101;2112;2;36;2010
AT1;AT13;AT130;92101;2113;2;15;2010
AT1;AT13;AT130;92101;2114;2;20;2010
AT1;AT13;AT130;92101;2115;2;16;2010
AT1;AT13;AT130;92101;2116;2;6;2010
AT1;AT13;AT130;92101;2117;2;33;2010
AT1;AT13;AT130;92101;2118;2;25;2010
AT1;AT13;AT130;92101;2119;2;16;2010
AT1;AT13;AT130;92101;2120;2;15;2010
AT1;AT13;AT130;92101;2121;2;31;2010
AT1;AT13;AT130;92101;2122;2;32;2010
AT1;AT13;AT130;92101;2123;2;55;2010
AT1;AT13;AT130;92101;2124;2;6;2010
AT1;AT13;AT130;92101;2125;2;24;2010
AT1;AT13;AT130;92101;2126;2;39;2010
AT1;AT13;AT130;92101;2127;2;2;2010
AT1;AT13;AT130;92101;2128;2;1;2010
AT1;AT13;AT130;92101;2129;2;1;2010
AT1;AT13;AT130;92101;2199;2;104;2010
AT1;AT13;AT130;92201;2201;2;6;2010
AT1;AT13;AT130;92201;2202;2;33;2010
AT1;AT13;AT130;92201;2203;2;2;2010
AT1;AT13;AT130;92201;2204;2;16;2010
AT1;AT13;AT130;92201;2205;2;19;2010
AT1;AT13;AT130;92201;2206;2;43;2010
AT1;AT13;AT130;92201;2207;2;12;2010
AT1;AT13;AT130;92201;2208;2;50;2010
AT1;AT13;AT130;92201;2209;2;50;2010
AT1;AT13;AT130;92201;2210;2;39;2010
AT1;AT13;AT130;92201;2211;2;44;2010
AT1;AT13;AT130;92201;2212;2;12;2010
AT1;AT13;AT130;92201;2213;2;19;2010
AT1;AT13;AT130;92201;2214;2;27;2010
AT1;AT13;AT130;92201;2215;2;36;2010
AT1;AT13;AT130;92201;2216;2;3;2010
AT1;AT13;AT130;92201;2217;2;3;2010
AT1;AT13;AT130;92201;2218;2;20;2010
AT1;AT13;AT130;92201;2219;2;32;2010
AT1;AT13;AT130;92201;2220;2;9;2010
AT1;AT13;AT130;92201;2221;2;3;2010
AT1;AT13;AT130;92201;2222;2;15;2010
AT1;AT13;AT130;92201;2223;2;21;2010
AT1;AT13;AT130;92201;2224;2;26;2010
AT1;AT13;AT130;92201;2225;2;8;2010
AT1;AT13;AT130;92201;2226;2;7;2010
AT1;AT13;AT130;92201;2227;2;25;2010
AT1;AT13;AT130;92201;2228;2;20;2010
AT1;AT13;AT130;92201;2229;2;11;2010
AT1;AT13;AT130;92201;2232;2;23;2010
AT1;AT13;AT130;92201;2299;2;88;2010
AT1;AT13;AT130;92301;2301;2;8;2010
AT1;AT13;AT130;92301;2302;2;15;2010
AT1;AT13;AT130;92301;2303;2;10;2010
AT1;AT13;AT130;92301;2304;2;31;2010
AT1;AT13;AT130;92301;2305;2;37;2010
AT1;AT13;AT130;92301;2306;2;2;2010
AT1;AT13;AT130;92301;2307;2;40;2010
AT1;AT13;AT130;92301;2308;2;19;2010
AT1;AT13;AT130;92301;2309;2;21;2010
AT1;AT13;AT130;92301;2310;2;20;2010
AT1;AT13;AT130;92301;2311;2;40;2010
AT1;AT13;AT130;92301;2312;2;12;2010
AT1;AT13;AT130;92301;2313;2;17;2010
AT1;AT13;AT130;92301;2314;2;21;2010
AT1;AT13;AT130;92301;2315;2;8;2010
AT1;AT13;AT130;92301;2316;2;12;2010
AT1;AT13;AT130;92301;2318;2;16;2010
AT1;AT13;AT130;92301;2319;2;32;2010
AT1;AT13;AT130;92301;2399;2;35;2010
AT1;AT13;AT130;90101;0101;1;10;2010
AT1;AT13;AT130;90101;0102;1;8;2010
AT1;AT13;AT130;90101;0103;1;8;2010
AT1;AT13;AT130;90101;0104;1;7;2010
AT1;AT13;AT130;90101;0105;1;5;2010
AT1;AT13;AT130;90101;0106;1;8;2010
AT1;AT13;AT130;90101;0107;1;13;2010
AT1;AT13;AT130;90101;0199;1;14;2010
AT1;AT13;AT130;90201;0201;1;65;2010
AT1;AT13;AT130;90201;0202;1;68;2010
AT1;AT13;AT130;90201;0203;1;74;2010
AT1;AT13;AT130;90201;0204;1;94;2010
AT1;AT13;AT130;90201;0205;1;40;2010
AT1;AT13;AT130;90201;0206;1;26;2010
AT1;AT13;AT130;90201;0207;1;90;2010
AT1;AT13;AT130;90201;0208;1;8;2010
AT1;AT13;AT130;90201;0209;1;81;2010
AT1;AT13;AT130;90201;0299;1;56;2010
AT1;AT13;AT130;90301;0301;1;50;2010
AT1;AT13;AT130;90301;0302;1;37;2010
AT1;AT13;AT130;90301;0303;1;26;2010
AT1;AT13;AT130;90301;0304;1;60;2010
AT1;AT13;AT130;90301;0305;1;47;2010
AT1;AT13;AT130;90301;0306;1;78;2010
AT1;AT13;AT130;90301;0307;1;28;2010
AT1;AT13;AT130;90301;0308;1;4;2010
AT1;AT13;AT130;90301;0309;1;40;2010
AT1;AT13;AT130;90301;0310;1;33;2010
AT1;AT13;AT130;90301;0311;1;12;2010
AT1;AT13;AT130;90301;0399;1;46;2010
AT1;AT13;AT130;90401;0401;1;8;2010
AT1;AT13;AT130;90401;0402;1;48;2010
AT1;AT13;AT130;90401;0403;1;47;2010
AT1;AT13;AT130;90401;0404;1;27;2010
AT1;AT13;AT130;90401;0499;1;14;2010
AT1;AT13;AT130;90501;0501;1;53;2010
AT1;AT13;AT130;90501;0502;1;119;2010
AT1;AT13;AT130;90501;0503;1;108;2010
AT1;AT13;AT130;90501;0504;1;31;2010
AT1;AT13;AT130;90501;0599;1;23;2010
AT1;AT13;AT130;90601;0601;1;29;2010
AT1;AT13;AT130;90601;0602;1;55;2010
AT1;AT13;AT130;90601;0603;1;50;2010
AT1;AT13;AT130;90601;0699;1;18;2010
AT1;AT13;AT130;90701;0701;1;21;2010
AT1;AT13;AT130;90701;0702;1;14;2010
AT1;AT13;AT130;90701;0703;1;18;2010
AT1;AT13;AT130;90701;0704;1;29;2010
AT1;AT13;AT130;90701;0705;1;33;2010
AT1;AT13;AT130;90701;0799;1;13;2010
AT1;AT13;AT130;90801;0801;1;18;2010
AT1;AT13;AT130;90801;0802;1;45;2010
AT1;AT13;AT130;90801;0803;1;36;2010
AT1;AT13;AT130;90801;0899;1;9;2010
AT1;AT13;AT130;90901;0901;1;32;2010
AT1;AT13;AT130;90901;0902;1;49;2010
AT1;AT13;AT130;90901;0903;1;14;2010
AT1;AT13;AT130;90901;0904;1;49;2010
AT1;AT13;AT130;90901;0905;1;26;2010
AT1;AT13;AT130;90901;0906;1;9;2010
AT1;AT13;AT130;90901;0999;1;22;2010
AT1;AT13;AT130;91001;1001;1;12;2010
AT1;AT13;AT130;91001;1002;1;113;2010
AT1;AT13;AT130;91001;1003;1;30;2010
AT1;AT13;AT130;91001;1004;1;54;2010
AT1;AT13;AT130;91001;1005;1;114;2010
AT1;AT13;AT130;91001;1006;1;89;2010
AT1;AT13;AT130;91001;1007;1;63;2010
AT1;AT13;AT130;91001;1008;1;69;2010
AT1;AT13;AT130;91001;1009;1;33;2010
AT1;AT13;AT130;91001;1010;1;92;2010
AT1;AT13;AT130;91001;1011;1;40;2010
AT1;AT13;AT130;91001;1012;1;23;2010
AT1;AT13;AT130;91001;1013;1;11;2010
AT1;AT13;AT130;91001;1014;1;9;2010
AT1;AT13;AT130;91001;1015;1;33;2010
AT1;AT13;AT130;91001;1016;1;20;2010
AT1;AT13;AT130;91001;1017;1;1;2010
AT1;AT13;AT130;91001;1018;1;35;2010
AT1;AT13;AT130;91001;1019;1;6;2010
AT1;AT13;AT130;91001;1020;1;27;2010
AT1;AT13;AT130;91001;1021;1;28;2010
AT1;AT13;AT130;91001;1022;1;38;2010
AT1;AT13;AT130;91001;1023;1;65;2010
AT1;AT13;AT130;91001;1099;1;76;2010
AT1;AT13;AT130;91101;1010;1;1;2010
AT1;AT13;AT130;91101;1101;1;16;2010
AT1;AT13;AT130;91101;1102;1;76;2010
AT1;AT13;AT130;91101;1103;1;110;2010
AT1;AT13;AT130;91101;1104;1;23;2010
AT1;AT13;AT130;91101;1105;1;50;2010
AT1;AT13;AT130;91101;1106;1;2;2010
AT1;AT13;AT130;91101;1107;1;36;2010
AT1;AT13;AT130;91101;1109;1;8;2010
AT1;AT13;AT130;91101;1110;1;155;2010
AT1;AT13;AT130;91101;1111;1;32;2010
AT1;AT13;AT130;91101;1113;1;12;2010
AT1;AT13;AT130;91101;1199;1;38;2010
AT1;AT13;AT130;91201;1004;1;1;2010
AT1;AT13;AT130;91201;1201;1;25;2010
AT1;AT13;AT130;91201;1202;1;118;2010
AT1;AT13;AT130;91201;1203;1;31;2010
AT1;AT13;AT130;91201;1204;1;35;2010
AT1;AT13;AT130;91201;1205;1;41;2010
AT1;AT13;AT130;91201;1206;1;36;2010
AT1;AT13;AT130;91201;1207;1;31;2010
AT1;AT13;AT130;91201;1208;1;21;2010
AT1;AT13;AT130;91201;1209;1;48;2010
AT1;AT13;AT130;91201;1210;1;45;2010
AT1;AT13;AT130;91201;1211;1;42;2010
AT1;AT13;AT130;91201;1299;1;28;2010
AT1;AT13;AT130;91301;1301;1;1;2010
AT1;AT13;AT130;91301;1302;1;28;2010
AT1;AT13;AT130;91301;1303;1;34;2010
AT1;AT13;AT130;91301;1304;1;59;2010
