Gebäude, Bezirke Bauperiode;;;;;;;;;;;;;;;;;;;
Houses, district period of construction;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE_2;DISTRICT_CODE;SUB_DISTRICT_CODE;GEB_1919;GEB_1919_1944;GEB_1945_1960;GEB_1961_1970;GEB_1971_1980;GEB_1981_1990;GEB_1991_2000;GEB_2001;GEB_2002;GEB_2003;GEB_2004;GEB_2005;GEB_2006;GEB_2007;GEB_2008;GEB_2009;GEB_2010;GEB_2011
AT1;AT13;AT130;01;90101;00000;1153;59;126;50;16;38;46;2;2;4;3;6;0;0;30;3;0;1
AT1;AT13;AT130;02;90201;00000;1695;289;583;496;322;621;259;34;50;37;23;19;18;42;123;84;39;24
AT1;AT13;AT130;03;90301;00000;1873;401;429;278;142;229;154;12;12;18;8;10;11;16;73;38;18;10
AT1;AT13;AT130;04;90401;00000;951;73;172;109;52;47;25;5;6;4;2;4;1;2;16;1;4;2
AT1;AT13;AT130;05;90501;00000;1200;253;199;134;102;70;81;3;8;12;1;4;6;7;25;6;3;0
AT1;AT13;AT130;06;90601;00000;967;64;63;56;84;88;59;3;4;6;4;3;6;3;15;6;5;3
AT1;AT13;AT130;07;90701;00000;1122;54;36;54;61;74;61;8;4;8;2;4;6;11;16;14;12;5
AT1;AT13;AT130;08;90801;00000;852;42;50;41;49;34;26;2;7;3;2;4;1;2;13;2;0;0
AT1;AT13;AT130;09;90901;00000;1369;143;97;69;50;62;63;7;1;3;4;4;5;6;14;7;4;2
AT1;AT13;AT130;10;91001;00000;1651;2069;2433;1881;1024;1567;1140;101;92;163;78;54;43;93;286;91;162;30
AT1;AT13;AT130;11;91101;00000;659;950;1189;845;715;816;886;62;75;65;25;38;50;79;292;101;62;22
AT1;AT13;AT130;12;91201;00000;1551;1845;1081;791;417;470;340;39;63;62;25;25;27;30;98;44;35;15
AT1;AT13;AT130;13;91301;00000;1602;2822;1406;1215;1053;722;577;79;59;97;51;33;22;34;184;69;69;22
AT1;AT13;AT130;14;91401;00000;1871;2730;1707;1489;1398;1337;723;86;91;129;74;63;27;90;294;127;121;31
AT1;AT13;AT130;15;91501;00000;1720;391;186;173;234;139;142;13;13;11;4;1;6;6;38;17;23;0
AT1;AT13;AT130;16;91601;00000;2143;1097;788;741;496;558;342;48;38;42;39;26;20;23;136;47;33;6
AT1;AT13;AT130;17;91701;00000;1562;1048;736;588;463;598;447;50;41;77;42;34;17;29;193;35;35;18
AT1;AT13;AT130;18;91801;00000;2113;597;481;340;345;247;188;30;19;41;19;10;5;23;89;20;11;7
AT1;AT13;AT130;19;91901;00000;1672;1350;1226;1388;988;790;450;53;55;64;47;31;29;50;174;68;63;17
AT1;AT13;AT130;20;92001;00000;827;313;276;465;167;97;143;9;6;12;2;9;9;20;49;22;5;3
AT1;AT13;AT130;21;92101;00000;1633;2247;2380;2727;2222;2695;2042;371;270;420;232;145;111;134;781;226;236;111
AT1;AT13;AT130;22;92201;00000;878;4627;2857;2974;3241;4057;5270;520;544;689;339;360;351;529;1587;589;342;146
AT1;AT13;AT130;23;92301;00000;1378;1604;2060;2644;2048;2795;1421;122;197;337;132;88;101;96;293;146;73;40
