NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;POP_TOTAL;POP_MEN;POP_WOMEN;REF_DATE
AT1;AT13;AT130;90101;0;68079;.;.;31.12.1869
AT1;AT13;AT130;90201;0;68442;.;.;31.12.1869
AT1;AT13;AT130;90301;0;88678;.;.;31.12.1869
AT1;AT13;AT130;90401;0;55682;.;.;31.12.1869
AT1;AT13;AT130;90501;0;54010;.;.;31.12.1869
AT1;AT13;AT130;90601;0;67642;.;.;31.12.1869
AT1;AT13;AT130;90701;0;80043;.;.;31.12.1869
AT1;AT13;AT130;90801;0;53012;.;.;31.12.1869
AT1;AT13;AT130;90901;0;65910;.;.;31.12.1869
AT1;AT13;AT130;91001;0;22340;.;.;31.12.1869
AT1;AT13;AT130;91101;0;12848;.;.;31.12.1869
AT1;AT13;AT130;91201;0;30589;.;.;31.12.1869
AT1;AT13;AT130;91301;0;9808;.;.;31.12.1869
AT1;AT13;AT130;91401;0;12397;.;.;31.12.1869
AT1;AT13;AT130;91501;0;64042;.;.;31.12.1869
AT1;AT13;AT130;91601;0;31383;.;.;31.12.1869
AT1;AT13;AT130;91701;0;34793;.;.;31.12.1869
AT1;AT13;AT130;91801;0;17879;.;.;31.12.1869
AT1;AT13;AT130;91901;0;17924;.;.;31.12.1869
AT1;AT13;AT130;92001;0;15922;.;.;31.12.1869
AT1;AT13;AT130;92101;0;12022;.;.;31.12.1869
AT1;AT13;AT130;92201;0;3608;.;.;31.12.1869
AT1;AT13;AT130;92301;0;13945;.;.;31.12.1869
AT1;AT13;AT130;90101;0;72688;.;.;31.12.1880
AT1;AT13;AT130;90201;0;100513;.;.;31.12.1880
AT1;AT13;AT130;90301;0;96523;.;.;31.12.1880
AT1;AT13;AT130;90401;0;58336;.;.;31.12.1880
AT1;AT13;AT130;90501;0;67018;.;.;31.12.1880
AT1;AT13;AT130;90601;0;64535;.;.;31.12.1880
AT1;AT13;AT130;90701;0;78143;.;.;31.12.1880
AT1;AT13;AT130;90801;0;50354;.;.;31.12.1880
AT1;AT13;AT130;90901;0;73740;.;.;31.12.1880
AT1;AT13;AT130;91001;0;54681;.;.;31.12.1880
