Rechnungsabschluss der Stadt Wien nach Einnahmenarten in Mio. EUR ;;;;;;;;;;; ;;;;;
Annual accounts of the City of Vienna in EUR million - by revenue categories ;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;ACCOUNTS_LOCAL;ACCOUNTS_FEDERAL;ACCOUNTS_FEES;ACCOUNTS_SERVICES;ACCOUNTS_UTILITIES;ACCOUNTS_TEACHER;ACCOUNTS_TRANSFER;ACCOUNTS_CAPITAL;ACCOUNTS_LOANS;ACCOUNTS_INTERNAL;ACCOUNTS_OTHER;REF_DATE
AT1;AT13;AT130;0;0;881567326;3081362812;447955790,1;612496816,4;710675523,9;515789249,4;1547990158;144699146,3;366472628,1;;1183470867;20021231
AT1;AT13;AT130;0;0;895448171,6;3011421719;470739776,1;628522890;707979086,6;540528167,2;1483969322;175195567,7;446917473,5;;1457657435;20031231
AT1;AT13;AT130;0;0;908321455,6;3048637357;475730241,4;653495170;692473638,5;541686746,1;1495475643;208043487,3;354844735,2;;1166325899;20041231
AT1;AT13;AT130;0;0;937434265,1;3122467771;464030902,3;549882410,7;694162768,7;554521293;1529147608;233052493,8;274042193,4;;1341086327;20051231
AT1;AT13;AT130;0;0;968801715,2;3259460614;526212593,4;536982069,5;696878368,5;584754821,7;1596132998;208571598,1;398136186,5;;1374136858;20061231
AT1;AT13;AT130;0;0;1027345743;3497377853;546630976,9;543866411,3;700134061,4;595357776;1627230242;231143456,7;292773381,6;;1461805865;20071231
AT1;AT13;AT130;0;0;1100555408;3945012432;548362285,4;524875957,1;720930077,3;630587727,9;1644681070;153994135,1;343322154,5;21072945,61;1446336444;20081231
AT1;AT13;AT130;0;0;1114374490;4544942954;369991636,8;588662378,5;725407782,9;675493156;892238790,9;133025737,5;775058839,4;22934767,57;1473714974;20091231
AT1;AT13;AT130;0;0;1136419281;4510677944;370814219;624754812,2;699845782,4;685572089,9;756130188,9;164942662,3;1357061561;26011277,68;1550369131;20101231
AT1;AT13;AT130;0;0;1175918670;4929915834;375742714,2;593173884,5;687017050,6;700793096,7;757174126,9;124711692,7;1283815279;29406537,36;1426224199;20111231
AT1;AT13;AT130;0;0;1262289666;5120752142;432158308,6;644421929,1;695485718,1;730067571,6;851683735,8;131780151,5;710408879,8;46282281,78;1699690445;20121231
AT1;AT13;AT130;0;0;1303484792;5371212946;443530286,5;661841697,6;692363977,5;772328993,9;825158600,6;133490273,9;541334935,8;26637299,21;1699718773;20131231
