Erwerbstätige PendlerInnen am Arbeits- bzw. Wohnort Wien nach Geschlecht und Entfernungskategorie;;;;;;;;;
Economically Active Commuters in Vienna by sex and category of distance;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUBDISTRICT_CODE;SEX;DISTANCE_CAT;EAC_PLACE_OF_WORK;EAC_PLACE_OF_ABODE;REF_YEAR
AT1;AT13;AT130;0;0;1;1;26.999;26.999;2009
AT1;AT13;AT130;0;0;1;2;66.925;66.925;2009
AT1;AT13;AT130;0;0;1;3;234.892;234.892;2009
AT1;AT13;AT130;0;0;1;4;145.895;52.798;2009
AT1;AT13;AT130;0;0;1;5;;271;2009
AT1;AT13;AT130;0;0;1;0;474.711;381.885;2009
AT1;AT13;AT130;0;0;2;1;17.714;17.714;2009
AT1;AT13;AT130;0;0;2;2;80.113;80.113;2009
AT1;AT13;AT130;0;0;2;3;218.006;218.006;2009
AT1;AT13;AT130;0;0;2;4;103.132;27.287;2009
AT1;AT13;AT130;0;0;2;5;;108;2009
AT1;AT13;AT130;0;0;2;0;418.965;343.228;2009
AT1;AT13;AT130;0;0;0;1;44.713;44.713;2009
AT1;AT13;AT130;0;0;0;2;147.038;147.038;2009
AT1;AT13;AT130;0;0;0;3;452.898;452.898;2009
AT1;AT13;AT130;0;0;0;4;249.027;80.085;2009
AT1;AT13;AT130;0;0;0;5;;379;2009
AT1;AT13;AT130;0;0;0;0;893.676;725.113;2009
AT1;AT13;AT130;90101;0;1;1;883;883;2009
AT1;AT13;AT130;90101;0;1;2;1.307;1.307;2009
AT1;AT13;AT130;90101;0;1;3;30.951;1.486;2009
AT1;AT13;AT130;90101;0;1;4;19.310;390;2009
AT1;AT13;AT130;90101;0;1;5;;3;2009
AT1;AT13;AT130;90101;0;1;0;52.451;4.069;2009
AT1;AT13;AT130;90101;0;2;1;626;626;2009
AT1;AT13;AT130;90101;0;2;2;1.184;1.184;2009
AT1;AT13;AT130;90101;0;2;3;36.914;1.320;2009
AT1;AT13;AT130;90101;0;2;4;20.462;278;2009
AT1;AT13;AT130;90101;0;2;5;;2;2009
AT1;AT13;AT130;90101;0;2;0;59.186;3.410;2009
AT1;AT13;AT130;90101;0;0;1;1.509;1.509;2009
AT1;AT13;AT130;90101;0;0;2;2.491;2.491;2009
AT1;AT13;AT130;90101;0;0;3;67.865;2.806;2009
AT1;AT13;AT130;90101;0;0;4;39.772;668;2009
AT1;AT13;AT130;90101;0;0;5;;5;2009
AT1;AT13;AT130;90101;0;0;0;111.637;7.479;2009
AT1;AT13;AT130;90201;0;1;1;1.598;1.598;2009
AT1;AT13;AT130;90201;0;1;2;3.793;3.793;2009
AT1;AT13;AT130;90201;0;1;3;15.482;12.817;2009
AT1;AT13;AT130;90201;0;1;4;11.670;2.851;2009
AT1;AT13;AT130;90201;0;1;5;;12;2009
AT1;AT13;AT130;90201;0;1;0;32.543;21.071;2009
AT1;AT13;AT130;90201;0;2;1;994;994;2009
AT1;AT13;AT130;90201;0;2;2;3.980;3.980;2009
AT1;AT13;AT130;90201;0;2;3;14.313;11.544;2009
AT1;AT13;AT130;90201;0;2;4;6.451;1.422;2009
AT1;AT13;AT130;90201;0;2;5;;6;2009
AT1;AT13;AT130;90201;0;2;0;25.738;17.946;2009
AT1;AT13;AT130;90201;0;0;1;2.592;2.592;2009
AT1;AT13;AT130;90201;0;0;2;7.773;7.773;2009
AT1;AT13;AT130;90201;0;0;3;29.795;24.361;2009
AT1;AT13;AT130;90201;0;0;4;18.121;4.273;2009
AT1;AT13;AT130;90201;0;0;5;;18;2009
AT1;AT13;AT130;90201;0;0;0;58.281;39.017;2009
AT1;AT13;AT130;90301;0;1;1;1.724;1.724;2009
AT1;AT13;AT130;90301;0;1;2;3.820;3.820;2009
AT1;AT13;AT130;90301;0;1;3;23.576;10.693;2009
AT1;AT13;AT130;90301;0;1;4;14.765;2.637;2009
AT1;AT13;AT130;90301;0;1;5;;16;2009
AT1;AT13;AT130;90301;0;1;0;43.885;18.890;2009
AT1;AT13;AT130;90301;0;2;1;1.200;1.200;2009
AT1;AT13;AT130;90301;0;2;2;4.732;4.732;2009
AT1;AT13;AT130;90301;0;2;3;21.132;10.153;2009
AT1;AT13;AT130;90301;0;2;4;10.651;1.622;2009
AT1;AT13;AT130;90301;0;2;5;;5;2009
AT1;AT13;AT130;90301;0;2;0;37.715;17.712;2009
AT1;AT13;AT130;90301;0;0;1;2.924;2.924;2009
AT1;AT13;AT130;90301;0;0;2;8.552;8.552;2009
AT1;AT13;AT130;90301;0;0;3;44.708;20.846;2009
AT1;AT13;AT130;90301;0;0;4;25.416;4.259;2009
AT1;AT13;AT130;90301;0;0;5;;21;2009
AT1;AT13;AT130;90301;0;0;0;81.600;36.602;2009
AT1;AT13;AT130;90401;0;1;1;892;892;2009
AT1;AT13;AT130;90401;0;1;2;899;899;2009
AT1;AT13;AT130;90401;0;1;3;8.007;4.425;2009
AT1;AT13;AT130;90401;0;1;4;4.260;932;2009
AT1;AT13;AT130;90401;0;1;5;;9;2009
AT1;AT13;AT130;90401;0;1;0;14.058;7.157;2009
AT1;AT13;AT130;90401;0;2;1;634;634;2009
AT1;AT13;AT130;90401;0;2;2;1.046;1.046;2009
AT1;AT13;AT130;90401;0;2;3;7.476;4.246;2009
AT1;AT13;AT130;90401;0;2;4;3.099;535;2009
AT1;AT13;AT130;90401;0;2;5;;4;2009
AT1;AT13;AT130;90401;0;2;0;12.255;6.465;2009
AT1;AT13;AT130;90401;0;0;1;1.526;1.526;2009
AT1;AT13;AT130;90401;0;0;2;1.945;1.945;2009
AT1;AT13;AT130;90401;0;0;3;15.483;8.671;2009
AT1;AT13;AT130;90401;0;0;4;7.359;1.467;2009
AT1;AT13;AT130;90401;0;0;5;;13;2009
AT1;AT13;AT130;90401;0;0;0;26.313;13.622;2009
AT1;AT13;AT130;90501;0;1;1;1.119;1.119;2009
AT1;AT13;AT130;90501;0;1;2;1.157;1.157;2009
AT1;AT13;AT130;90501;0;1;3;5.888;8.504;2009
AT1;AT13;AT130;90501;0;1;4;2.294;1.766;2009
AT1;AT13;AT130;90501;0;1;5;;6;2009
AT1;AT13;AT130;90501;0;1;0;10.458;12.552;2009
AT1;AT13;AT130;90501;0;2;1;720;720;2009
AT1;AT13;AT130;90501;0;2;2;1.503;1.503;2009
AT1;AT13;AT130;90501;0;2;3;4.495;7.815;2009
AT1;AT13;AT130;90501;0;2;4;1.929;906;2009
AT1;AT13;AT130;90501;0;2;5;;4;2009
AT1;AT13;AT130;90501;0;2;0;8.647;10.948;2009
AT1;AT13;AT130;90501;0;0;1;1.839;1.839;2009
AT1;AT13;AT130;90501;0;0;2;2.660;2.660;2009
AT1;AT13;AT130;90501;0;0;3;10.383;16.319;2009
AT1;AT13;AT130;90501;0;0;4;4.223;2.672;2009
AT1;AT13;AT130;90501;0;0;5;;10;2009
AT1;AT13;AT130;90501;0;0;0;19.105;23.500;2009
AT1;AT13;AT130;90601;0;1;1;876;876;2009
AT1;AT13;AT130;90601;0;1;2;843;843;2009
AT1;AT13;AT130;90601;0;1;3;6.988;4.698;2009
AT1;AT13;AT130;90601;0;1;4;2.837;868;2009
AT1;AT13;AT130;90601;0;1;5;;6;2009
AT1;AT13;AT130;90601;0;1;0;11.544;7.291;2009
AT1;AT13;AT130;90601;0;2;1;604;604;2009
AT1;AT13;AT130;90601;0;2;2;1.045;1.045;2009
AT1;AT13;AT130;90601;0;2;3;8.109;4.448;2009
AT1;AT13;AT130;90601;0;2;4;2.983;523;2009
AT1;AT13;AT130;90601;0;2;5;;5;2009
AT1;AT13;AT130;90601;0;2;0;12.741;6.625;2009
AT1;AT13;AT130;90601;0;0;1;1.480;1.480;2009
AT1;AT13;AT130;90601;0;0;2;1.888;1.888;2009
AT1;AT13;AT130;90601;0;0;3;15.097;9.146;2009
AT1;AT13;AT130;90601;0;0;4;5.820;1.391;2009
AT1;AT13;AT130;90601;0;0;5;;11;2009
AT1;AT13;AT130;90601;0;0;0;24.285;13.916;2009
AT1;AT13;AT130;90701;0;1;1;1.000;1.000;2009
AT1;AT13;AT130;90701;0;1;2;947;947;2009
AT1;AT13;AT130;90701;0;1;3;7.734;4.796;2009
AT1;AT13;AT130;90701;0;1;4;2.537;911;2009
AT1;AT13;AT130;90701;0;1;5;;10;2009
AT1;AT13;AT130;90701;0;1;0;12.218;7.664;2009
AT1;AT13;AT130;90701;0;2;1;699;699;2009
AT1;AT13;AT130;90701;0;2;2;1.219;1.219;2009
AT1;AT13;AT130;90701;0;2;3;10.356;4.735;2009
AT1;AT13;AT130;90701;0;2;4;3.104;577;2009
AT1;AT13;AT130;90701;0;2;5;;5;2009
AT1;AT13;AT130;90701;0;2;0;15.378;7.235;2009
AT1;AT13;AT130;90701;0;0;1;1.699;1.699;2009
AT1;AT13;AT130;90701;0;0;2;2.166;2.166;2009
AT1;AT13;AT130;90701;0;0;3;18.090;9.531;2009
AT1;AT13;AT130;90701;0;0;4;5.641;1.488;2009
AT1;AT13;AT130;90701;0;0;5;;15;2009
AT1;AT13;AT130;90701;0;0;0;27.596;14.899;2009
AT1;AT13;AT130;90801;0;1;1;667;667;2009
AT1;AT13;AT130;90801;0;1;2;561;561;2009
AT1;AT13;AT130;90801;0;1;3;3.475;3.706;2009
AT1;AT13;AT130;90801;0;1;4;1.507;635;2009
AT1;AT13;AT130;90801;0;1;5;;2;2009
AT1;AT13;AT130;90801;0;1;0;6.210;5.571;2009
AT1;AT13;AT130;90801;0;2;1;493;493;2009
AT1;AT13;AT130;90801;0;2;2;759;759;2009
AT1;AT13;AT130;90801;0;2;3;5.134;3.662;2009
AT1;AT13;AT130;90801;0;2;4;1.860;438;2009
AT1;AT13;AT130;90801;0;2;5;;1;2009
AT1;AT13;AT130;90801;0;2;0;8.246;5.353;2009
AT1;AT13;AT130;90801;0;0;1;1.160;1.160;2009
AT1;AT13;AT130;90801;0;0;2;1.320;1.320;2009
AT1;AT13;AT130;90801;0;0;3;8.609;7.368;2009
AT1;AT13;AT130;90801;0;0;4;3.367;1.073;2009
AT1;AT13;AT130;90801;0;0;5;;3;2009
AT1;AT13;AT130;90801;0;0;0;14.456;10.924;2009
AT1;AT13;AT130;90901;0;1;1;966;966;2009
AT1;AT13;AT130;90901;0;1;2;1.489;1.489;2009
AT1;AT13;AT130;90901;0;1;3;12.197;5.546;2009
AT1;AT13;AT130;90901;0;1;4;5.993;1.161;2009
AT1;AT13;AT130;90901;0;1;5;;9;2009
AT1;AT13;AT130;90901;0;1;0;20.645;9.171;2009
AT1;AT13;AT130;90901;0;2;1;760;760;2009
AT1;AT13;AT130;90901;0;2;2;1.894;1.894;2009
AT1;AT13;AT130;90901;0;2;3;15.015;5.405;2009
AT1;AT13;AT130;90901;0;2;4;5.859;766;2009
AT1;AT13;AT130;90901;0;2;5;;5;2009
AT1;AT13;AT130;90901;0;2;0;23.528;8.830;2009
AT1;AT13;AT130;90901;0;0;1;1.726;1.726;2009
AT1;AT13;AT130;90901;0;0;2;3.383;3.383;2009
AT1;AT13;AT130;90901;0;0;3;27.212;10.951;2009
AT1;AT13;AT130;90901;0;0;4;11.852;1.927;2009
AT1;AT13;AT130;90901;0;0;5;;14;2009
AT1;AT13;AT130;90901;0;0;0;44.173;18.001;2009
AT1;AT13;AT130;91001;0;1;1;1.725;1.725;2009
AT1;AT13;AT130;91001;0;1;2;7.538;7.538;2009
AT1;AT13;AT130;91001;0;1;3;13.930;23.060;2009
AT1;AT13;AT130;91001;0;1;4;14.959;6.100;2009
AT1;AT13;AT130;91001;0;1;5;;22;2009
AT1;AT13;AT130;91001;0;1;0;38.152;38.445;2009
AT1;AT13;AT130;91001;0;2;1;988;988;2009
AT1;AT13;AT130;91001;0;2;2;8.401;8.401;2009
AT1;AT13;AT130;91001;0;2;3;10.114;20.478;2009
AT1;AT13;AT130;91001;0;2;4;5.742;2.582;2009
AT1;AT13;AT130;91001;0;2;5;;10;2009
AT1;AT13;AT130;91001;0;2;0;25.245;32.459;2009
AT1;AT13;AT130;91001;0;0;1;2.713;2.713;2009
AT1;AT13;AT130;91001;0;0;2;15.939;15.939;2009
AT1;AT13;AT130;91001;0;0;3;24.044;43.538;2009
AT1;AT13;AT130;91001;0;0;4;20.701;8.682;2009
AT1;AT13;AT130;91001;0;0;5;;32;2009
AT1;AT13;AT130;91001;0;0;0;63.397;70.904;2009
AT1;AT13;AT130;91101;0;1;1;889;889;2009
AT1;AT13;AT130;91101;0;1;2;4.308;4.308;2009
AT1;AT13;AT130;91101;0;1;3;9.616;12.112;2009
AT1;AT13;AT130;91101;0;1;4;8.046;3.568;2009
AT1;AT13;AT130;91101;0;1;5;;11;2009
AT1;AT13;AT130;91101;0;1;0;22.859;20.888;2009
AT1;AT13;AT130;91101;0;2;1;432;432;2009
AT1;AT13;AT130;91101;0;2;2;4.254;4.254;2009
AT1;AT13;AT130;91101;0;2;3;5.142;11.512;2009
AT1;AT13;AT130;91101;0;2;4;2.878;1.681;2009
AT1;AT13;AT130;91101;0;2;5;;6;2009
AT1;AT13;AT130;91101;0;2;0;12.706;17.885;2009
AT1;AT13;AT130;91101;0;0;1;1.321;1.321;2009
AT1;AT13;AT130;91101;0;0;2;8.562;8.562;2009
AT1;AT13;AT130;91101;0;0;3;14.758;23.624;2009
AT1;AT13;AT130;91101;0;0;4;10.924;5.249;2009
AT1;AT13;AT130;91101;0;0;5;;17;2009
AT1;AT13;AT130;91101;0;0;0;35.565;38.773;2009
AT1;AT13;AT130;91201;0;1;1;1.151;1.151;2009
AT1;AT13;AT130;91201;0;1;2;2.873;2.873;2009
AT1;AT13;AT130;91201;0;1;3;9.776;12.454;2009
AT1;AT13;AT130;91201;0;1;4;5.620;2.902;2009
AT1;AT13;AT130;91201;0;1;5;;11;2009
AT1;AT13;AT130;91201;0;1;0;19.420;19.391;2009
AT1;AT13;AT130;91201;0;2;1;680;680;2009
AT1;AT13;AT130;91201;0;2;2;3.335;3.335;2009
AT1;AT13;AT130;91201;0;2;3;7.348;11.466;2009
AT1;AT13;AT130;91201;0;2;4;3.689;1.384;2009
AT1;AT13;AT130;91201;0;2;5;;7;2009
AT1;AT13;AT130;91201;0;2;0;15.052;16.872;2009
