Wirtschaftsindikatoren Wien;;;;;;;;;;;;
Main economic indicators Vienna;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;GRP_GROWTH_RATE;GRP_CAPITA;GRP_EMPLOYEE;VALUE_ADDED_PRIMARY_SECTOR;VALUE_ADDED_SECONDARY_SECTOR;VALUE_ADDED_TERTIARY_SECTOR;NACE_Version;REF_DATE
AT1;AT13;AT130;0;0;;31800;57800;0,3;20,1;79,6;1.1;19951231
AT1;AT13;AT130;0;0;2,8;32700;58900;0,3;19,9;79,9;1.1;19961231
AT1;AT13;AT130;0;0;0,4;32800;59000;0,3;20,1;79,6;1.1;19971231
AT1;AT13;AT130;0;0;4,3;34200;60700;0,2;19,7;80,1;1.1;19981231
AT1;AT13;AT130;0;0;3,4;35300;61600;0,2;19,1;80,7;1.1;19991231
AT1;AT13;AT130;0;0;4,1;36600;63200;0,2;18,2;81,6;1.1;20001231
AT1;AT13;AT130;0;0;2,9;37400;64900;0,2;17,2;82,5;1.1;20011231
AT1;AT13;AT130;0;0;4,1;38400;67600;0,2;17;82,8;1.1;20021231
AT1;AT13;AT130;0;0;1,2;38400;68700;0,2;16,8;83;1.1;20031231
AT1;AT13;AT130;0;0;2,4;38900;70600;0,2;16,4;83,3;1.1;20041231
AT1;AT13;AT130;0;0;4,3;40000;73300;0,2;16,3;83,5;1.1;20051231
AT1;AT13;AT130;0;0;5,1;41700;75800;0,2;16,4;83,4;1.1;20061231
AT1;AT13;AT130;0;0;5,1;43500;78400;0,2;16,7;83,1;1.1;20071231
AT1;AT13;AT130;0;0;3,4;44700;79200;0,2;16,9;82,9;1.1;20081231
AT1;AT13;AT130;0;0;;35900;62800;0,1;19,2;80,7;2.0;20001231
AT1;AT13;AT130;0;0;3,3;36800;64500;0,1;18,3;81,6;2.0;20011231
AT1;AT13;AT130;0;0;4,1;37900;67200;0,1;18,0;81,9;2.0;20021231
AT1;AT13;AT130;0;0;0,5;37600;67500;0,1;17,8;82,1;2.0;20031231
AT1;AT13;AT130;0;0;2,7;38100;69200;0,1;17,3;82,6;2.0;20041231
AT1;AT13;AT130;0;0;4,8;39500;72000;0,1;16,9;83,0;2.0;20051231
AT1;AT13;AT130;0;0;5,7;41400;74500;0,1;17,2;82,8;2.0;20061231
AT1;AT13;AT130;0;0;4,3;42800;76300;0,1;17,3;82,6;2.0;20071231
AT1;AT13;AT130;0;0;3,2;43900;77000;0,1;17,3;82,6;2.0;20081231
AT1;AT13;AT130;0;0;-1,7;42900;76100;0,0;17,0;82,9;2.0;20091231
AT1;AT13;AT130;0;0;4,1;44300;78400;0,1;17,3;82,6;2.0;20101231
