NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;OEVP   ;SPOE   ;FPOE   ;GRUE   ;BZOE   ;KPOE   ;SLP    ;MATIN  ;NFOE   ;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;1;482;313;3;75;112;16;88;2;7;1;7;2;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;2;562;350;5;95;88;29;115;4;7;0;3;4;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;3;378;234;4;48;75;23;63;4;6;1;8;2;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;4;359;247;0;49;79;17;84;4;9;0;5;0;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;5;551;358;8;68;113;46;103;3;5;1;9;2;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;6;508;318;5;86;115;29;62;3;6;1;8;3;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;7;421;272;4;55;95;34;68;3;6;1;6;0;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;8;444;304;1;65;85;25;109;6;4;1;6;2;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;9;668;431;5;128;119;32;118;7;6;1;14;1;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;10;657;416;1;138;103;35;124;3;5;2;5;0;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;11;558;374;2;79;130;38;106;2;11;0;6;0;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;12;459;311;5;82;97;30;85;1;6;1;2;2;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;13;561;388;1;130;83;33;126;7;5;0;3;0;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;14;822;507;1;144;140;54;143;3;10;0;5;7;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;15;500;327;3;85;97;28;96;12;4;0;2;0;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;16;472;286;8;61;89;15;94;5;12;0;1;1;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;17;582;454;9;136;152;50;85;7;5;1;8;1;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;18;511;331;2;103;80;30;96;7;9;0;3;1;                                                                                                         
AT1;AT13;AT130;90301;4;9;1;3;19;500;315;4;105;83;27;81;4;3;0;7;1;                                                                                                         
