NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;OEVP   ;FPOE   ;BZOE   ;GRUE   ;FRANK  ;NEOS   ;SLP    ;PIRAT  ;WANDL  ;KPOE   ;                                                                                         
AT1;AT13;AT130;;1;9;0;0;0;1156888;806697;11515;251623;115316;163501;18940;130492;31028;60812;947;7842;1494;13187;                                                                                         
AT1;AT13;AT130;;2;9;1;0;0;110576;78001;928;20753;12418;10772;1672;18401;2560;7695;110;867;158;1667;                                                                                         
AT1;AT13;AT130;;2;9;2;0;0;97411;71719;905;14968;13589;7020;1512;19573;2294;9170;84;821;188;1595;                                                                                         
AT1;AT13;AT130;;2;9;3;0;0;110013;73022;955;24903;8132;13696;1361;14118;2582;4646;130;789;179;1531;                                                                                         
AT1;AT13;AT130;;2;9;4;0;0;228791;150330;2328;56961;15507;40865;3224;14964;6035;6694;176;1257;209;2110;                                                                                         
AT1;AT13;AT130;;2;9;5;0;0;211454;152698;2114;45103;26075;28746;4021;23939;6082;12533;167;1454;257;2207;                                                                                         
AT1;AT13;AT130;;2;9;6;0;0;174247;123917;1660;32116;23512;19908;3049;23237;4531;12133;142;1261;293;2075;                                                                                         
AT1;AT13;AT130;;2;9;7;0;0;224396;156904;2519;56819;16083;42494;4101;16260;6944;7941;138;1393;210;2002;                                                                                         
AT1;AT13;AT130;;2;9;8;0;0;0;106;106;0;0;0;0;0;0;0;0;0;0;0;                                                                                         
AT1;AT13;AT130;90301;3;9;1;3;0;57176;39566;516;10803;6310;5735;904;8764;1357;3875;45;423;81;753;                                                                                         
AT1;AT13;AT130;90401;3;9;1;4;0;20762;14928;135;3271;2971;1605;298;3858;488;1785;22;144;23;328;                                                                                         
AT1;AT13;AT130;90501;3;9;1;5;0;32638;21453;261;6265;2683;3201;411;5287;661;1767;41;277;53;546;                                                                                         
AT1;AT13;AT130;;3;9;1;91;0;0;2054;16;414;454;231;59;492;54;268;2;23;1;40;                                                                                         
AT1;AT13;AT130;90101;3;9;2;1;0;12407;8664;82;1582;2579;796;206;1474;425;1343;2;54;15;106;                                                                                         
AT1;AT13;AT130;90601;3;9;2;6;0;20831;14406;229;3217;2321;1516;262;4123;460;1673;20;170;32;383;                                                                                         
AT1;AT13;AT130;90701;3;9;2;7;0;20868;15105;187;3297;2242;1355;290;4838;408;1832;22;197;60;377;                                                                                         
AT1;AT13;AT130;90801;3;9;2;8;0;16449;12098;139;2354;2507;1085;283;3343;335;1588;12;143;28;281;                                                                                         
AT1;AT13;AT130;90901;3;9;2;9;0;26856;19137;244;4176;3346;2083;392;5162;607;2411;27;231;48;410;                                                                                         
AT1;AT13;AT130;;3;9;2;92;0;0;2309;24;342;594;185;79;633;59;323;1;26;5;38;                                                                                         
AT1;AT13;AT130;90201;3;9;3;2;0;60141;39958;520;12613;4641;6578;761;8921;1434;2882;64;461;111;972;                                                                                         
AT1;AT13;AT130;92001;3;9;3;20;0;49872;31438;415;11910;3220;6918;549;4773;1091;1600;64;311;59;528;                                                                                         
AT1;AT13;AT130;;3;9;3;93;0;0;1626;20;380;271;200;51;424;57;164;2;17;9;31;                                                                                         
AT1;AT13;AT130;91001;3;9;4;10;0;111853;71524;1128;28017;7019;20209;1500;6342;2924;2778;75;525;93;914;                                                                                         
AT1;AT13;AT130;91101;3;9;4;11;0;60329;39475;591;15495;3447;12095;855;3061;1529;1484;36;315;47;520;                                                                                         
AT1;AT13;AT130;91201;3;9;4;12;0;56609;36678;572;12600;4570;8087;796;5189;1465;2245;63;396;66;629;                                                                                         
AT1;AT13;AT130;;3;9;4;94;0;0;2653;37;849;471;474;73;372;117;187;2;21;3;47;                                                                                         
AT1;AT13;AT130;91301;3;9;5;13;0;38778;29282;340;6455;7827;4072;836;4471;1138;3438;33;276;34;362;                                                                                         
AT1;AT13;AT130;91401;3;9;5;14;0;60622;42724;644;12139;7123;8278;1145;7004;1726;3435;52;422;74;682;                                                                                         
AT1;AT13;AT130;91501;3;9;5;15;0;41115;25959;394;8420;2862;4680;489;5614;916;1580;46;315;81;562;                                                                                         
AT1;AT13;AT130;92301;3;9;5;23;0;70939;52178;700;17474;7752;11358;1453;6291;2220;3834;35;422;63;576;                                                                                         
AT1;AT13;AT130;;3;9;5;95;0;0;2555;36;615;511;358;98;559;82;246;1;19;5;25;                                                                                         
AT1;AT13;AT130;91601;3;9;6;16;0;59053;39043;553;12478;4848;7741;880;7213;1387;2539;66;443;94;801;                                                                                         
AT1;AT13;AT130;91701;3;9;6;17;0;33512;22885;312;5820;3821;3855;636;4732;837;2086;23;242;83;438;                                                                                         
AT1;AT13;AT130;91801;3;9;6;18;0;32469;23700;307;4573;5593;2682;548;5497;780;3035;23;235;51;376;                                                                                         
AT1;AT13;AT130;91901;3;9;6;19;0;49213;35607;458;8728;8663;5287;904;5120;1437;4192;29;319;61;409;                                                                                         
AT1;AT13;AT130;;3;9;6;96;0;0;2682;30;517;587;343;81;675;90;281;1;22;4;51;                                                                                         
AT1;AT13;AT130;92101;3;9;7;21;0;104912;71591;1190;26190;7333;20104;1813;6915;3028;3372;67;628;84;867;                                                                                         
AT1;AT13;AT130;92201;3;9;7;22;0;119484;83583;1310;30036;8486;22053;2246;9099;3847;4453;69;746;123;1115;                                                                                         
AT1;AT13;AT130;;3;9;7;97;0;0;1730;19;593;264;337;42;246;69;116;2;19;3;20;                                                                                         
AT1;AT13;AT130;;3;9;8;98;0;0;106;106;0;0;0;0;0;0;0;0;0;0;0;                                                                                         
