Wiener Linien – U-Bahn seit 2001;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB-DISTRICT_CODE;PAS;PAG;LIN;LLG;HSA;LAL;KMH;HAST;UTW;UBW;REF_YEAR
AT1;AT13;AT130;0;0;413,1;96.904;5;61,6;761;12,3;31,3;86;636;48;2001
AT1;AT13;AT130;0;0;409,6;96.904;5;61,6;760,5;12,3;31,3;86;636;48;2002
AT1;AT13;AT130;0;0;409,7;96.904;5;60,5;755,8;12,1;31,5;85;636;48;2003
AT1;AT13;AT130;0;0;420,2;96.904;5;60,5;755,8;12,1;31,5;85;636;48;2004
AT1;AT13;AT130;0;0;427,4;96.904;5;60,5;755,8;12,1;31,5;85;636;48;2005
AT1;AT13;AT130;0;0;450;107.208;5;65,1;765,8;13;31,8;90;682;72;2006
AT1;AT13;AT130;0;0;476,6;111.412;5;65,1;765,8;13;31,8;90;700;82;2007
AT1;AT13;AT130;0;0;498,2;122.006;5;68,9;766;13,8;31,6;95;749;85;2008
AT1;AT13;AT130;0;0;510,2;122.524;5;68,9;766;13,8;31,6;95;758;66;2009
AT1;AT13;AT130;0;0;534,4;126.950;5;74,2;773,2;14,8;32,3;101;774;74;2010
AT1;AT13;AT130;0;0;567,6;129.098;5;74,2;773,2;14,8;32,3;101;780;82;2011
AT1;AT13;AT130;0;0;444,4;126.942;5;74,2;734,9;14,8;32,3;101;760;86;2012
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Datenblatt;;;;;;;;;;;;;;;
NUTS1;NUTS1-Region (Gruppen von Bundesländern);;;;;;;;;;;;;;
NUTS2;NUTS2-Region (Bundesland);;;;;;;;;;;;;;
NUTS3;NUTS3-Region (Gruppe von Bezirken);;;;;;;;;;;;;;
DISTRICT_CODE;Gemeindebezirkskennzahl;;;;;;;;;;;;;;
SUB_DISTRICT_CODE;Zählbezirkskennzahl;;;;;;;;;;;;;;
PAS;Fahrgäste (in Mio.);;;;;;;;;;;;;;
PAG;Platzangebot (Anzahl);;;;;;;;;;;;;;
LIN;Linien (Anzahl);;;;;;;;;;;;;;
LLG;Linienlänge insgesamt (km);;;;;;;;;;;;;;
HSA;Haltestellenabstand (m);;;;;;;;;;;;;;
LAL;Längenlinie (km);;;;;;;;;;;;;;
KMH;Mittlere Geschwindigkeit (km/h);;;;;;;;;;;;;;
HAST;Haltestellen (Anzahl);;;;;;;;;;;;;;
TWA;U-Bahn Triebwagen (Anzahl);;;;;;;;;;;;;;
BWA;U-Bahn Beiwagen (Anzahl);;;;;;;;;;;;;;
REF_YEAR;Referenzjahr;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Quelle: ;Wiener Linien GmbH & Co KG – Abteilung Unternehmenscontrolling.;;;;;;;;;;;;;;
