Wanderung gegenüber Wien nach Staatsangehörigkeit und Geschlecht - Zeitreihe;;;;;;;;;;;;;;;
Migration in Vienna by nationality and sex - time series;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;NATIONALITY;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;MIG_VIE_INT;REF_DATE
AT1;AT13;AT130;00000;00000000;2;AUT;-1121;-1132;2380;3512;11;11024;11013;42625;2002
AT1;AT13;AT130;00000;00000000;2;DEU;508;513;943;430;-5;135;140;798;2002
AT1;AT13;AT130;00000;00000000;2;POL;548;545;810;265;3;60;57;780;2002
AT1;AT13;AT130;00000;00000000;2;ROU;753;702;885;183;51;108;57;492;2002
AT1;AT13;AT130;00000;00000000;2;SVK;538;523;681;158;15;52;37;387;2002
AT1;AT13;AT130;00000;00000000;2;HUN;233;218;350;132;15;68;53;260;2002
AT1;AT13;AT130;00000;00000000;2;BGR;299;296;436;140;3;30;27;346;2002
AT1;AT13;AT130;00000;00000000;2;CZE;157;144;217;73;13;32;19;176;2002
AT1;AT13;AT130;00000;00000000;2;REST-EU;159;174;918;744;-15;99;114;760;2002
AT1;AT13;AT130;00000;00000000;2;SCG;1549;1494;2392;898;55;261;206;4505;2002
AT1;AT13;AT130;00000;00000000;2;TUR;2249;2104;2421;317;145;260;115;2460;2002
AT1;AT13;AT130;00000;00000000;2;BIH;453;355;489;134;98;164;66;1281;2002
AT1;AT13;AT130;00000;00000000;2;HRV;421;390;548;158;31;75;44;785;2002
AT1;AT13;AT130;00000;00000000;2;MKD;257;260;318;58;-3;17;20;332;2002
AT1;AT13;AT130;00000;00000000;2;RUS;248;230;296;66;18;37;19;231;2002
AT1;AT13;AT130;00000;00000000;2;CHN;729;679;778;99;50;106;56;463;2002
AT1;AT13;AT130;00000;00000000;2;OTHER;2317;2101;3755;1654;216;547;331;3180;2002
AT1;AT13;AT130;00000;00000000;1;AUT;260;-22;4901;4923;282;10782;10500;43058;2002
AT1;AT13;AT130;00000;00000000;1;DEU;631;615;1116;501;16;157;141;831;2002
AT1;AT13;AT130;00000;00000000;1;POL;221;211;716;505;10;71;61;798;2002
AT1;AT13;AT130;00000;00000000;1;ROU;546;528;706;178;18;79;61;333;2002
AT1;AT13;AT130;00000;00000000;1;SVK;148;148;266;118;0;41;41;205;2002
AT1;AT13;AT130;00000;00000000;1;HUN;96;83;273;190;13;62;49;206;2002
AT1;AT13;AT130;00000;00000000;1;BGR;278;278;435;157;0;21;21;308;2002
AT1;AT13;AT130;00000;00000000;1;CZE;60;61;109;48;-1;8;9;68;2002
AT1;AT13;AT130;00000;00000000;1;REST-EU;261;287;1281;994;-26;112;138;891;2002
AT1;AT13;AT130;00000;00000000;1;SCG;1671;1537;2998;1461;134;427;293;5061;2002
AT1;AT13;AT130;00000;00000000;1;TUR;2188;2042;2695;653;146;390;244;4167;2002
AT1;AT13;AT130;00000;00000000;1;BIH;641;558;770;212;83;174;91;1480;2002
AT1;AT13;AT130;00000;00000000;1;HRV;470;440;700;260;30;92;62;1019;2002
AT1;AT13;AT130;00000;00000000;1;MKD;314;313;491;178;1;44;43;624;2002
AT1;AT13;AT130;00000;00000000;1;RUS;206;181;272;91;25;51;26;190;2002
AT1;AT13;AT130;00000;00000000;1;CHN;550;504;607;103;46;116;70;394;2002
AT1;AT13;AT130;00000;00000000;1;OTHER;2650;2238;5515;3277;412;1049;637;6692;2002
AT1;AT13;AT130;00000;00000000;2;AUT;-2341;-1111;2004;3115;-1230;9733;10963;42181;2003
AT1;AT13;AT130;00000;00000000;2;DEU;511;559;1022;463;-48;131;179;799;2003
AT1;AT13;AT130;00000;00000000;2;POL;575;568;958;390;7;76;69;766;2003
AT1;AT13;AT130;00000;00000000;2;ROU;709;709;1099;390;0;102;102;721;2003
AT1;AT13;AT130;00000;00000000;2;SVK;358;375;634;259;-17;49;66;467;2003
AT1;AT13;AT130;00000;00000000;2;HUN;157;147;349;202;10;69;59;279;2003
AT1;AT13;AT130;00000;00000000;2;BGR;354;346;554;208;8;42;34;461;2003
AT1;AT13;AT130;00000;00000000;2;CZE;64;73;193;120;-9;30;39;163;2003
AT1;AT13;AT130;00000;00000000;2;REST-EU;245;231;1051;820;14;112;98;767;2003
AT1;AT13;AT130;00000;00000000;2;SCG;2097;2030;2958;928;67;317;250;4751;2003
AT1;AT13;AT130;00000;00000000;2;TUR;1999;1912;2305;393;87;219;132;2329;2003
AT1;AT13;AT130;00000;00000000;2;BIH;631;552;695;143;79;167;88;1181;2003
AT1;AT13;AT130;00000;00000000;2;HRV;281;257;470;213;24;94;70;778;2003
AT1;AT13;AT130;00000;00000000;2;MKD;319;309;351;42;10;39;29;328;2003
AT1;AT13;AT130;00000;00000000;2;RUS;435;349;444;95;86;123;37;305;2003
AT1;AT13;AT130;00000;00000000;2;CHN;582;556;746;190;26;120;94;862;2003
AT1;AT13;AT130;00000;00000000;2;OTHER;2387;2173;4117;1944;214;533;319;3681;2003
AT1;AT13;AT130;00000;00000000;1;AUT;-1977;-839;4368;5207;-1138;9700;10838;43303;2003
AT1;AT13;AT130;00000;00000000;1;DEU;541;589;1160;571;-48;151;199;833;2003
AT1;AT13;AT130;00000;00000000;1;POL;218;214;800;586;4;82;78;874;2003
AT1;AT13;AT130;00000;00000000;1;ROU;566;587;1168;581;-21;79;100;524;2003
AT1;AT13;AT130;00000;00000000;1;SVK;145;148;296;148;-3;28;31;202;2003
AT1;AT13;AT130;00000;00000000;1;HUN;59;60;295;235;-1;54;55;235;2003
AT1;AT13;AT130;00000;00000000;1;BGR;198;207;497;290;-9;20;29;418;2003
AT1;AT13;AT130;00000;00000000;1;CZE;14;19;110;91;-5;19;24;85;2003
AT1;AT13;AT130;00000;00000000;1;REST-EU;375;392;1451;1059;-17;126;143;928;2003
AT1;AT13;AT130;00000;00000000;1;SCG;2050;1946;3653;1707;104;447;343;5616;2003
AT1;AT13;AT130;00000;00000000;1;TUR;1656;1576;2392;816;80;389;309;4012;2003
AT1;AT13;AT130;00000;00000000;1;BIH;513;476;750;274;37;189;152;1553;2003
AT1;AT13;AT130;00000;00000000;1;HRV;211;212;555;343;-1;90;91;985;2003
AT1;AT13;AT130;00000;00000000;1;MKD;274;268;423;155;6;62;56;618;2003
AT1;AT13;AT130;00000;00000000;1;RUS;387;332;465;133;55;110;55;352;2003
AT1;AT13;AT130;00000;00000000;1;CHN;491;473;703;230;18;116;98;631;2003
AT1;AT13;AT130;00000;00000000;1;OTHER;2010;1945;6177;4232;65;972;907;7463;2003
AT1;AT13;AT130;00000;00000000;2;AUT;-3347;-1012;1984;2996;-2335;9574;11909;43614;2004
AT1;AT13;AT130;00000;00000000;2;DEU;858;907;1458;551;-49;146;195;1037;2004
AT1;AT13;AT130;00000;00000000;2;POL;1541;1560;2024;464;-19;71;90;1016;2004
AT1;AT13;AT130;00000;00000000;2;ROU;588;576;1102;526;12;141;129;891;2004
AT1;AT13;AT130;00000;00000000;2;SVK;591;574;897;323;17;81;64;572;2004
AT1;AT13;AT130;00000;00000000;2;HUN;248;248;474;226;0;80;80;322;2004
AT1;AT13;AT130;00000;00000000;2;BGR;313;303;577;274;10;47;37;517;2004
AT1;AT13;AT130;00000;00000000;2;CZE;84;82;230;148;2;37;35;182;2004
AT1;AT13;AT130;00000;00000000;2;REST-EU;274;293;1206;913;-19;99;118;836;2004
AT1;AT13;AT130;00000;00000000;2;SCG;2289;2210;3315;1105;79;332;253;5097;2004
AT1;AT13;AT130;00000;00000000;2;TUR;1440;1386;1817;431;54;186;132;2422;2004
AT1;AT13;AT130;00000;00000000;2;BIH;603;499;663;164;104;168;64;1150;2004
AT1;AT13;AT130;00000;00000000;2;HRV;355;328;534;206;27;92;65;772;2004
AT1;AT13;AT130;00000;00000000;2;MKD;329;326;389;63;3;26;23;406;2004
AT1;AT13;AT130;00000;00000000;2;RUS;556;538;665;127;18;214;196;761;2004
AT1;AT13;AT130;00000;00000000;2;CHN;361;358;627;269;3;112;109;977;2004
AT1;AT13;AT130;00000;00000000;2;OTHER;2607;2377;4239;1862;230;639;409;4283;2004
AT1;AT13;AT130;00000;00000000;1;AUT;-2840;-732;4378;5110;-2108;9544;11652;43862;2004
AT1;AT13;AT130;00000;00000000;1;DEU;882;937;1587;650;-55;167;222;1028;2004
AT1;AT13;AT130;00000;00000000;1;POL;2125;2134;2888;754;-9;105;114;1157;2004
AT1;AT13;AT130;00000;00000000;1;ROU;164;228;1010;782;-64;90;154;612;2004
AT1;AT13;AT130;00000;00000000;1;SVK;240;223;456;233;17;53;36;262;2004
AT1;AT13;AT130;00000;00000000;1;HUN;-30;-5;373;378;-25;51;76;223;2004
AT1;AT13;AT130;00000;00000000;1;BGR;135;139;493;354;-4;27;31;429;2004
AT1;AT13;AT130;00000;00000000;1;CZE;-3;8;126;118;-11;14;25;89;2004
AT1;AT13;AT130;00000;00000000;1;REST-EU;348;400;1646;1246;-52;128;180;996;2004
AT1;AT13;AT130;00000;00000000;1;SCG;2321;2278;4030;1752;43;417;374;6271;2004
AT1;AT13;AT130;00000;00000000;1;TUR;1147;1091;1939;848;56;340;284;4027;2004
AT1;AT13;AT130;00000;00000000;1;BIH;699;594;894;300;105;227;122;1596;2004
AT1;AT13;AT130;00000;00000000;1;HRV;236;230;595;365;6;83;77;938;2004
AT1;AT13;AT130;00000;00000000;1;MKD;271;252;419;167;19;82;63;677;2004
AT1;AT13;AT130;00000;00000000;1;RUS;514;529;702;173;-15;204;219;832;2004
AT1;AT13;AT130;00000;00000000;1;CHN;277;293;574;281;-16;98;114;718;2004
AT1;AT13;AT130;00000;00000000;1;OTHER;3482;3385;6920;3535;97;1230;1133;9173;2004
AT1;AT13;AT130;00000;00000000;2;AUT;-2258;-423;1821;2244;-1835;10135;11970;45753;2005
AT1;AT13;AT130;00000;00000000;2;DEU;906;969;1554;585;-63;164;227;1151;2005
AT1;AT13;AT130;00000;00000000;2;POL;1230;1284;1899;615;-54;80;134;1272;2005
AT1;AT13;AT130;00000;00000000;2;ROU;466;433;1014;581;33;143;110;918;2005
AT1;AT13;AT130;00000;00000000;2;SVK;538;545;947;402;-7;92;99;740;2005
AT1;AT13;AT130;00000;00000000;2;HUN;133;152;426;274;-19;77;96;362;2005
AT1;AT13;AT130;00000;00000000;2;BGR;149;149;474;325;0;39;39;556;2005
AT1;AT13;AT130;00000;00000000;2;CZE;81;90;217;127;-9;32;41;184;2005
AT1;AT13;AT130;00000;00000000;2;REST-EU;265;295;1251;956;-30;100;130;899;2005
AT1;AT13;AT130;00000;00000000;2;SCG;1951;1950;2831;881;1;299;298;5264;2005
AT1;AT13;AT130;00000;00000000;2;TUR;1385;1364;1741;377;21;152;131;2477;2005
AT1;AT13;AT130;00000;00000000;2;BIH;458;393;559;166;65;156;91;1056;2005
AT1;AT13;AT130;00000;00000000;2;HRV;225;225;448;223;0;64;64;779;2005
AT1;AT13;AT130;00000;00000000;2;MKD;265;242;299;57;23;52;29;363;2005
AT1;AT13;AT130;00000;00000000;2;RUS;443;263;368;105;180;248;68;758;2005
AT1;AT13;AT130;00000;00000000;2;CHN;206;236;526;290;-30;118;148;842;2005
AT1;AT13;AT130;00000;00000000;2;OTHER;2372;2092;3994;1902;280;696;416;4639;2005
AT1;AT13;AT130;00000;00000000;1;AUT;-1727;214;4247;4033;-1941;9919;11860;45302;2005
AT1;AT13;AT130;00000;00000000;1;DEU;1006;1069;1751;682;-63;192;255;1170;2005
AT1;AT13;AT130;00000;00000000;1;POL;1679;1733;2705;972;-54;112;166;1615;2005
AT1;AT13;AT130;00000;00000000;1;ROU;260;308;987;679;-48;75;123;577;2005
AT1;AT13;AT130;00000;00000000;1;SVK;204;232;591;359;-28;44;72;326;2005
AT1;AT13;AT130;00000;00000000;1;HUN;80;102;411;309;-22;46;68;255;2005
AT1;AT13;AT130;00000;00000000;1;BGR;5;23;372;349;-18;18;36;401;2005
AT1;AT13;AT130;00000;00000000;1;CZE;19;27;129;102;-8;11;19;81;2005
AT1;AT13;AT130;00000;00000000;1;REST-EU;284;331;1657;1326;-47;116;163;1114;2005
AT1;AT13;AT130;00000;00000000;1;SCG;2051;2050;3590;1540;1;467;466;6669;2005
AT1;AT13;AT130;00000;00000000;1;TUR;1155;1147;1830;683;8;282;274;4111;2005
AT1;AT13;AT130;00000;00000000;1;BIH;584;538;822;284;46;185;139;1586;2005
AT1;AT13;AT130;00000;00000000;1;HRV;121;138;468;330;-17;82;99;955;2005
AT1;AT13;AT130;00000;00000000;1;MKD;318;290;432;142;28;101;73;705;2005
AT1;AT13;AT130;00000;00000000;1;RUS;298;153;294;141;145;247;102;896;2005
AT1;AT13;AT130;00000;00000000;1;CHN;223;216;526;310;7;117;110;732;2005
AT1;AT13;AT130;00000;00000000;1;OTHER;1806;1577;5186;3609;229;1355;1126;10007;2005
AT1;AT13;AT130;00000;00000000;2;AUT;-2236;-721;1684;2405;-1515;10660;12175;45341;2006
AT1;AT13;AT130;00000;00000000;2;DEU;910;985;1650;665;-75;185;260;1333;2006
AT1;AT13;AT130;00000;00000000;2;POL;932;971;1588;617;-39;78;117;1518;2006
AT1;AT13;AT130;00000;00000000;2;ROU;190;192;877;685;-2;116;118;950;2006
AT1;AT13;AT130;00000;00000000;2;SVK;281;307;806;499;-26;79;105;793;2006
AT1;AT13;AT130;00000;00000000;2;HUN;145;162;445;283;-17;61;78;386;2006
AT1;AT13;AT130;00000;00000000;2;BGR;70;62;412;350;8;34;26;537;2006
AT1;AT13;AT130;00000;00000000;2;CZE;47;56;201;145;-9;31;40;187;2006
AT1;AT13;AT130;00000;00000000;2;REST-EU;229;247;1301;1054;-18;104;122;849;2006
AT1;AT13;AT130;00000;00000000;2;SCG;469;473;1548;1075;-4;281;285;5261;2006
AT1;AT13;AT130;00000;00000000;2;TUR;599;540;958;418;59;165;106;2546;2006
AT1;AT13;AT130;00000;00000000;2;BIH;285;223;370;147;62;146;84;996;2006
AT1;AT13;AT130;00000;00000000;2;HRV;157;147;380;233;10;76;66;840;2006
AT1;AT13;AT130;00000;00000000;2;MKD;121;118;178;60;3;22;19;364;2006
AT1;AT13;AT130;00000;00000000;2;RUS;374;166;274;108;208;307;99;521;2006
AT1;AT13;AT130;00000;00000000;2;CHN;108;83;370;287;25;114;89;817;2006
AT1;AT13;AT130;00000;00000000;2;OTHER;1911;1615;3941;2326;296;658;362;4618;2006
AT1;AT13;AT130;00000;00000000;1;AUT;-2317;-693;3719;4412;-1624;10221;11845;45980;2006
AT1;AT13;AT130;00000;00000000;1;DEU;984;1044;1937;893;-60;236;296;1350;2006
AT1;AT13;AT130;00000;00000000;1;POL;911;925;2055;1130;-14;143;157;1782;2006
AT1;AT13;AT130;00000;00000000;1;ROU;-119;-72;855;927;-47;77;124;575;2006
AT1;AT13;AT130;00000;00000000;1;SVK;109;137;564;427;-28;38;66;352;2006
AT1;AT13;AT130;00000;00000000;1;HUN;138;129;434;305;9;77;68;249;2006
AT1;AT13;AT130;00000;00000000;1;BGR;4;3;320;317;1;27;26;361;2006
AT1;AT13;AT130;00000;00000000;1;CZE;52;47;154;107;5;22;17;110;2006
AT1;AT13;AT130;00000;00000000;1;REST-EU;48;78;1582;1504;-30;134;164;1098;2006
AT1;AT13;AT130;00000;00000000;1;SCG;271;278;2157;1879;-7;438;445;6595;2006
AT1;AT13;AT130;00000;00000000;1;TUR;363;370;1149;779;-7;272;279;3922;2006
AT1;AT13;AT130;00000;00000000;1;BIH;155;130;414;284;25;165;140;1469;2006
AT1;AT13;AT130;00000;00000000;1;HRV;69;83;450;367;-14;92;106;945;2006
AT1;AT13;AT130;00000;00000000;1;MKD;92;87;260;173;5;55;50;733;2006
AT1;AT13;AT130;00000;00000000;1;RUS;337;142;287;145;195;344;149;626;2006
AT1;AT13;AT130;00000;00000000;1;CHN;24;15;358;343;9;113;104;738;2006
AT1;AT13;AT130;00000;00000000;1;OTHER;1059;571;4569;3998;488;1417;929;9016;2006
AT1;AT13;AT130;00000;00000000;2;AUT;-2611;-1095;1653;2748;-1516;11217;12733;46126;2007
AT1;AT13;AT130;00000;00000000;2;DEU;1025;1098;1865;767;-73;211;284;1538;2007
AT1;AT13;AT130;00000;00000000;2;POL;899;946;1545;599;-47;102;149;1666;2007
AT1;AT13;AT130;00000;00000000;2;ROU;1075;1110;1632;522;-35;120;155;1189;2007
AT1;AT13;AT130;00000;00000000;2;SVK;364;389;832;443;-25;86;111;924;2007
AT1;AT13;AT130;00000;00000000;2;HUN;352;354;619;265;-2;103;105;435;2007
AT1;AT13;AT130;00000;00000000;2;BGR;468;468;698;230;0;53;53;597;2007
AT1;AT13;AT130;00000;00000000;2;CZE;67;71;209;138;-4;34;38;209;2007
AT1;AT13;AT130;00000;00000000;2;REST-EU;505;511;1472;961;-6;118;124;1058;2007
AT1;AT13;AT130;00000;00000000;2;SCG;394;362;1448;1086;32;272;240;4923;2007
AT1;AT13;AT130;00000;00000000;2;TUR;631;614;1104;490;17;175;158;2741;2007
AT1;AT13;AT130;00000;00000000;2;BIH;250;194;349;155;56;128;72;1117;2007
AT1;AT13;AT130;00000;00000000;2;HRV;125;98;328;230;27;80;53;768;2007
AT1;AT13;AT130;00000;00000000;2;MKD;164;162;217;55;2;29;27;438;2007
AT1;AT13;AT130;00000;00000000;2;RUS;522;235;342;107;287;385;98;789;2007
AT1;AT13;AT130;00000;00000000;2;CHN;93;68;342;274;25;123;98;752;2007
AT1;AT13;AT130;00000;00000000;2;OTHER;2089;1777;4173;2396;312;770;458;4778;2007
AT1;AT13;AT130;00000;00000000;1;AUT;-2488;-1070;3566;4636;-1418;10899;12317;46743;2007
AT1;AT13;AT130;00000;00000000;1;DEU;1278;1353;2279;926;-75;257;332;1644;2007
AT1;AT13;AT130;00000;00000000;1;POL;440;505;1693;1188;-65;114;179;1901;2007
AT1;AT13;AT130;00000;00000000;1;ROU;1101;1199;1842;643;-98;74;172;883;2007
AT1;AT13;AT130;00000;00000000;1;SVK;173;199;586;387;-26;53;79;374;2007
AT1;AT13;AT130;00000;00000000;1;HUN;354;368;613;245;-14;80;94;305;2007
AT1;AT13;AT130;00000;00000000;1;BGR;361;363;629;266;-2;29;31;438;2007
AT1;AT13;AT130;00000;00000000;1;CZE;33;45;156;111;-12;9;21;104;2007
AT1;AT13;AT130;00000;00000000;1;REST-EU;485;526;1672;1146;-41;130;171;1138;2007
AT1;AT13;AT130;00000;00000000;1;SCG;153;111;1967;1856;42;416;374;6248;2007
AT1;AT13;AT130;00000;00000000;1;TUR;408;393;1246;853;15;308;293;4150;2007
AT1;AT13;AT130;00000;00000000;1;BIH;160;136;408;272;24;161;137;1551;2007
AT1;AT13;AT130;00000;00000000;1;HRV;72;91;419;328;-19;83;102;990;2007
AT1;AT13;AT130;00000;00000000;1;MKD;87;88;255;167;-1;49;50;707;2007
AT1;AT13;AT130;00000;00000000;1;RUS;418;142;290;148;276;442;166;770;2007
AT1;AT13;AT130;00000;00000000;1;CHN;72;64;343;279;8;130;122;602;2007
AT1;AT13;AT130;00000;00000000;1;OTHER;1290;736;4837;4101;554;1538;984;8453;2007
AT1;AT13;AT130;00000;00000000;2;AUT;-3606;-1468;1680;3148;-2138;10787;12925;45004;2008
AT1;AT13;AT130;00000;00000000;2;DEU;1065;1166;2097;931;-101;213;314;1740;2008
AT1;AT13;AT130;00000;00000000;2;POL;570;608;1265;657;-38;90;128;1726;2008
AT1;AT13;AT130;00000;00000000;2;ROU;883;907;1528;621;-24;148;172;1281;2008
AT1;AT13;AT130;00000;00000000;2;SVK;339;388;818;430;-49;105;154;963;2008
AT1;AT13;AT130;00000;00000000;2;HUN;350;337;711;374;13;100;87;468;2008
AT1;AT13;AT130;00000;00000000;2;BGR;483;485;787;302;-2;51;53;671;2008
AT1;AT13;AT130;00000;00000000;2;CZE;80;85;241;156;-5;32;37;207;2008
