Lebendgeburten in Wien gemeldeter Personen  nach und Geschlecht und Alter der Mutter;;;;;;;
Life birth of residents in Vienna  by sex and age of mother;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;AGE;LIVEBIRTH;REF_YEAR
AT1;AT13;AT130;00000;0000;2;14;3;2010
AT1;AT13;AT130;00000;0000;2;15;12;2010
AT1;AT13;AT130;00000;0000;2;16;26;2010
AT1;AT13;AT130;00000;0000;2;17;60;2010
AT1;AT13;AT130;00000;0000;2;18;87;2010
AT1;AT13;AT130;00000;0000;2;19;178;2010
AT1;AT13;AT130;00000;0000;2;20;218;2010
AT1;AT13;AT130;00000;0000;2;21;248;2010
AT1;AT13;AT130;00000;0000;2;22;311;2010
AT1;AT13;AT130;00000;0000;2;23;343;2010
AT1;AT13;AT130;00000;0000;2;24;379;2010
AT1;AT13;AT130;00000;0000;2;25;418;2010
AT1;AT13;AT130;00000;0000;2;26;464;2010
AT1;AT13;AT130;00000;0000;2;27;484;2010
AT1;AT13;AT130;00000;0000;2;28;501;2010
AT1;AT13;AT130;00000;0000;2;29;554;2010
AT1;AT13;AT130;00000;0000;2;30;507;2010
AT1;AT13;AT130;00000;0000;2;31;553;2010
AT1;AT13;AT130;00000;0000;2;32;489;2010
AT1;AT13;AT130;00000;0000;2;33;489;2010
AT1;AT13;AT130;00000;0000;2;34;498;2010
AT1;AT13;AT130;00000;0000;2;35;439;2010
AT1;AT13;AT130;00000;0000;2;36;352;2010
AT1;AT13;AT130;00000;0000;2;37;281;2010
AT1;AT13;AT130;00000;0000;2;38;257;2010
AT1;AT13;AT130;00000;0000;2;39;201;2010
AT1;AT13;AT130;00000;0000;2;40;127;2010
AT1;AT13;AT130;00000;0000;2;41;92;2010
AT1;AT13;AT130;00000;0000;2;42;63;2010
AT1;AT13;AT130;00000;0000;2;43;32;2010
AT1;AT13;AT130;00000;0000;2;44;24;2010
AT1;AT13;AT130;00000;0000;2;45;6;2010
AT1;AT13;AT130;00000;0000;2;46;7;2010
AT1;AT13;AT130;00000;0000;2;47;2;2010
AT1;AT13;AT130;00000;0000;2;49;3;2010
AT1;AT13;AT130;00000;0000;2;52;1;2010
AT1;AT13;AT130;00000;0000;1;14;6;2010
AT1;AT13;AT130;00000;0000;1;15;13;2010
AT1;AT13;AT130;00000;0000;1;16;24;2010
AT1;AT13;AT130;00000;0000;1;17;61;2010
AT1;AT13;AT130;00000;0000;1;18;100;2010
AT1;AT13;AT130;00000;0000;1;19;177;2010
AT1;AT13;AT130;00000;0000;1;20;213;2010
AT1;AT13;AT130;00000;0000;1;21;317;2010
AT1;AT13;AT130;00000;0000;1;22;342;2010
AT1;AT13;AT130;00000;0000;1;23;386;2010
AT1;AT13;AT130;00000;0000;1;24;388;2010
AT1;AT13;AT130;00000;0000;1;25;417;2010
AT1;AT13;AT130;00000;0000;1;26;455;2010
AT1;AT13;AT130;00000;0000;1;27;488;2010
AT1;AT13;AT130;00000;0000;1;28;530;2010
AT1;AT13;AT130;00000;0000;1;29;589;2010
AT1;AT13;AT130;00000;0000;1;30;592;2010
AT1;AT13;AT130;00000;0000;1;31;567;2010
AT1;AT13;AT130;00000;0000;1;32;566;2010
AT1;AT13;AT130;00000;0000;1;33;469;2010
AT1;AT13;AT130;00000;0000;1;34;497;2010
AT1;AT13;AT130;00000;0000;1;35;425;2010
AT1;AT13;AT130;00000;0000;1;36;379;2010
AT1;AT13;AT130;00000;0000;1;37;357;2010
AT1;AT13;AT130;00000;0000;1;38;287;2010
AT1;AT13;AT130;00000;0000;1;39;216;2010
AT1;AT13;AT130;00000;0000;1;40;154;2010
AT1;AT13;AT130;00000;0000;1;41;111;2010
AT1;AT13;AT130;00000;0000;1;42;76;2010
AT1;AT13;AT130;00000;0000;1;43;35;2010
AT1;AT13;AT130;00000;0000;1;44;19;2010
AT1;AT13;AT130;00000;0000;1;45;9;2010
AT1;AT13;AT130;00000;0000;1;46;4;2010
AT1;AT13;AT130;00000;0000;1;47;3;2010
AT1;AT13;AT130;00000;0000;1;49;1;2010
AT1;AT13;AT130;00000;0000;1;50;3;2010
AT1;AT13;AT130;00000;0000;1;51;3;2010
AT1;AT13;AT130;00000;0000;1;52;1;2010
AT1;AT13;AT130;00000;0000;2;13;1;2011
AT1;AT13;AT130;00000;0000;2;14;1;2011
AT1;AT13;AT130;00000;0000;2;15;5;2011
AT1;AT13;AT130;00000;0000;2;16;26;2011
AT1;AT13;AT130;00000;0000;2;17;50;2011
AT1;AT13;AT130;00000;0000;2;18;97;2011
AT1;AT13;AT130;00000;0000;2;19;126;2011
AT1;AT13;AT130;00000;0000;2;20;213;2011
AT1;AT13;AT130;00000;0000;2;21;228;2011
AT1;AT13;AT130;00000;0000;2;22;280;2011
AT1;AT13;AT130;00000;0000;2;23;351;2011
AT1;AT13;AT130;00000;0000;2;24;353;2011
AT1;AT13;AT130;00000;0000;2;25;428;2011
AT1;AT13;AT130;00000;0000;2;26;420;2011
AT1;AT13;AT130;00000;0000;2;27;491;2011
AT1;AT13;AT130;00000;0000;2;28;530;2011
AT1;AT13;AT130;00000;0000;2;29;564;2011
AT1;AT13;AT130;00000;0000;2;30;567;2011
