Sterbefälle in Wien gemeldeter Personen nach Geschlecht und Wiener Bezirk ;;;;;;;
Deaths of residents in Vienna by sex and Vienna district ;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;DEATH;REF_YEAR
AT1;AT13;AT130;90101;0;2;90;2010
AT1;AT13;AT130;90201;0;2;503;2010
AT1;AT13;AT130;90301;0;2;418;2010
AT1;AT13;AT130;90401;0;2;183;2010
AT1;AT13;AT130;90501;0;2;249;2010
AT1;AT13;AT130;90601;0;2;158;2010
AT1;AT13;AT130;90701;0;2;146;2010
AT1;AT13;AT130;90801;0;2;101;2010
AT1;AT13;AT130;90901;0;2;224;2010
AT1;AT13;AT130;91001;0;2;943;2010
AT1;AT13;AT130;91101;0;2;375;2010
AT1;AT13;AT130;91201;0;2;494;2010
AT1;AT13;AT130;91301;0;2;453;2010
AT1;AT13;AT130;91401;0;2;475;2010
AT1;AT13;AT130;91501;0;2;314;2010
AT1;AT13;AT130;91601;0;2;466;2010
AT1;AT13;AT130;91701;0;2;267;2010
AT1;AT13;AT130;91801;0;2;275;2010
AT1;AT13;AT130;91901;0;2;546;2010
AT1;AT13;AT130;92001;0;2;390;2010
AT1;AT13;AT130;92101;0;2;659;2010
AT1;AT13;AT130;92201;0;2;642;2010
AT1;AT13;AT130;92301;0;2;473;2010
AT1;AT13;AT130;90101;0;1;98;2010
AT1;AT13;AT130;90201;0;1;433;2010
AT1;AT13;AT130;90301;0;1;379;2010
AT1;AT13;AT130;90401;0;1;126;2010
AT1;AT13;AT130;90501;0;1;193;2010
AT1;AT13;AT130;90601;0;1;113;2010
AT1;AT13;AT130;90701;0;1;107;2010
AT1;AT13;AT130;90801;0;1;88;2010
AT1;AT13;AT130;90901;0;1;153;2010
AT1;AT13;AT130;91001;0;1;800;2010
AT1;AT13;AT130;91101;0;1;371;2010
AT1;AT13;AT130;91201;0;1;462;2010
AT1;AT13;AT130;91301;0;1;314;2010
