Wanderung gegenüber Wien nach Migrationshintergrund und Geschlecht;;;;;;;;;;;;;;;
Migration in Vienna by migrationbackground and sex;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;MIG_BACKGROUND;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;MIG_VIE_INT;REF_DATE
AT1;AT13;AT130;00000;00000000;2;AUT;-795;-794;1779;2573;-1;10130;10131;35752;2002
AT1;AT13;AT130;00000;00000000;2;DEU;458;448;1020;572;10;270;260;1248;2002
AT1;AT13;AT130;00000;00000000;2;POL;522;537;837;300;-15;105;120;1220;2002
AT1;AT13;AT130;00000;00000000;2;ROU;751;682;890;208;69;173;104;706;2002
AT1;AT13;AT130;00000;00000000;2;SVK;520;526;689;163;-6;67;73;488;2002
AT1;AT13;AT130;00000;00000000;2;HUN;206;190;372;182;16;117;101;498;2002
AT1;AT13;AT130;00000;00000000;2;BGR;296;294;442;148;2;45;43;429;2002
AT1;AT13;AT130;00000;00000000;2;CZE;78;112;236;124;-34;87;121;581;2002
AT1;AT13;AT130;00000;00000000;2;REST-EU;131;136;960;824;-5;149;154;946;2002
AT1;AT13;AT130;00000;00000000;2;SCG;1534;1486;2446;960;48;349;301;5581;2002
AT1;AT13;AT130;00000;00000000;2;TUR;2244;2098;2484;386;146;317;171;3637;2002
AT1;AT13;AT130;00000;00000000;2;BIH;457;355;497;142;102;194;92;1666;2002
AT1;AT13;AT130;00000;00000000;2;HRV;415;387;553;166;28;87;59;911;2002
AT1;AT13;AT130;00000;00000000;2;MKD;260;259;319;60;1;23;22;423;2002
AT1;AT13;AT130;00000;00000000;2;RUS;243;222;301;79;21;52;31;342;2002
AT1;AT13;AT130;00000;00000000;2;CHN;753;680;792;112;73;162;89;634;2002
AT1;AT13;AT130;00000;00000000;2;OTHER;2224;1978;4000;2022;246;748;502;4799;2002
AT1;AT13;AT130;00000;00000000;1;AUT;252;89;4019;3930;163;9995;9832;36361;2002
AT1;AT13;AT130;00000;00000000;1;DEU;674;619;1205;586;55;279;224;1181;2002
AT1;AT13;AT130;00000;00000000;1;POL;188;194;743;549;-6;94;100;1045;2002
AT1;AT13;AT130;00000;00000000;1;ROU;569;527;727;200;42;129;87;555;2002
AT1;AT13;AT130;00000;00000000;1;SVK;145;153;276;123;-8;50;58;257;2002
AT1;AT13;AT130;00000;00000000;1;HUN;80;68;299;231;12;81;69;362;2002
