Automarken (Top-10) in Wien - Gemeindebezirk;;;;;;;;;;
Car brands (Top-10) in Vienna - municipial district;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;BRAND;BRAND_TOTAL;SUB_BRAND;SUB_BRAND_TOTAL;REF_DATE
AT1;AT13;AT130;90101;0000;1;VW;741;GOLF;255;20133112
AT1;AT13;AT130;90101;0000;1;MERCEDES;663;E;140;20133112
AT1;AT13;AT130;90101;0000;1;BMW;632;X3;64;20133112
AT1;AT13;AT130;90101;0000;1;AUDI;460;A4;134;20133112
AT1;AT13;AT130;90101;0000;1;PORSCHE;190;911;51;20133112
AT1;AT13;AT130;90101;0000;1;RENAULT;156;MEGANE;53;20133112
AT1;AT13;AT130;90101;0000;1;VOLVO;156;V70;30;20133112
AT1;AT13;AT130;90101;0000;1;OPEL;140;ASTRA;45;20133112
AT1;AT13;AT130;90101;0000;1;JAGUAR;135;XJ6;18;20133112
AT1;AT13;AT130;90101;0000;1;PEUGEOT;135;307;18;20133112
AT1;AT13;AT130;90101;0000;2;VW;592;GOLF;258;20133112
AT1;AT13;AT130;90101;0000;2;MERCEDES;298;A;68;20133112
AT1;AT13;AT130;90101;0000;2;BMW;276;X3;27;20133112
AT1;AT13;AT130;90101;0000;2;AUDI;225;A3;77;20133112
AT1;AT13;AT130;90101;0000;2;PEUGEOT;119;206;27;20133112
AT1;AT13;AT130;90101;0000;2;MINI;107;COOPER;72;20133112
AT1;AT13;AT130;90101;0000;2;FIAT;106;500;30;20133112
AT1;AT13;AT130;90101;0000;2;RENAULT;106;MEGANE;28;20133112
AT1;AT13;AT130;90101;0000;2;TOYOTA;106;RAV4;27;20133112
AT1;AT13;AT130;90101;0000;2;OPEL;99;ASTRA;23;20133112
AT1;AT13;AT130;90101;0000;3;VW;1925;GOLF;657;20133112
AT1;AT13;AT130;90101;0000;3;AUDI;1243;A6;368;20133112
AT1;AT13;AT130;90101;0000;3;BMW;1093;X3;113;20133112
AT1;AT13;AT130;90101;0000;3;MERCEDES;764;E;190;20133112
AT1;AT13;AT130;90101;0000;3;SKODA;362;OCTAVIA;236;20133112
AT1;AT13;AT130;90101;0000;3;FORD;349;GALAXY;130;20133112
AT1;AT13;AT130;90101;0000;3;OPEL;215;ASTRA;90;20133112
AT1;AT13;AT130;90101;0000;3;PEUGEOT;214;PARTNER;64;20133112
AT1;AT13;AT130;90101;0000;3;CITROEN;205;BERLINGO;67;20133112
AT1;AT13;AT130;90101;0000;3;VOLVO;205;XC90;45;20133112
AT1;AT13;AT130;90201;0000;1;VW;2820;GOLF;1033;20133112
AT1;AT13;AT130;90201;0000;1;MERCEDES;1488;E;433;20133112
AT1;AT13;AT130;90201;0000;1;OPEL;1221;ASTRA;392;20133112
AT1;AT13;AT130;90201;0000;1;BMW;1179;320D;130;20133112
AT1;AT13;AT130;90201;0000;1;AUDI;1102;A4;398;20133112
AT1;AT13;AT130;90201;0000;1;FORD;1028;FOCUS;318;20133112
AT1;AT13;AT130;90201;0000;1;RENAULT;843;MEGANE;341;20133112
