Rechnungsabschluss der Stadt Wien nach Ausgabenarten in EUR ;;;;;;;;;;;;
Annual accounts of the City of Vienna in EUR - by expenditure categories ;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;ACCOUNTS_STAFF;ACCOUNTS_PENSION;ACCOUNTS_DURCON;ACCOUNTS_TRANSFER;ACCOUNTS_DEBT;ACCOUNTS_INVESTMENTS;ACCOUNTS_OTHER;REF_DATE
AT1;AT13;AT130;0;0;2105098251;950637301,9;1370945539;2977159499;437482857,7;1351075652;300081216,6;20021231
AT1;AT13;AT130;0;0;2135191485;989569328,2;1359987296;3012206284;769441180,6;1337299004;214685031,5;20031231
AT1;AT13;AT130;0;0;2108982573;1017000405;1163754744;3334604938;391971806,8;1359790073;168929833,3;20041231
AT1;AT13;AT130;0;0;2158669583;1033194644;1094258806;3435562791;326448778,8;1524005302;127688127,8;20051231
AT1;AT13;AT130;0;0;2216990392;1058083315;1166473105;3576826880;480206269,5;1482227248;169260613,7;20061231
AT1;AT13;AT130;0;0;2260209232;1097449205;1233494198;3709479215;384104135,4;1678840139;160089672,9;20071231
AT1;AT13;AT130;0;0;2355963391;1135151914;1297322370;4115633893;378158936,4;1647779186;149720947;20081231
AT1;AT13;AT130;0;0;2421813733;1181690903;1209666200;4188330945;306306101,9;1809876209;198161416,7;20091231
AT1;AT13;AT130;0;0;2455560542;1229618237;1297197436;4339300931;428593758,6;1987782578;144545466,7;20101231
AT1;AT13;AT130;0;0;2479292622;1238407378;1285481629;4537763080;417789744,9;1662725401;462433231,6;20111231
AT1;AT13;AT130;0;0;2539916534;1268729341;1313879135;4615248251;488907455,3;1664369295;433970818,5;20121231
AT1;AT13;AT130;0;0;2591387701;1297484116;1336460963;4841071510;308253918,3;1787316440;309127926,9;20131231
