NUTS2;LAU2_CODE;LAU2_NAME;POP_TOTAL;YEAR
AT33;30101;Krems an der Donau;18011;1869
AT33;30201;Sankt Pölten;14470;1869
AT33;30301;Waidhofen an der Ybbs;7957;1869
AT33;30401;Wiener Neustadt;20619;1869
AT33;30501;Allhartsberg;1064;1869
AT33;30502;Amstetten;4313;1869
AT33;30503;Ardagger;2840;1869
AT33;30504;Aschbach-Markt;2498;1869
AT33;30506;Behamberg;1307;1869
AT33;30507;Biberbach;1366;1869
AT33;30508;Ennsdorf;425;1869
AT33;30509;Ernsthofen;1075;1869
AT33;30510;Ertl;1024;1869
AT33;30511;Euratsfeld;1371;1869
AT33;30512;Ferschnitz;1009;1869
AT33;30514;Haag;3929;1869
AT33;30515;Haidershofen;1813;1869
AT33;30516;Hollenstein an der Ybbs;2477;1869
AT33;30517;Kematen an der Ybbs;378;1869
AT33;30520;Neuhofen an der Ybbs;1611;1869
AT33;30521;Neustadtl an der Donau;2442;1869
AT33;30522;Oed-Oehling;734;1869
AT33;30524;Opponitz;1000;1869
AT33;30526;Sankt Georgen am Reith;641;1869
AT33;30527;Sankt Georgen am Ybbsfelde;1257;1869
AT33;30529;Sankt Pantaleon-Erla;1475;1869
AT33;30530;Sankt Peter in der Au;3205;1869
AT33;30531;Sankt Valentin;2616;1869
AT33;30532;Seitenstetten;1931;1869
AT33;30533;Sonntagberg;1144;1869
AT33;30534;Strengberg;2286;1869
AT33;30536;Viehdorf;1015;1869
AT33;30538;Wallsee-Sindelburg;1677;1869
AT33;30539;Weistrach;1794;1869
AT33;30541;Winklarn;566;1869
AT33;30542;Wolfsbach;1842;1869
AT33;30543;Ybbsitz;3164;1869
AT33;30544;Zeillern;1308;1869
AT33;30601;Alland;2082;1869
AT33;30602;Altenmarkt an der Triesting;2044;1869
AT33;30603;Bad Vöslau;4176;1869
AT33;30604;Baden;10621;1869
AT33;30605;Berndorf;3331;1869
AT33;30607;Ebreichsdorf;3099;1869
AT33;30608;Enzesfeld-Lindabrunn;902;1869
AT33;30609;Furth an der Triesting;1116;1869
AT33;30612;Günselsdorf;220;1869
AT33;30613;Heiligenkreuz;900;1869
AT33;30614;Hernstein;1328;1869
AT33;30615;Hirtenberg;868;1869
AT33;30616;Klausen-Leopoldsdorf;1434;1869
AT33;30618;Kottingbrunn;1301;1869
AT33;30620;Leobersdorf;1762;1869
AT33;30621;Mitterndorf an der Fischa;279;1869
AT33;30623;Oberwaltersdorf;1025;1869
AT33;30625;Pfaffstätten;1281;1869
AT33;30626;Pottendorf;4286;1869
AT33;30627;Pottenstein;2259;1869
AT33;30629;Reisenberg;1122;1869
AT33;30631;Schönau an der Triesting;919;1869
AT33;30633;Seibersdorf;863;1869
AT33;30635;Sooß;497;1869
AT33;30636;Tattendorf;773;1869
AT33;30637;Teesdorf;983;1869
AT33;30639;Traiskirchen;3909;1869
AT33;30641;Trumau;1847;1869
AT33;30645;Weissenbach an der Triesting;1176;1869
AT33;30646;Blumau-Neurißhof;660;1869
AT33;30701;Au am Leithaberge;812;1869
AT33;30702;Bad Deutsch-Altenburg;833;1869
AT33;30703;Berg;0;1869
AT33;30704;Bruck an der Leitha;5431;1869
AT33;30706;Enzersdorf an der Fischa;1908;1869
AT33;30708;Göttlesbrunn-Arbesthal;1374;1869
AT33;30709;Götzendorf an der Leitha;1347;1869
AT33;30710;Hainburg a.d.Donau;4598;1869
AT33;30711;Haslau-Maria Ellend;557;1869
AT33;30712;Höflein;1081;1869
AT33;30713;Hof am Leithaberge;1158;1869
AT33;30715;Hundsheim;679;1869
AT33;30716;Mannersdorf am Leithagebirge;2378;1869
AT33;30718;Petronell-Carnuntum;834;1869
AT33;30719;Prellenkirchen;1564;1869
AT33;30721;Rohrau;1396;1869
AT33;30722;Scharndorf;1047;1869
AT33;30724;Sommerein;1692;1869
AT33;30726;Trautmannsdorf an der Leitha;2253;1869
AT33;30728;Wolfsthal;1606;1869
AT33;30801;Aderklaa;256;1869
AT33;30802;Andlersdorf;188;1869
AT33;30803;Angern an der March;2468;1869
AT33;30804;Auersthal;1273;1869
AT33;30805;Bad Pirawarth;1710;1869
AT33;30808;Deutsch-Wagram;763;1869
AT33;30810;Drösing;1325;1869
AT33;30811;Dürnkrut;1941;1869
AT33;30812;Ebenthal;860;1869
AT33;30813;Eckartsau;1293;1869
AT33;30814;Engelhartstetten;1807;1869
AT33;30817;Gänserndorf;1267;1869
AT33;30819;Glinzendorf;234;1869
AT33;30821;Groß-Enzersdorf;3041;1869
AT33;30822;Großhofen;116;1869
AT33;30824;Groß-Schweinbarth;1229;1869
AT33;30825;Haringsee;819;1869
AT33;30826;Hauskirchen;1367;1869
AT33;30827;Hohenau an der March;2078;1869
AT33;30828;Hohenruppersdorf;1308;1869
AT33;30829;Jedenspeigen;1363;1869
AT33;30830;Lassee;1008;1869
AT33;30831;Leopoldsdorf im Marchfelde;912;1869
AT33;30834;Mannsdorf an der Donau;365;1869
AT33;30835;Marchegg;1792;1869
AT33;30836;Markgrafneusiedl;423;1869
AT33;30838;Matzen-Raggendorf;2238;1869
AT33;30841;Neusiedl an der Zaya;982;1869
AT33;30842;Obersiebenbrunn;584;1869
AT33;30844;Orth an der Donau;1089;1869
AT33;30845;Palterndorf-Dobermannsdorf;1204;1869
AT33;30846;Parbasdorf;183;1869
AT33;30848;Prottes;824;1869
AT33;30849;Raasdorf;269;1869
AT33;30850;Ringelsdorf-Niederabsdorf;1932;1869
AT33;30852;Schönkirchen-Reyersdorf;969;1869
AT33;30854;Spannberg;978;1869
AT33;30856;Strasshof an der Nordbahn;56;1869
AT33;30857;Sulz im Weinviertel;2022;1869
