Kilowatt - Gemeindebezirk;;;;;;;;;;;;;;
Kilowatt in Vienna - municipial district;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;KW_0_30;KW_31_50;KW_51_70;KW_71_90;KW_91_110;KW_111_130;KW_131_150;KW_151_+;REF_DATE
AT1;AT13;AT130;90101;0000;1;142;304;705;1026;895;572;447;1177;20131231
AT1;AT13;AT130;90101;0000;2;44;348;741;774;471;221;193;308;20131231
AT1;AT13;AT130;90101;0000;3;24;166;1062;1694;1832;995;887;1896;20131231
AT1;AT13;AT130;90201;0000;1;125;1200;4015;5631;3355;1122;703;879;20131231
AT1;AT13;AT130;90201;0000;2;57;1548;3472;2656;1124;348;191;220;20131231
AT1;AT13;AT130;90201;0000;3;9;108;885;1615;1515;554;471;480;20131231
AT1;AT13;AT130;90301;0000;1;166;1210;3675;5178;3339;1223;764;1053;20131231
AT1;AT13;AT130;90301;0000;2;91;1595;3757;2866;1284;422;244;296;20131231
AT1;AT13;AT130;90301;0000;3;17;1253;1168;2652;2509;1435;605;868;20131231
AT1;AT13;AT130;90401;0000;1;99;430;1239;1720;1261;494;340;576;20131231
AT1;AT13;AT130;90401;0000;2;41;565;1311;1141;545;174;138;133;20131231
AT1;AT13;AT130;90401;0000;3;18;68;223;674;733;342;230;411;20131231
AT1;AT13;AT130;90501;0000;1;56;732;2360;3146;1965;678;407;425;20131231
AT1;AT13;AT130;90501;0000;2;39;885;2031;1435;591;183;102;102;20131231
AT1;AT13;AT130;90501;0000;3;7;125;231;352;351;174;125;194;20131231
AT1;AT13;AT130;90601;0000;1;79;472;1285;1703;1059;458;309;454;20131231
AT1;AT13;AT130;90601;0000;2;21;554;1234;925;427;132;80;86;20131231
AT1;AT13;AT130;90601;0000;3;8;67;220;443;463;209;173;314;20131231
AT1;AT13;AT130;90701;0000;1;60;409;1211;1631;1074;411;312;437;20131231
AT1;AT13;AT130;90701;0000;2;28;564;1183;931;402;119;70;109;20131231
AT1;AT13;AT130;90701;0000;3;11;75;287;466;514;215;150;327;20131231
AT1;AT13;AT130;90801;0000;1;62;305;909;1253;871;339;253;355;20131231
AT1;AT13;AT130;90801;0000;2;36;452;1040;792;430;126;77;93;20131231
AT1;AT13;AT130;90801;0000;3;7;59;118;201;189;100;53;168;20131231
AT1;AT13;AT130;90901;0000;1;55;564;1703;2193;1466;641;380;698;20131231
AT1;AT13;AT130;90901;0000;2;41;776;1856;1382;648;227;147;161;20131231
AT1;AT13;AT130;90901;0000;3;8;123;301;429;466;222;153;372;20131231
AT1;AT13;AT130;91001;0000;1;192;2718;8534;11942;7400;2406;1419;1478;20131231
AT1;AT13;AT130;91001;0000;2;80;3357;7610;5201;2112;643;341;355;20131231
AT1;AT13;AT130;91001;0000;3;24;258;1121;3048;2166;715;383;571;20131231
AT1;AT13;AT130;91101;0000;1;97;1425;4699;6660;4041;1241;746;740;20131231
AT1;AT13;AT130;91101;0000;2;34;1952;4290;2878;1124;307;176;170;20131231
AT1;AT13;AT130;91101;0000;3;3;141;532;1266;1168;351;212;298;20131231
AT1;AT13;AT130;91201;0000;1;109;1262;4126;5690;3436;1074;659;738;20131231
AT1;AT13;AT130;91201;0000;2;44;1668;3728;2590;1073;304;193;156;20131231
AT1;AT13;AT130;91201;0000;3;7;112;347;1477;1916;568;460;485;20131231
AT1;AT13;AT130;91301;0000;1;126;849;2460;3408;2326;965;643;1085;20131231
AT1;AT13;AT130;91301;0000;2;59;1361;3224;2430;1093;362;239;288;20131231
AT1;AT13;AT130;91301;0000;3;16;91;229;581;514;247;172;349;20131231
AT1;AT13;AT130;91401;0000;1;157;1474;4482;5960;3848;1281;785;940;20131231
AT1;AT13;AT130;91401;0000;2;53;2165;4819;3286;1332;382;247;231;20131231
AT1;AT13;AT130;91401;0000;3;8;63;315;680;723;262;158;238;20131231
AT1;AT13;AT130;91501;0000;1;108;1073;3331;4440;2691;805;497;569;20131231
AT1;AT13;AT130;91501;0000;2;32;1124;2399;1669;696;202;100;130;20131231
AT1;AT13;AT130;91501;0000;3;5;122;439;535;619;261;144;269;20131231
AT1;AT13;AT130;91601;0000;1;124;1473;4615;6174;3825;1269;733;865;20131231
AT1;AT13;AT130;91601;0000;2;53;1749;4047;2682;1158;315;205;205;20131231
AT1;AT13;AT130;91601;0000;3;4;486;454;619;651;208;132;247;20131231
AT1;AT13;AT130;91701;0000;1;96;819;2538;3319;2110;736;481;642;20131231
AT1;AT13;AT130;91701;0000;2;38;1124;2404;1736;679;231;138;152;20131231
AT1;AT13;AT130;91701;0000;3;6;88;178;278;270;118;79;145;20131231
AT1;AT13;AT130;91801;0000;1;99;718;2096;2765;1870;747;466;790;20131231
AT1;AT13;AT130;91801;0000;2;51;979;2399;1742;766;269;170;246;20131231
AT1;AT13;AT130;91801;0000;3;12;52;178;265;277;162;93;213;20131231
AT1;AT13;AT130;91901;0000;1;164;1066;2984;3982;2881;1175;859;1691;20131231
AT1;AT13;AT130;91901;0000;2;67;1579;3667;2850;1389;525;313;565;20131231
AT1;AT13;AT130;91901;0000;3;10;122;368;684;774;303;258;584;20131231
AT1;AT13;AT130;92001;0000;1;70;1013;3787;5015;3093;1021;521;590;20131231
AT1;AT13;AT130;92001;0000;2;31;1356;3100;2221;958;241;135;133;20131231
AT1;AT13;AT130;92001;0000;3;8;48;263;485;677;292;237;266;20131231
AT1;AT13;AT130;92101;0000;1;194;2338;8040;10684;6290;2169;1231;1385;20131231
AT1;AT13;AT130;92101;0000;2;79;3602;8259;5393;2040;610;316;301;20131231
AT1;AT13;AT130;92101;0000;3;14;162;696;1470;1523;479;336;395;20131231
AT1;AT13;AT130;92201;0000;1;189;2698;9089;12740;7860;2640;1722;1890;20131231
AT1;AT13;AT130;92201;0000;2;86;4383;10063;7033;2766;784;451;447;20131231
AT1;AT13;AT130;92201;0000;3;2;172;1258;2528;2267;709;683;790;20131231
AT1;AT13;AT130;92301;0000;1;159;1645;5187;7395;4565;1680;958;1319;20131231
AT1;AT13;AT130;92301;0000;2;69;2872;6389;4343;1771;511;274;285;20131231
AT1;AT13;AT130;92301;0000;3;8;202;809;2237;2747;818;502;756;20131231
AT1;AT13;AT130;99101;0000;3;1;6;31;3866;671;352;191;182;20131231
AT1;AT13;AT130;99201;0000;3;1;3;85;236;59;5;9;0;20131231
AT1;AT13;AT130;99301;0000;3;0;4;702;1435;131;2;0;0;20131231
AT1;AT13;AT130;90101;0000;1;150;329;738;1068;889;563;397;1170;20121231
AT1;AT13;AT130;90101;0000;2;50;369;765;782;488;214;187;299;20121231
AT1;AT13;AT130;90101;0000;3;25;166;1069;1856;1885;993;842;1865;20121231
AT1;AT13;AT130;90201;0000;1;124;1286;4267;5576;3298;1035;633;820;20121231
AT1;AT13;AT130;90201;0000;2;60;1683;3501;2564;1095;317;179;214;20121231
AT1;AT13;AT130;90201;0000;3;8;102;889;1595;1402;535;392;462;20121231
AT1;AT13;AT130;90301;0000;1;169;1298;3866;5187;3262;1166;716;1001;20121231
AT1;AT13;AT130;90301;0000;2;94;1770;3753;2852;1225;388;221;272;20121231
AT1;AT13;AT130;90301;0000;3;21;1182;1315;2756;2308;1397;563;881;20121231
AT1;AT13;AT130;90401;0000;1;100;455;1319;1776;1240;461;317;551;20121231
AT1;AT13;AT130;90401;0000;2;43;637;1310;1113;540;178;122;122;20121231
AT1;AT13;AT130;90401;0000;3;17;85;240;673;711;337;222;397;20121231
AT1;AT13;AT130;90501;0000;1;59;783;2558;3172;1876;637;385;386;20121231
AT1;AT13;AT130;90501;0000;2;39;956;2086;1435;569;170;96;106;20121231
AT1;AT13;AT130;90501;0000;3;4;137;249;372;372;158;120;179;20121231
AT1;AT13;AT130;90601;0000;1;80;507;1336;1718;1086;442;306;420;20121231
AT1;AT13;AT130;90601;0000;2;25;619;1264;922;426;129;76;86;20121231
AT1;AT13;AT130;90601;0000;3;10;86;205;428;442;199;157;287;20121231
AT1;AT13;AT130;90701;0000;1;64;438;1270;1634;1074;393;295;420;20121231
AT1;AT13;AT130;90701;0000;2;28;610;1209;945;403;102;68;102;20121231
AT1;AT13;AT130;90701;0000;3;10;82;298;497;474;213;137;308;20121231
AT1;AT13;AT130;90801;0000;1;65;332;954;1272;845;317;239;329;20121231
AT1;AT13;AT130;90801;0000;2;37;490;1067;789;424;132;71;85;20121231
AT1;AT13;AT130;90801;0000;3;6;60;116;206;177;99;53;162;20121231
AT1;AT13;AT130;90901;0000;1;59;589;1794;2214;1445;615;382;650;20121231
AT1;AT13;AT130;90901;0000;2;42;863;1861;1389;626;220;127;154;20121231
AT1;AT13;AT130;90901;0000;3;8;148;311;451;466;230;158;340;20121231
AT1;AT13;AT130;91001;0000;1;197;2875;8996;11853;7067;2199;1286;1324;20121231
AT1;AT13;AT130;91001;0000;2;86;3627;7704;5066;2031;592;319;316;20121231
AT1;AT13;AT130;91001;0000;3;28;217;1108;2769;1965;689;363;533;20121231
AT1;AT13;AT130;91101;0000;1;101;1522;4995;6671;3812;1129;678;673;20121231
AT1;AT13;AT130;91101;0000;2;35;2093;4304;2782;1049;283;161;149;20121231
AT1;AT13;AT130;91101;0000;3;3;136;488;1310;1071;348;202;283;20121231
AT1;AT13;AT130;91201;0000;1;106;1400;4336;5626;3309;982;621;657;20121231
AT1;AT13;AT130;91201;0000;2;45;1853;3775;2487;1040;281;170;151;20121231
AT1;AT13;AT130;91201;0000;3;9;103;372;1441;1891;553;405;442;20121231
AT1;AT13;AT130;91301;0000;1;128;903;2563;3429;2303;936;608;1046;20121231
AT1;AT13;AT130;91301;0000;2;63;1480;3285;2338;1049;357;222;286;20121231
AT1;AT13;AT130;91301;0000;3;15;74;230;574;478;234;161;326;20121231
AT1;AT13;AT130;91401;0000;1;162;1580;4641;5963;3661;1199;742;841;20121231
AT1;AT13;AT130;91401;0000;2;66;2314;4804;3172;1231;351;203;206;20121231
AT1;AT13;AT130;91401;0000;3;8;92;326;717;700;251;147;244;20121231
AT1;AT13;AT130;91501;0000;1;108;1215;3544;4290;2555;747;473;507;20121231
AT1;AT13;AT130;91501;0000;2;37;1232;2417;1612;670;184;104;112;20121231
AT1;AT13;AT130;91501;0000;3;6;133;449;602;589;247;120;257;20121231
AT1;AT13;AT130;91601;0000;1;121;1614;4834;6152;3581;1128;673;776;20121231
AT1;AT13;AT130;91601;0000;2;56;1801;4065;2545;1111;288;180;181;20121231
AT1;AT13;AT130;91601;0000;3;4;520;417;664;607;201;127;241;20121231
AT1;AT13;AT130;91701;0000;1;99;865;2660;3281;2017;708;460;591;20121231
AT1;AT13;AT130;91701;0000;2;40;1204;2449;1666;647;216;137;140;20121231
AT1;AT13;AT130;91701;0000;3;6;103;181;273;279;114;73;133;20121231
AT1;AT13;AT130;91801;0000;1;109;758;2230;2815;1846;712;462;777;20121231
AT1;AT13;AT130;91801;0000;2;59;1085;2420;1735;754;255;177;237;20121231
AT1;AT13;AT130;91801;0000;3;15;60;167;260;287;160;96;204;20121231
AT1;AT13;AT130;91901;0000;1;170;1136;3092;4003;2830;1122;825;1630;20121231
AT1;AT13;AT130;91901;0000;2;79;1663;3674;2814;1349;505;297;533;20121231
