Staatsangehigkeit in Wien gemeldeter Personen nach Geschlecht und Wiener Bezirk;;;;;;;;;;;;;;;;;;
Nationality of residents in Vienna by sex and Vienna district;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;90101;0000;2;8880;130;35;250;69;17;67;77;12;44;1192;6987;20110101
AT1;AT13;AT130;90201;0000;2;48909;2652;1343;1055;771;450;452;695;131;277;5232;35851;20110101
AT1;AT13;AT130;90301;0000;2;44976;1640;741;1215;723;352;352;501;141;287;4281;34743;20110101
AT1;AT13;AT130;90401;0000;2;16531;439;192;613;186;89;112;166;39;95;2089;12511;20110101
AT1;AT13;AT130;90501;0000;2;27339;1604;782;715;523;306;274;389;71;149;2817;19709;20110101
AT1;AT13;AT130;90601;0000;2;15453;440;209;502;214;80;104;104;31;111;1644;12014;20110101
AT1;AT13;AT130;90701;0000;2;16176;582;216;720;180;121;137;154;35;105;1564;12362;20110101
AT1;AT13;AT130;90801;0000;2;12398;314;109;537;140;55;66;92;27;90;1312;9656;20110101
AT1;AT13;AT130;90901;0000;2;21039;654;255;801;263;178;201;157;42;149;2303;16036;20110101
AT1;AT13;AT130;91001;0000;2;91563;4921;3966;779;1429;1382;944;1098;163;441;6516;69924;20110101
AT1;AT13;AT130;91101;0000;2;46644;1738;1348;431;707;485;415;531;98;212;2892;37787;20110101
AT1;AT13;AT130;91201;0000;2;46269;2268;1513;650;818;635;526;489;83;240;3351;35696;20110101
AT1;AT13;AT130;91301;0000;2;28145;321;124;728;250;77;79;103;64;150;1566;24683;20110101
AT1;AT13;AT130;91401;0000;2;44893;1703;726;735;679;372;397;405;90;184;2276;37326;20110101
AT1;AT13;AT130;91501;0000;2;36743;2924;1541;631;933;676;667;617;71;301;3480;24902;20110101
AT1;AT13;AT130;91601;0000;2;49288;3369;2108;740;1078;649;715;654;78;201;3412;36284;20110101
AT1;AT13;AT130;91701;0000;2;27511;1796;664;550;596;300;352;321;59;142;2125;20606;20110101
AT1;AT13;AT130;91801;0000;2;26058;889;299;842;365;140;207;247;52;178;2215;20624;20110101
AT1;AT13;AT130;91901;0000;2;37551;620;325;906;390;134;155;185;77;238;3375;31146;20110101
AT1;AT13;AT130;92001;0000;2;42847;2583;2235;511;823;557;497;587;67;231;3910;30846;20110101
AT1;AT13;AT130;92101;0000;2;74529;1712;1092;676;1063;363;376;476;182;270;4213;64106;20110101
AT1;AT13;AT130;92201;0000;2;82929;1275;820;784;1112;242;306;471;184;264;4685;72786;20110101
AT1;AT13;AT130;92301;0000;2;49812;920;496;656;472;243;296;274;89;183;2002;44181;20110101
AT1;AT13;AT130;90101;0000;1;8143;153;21;325;28;19;71;29;11;38;1046;6402;20110101
AT1;AT13;AT130;90201;0000;1;46613;2964;1433;1223;1042;564;495;493;82;253;5168;32896;20110101
AT1;AT13;AT130;90301;0000;1;40567;1890;863;1293;717;441;404;373;85;277;3940;30284;20110101
AT1;AT13;AT130;90401;0000;1;14672;482;217;664;160;107;122;94;28;92;1833;10873;20110101
AT1;AT13;AT130;90501;0000;1;26145;1743;911;868;568;398;347;262;40;148;2849;18011;20110101
AT1;AT13;AT130;90601;0000;1;14105;450;232;609;208;138;114;56;23;84;1549;10642;20110101
AT1;AT13;AT130;90701;0000;1;14475;536;241;724;177;131;131;89;13;76;1480;10877;20110101
AT1;AT13;AT130;90801;0000;1;11657;366;138;535;158;86;76;131;20;82;1460;8605;20110101
AT1;AT13;AT130;90901;0000;1;19045;699;284;900;334;196;201;117;18;115;2358;13823;20110101
AT1;AT13;AT130;91001;0000;1;86017;5270;4188;860;1518;1700;1139;834;99;449;6448;63512;20110101
AT1;AT13;AT130;91101;0000;1;44369;1844;1403;451;698;588;521;484;50;358;2945;35027;20110101
AT1;AT13;AT130;91201;0000;1;42555;2512;1698;685;906;792;597;373;57;202;3271;31462;20110101
AT1;AT13;AT130;91301;0000;1;23291;393;152;691;200;80;69;68;20;98;1270;20250;20110101
AT1;AT13;AT130;91401;0000;1;40281;1858;736;733;703;497;471;271;68;157;2234;32553;20110101
AT1;AT13;AT130;91501;0000;1;35855;3323;1658;777;1174;893;853;565;45;281;3770;22516;20110101
AT1;AT13;AT130;91601;0000;1;46596;3791;2235;804;1273;928;886;587;45;201;3696;32150;20110101
AT1;AT13;AT130;91701;0000;1;25802;2102;775;555;721;462;425;238;33;145;2155;18191;20110101
AT1;AT13;AT130;91801;0000;1;22319;957;385;796;397;186;238;193;29;140;1993;17005;20110101
AT1;AT13;AT130;91901;0000;1;31617;673;432;843;310;152;150;117;37;168;3026;25709;20110101
AT1;AT13;AT130;92001;0000;1;41245;2985;2271;579;814;716;580;537;44;246;4145;28328;20110101
AT1;AT13;AT130;92101;0000;1;68133;1787;1077;680;938;429;461;370;84;238;3758;58311;20110101
AT1;AT13;AT130;92201;0000;1;76135;1299;792;743;856;339;401;410;92;187;4097;66919;20110101
AT1;AT13;AT130;92301;0000;1;43896;903;510;615;426;322;349;169;49;147;1634;38772;20110101
AT1;AT13;AT130;90101;0000;2;8883;133;36;245;68;19;68;87;13;49;1285;6880;20120101
AT1;AT13;AT130;90201;0000;2;49421;2606;1343;1136;840;443;458;771;120;320;5555;35829;20120101
AT1;AT13;AT130;90301;0000;2;45326;1617;735;1296;799;366;351;525;148;301;4649;34539;20120101
AT1;AT13;AT130;90401;0000;2;16653;420;190;648;190;94;122;186;36;115;2168;12484;20120101
AT1;AT13;AT130;90501;0000;2;27364;1544;777;757;552;327;267;424;70;155;3023;19468;20120101
AT1;AT13;AT130;90601;0000;2;15611;428;186;536;235;87;111;128;33;131;1723;12013;20120101
AT1;AT13;AT130;90701;0000;2;16282;563;223;760;181;120;140;165;35;131;1681;12283;20120101
AT1;AT13;AT130;90801;0000;2;12533;299;124;558;152;58;74;94;24;86;1394;9670;20120101
AT1;AT13;AT130;90901;0000;2;21141;611;244;876;278;164;202;196;56;179;2418;15917;20120101
AT1;AT13;AT130;91001;0000;2;92538;5089;4109;860;1533;1394;970;1285;170;510;7166;69452;20120101
AT1;AT13;AT130;91101;0000;2;47183;1800;1411;453;782;510;423;610;103;244;3115;37732;20120101
AT1;AT13;AT130;91201;0000;2;46681;2329;1534;691;898;661;537;567;94;294;3649;35427;20120101
AT1;AT13;AT130;91301;0000;2;27964;335;128;754;292;83;88;128;61;170;1597;24328;20120101
AT1;AT13;AT130;91401;0000;2;45114;1755;720;800;760;380;394;451;94;230;2479;37051;20120101
AT1;AT13;AT130;91501;0000;2;37071;2892;1515;710;982;660;649;713;77;344;3751;24778;20120101
AT1;AT13;AT130;91601;0000;2;49711;3383;2116;788;1145;677;692;755;89;244;3737;36085;20120101
AT1;AT13;AT130;91701;0000;2;27827;1841;656;592;673;321;355;374;64;167;2259;20525;20120101
AT1;AT13;AT130;91801;0000;2;26246;834;296;911;403;150;217;269;51;208;2422;20485;20120101
AT1;AT13;AT130;91901;0000;2;37776;638;360;887;429;140;156;223;81;269;3575;31018;20120101
AT1;AT13;AT130;92001;0000;2;43237;2597;2253;565;846;566;498;682;86;241;4236;30667;20120101
AT1;AT13;AT130;92101;0000;2;75576;1774;1140;714;1163;380;402;567;193;331;4661;64251;20120101
AT1;AT13;AT130;92201;0000;2;84919;1350;857;839;1253;253;333;542;189;322;5192;73789;20120101
AT1;AT13;AT130;92301;0000;2;50374;914;543;688;512;270;299;296;87;191;2167;44407;20120101
AT1;AT13;AT130;90101;0000;1;8183;161;26;341;35;18;72;32;7;34;1133;6324;20120101
AT1;AT13;AT130;90201;0000;1;46987;2853;1406;1297;1078;572;483;539;89;300;5421;32949;20120101
AT1;AT13;AT130;90301;0000;1;41143;1807;888;1390;798;461;398;382;89;298;4279;30353;20120101
AT1;AT13;AT130;90401;0000;1;14875;470;225;705;183;99;129;118;23;105;1934;10884;20120101
AT1;AT13;AT130;90501;0000;1;26247;1699;885;949;626;424;346;292;43;154;2981;17848;20120101
AT1;AT13;AT130;90601;0000;1;14305;423;232;672;234;112;118;83;30;90;1686;10625;20120101
AT1;AT13;AT130;90701;0000;1;14657;533;248;778;181;127;128;91;19;96;1561;10895;20120101
AT1;AT13;AT130;90801;0000;1;11843;385;134;573;173;87;71;154;32;95;1494;8645;20120101
AT1;AT13;AT130;90901;0000;1;19262;644;259;976;346;195;193;143;25;114;2562;13805;20120101
AT1;AT13;AT130;91001;0000;1;87320;5382;4368;925;1681;1753;1175;988;115;528;7198;63207;20120101
AT1;AT13;AT130;91101;0000;1;44869;1923;1494;482;791;620;540;543;49;326;3074;35027;20120101
AT1;AT13;AT130;91201;0000;1;42971;2584;1726;738;1022;814;602;455;55;223;3543;31209;20120101
AT1;AT13;AT130;91301;0000;1;23257;394;144;710;220;80;81;85;26;116;1265;20136;20120101
AT1;AT13;AT130;91401;0000;1;40709;1912;744;799;808;498;466;310;64;188;2432;32488;20120101
AT1;AT13;AT130;91501;0000;1;36349;3284;1646;815;1302;880;836;690;57;370;4080;22389;20120101
AT1;AT13;AT130;91601;0000;1;47500;3865;2276;826;1430;930;869;657;50;275;4077;32245;20120101
AT1;AT13;AT130;91701;0000;1;26132;2058;740;586;818;485;427;304;38;200;2310;18166;20120101
AT1;AT13;AT130;91801;0000;1;22415;904;374;861;458;185;230;202;32;158;2091;16920;20120101
AT1;AT13;AT130;91901;0000;1;32065;688;463;892;338;152;154;152;52;205;3157;25812;20120101
AT1;AT13;AT130;92001;0000;1;41685;2953;2255;631;940;725;573;600;51;280;4438;28239;20120101
AT1;AT13;AT130;92101;0000;1;69397;1857;1140;738;1086;450;474;471;94;277;4176;58634;20120101
AT1;AT13;AT130;92201;0000;1;78039;1357;863;820;982;339;420;475;98;236;4632;67817;20120101
AT1;AT13;AT130;92301;0000;1;44560;911;624;644;477;372;360;229;42;162;1822;38917;20120101
AT1;AT13;AT130;90101;0000;2;8738;135;32;235;64;14;70;86;18;62;1262;6760;20130101
AT1;AT13;AT130;90201;0000;2;50306;2576;1325;1247;923;459;443;826;113;366;5972;36056;20130101
AT1;AT13;AT130;90301;0000;2;45845;1566;718;1419;849;389;354;563;158;362;5013;34454;20130101
AT1;AT13;AT130;90401;0000;2;16779;429;199;677;230;93;122;199;44;154;2325;12307;20130101
AT1;AT13;AT130;90501;0000;2;27505;1531;753;803;599;329;278;442;72;192;3219;19287;20130101
AT1;AT13;AT130;90601;0000;2;15754;426;185;598;252;84;114;151;33;141;1803;11967;20130101
AT1;AT13;AT130;90701;0000;2;16272;560;208;788;187;103;139;185;33;138;1756;12175;20130101
AT1;AT13;AT130;90801;0000;2;12518;286;122;612;151;66;77;106;25;109;1366;9598;20130101
AT1;AT13;AT130;90901;0000;2;21342;609;201;1013;275;161;228;243;52;178;2576;15806;20130101
AT1;AT13;AT130;91001;0000;2;93515;5190;4270;914;1653;1442;986;1442;188;656;8004;68770;20130101
AT1;AT13;AT130;91101;0000;2;47663;1877;1476;451;823;532;447;659;103;283;3291;37721;20130101
AT1;AT13;AT130;91201;0000;2;47066;2373;1520;716;1004;691;524;617;100;348;3876;35297;20130101
AT1;AT13;AT130;91301;0000;2;27870;353;137;734;311;79;90;134;71;214;1627;24120;20130101
AT1;AT13;AT130;91401;0000;2;45566;1760;715;846;844;395;405;528;102;293;2757;36921;20130101
AT1;AT13;AT130;91501;0000;2;37778;2914;1491;783;1044;701;652;770;89;409;4095;24830;20130101
AT1;AT13;AT130;91601;0000;2;50500;3421;2076;855;1252;703;701;817;82;315;4132;36146;20130101
AT1;AT13;AT130;91701;0000;2;27956;1756;639;633;694;327;341;405;72;217;2411;20461;20130101
AT1;AT13;AT130;91801;0000;2;26535;836;288;1008;410;156;208;300;63;236;2633;20397;20130101
AT1;AT13;AT130;91901;0000;2;37920;638;349;947;459;135;156;270;98;311;3769;30788;20130101
AT1;AT13;AT130;92001;0000;2;43405;2612;2243;623;885;567;494;705;103;331;4543;30299;20130101
AT1;AT13;AT130;92101;0000;2;76593;1882;1257;756;1318;383;422;639;194;377;5076;64289;20130101
AT1;AT13;AT130;92201;0000;2;86653;1405;938;923;1358;264;338;639;208;392;5680;74508;20130101
AT1;AT13;AT130;92301;0000;2;50763;948;578;709;563;286;308;346;95;227;2340;44363;20130101
AT1;AT13;AT130;90101;0000;1;8041;143;26;338;33;16;70;36;9;30;1111;6229;20130101
AT1;AT13;AT130;90201;0000;1;47906;2785;1400;1419;1149;579;507;597;87;399;5816;33168;20130101
AT1;AT13;AT130;90301;0000;1;41328;1744;831;1460;839;467;402;405;94;331;4459;30296;20130101
AT1;AT13;AT130;90401;0000;1;14976;465;232;704;202;101;136;118;23;118;2030;10847;20130101
AT1;AT13;AT130;90501;0000;1;26433;1668;860;976;666;431;349;340;50;197;3214;17682;20130101
AT1;AT13;AT130;90601;0000;1;14582;417;225;712;248;131;119;96;25;101;1748;10760;20130101
AT1;AT13;AT130;90701;0000;1;14768;515;235;834;191;123;124;95;19;112;1607;10913;20130101
AT1;AT13;AT130;90801;0000;1;11957;370;139;637;152;77;65;174;28;102;1525;8688;20130101
AT1;AT13;AT130;90901;0000;1;19614;638;244;1066;346;201;212;160;27;147;2776;13797;20130101
AT1;AT13;AT130;91001;0000;1;88794;5465;4501;1010;1873;1774;1210;1154;115;633;8220;62839;20130101
AT1;AT13;AT130;91101;0000;1;45285;1994;1513;469;876;636;549;612;50;327;3226;35033;20130101
AT1;AT13;AT130;91201;0000;1;43358;2559;1680;767;1152;813;621;487;61;310;3690;31218;20130101
AT1;AT13;AT130;91301;0000;1;23399;378;149;730;253;87;79;89;31;140;1315;20148;20130101
AT1;AT13;AT130;91401;0000;1;41365;1892;744;867;929;514;443;357;61;245;2686;32627;20130101
AT1;AT13;AT130;91501;0000;1;37158;3337;1622;894;1372;877;810;710;66;434;4439;22597;20130101
AT1;AT13;AT130;91601;0000;1;48347;3821;2248;902;1595;935;893;700;61;312;4467;32413;20130101
AT1;AT13;AT130;91701;0000;1;26356;2012;714;620;898;493;429;326;36;218;2382;18228;20130101
AT1;AT13;AT130;91801;0000;1;22684;888;358;912;500;194;224;211;31;212;2266;16888;20130101
AT1;AT13;AT130;91901;0000;1;32362;670;461;954;377;141;168;204;56;242;3339;25750;20130101
AT1;AT13;AT130;92001;0000;1;41777;2914;2178;688;990;726;552;609;56;309;4799;27956;20130101
AT1;AT13;AT130;92101;0000;1;70535;1935;1256;785;1257;480;483;494;99;329;4611;58806;20130101
AT1;AT13;AT130;92201;0000;1;79503;1417;924;880;1055;355;430;517;105;290;5134;68396;20130101
AT1;AT13;AT130;92301;0000;1;44962;926;654;665;516;393;377;254;45;204;2052;38876;20130101
AT1;AT13;AT130;90101;0000;2;8571;130;30;237;67;20;59;83;13;62;1223;6647;20140101
AT1;AT13;AT130;90201;0000;2;51236;2575;1312;1385;1007;463;466;894;140;452;6277;36265;20140101
AT1;AT13;AT130;90301;0000;2;45756;1545;680;1485;874;388;375;536;163;407;5208;34095;20140101
AT1;AT13;AT130;90401;0000;2;16794;422;212;693;217;106;129;228;39;166;2384;12198;20140101
AT1;AT13;AT130;90501;0000;2;27582;1502;721;864;625;330;295;466;69;250;3383;19077;20140101
AT1;AT13;AT130;90601;0000;2;15845;427;183;654;285;86;128;165;32;170;1846;11869;20140101
AT1;AT13;AT130;90701;0000;2;16255;544;185;810;182;114;139;178;34;122;1796;12151;20140101
AT1;AT13;AT130;90801;0000;2;12552;281;131;609;140;66;83;116;32;136;1449;9509;20140101
AT1;AT13;AT130;90901;0000;2;21523;617;209;1041;288;167;210;265;59;239;2698;15730;20140101
AT1;AT13;AT130;91001;0000;2;94949;5389;4379;960;1759;1550;1055;1570;191;863;8774;68459;20140101
AT1;AT13;AT130;91101;0000;2;48055;1919;1581;447;909;555;472;738;113;321;3445;37555;20140101
AT1;AT13;AT130;91201;0000;2;47389;2485;1576;727;1062;710;583;698;111;433;4164;34840;20140101
AT1;AT13;AT130;91301;0000;2;27924;374;143;752;329;84;83;151;78;272;1740;23918;20140101
AT1;AT13;AT130;91401;0000;2;46086;1803;748;842;921;425;422;543;104;370;2972;36936;20140101
AT1;AT13;AT130;91501;0000;2;37942;2892;1445;800;1098;729;693;836;104;540;4230;24575;20140101
AT1;AT13;AT130;91601;0000;2;51056;3421;2000;943;1363;717;753;860;89;423;4441;36046;20140101
AT1;AT13;AT130;91701;0000;2;28124;1740;637;690;740;330;357;411;76;250;2498;20395;20140101
AT1;AT13;AT130;91801;0000;2;26541;825;283;1043;455;156;202;297;60;264;2720;20236;20140101
AT1;AT13;AT130;91901;0000;2;37676;635;351;951;487;132;163;296;81;346;3776;30458;20140101
AT1;AT13;AT130;92001;0000;2;43439;2634;2228;691;913;566;526;792;103;425;4624;29937;20140101
AT1;AT13;AT130;92101;0000;2;77553;1991;1312;795;1442;411;451;709;210;474;5665;64093;20140101
AT1;AT13;AT130;92201;0000;2;88109;1470;1019;973;1469;278;375;709;230;467;6258;74861;20140101
AT1;AT13;AT130;92301;0000;2;50939;955;614;715;606;311;311;355;87;285;2470;44230;20140101
AT1;AT13;AT130;90101;0000;1;7871;143;34;335;37;16;64;37;10;31;1034;6130;20140101
AT1;AT13;AT130;90201;0000;1;48828;2740;1384;1489;1227;575;529;655;85;446;6192;33506;20140101
AT1;AT13;AT130;90301;0000;1;41478;1682;791;1516;900;460;421;400;96;398;4667;30147;20140101
AT1;AT13;AT130;90401;0000;1;15183;466;234;724;226;105;131;132;28;134;2153;10850;20140101
AT1;AT13;AT130;90501;0000;1;26612;1636;822;1000;722;437;359;376;46;242;3434;17538;20140101
AT1;AT13;AT130;90601;0000;1;14739;414;215;730;271;137;129;115;24;136;1795;10773;20140101
AT1;AT13;AT130;90701;0000;1;14901;508;204;880;196;133;119;93;16;125;1679;10948;20140101
AT1;AT13;AT130;90801;0000;1;12054;396;146;637;151;74;76;202;31;118;1566;8657;20140101
AT1;AT13;AT130;90901;0000;1;19680;632;244;1112;339;213;215;160;32;188;2829;13716;20140101
AT1;AT13;AT130;91001;0000;1;90621;5672;4590;1054;2048;1863;1293;1239;124;820;9086;62832;20140101
AT1;AT13;AT130;91101;0000;1;45693;2063;1579;492;929;658;571;697;51;341;3338;34974;20140101
AT1;AT13;AT130;91201;0000;1;43987;2661;1661;793;1192;859;680;532;63;400;4029;31117;20140101
AT1;AT13;AT130;91301;0000;1;23653;395;159;744;280;83;88;118;39;179;1412;20156;20140101
AT1;AT13;AT130;91401;0000;1;41919;1910;769;841;1032;527;479;407;62;327;2849;32716;20140101
AT1;AT13;AT130;91501;0000;1;37733;3267;1621;937;1478;901;879;745;79;504;4720;22602;20140101
AT1;AT13;AT130;91601;0000;1;48904;3762;2208;921;1741;961;946;731;66;423;4778;32367;20140101
AT1;AT13;AT130;91701;0000;1;26838;1978;724;687;992;482;448;315;40;294;2624;18254;20140101
