NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz;128604;137174;265778;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60301;Aibl;701;706;1407;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60302;Deutschlandsberg;3832;4277;8109;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60303;Eibiswald;674;728;1402;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz;1396;1514;2910;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60306;Freiland bei Deutschlandsberg;85;76;161;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60307;Bad Gams;1097;1164;2261;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60308;Garanas;140;127;267;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60309;Georgsberg;754;762;1516;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60310;Greisdorf;504;490;994;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60311;Gressenberg;154;141;295;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60312;Groß Sankt Florian;1430;1432;2862;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60313;Großradl;724;696;1420;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60314;Gundersdorf;195;224;419;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60315;Hollenegg;1047;1049;2096;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60316;Kloster;101;93;194;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach;1643;1696;3339;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60319;Limberg bei Wies;477;465;942;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60320;Marhof;533;518;1051;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60321;Osterwitz;80;73;153;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60322;Pitschgau;803;789;1592;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn;807;830;1637;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding;834;859;1693;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60325;Rassach;708;693;1401;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark);707;726;1433;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60327;Sankt Martin im Sulmtal;891;903;1794;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60328;Sankt Oswald ob Eibiswald;278;282;560;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal;668;679;1347;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60330;Sankt Stefan ob Stainz;1071;1086;2157;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60331;Schwanberg;1015;1035;2050;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60332;Soboth;174;153;327;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60333;Stainz;1176;1372;2548;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60334;Stainztal;711;730;1441;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60335;Stallhof;260;267;527;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60336;Sulmeck-Greith;665;667;1332;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60338;Trahütten;178;209;387;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60339;Unterbergla;689;653;1342;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60340;Wernersdorf;328;324;652;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60341;Wettmannstätten;775;782;1557;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60342;Wielfresen;319;254;573;01.01.2013
AT2;AT22;AT225;603;Deutschlandsberg;60343;Wies;1112;1177;2289;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60601;Attendorf;892;911;1803;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60602;Brodingberg;639;616;1255;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60603;Deutschfeistritz;1928;1968;3896;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60604;Dobl;875;877;1752;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60605;Edelsgrub;349;377;726;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60606;Eggersdorf bei Graz;1058;1070;2128;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60607;Eisbach;1487;1486;2973;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60608;Feldkirchen bei Graz;2762;2833;5595;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60609;Fernitz;1569;1698;3267;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60610;Frohnleiten;2888;3076;5964;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60611;Gössendorf;1839;1909;3748;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60612;Grambach;835;833;1668;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60613;Gratkorn;3680;3903;7583;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60614;Gratwein;1838;1858;3696;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60615;Großstübing;176;166;342;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60616;Gschnaidt;175;170;345;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60617;Hart bei Graz;2220;2279;4499;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60618;Haselsdorf-Tobelbad;660;683;1343;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60619;Hausmannstätten;1434;1480;2914;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60620;Hitzendorf;1760;1872;3632;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60621;Höf-Präbach;705;708;1413;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60622;Judendorf-Straßengel;2778;2993;5771;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60623;Kainbach bei Graz;1381;1308;2689;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60624;Kalsdorf bei Graz;2968;3060;6028;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60625;Krumegg;710;724;1434;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60626;Kumberg;1803;1859;3662;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60627;Langegg bei Graz;420;427;847;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60628;Laßnitzhöhe;1276;1346;2622;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60629;Lieboch;2271;2478;4749;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60630;Mellach;598;624;1222;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60631;Nestelbach bei Graz;525;577;1102;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60632;Peggau;1058;1091;2149;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60633;Pirka;1614;1656;3270;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60634;Hart-Purgstall;824;780;1604;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60635;Raaba;1079;1125;2204;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60636;Röthelstein;99;118;217;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60637;Rohrbach-Steinberg;695;721;1416;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60639;Sankt Bartholomä;679;705;1384;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60640;Sankt Marein bei Graz;621;636;1257;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60641;Sankt Oswald bei Plankenwarth;587;601;1188;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60642;Sankt Radegund bei Graz;999;1023;2022;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60643;Schrems bei Frohnleiten;303;295;598;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60644;Seiersberg;3544;3767;7311;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60645;Semriach;1613;1682;3295;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60646;Stattegg;1364;1409;2773;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60647;Stiwoll;352;355;707;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60648;Thal;1110;1134;2244;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60649;Tulwitz;252;254;506;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60650;Tyrnau;79;72;151;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60651;Übelbach;976;1011;1987;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60652;Unterpremstätten;1815;1916;3731;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60653;Vasoldsberg;2096;2089;4185;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60654;Weinitzen;1295;1291;2586;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60655;Werndorf;1086;1118;2204;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60656;Wundschuh;746;786;1532;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60657;Zettling;780;792;1572;01.01.2013
AT2;AT22;AT221;606;Graz-Umgebung;60658;Zwaring-Pöls;798;757;1555;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61001;Allerheiligen bei Wildon;701;720;1421;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61002;Arnfels;529;557;1086;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61003;Berghausen;324;318;642;01.01.2013
