Wanderung gegenüber Wien nach Geburtsstaat und Geschlecht - Zeitreihe;;;;;;;;;;;;;;;
Migration in Vienna by country of birth and sex - time series;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;COUNTRY_OF_BIRTH;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;MIG_VIE_INT;REF_DATE
AT1;AT13;AT130;00000;00000000;2;AUT;-642;-699;2211;2910;57;10381;10324;38444;2002
AT1;AT13;AT130;00000;00000000;2;DEU;466;457;977;520;9;254;245;1151;2002
AT1;AT13;AT130;00000;00000000;2;POL;508;522;823;301;-14;101;115;1161;2002
AT1;AT13;AT130;00000;00000000;2;ROU;768;702;911;209;66;171;105;701;2002
AT1;AT13;AT130;00000;00000000;2;SVK;506;514;670;156;-8;65;73;482;2002
AT1;AT13;AT130;00000;00000000;2;HUN;207;189;377;188;18;117;99;478;2002
AT1;AT13;AT130;00000;00000000;2;BGR;296;294;444;150;2;45;43;428;2002
AT1;AT13;AT130;00000;00000000;2;CZE;54;88;253;165;-34;88;122;583;2002
AT1;AT13;AT130;00000;00000000;2;REST-EU;149;157;878;721;-8;126;134;810;2002
AT1;AT13;AT130;00000;00000000;2;SCG;1509;1452;2321;869;57;293;236;4479;2002
AT1;AT13;AT130;00000;00000000;2;TUR;2139;2037;2382;345;102;241;139;3037;2002
AT1;AT13;AT130;00000;00000000;2;BIH;574;474;651;177;100;188;88;1710;2002
AT1;AT13;AT130;00000;00000000;2;HRV;260;250;341;91;10;50;40;415;2002
AT1;AT13;AT130;00000;00000000;2;MKD;250;246;294;48;4;24;20;356;2002
AT1;AT13;AT130;00000;00000000;2;RUS;224;207;324;117;17;50;33;353;2002
AT1;AT13;AT130;00000;00000000;2;CHN;763;686;777;91;77;157;80;605;2002
AT1;AT13;AT130;00000;00000000;2;OTHER;2266;2020;3983;1963;246;724;478;4668;2002
AT1;AT13;AT130;00000;00000000;1;AUT;492;249;4575;4326;243;10250;10007;39207;2002
AT1;AT13;AT130;00000;00000000;1;DEU;656;598;1134;536;58;266;208;1086;2002
AT1;AT13;AT130;00000;00000000;1;POL;197;199;751;552;-2;94;96;1008;2002
AT1;AT13;AT130;00000;00000000;1;ROU;565;525;734;209;40;127;87;537;2002
AT1;AT13;AT130;00000;00000000;1;SVK;143;150;266;116;-7;51;58;239;2002
AT1;AT13;AT130;00000;00000000;1;HUN;56;42;299;257;14;82;68;357;2002
AT1;AT13;AT130;00000;00000000;1;BGR;274;270;433;163;4;36;32;363;2002
AT1;AT13;AT130;00000;00000000;1;CZE;-3;19;161;142;-22;59;81;309;2002
AT1;AT13;AT130;00000;00000000;1;REST-EU;279;296;1221;925;-17;127;144;946;2002
AT1;AT13;AT130;00000;00000000;1;SCG;1538;1432;2906;1474;106;428;322;4827;2002
AT1;AT13;AT130;00000;00000000;1;TUR;2118;1989;2699;710;129;405;276;5012;2002
AT1;AT13;AT130;00000;00000000;1;BIH;803;708;985;277;95;229;134;1867;2002
AT1;AT13;AT130;00000;00000000;1;HRV;236;233;387;154;3;46;43;441;2002
AT1;AT13;AT130;00000;00000000;1;MKD;314;309;484;175;5;47;42;628;2002
AT1;AT13;AT130;00000;00000000;1;RUS;166;148;298;150;18;50;32;278;2002
AT1;AT13;AT130;00000;00000000;1;CHN;565;504;608;104;61;153;92;486;2002
AT1;AT13;AT130;00000;00000000;1;OTHER;2792;2331;5910;3579;461;1226;765;8734;2002
AT1;AT13;AT130;00000;00000000;2;AUT;-2027;-888;1707;2595;-1139;9120;10259;37583;2003
AT1;AT13;AT130;00000;00000000;2;DEU;500;551;1059;508;-51;217;268;1148;2003
AT1;AT13;AT130;00000;00000000;2;POL;506;520;967;447;-14;106;120;1181;2003
AT1;AT13;AT130;00000;00000000;2;ROU;693;699;1112;413;-6;162;168;959;2003
AT1;AT13;AT130;00000;00000000;2;SVK;350;372;630;258;-22;73;95;551;2003
AT1;AT13;AT130;00000;00000000;2;HUN;127;132;369;237;-5;94;99;463;2003
AT1;AT13;AT130;00000;00000000;2;BGR;369;344;560;216;25;63;38;556;2003
AT1;AT13;AT130;00000;00000000;2;CZE;5;44;223;179;-39;84;123;470;2003
AT1;AT13;AT130;00000;00000000;2;REST-EU;221;212;998;786;9;138;129;811;2003
AT1;AT13;AT130;00000;00000000;2;SCG;2029;2013;2949;936;16;314;298;4908;2003
AT1;AT13;AT130;00000;00000000;2;TUR;2022;1949;2345;396;73;241;168;3030;2003
AT1;AT13;AT130;00000;00000000;2;BIH;694;602;796;194;92;239;147;1789;2003
AT1;AT13;AT130;00000;00000000;2;HRV;157;152;311;159;5;43;38;470;2003
AT1;AT13;AT130;00000;00000000;2;MKD;300;297;338;41;3;39;36;332;2003
AT1;AT13;AT130;00000;00000000;2;RUS;424;337;478;141;87;135;48;409;2003
AT1;AT13;AT130;00000;00000000;2;CHN;577;558;756;198;19;155;136;1033;2003
AT1;AT13;AT130;00000;00000000;2;OTHER;2416;2141;4352;2211;275;733;458;5126;2003
AT1;AT13;AT130;00000;00000000;1;AUT;-1791;-682;3918;4600;-1109;9222;10331;38769;2003
AT1;AT13;AT130;00000;00000000;1;DEU;567;602;1179;577;-35;236;271;1092;2003
AT1;AT13;AT130;00000;00000000;1;POL;223;217;871;654;6;113;107;1152;2003
AT1;AT13;AT130;00000;00000000;1;ROU;544;576;1196;620;-32;132;164;740;2003
AT1;AT13;AT130;00000;00000000;1;SVK;157;153;297;144;4;39;35;238;2003
AT1;AT13;AT130;00000;00000000;1;HUN;21;29;310;281;-8;74;82;363;2003
