Lebendgeburten in Wien gemeldeter Personen  nach Geschlecht und Wiener Bezirk;;;;;;;
Life birth of residents in Vienna  by sex and Vienna district;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;LIVEBIRTH;REF_YEAR
AT1;AT13;AT130;90101;0;2;73;2010
AT1;AT13;AT130;90201;0;2;565;2010
AT1;AT13;AT130;90301;0;2;425;2010
AT1;AT13;AT130;90401;0;2;173;2010
AT1;AT13;AT130;90501;0;2;265;2010
AT1;AT13;AT130;90601;0;2;137;2010
AT1;AT13;AT130;90701;0;2;165;2010
AT1;AT13;AT130;90801;0;2;102;2010
AT1;AT13;AT130;90901;0;2;178;2010
AT1;AT13;AT130;91001;0;2;1026;2010
AT1;AT13;AT130;91101;0;2;501;2010
AT1;AT13;AT130;91201;0;2;473;2010
AT1;AT13;AT130;91301;0;2;212;2010
AT1;AT13;AT130;91401;0;2;393;2010
AT1;AT13;AT130;91501;0;2;403;2010
AT1;AT13;AT130;91601;0;2;561;2010
AT1;AT13;AT130;91701;0;2;268;2010
AT1;AT13;AT130;91801;0;2;234;2010
AT1;AT13;AT130;91901;0;2;307;2010
AT1;AT13;AT130;92001;0;2;463;2010
AT1;AT13;AT130;92101;0;2;667;2010
AT1;AT13;AT130;92201;0;2;722;2010
AT1;AT13;AT130;92301;0;2;396;2010
AT1;AT13;AT130;90101;0;1;73;2010
AT1;AT13;AT130;90201;0;1;602;2010
AT1;AT13;AT130;90301;0;1;461;2010
AT1;AT13;AT130;90401;0;1;144;2010
AT1;AT13;AT130;90501;0;1;334;2010
AT1;AT13;AT130;90601;0;1;152;2010
AT1;AT13;AT130;90701;0;1;128;2010
AT1;AT13;AT130;90801;0;1;108;2010
AT1;AT13;AT130;90901;0;1;201;2010
AT1;AT13;AT130;91001;0;1;1081;2010
AT1;AT13;AT130;91101;0;1;559;2010
AT1;AT13;AT130;91201;0;1;502;2010
AT1;AT13;AT130;91301;0;1;224;2010
AT1;AT13;AT130;91401;0;1;428;2010
AT1;AT13;AT130;91501;0;1;452;2010
AT1;AT13;AT130;91601;0;1;559;2010
AT1;AT13;AT130;91701;0;1;308;2010
AT1;AT13;AT130;91801;0;1;261;2010
AT1;AT13;AT130;91901;0;1;275;2010
AT1;AT13;AT130;92001;0;1;558;2010
AT1;AT13;AT130;92101;0;1;692;2010
AT1;AT13;AT130;92201;0;1;741;2010
AT1;AT13;AT130;92301;0;1;437;2010
AT1;AT13;AT130;90101;0;2;73;2011
AT1;AT13;AT130;90201;0;2;540;2011
AT1;AT13;AT130;90301;0;2;396;2011
AT1;AT13;AT130;90401;0;2;159;2011
AT1;AT13;AT130;90501;0;2;311;2011
AT1;AT13;AT130;90601;0;2;133;2011
AT1;AT13;AT130;90701;0;2;149;2011
AT1;AT13;AT130;90801;0;2;102;2011
AT1;AT13;AT130;90901;0;2;209;2011
AT1;AT13;AT130;91001;0;2;991;2011
AT1;AT13;AT130;91101;0;2;530;2011
AT1;AT13;AT130;91201;0;2;485;2011
AT1;AT13;AT130;91301;0;2;195;2011
AT1;AT13;AT130;91401;0;2;376;2011
AT1;AT13;AT130;91501;0;2;437;2011
AT1;AT13;AT130;91601;0;2;521;2011
AT1;AT13;AT130;91701;0;2;301;2011
AT1;AT13;AT130;91801;0;2;261;2011
AT1;AT13;AT130;91901;0;2;305;2011
AT1;AT13;AT130;92001;0;2;496;2011
AT1;AT13;AT130;92101;0;2;675;2011
AT1;AT13;AT130;92201;0;2;751;2011
AT1;AT13;AT130;92301;0;2;392;2011
AT1;AT13;AT130;90101;0;1;74;2011
AT1;AT13;AT130;90201;0;1;576;2011
AT1;AT13;AT130;90301;0;1;453;2011
AT1;AT13;AT130;90401;0;1;153;2011
AT1;AT13;AT130;90501;0;1;346;2011
AT1;AT13;AT130;90601;0;1;155;2011
AT1;AT13;AT130;90701;0;1;161;2011
AT1;AT13;AT130;90801;0;1;104;2011
AT1;AT13;AT130;90901;0;1;198;2011
AT1;AT13;AT130;91001;0;1;1054;2011
AT1;AT13;AT130;91101;0;1;510;2011
AT1;AT13;AT130;91201;0;1;506;2011
