Migrationshintergrund in Wien gemeldeter Personen, nach Geschlecht und Wiener Bezirk;;;;;;;;;;;;;;;;;;
Migration background of residents in Vienna  by sex and Vienna  district;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;90101;0000;2;8880;281;61;407;156;50;86;130;155;125;1787;5642;20110101
AT1;AT13;AT130;90201;0000;2;48909;3962;2123;1483;1241;908;551;905;638;501;7683;28914;20110101
AT1;AT13;AT130;90301;0000;2;44976;2657;1256;1694;1132;722;469;694;692;504;6322;28834;20110101
AT1;AT13;AT130;90401;0000;2;16531;761;314;856;346;180;157;248;219;197;2932;10321;20110101
AT1;AT13;AT130;90501;0000;2;27339;2428;1334;940;783;600;345;509;317;274;4029;15780;20110101
AT1;AT13;AT130;90601;0000;2;15453;761;358;696;361;191;135;169;160;205;2422;9995;20110101
AT1;AT13;AT130;90701;0000;2;16176;891;330;913;324;231;181;240;181;196;2245;10444;20110101
AT1;AT13;AT130;90801;0000;2;12398;529;178;675;240;113;86;130;142;157;1857;8291;20110101
AT1;AT13;AT130;90901;0000;2;21039;1086;376;1050;416;287;234;237;276;271;3173;13633;20110101
AT1;AT13;AT130;91001;0000;2;91563;7751;6557;1402;2223;2608;1133;1496;1036;777;9544;57036;20110101
AT1;AT13;AT130;91101;0000;2;46644;3012;2451;755;1119;1046;516;837;491;450;4530;31437;20110101
AT1;AT13;AT130;91201;0000;2;46269;3690;2522;1022;1240;1199;655;693;527;425;5302;28994;20110101
AT1;AT13;AT130;91301;0000;2;28145;715;224;1213;452;170;123;195;503;279;2677;21594;20110101
AT1;AT13;AT130;91401;0000;2;44893;2815;1181;1239;1014;816;515;579;610;366;3689;32069;20110101
AT1;AT13;AT130;91501;0000;2;36743;4397;2336;903;1213;1350;801;770;364;416;4738;19455;20110101
AT1;AT13;AT130;91601;0000;2;49288;5276;3187;1115;1407;1305;868;805;514;354;4922;29535;20110101
AT1;AT13;AT130;91701;0000;2;27511;2644;1039;785;768;663;434;418;335;236;2988;17201;20110101
AT1;AT13;AT130;91801;0000;2;26058;1376;472;1171;532;295;248;326;347;276;3225;17790;20110101
AT1;AT13;AT130;91901;0000;2;37551;1220;580;1484;660;289;232;313;625;483;5145;26520;20110101
AT1;AT13;AT130;92001;0000;2;42847;3988;3345;781;1257;1083;587;754;481;383;5779;24409;20110101
AT1;AT13;AT130;92101;0000;2;74529;3137;2034;1286;1844;843;479;781;1016;556;7183;55370;20110101
AT1;AT13;AT130;92201;0000;2;82929;2764;1636;1411;2153;742;436;790;1097;594;8784;62522;20110101
AT1;AT13;AT130;92301;0000;2;49812;1725;990;1172;936;595;412;472;716;413;3605;38776;20110101
AT1;AT13;AT130;90101;0000;1;8143;229;53;426;69;36;83;73;102;95;1525;5452;20110101
AT1;AT13;AT130;90201;0000;1;46613;3832;2495;1504;1313;890;577;672;354;415;7520;27041;20110101
AT1;AT13;AT130;90301;0000;1;40567;2498;1440;1604;949;664;483;520;374;447;5701;25887;20110101
AT1;AT13;AT130;90401;0000;1;14672;652;338;822;236;170;140;155;118;157;2532;9352;20110101
AT1;AT13;AT130;90501;0000;1;26145;2233;1530;1037;712;611;387;353;201;248;4118;14715;20110101
AT1;AT13;AT130;90601;0000;1;14105;631;407;725;303;211;137;98;104;148;2273;9068;20110101
AT1;AT13;AT130;90701;0000;1;14475;717;376;862;248;211;158;138;86;126;2088;9465;20110101
AT1;AT13;AT130;90801;0000;1;11657;481;212;655;202;127;88;161;85;124;1955;7567;20110101
AT1;AT13;AT130;90901;0000;1;19045;970;438;1085;414;279;223;167;138;184;3087;12060;20110101
AT1;AT13;AT130;91001;0000;1;86017;7184;7392;1242;1978;2559;1279;1157;585;670;9429;52542;20110101
AT1;AT13;AT130;91101;0000;1;44369;2719;2769;672;932;945;595;746;283;530;4555;29623;20110101
AT1;AT13;AT130;91201;0000;1;42555;3399;2824;910;1111;1188;708;523;303;293;5159;26137;20110101
AT1;AT13;AT130;91301;0000;1;23291;582;256;920;288;141;113;144;228;197;2072;18350;20110101
AT1;AT13;AT130;91401;0000;1;40281;2472;1318;1046;880;821;536;400;323;240;3488;28757;20110101
AT1;AT13;AT130;91501;0000;1;35855;4222;2718;933;1315;1306;934;692;205;364;5063;18103;20110101
AT1;AT13;AT130;91601;0000;1;46596;4927;3647;1027;1484;1349;977;713;269;306;5177;26720;20110101
AT1;AT13;AT130;91701;0000;1;25802;2585;1235;730;813;677;478;298;167;206;2997;15616;20110101
AT1;AT13;AT130;91801;0000;1;22319;1254;589;1026;483;271;275;237;174;212;2788;15010;20110101
AT1;AT13;AT130;91901;0000;1;31617;1001;727;1155;455;256;198;198;310;305;4511;22501;20110101
