Wohnungen Bezirke Nutzfläche der Wohnung in Quadratmeter;;;;;;;;;
Dwelling, district area in quadratmeter;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE_2;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_NTZFL_1_34;WHG_NTZFL_35_44;WHG_NTZFL_45_59;WHG_NTZFL_60_89;WHG_NTZFL_90_109;WHG_NTZFL_110_129;WHG_NTZFL_130_149;WHG_NTZFL_150_
AT1;AT13;AT130;01;90101;00000;503;770;1640;3176;1670;1221;932;1828
AT1;AT13;AT130;02;90201;00000;3878;6545;13142;20814;5819;2154;812;731
AT1;AT13;AT130;03;90301;00000;3642;6740;11681;17524;5667;2844;1379;1850
AT1;AT13;AT130;04;90401;00000;896;1819;3782;6449;2911;1421;832;1223
AT1;AT13;AT130;05;90501;00000;3185;5542;8553;11417;2728;896;382;378
AT1;AT13;AT130;06;90601;00000;878;2154;3958;6473;2608;1141;605;728
AT1;AT13;AT130;07;90701;00000;1034;1872;3646;7101;2791;1266;667;710
AT1;AT13;AT130;08;90801;00000;730;1309;2705;5284;2202;1244;637;756
AT1;AT13;AT130;09;90901;00000;2205;2999;5362;8538;3360;1668;962;1177
AT1;AT13;AT130;10;91001;00000;10061;13232;23901;38441;8026;2110;660;661
AT1;AT13;AT130;11;91101;00000;3257;4612;11256;20666;4863;1539;331;438
AT1;AT13;AT130;12;91201;00000;4862;7793;12717;18396;4383;1602;494;449
AT1;AT13;AT130;13;91301;00000;2364;2388;5637;10419;3827;2559;1567;2574
AT1;AT13;AT130;14;91401;00000;5439;6355;10843;17620;5317;2841;1248;1490
AT1;AT13;AT130;15;91501;00000;5130;7364;11087;13583;2868;798;363;272
AT1;AT13;AT130;16;91601;00000;8326;9567;14135;18737;4129;1337;548;560
AT1;AT13;AT130;17;91701;00000;3895;4997;7469;10911;2792;1367;589;826
AT1;AT13;AT130;18;91801;00000;2204;3715;6327;10185;3705;2147;1127;1494
AT1;AT13;AT130;19;91901;00000;2844;4061;8942;14179;4875;2531;1587;2891
AT1;AT13;AT130;20;92001;00000;5057;7313;12622;16573;3290;854;143;141
AT1;AT13;AT130;21;92101;00000;5386;6908;14951;32612;9568;4530;1613;1422
AT1;AT13;AT130;22;92201;00000;3582;4867;12499;37049;11909;7241;2238;1956
AT1;AT13;AT130;23;92301;00000;2430;2789;9053;20940;6703;4066;1715;1972
