Staatsbgerschaft in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;;;;;;;;;;;;
Nationality of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;90101;0101;2;2088;26;6;68;19;1;5;16;3;8;264;1672;20110101
AT1;AT13;AT130;90101;0102;2;863;16;0;30;7;2;9;6;1;5;130;657;20110101
AT1;AT13;AT130;90101;0103;2;1114;28;6;25;7;2;4;15;2;5;186;834;20110101
AT1;AT13;AT130;90101;0104;2;831;9;3;20;9;0;5;7;0;3;131;644;20110101
AT1;AT13;AT130;90101;0105;2;1127;15;6;28;7;1;10;11;0;5;141;903;20110101
AT1;AT13;AT130;90101;0106;2;1475;13;6;33;10;2;20;14;1;9;153;1214;20110101
AT1;AT13;AT130;90101;0107;2;1382;23;8;46;10;9;14;8;5;9;187;1063;20110101
AT1;AT13;AT130;90201;0201;2;5044;166;143;44;88;41;39;39;11;22;472;3979;20110101
AT1;AT13;AT130;90201;0202;2;5600;510;263;131;111;82;65;119;20;37;615;3647;20110101
AT1;AT13;AT130;90201;0203;2;6553;267;128;206;79;49;70;81;22;35;640;4976;20110101
AT1;AT13;AT130;90201;0204;2;7524;296;157;226;76;56;75;112;10;57;826;5633;20110101
AT1;AT13;AT130;90201;0205;2;4736;161;73;115;69;38;42;48;10;31;718;3431;20110101
AT1;AT13;AT130;90201;0206;2;3332;120;56;81;42;17;20;41;8;16;209;2722;20110101
AT1;AT13;AT130;90201;0207;2;6741;666;230;172;160;92;84;139;29;45;1039;4085;20110101
AT1;AT13;AT130;90201;0208;2;1070;44;14;6;13;7;4;2;3;1;84;892;20110101
AT1;AT13;AT130;90201;0209;2;8263;417;276;74;131;68;52;113;18;33;625;6456;20110101
AT1;AT13;AT130;90201;0299;2;46;5;3;0;2;0;1;1;0;0;4;30;20110101
AT1;AT13;AT130;90301;0301;2;5812;188;77;224;101;45;38;57;14;32;489;4547;20110101
AT1;AT13;AT130;90301;0302;2;4592;112;20;166;41;26;31;33;8;23;406;3726;20110101
AT1;AT13;AT130;90301;0303;2;3309;70;21;122;33;10;13;26;11;36;455;2512;20110101
AT1;AT13;AT130;90301;0304;2;5587;331;108;160;175;77;64;93;23;45;752;3759;20110101
AT1;AT13;AT130;90301;0305;2;4303;161;59;118;70;36;38;63;16;32;407;3303;20110101
AT1;AT13;AT130;90301;0306;2;7961;310;182;157;107;73;95;67;16;42;619;6293;20110101
AT1;AT13;AT130;90301;0307;2;2887;108;74;29;42;24;16;89;10;12;259;2224;20110101
AT1;AT13;AT130;90301;0308;2;862;5;1;20;4;1;1;3;1;3;39;784;20110101
AT1;AT13;AT130;90301;0309;2;4572;97;37;146;46;15;17;29;20;37;418;3710;20110101
AT1;AT13;AT130;90301;0310;2;3817;211;143;64;86;33;35;36;18;16;342;2833;20110101
AT1;AT13;AT130;90301;0311;2;1274;47;19;9;18;12;4;5;4;9;95;1052;20110101
AT1;AT13;AT130;90401;0401;2;1220;17;11;52;11;8;11;11;4;7;219;869;20110101
AT1;AT13;AT130;90401;0402;2;5146;149;71;211;63;25;36;59;15;27;709;3781;20110101
AT1;AT13;AT130;90401;0403;2;6522;176;57;233;69;32;41;61;13;39;773;5028;20110101
AT1;AT13;AT130;90401;0404;2;3643;97;53;117;43;24;24;35;7;22;388;2833;20110101
AT1;AT13;AT130;90501;0501;2;5868;207;69;223;71;50;29;59;17;29;485;4629;20110101
AT1;AT13;AT130;90501;0502;2;9929;581;338;186;192;104;104;137;18;50;1044;7175;20110101
