Bevölkerungsindikatoren in Wien nach Wiener Bezirk ;;;;;;;;;;;;;;;;;;;;;;
population indicators in Vienna by Vienna district ;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;DISTRICT_POP_RATIO;POP_DENSITY;RATE_M;RATE_F;SEX_RATIO;RATE_FOR_NATIONAL;RATE_FOR_BORN;RATE_MIG_BACKGROUND;AVERAGE_AGE_M;AVERAGE_AGE_F;WORKINGAGE_RATIO;YOUTH_RATIO;AGE_RATIO;OLD_AGE_RATIO;DEPENDENCY_RATIO;YOUTH_DEP_RATIO;AGE_DEP_RATIO;OLD_AGED_DER_RATIO;REF_DATE
AT1;AT13;AT130;90101;0000;,989742677369353;5931,35888501742;47,8352816777301;52,1647183222699;109,050718408449;21,3475885566586;35,5166539387887;37,2026082359161;45,313029595972;47,3177927927928;62,885507842331;13,3348998413911;23,779592316278;4,13558127239617;59,0191499299393;21,2050443717889;37,8141055581504;17,3913043478261;20110101
AT1;AT13;AT130;90201;0000;5,55361750570659;4965,63734664171;48,7976214156346;51,2023785843654;104,92802128253;28,0289785278322;39,8182560537694;43,4060239324114;38,1257213962369;41,2654575938497;64,751515405312;19,5071137679415;15,7413708267465;2,42778923564945;54,4365400161682;30,1261115602264;24,3104284559418;15,4229848363927;20110101
AT1;AT13;AT130;90301;0000;4,97342352242111;11562,5844822925;47,4222585924714;52,5777414075286;110,871440897325;23,9829319616554;35,8545709609539;38,4171148000935;39,6162455318624;42,6422012229016;66,0755202244564;16,953472059855;16,9710077156886;2,53799392097264;51,3419790874188;25,6577201394172;25,6842589480016;14,9548804849487;20110101
AT1;AT13;AT130;90401;0000;1,81413094162478;17578,5915492958;47,0194218319338;52,9805781680662;112,678072387704;25,0592910710852;36,2893404268957;38,5904749695532;39,9046418103742;43,0878349767104;66,9059675661817;15,8227036728415;17,2713287609769;3,12479969232741;49,4634987545507;23,6491665069937;25,814332247557;18,0924104657636;20110101
AT1;AT13;AT130;90501;0000;3,10952346067484;26594,728990552;48,8818667963053;51,1181332036947;104,574838388861;29,4734677087618;40,7800755394338;44,2036573052616;37,9392571625292;40,8203299315995;69,2606858382259;16,9402789723645;13,7990351894095;2,14651658501926;44,3820528049241;24,4587225311808;19,9233302737433;15,5555555555556;20110101
AT1;AT13;AT130;90601;0000;1,71848818157822;20342,0509291122;47,7213519640018;52,2786480359982;109,549805033676;23,3514903406976;34,8377710863755;37,0673613695571;39,4940092165899;42,2967900595392;70,4942991507934;14,5684609398789;14,9372399093277;2,53070338667659;41,8554425033596;20,6661547321943;21,1892877711653;16,9422423556059;20110101
AT1;AT13;AT130;90701;0000;1,78209497762134;19097,1962616822;47,2252128804933;52,7747871195067;111,751295336788;24,1819190238491;34,5567844442269;36,5665068023882;38,9992400690846;41,1873763600396;71,8997748849956;14,2931715115331;13,8070536034713;2,24462497145281;39,0824938742173;19,8792993919593;19,2031944822579;16,2570888468809;20110101
AT1;AT13;AT130;90801;0000;1,3985936735076;22068,8073394495;48,4597796715859;51,5402203284141;106,35669554774;24,0864685096654;33,9804614425275;35,9800457285388;38,8097280603929;42,0042748830457;70,3180212014134;14,5167324880482;15,1652463105384;2,32384119725629;42,2110552763819;20,6443984629028;21,5666568134792;15,3234649122807;20110101
AT1;AT13;AT130;90901;0000;2,3281599030665;13496,1240310078;47,4914466948031;52,5085533051969;110,564232002945;25,4326598906176;35,3619858651949;37,6570187048922;38,7184098438239;42,0935032816513;69,7924730914267;14,5568513847614;15,6506755238119;2,67462477836326;43,2819265037392;20,8573371023723;22,4245894013669;17,089516515079;20110101
