Gebäude in Wien, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buildings in Vienna, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE_2;SUB_DISTRICT_CODE_4;DISTRICT_CODE;SUB_DISTRICT_CODE;OBJ_TYP_1WOHN;OBJ_TYP_2WOHN;OBJ_TYP_3WOHN;OBJ_TYP_GEMEIN;OBJ_TYP_GEWERBL;OBJ_WSA_MITHWS;OBJ_WSA_OHNEHWS;OBJ_ANZWHG_KEINE;OBJ_ANZWHG_1;OBJ_ANZWHG_2;OBJ_ANZWHG_3BIS5;OBJ_ANZWHG_6BIS10;OBJ_ANZWHG_11BIS20;OBJ_ANZWHG_21MEHR;OBJ_EIGENT_PRIVAT;OBJ_EIGENT_OEFFENTL;OBJ_EIGENT_GEMEINN;OBJ_EIGENT_SONSTIGE;OBJ_FLNETTO_BIS199;OBJ_FLNETTO_200BIS299;OBJ_FLNETTO_300BIS499;OBJ_FLNETTO_500BIS999;OBJ_FLNETTO_1000BIS;OBJ_ANZGESCHO_1;OBJ_ANZGESCHO_2;OBJ_ANZGESCHO_3;OBJ_ANZGESCHO_4;OBJ_ANZGESCHO_5;OBJ_ANZGESCHO_6BIS10;OBJ_ANZGESCHO_11BIS;OBJ_BAUP_BIS1918;OBJ_BAUP_1919BIS1944;OBJ_BAUP_1945BIS1960;OBJ_BAUP_1961BIS1970;OBJ_BAUP_1971BIS1980;OBJ_BAUP_1981BIS1990;OBJ_BAUP_1991BIS2000;OBJ_BAUP_2001BIS
AT1;AT13;AT130;01;0101;90101;9010101;1;6;200;5;113;256;69;47;20;16;59;76;74;33;128;75;0;122;11;10;22;77;205;8;11;12;55;87;151;1;254;22;16;14;4;2;8;5
AT1;AT13;AT130;01;0102;90101;9010102;4;0;63;0;71;92;46;37;10;1;16;32;32;10;68;23;1;46;10;1;1;10;116;20;4;6;7;20;80;1;93;12;6;3;1;3;8;12
AT1;AT13;AT130;01;0103;90101;9010103;0;0;90;0;139;150;79;68;22;7;29;53;40;10;92;25;0;112;13;0;3;28;185;14;12;5;26;63;109;0;169;2;26;0;4;7;12;9
AT1;AT13;AT130;01;0104;90101;9010104;3;3;73;3;137;120;99;90;14;12;21;42;38;2;59;90;1;69;22;6;6;15;170;27;14;14;26;64;74;0;188;3;1;3;1;10;6;7
AT1;AT13;AT130;01;0105;90101;9010105;0;2;88;0;89;115;64;54;11;5;10;43;46;10;61;37;3;78;6;0;3;26;144;8;3;4;20;56;86;2;135;2;18;6;1;5;6;6
AT1;AT13;AT130;01;0106;90101;9010106;3;4;138;1;78;178;46;38;17;11;32;62;50;14;100;48;4;72;11;9;15;61;128;10;4;7;25;56;120;2;159;12;24;8;2;7;5;7
AT1;AT13;AT130;01;0107;90101;9010107;0;2;121;3;99;184;41;35;10;7;38;57;55;23;105;33;1;86;5;3;16;41;160;10;1;5;18;56;132;3;155;6;35;16;3;4;1;5
AT1;AT13;AT130;02;0201;90201;9020101;0;2;200;2;64;207;61;60;3;3;2;3;94;103;52;112;52;52;20;6;5;66;171;33;19;3;4;31;158;20;38;19;42;34;20;17;33;65
AT1;AT13;AT130;02;0202;90201;9020102;6;1;335;1;38;347;34;24;13;3;5;45;178;113;268;55;9;49;7;3;12;144;215;12;7;9;97;122;130;4;275;17;32;31;5;9;5;7
AT1;AT13;AT130;02;0203;90201;9020103;7;2;463;8;85;479;86;73;14;2;20;94;259;103;361;93;24;87;49;7;41;199;269;60;11;16;125;135;216;2;344;30;78;33;11;15;28;26
AT1;AT13;AT130;02;0204;90201;9020104;3;4;500;5;58;533;37;28;11;7;24;115;267;118;385;91;22;72;7;5;30;182;346;12;13;16;125;145;256;3;363;19;61;65;24;16;8;14
AT1;AT13;AT130;02;0205;90201;9020105;0;2;309;5;56;334;38;30;6;3;23;94;138;78;247;51;15;59;8;8;31;100;225;20;2;19;70;100;156;5;237;4;32;55;11;16;8;9
AT1;AT13;AT130;02;0206;90201;9020106;575;15;204;2;202;489;509;173;600;19;12;28;108;58;751;178;13;56;643;20;29;86;220;580;157;53;37;46;121;4;129;55;167;89;95;237;61;165
AT1;AT13;AT130;02;0207;90201;9020107;6;0;337;0;42;342;43;34;12;0;1;20;130;188;240;101;6;38;18;1;20;65;281;36;2;2;27;106;212;0;214;56;32;56;8;2;5;12
AT1;AT13;AT130;02;0208;90201;9020108;752;12;42;1;75;310;572;66;759;13;3;8;27;6;713;116;14;39;798;6;8;30;40;693;127;21;8;8;25;0;27;45;88;77;107;280;104;154
AT1;AT13;AT130;02;0209;90201;9020109;1;0;290;5;21;298;19;19;4;1;4;7;114;168;90;195;20;12;3;3;1;80;230;14;4;6;10;27;247;9;68;43;50;52;36;26;7;35
AT1;AT13;AT130;02;0210;90201;9020110;1;0;0;0;19;1;19;18;1;1;0;0;0;0;5;2;0;13;2;1;2;1;14;13;5;1;1;0;0;0;0;1;1;4;5;3;0;6
AT1;AT13;AT130;03;0301;90301;9030101;3;2;424;1;47;440;37;32;10;3;11;97;246;78;344;54;9;70;9;3;20;171;274;15;9;7;151;135;159;1;370;25;16;16;13;18;7;12
AT1;AT13;AT130;03;0302;90301;9030102;10;2;334;5;86;360;77;66;15;3;23;86;182;62;283;62;11;81;36;4;24;111;262;49;15;18;56;95;202;2;269;17;24;29;23;39;16;20
AT1;AT13;AT130;03;0303;90301;9030103;7;4;229;6;77;266;57;47;22;11;24;67;108;44;155;59;7;102;17;8;9;72;217;20;22;21;51;84;125;0;194;34;40;17;10;5;7;16
AT1;AT13;AT130;03;0304;90301;9030104;1;0;332;3;18;345;9;8;3;1;7;41;149;145;270;47;5;32;1;0;5;100;248;3;3;4;19;77;248;0;178;27;78;47;13;2;5;4
AT1;AT13;AT130;03;0305;90301;9030105;2;3;290;3;36;308;26;19;9;6;19;62;148;71;226;38;17;53;10;4;21;111;188;11;17;17;65;68;156;0;187;5;18;23;19;12;44;26
AT1;AT13;AT130;03;0306;90301;9030106;2;5;516;2;47;541;31;27;11;6;19;86;281;142;265;210;38;59;9;8;53;232;270;14;21;25;71;166;275;0;253;115;80;43;13;26;17;25
