100 häufigste Vornamen der Neugeborenen in Wien pro Jahr und Geschlecht;;;;;;;;
100 Most common given names of children born in Vienna per year and sex;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;NUMBER;GIVEN_NAME;SEX;REF_YEAR
AT1;AT13;AT130;00000;0000;130;Sophie;2;2013
AT1;AT13;AT130;00000;0000;124;Emma;2;2013
AT1;AT13;AT130;00000;0000;102;Anna;2;2013
AT1;AT13;AT130;00000;0000;100;Emilia;2;2013
AT1;AT13;AT130;00000;0000;99;Mia;2;2013
AT1;AT13;AT130;00000;0000;96;Sara;2;2013
AT1;AT13;AT130;00000;0000;93;Laura;2;2013
AT1;AT13;AT130;00000;0000;91;Lena;2;2013
AT1;AT13;AT130;00000;0000;90;Lea;2;2013
AT1;AT13;AT130;00000;0000;86;Sophia;2;2013
AT1;AT13;AT130;00000;0000;80;Julia;2;2013
AT1;AT13;AT130;00000;0000;76;Lara;2;2013
AT1;AT13;AT130;00000;0000;75;Marie;2;2013
AT1;AT13;AT130;00000;0000;72;Sarah;2;2013
AT1;AT13;AT130;00000;0000;71;Valentina;2;2013
AT1;AT13;AT130;00000;0000;66;Isabella;2;2013
AT1;AT13;AT130;00000;0000;65;Emily;2;2013
AT1;AT13;AT130;00000;0000;65;Johanna;2;2013
AT1;AT13;AT130;00000;0000;56;Viktoria;2;2013
AT1;AT13;AT130;00000;0000;55;Helena;2;2013
AT1;AT13;AT130;00000;0000;55;Leonie;2;2013
AT1;AT13;AT130;00000;0000;53;Elena;2;2013
AT1;AT13;AT130;00000;0000;52;Amelie;2;2013
AT1;AT13;AT130;00000;0000;51;Olivia;2;2013
AT1;AT13;AT130;00000;0000;45;Marlene;2;2013
AT1;AT13;AT130;00000;0000;45;Valerie;2;2013
AT1;AT13;AT130;00000;0000;44;Clara;2;2013
AT1;AT13;AT130;00000;0000;44;Larissa;2;2013
AT1;AT13;AT130;00000;0000;44;Victoria;2;2013
AT1;AT13;AT130;00000;0000;43;Hannah;2;2013
AT1;AT13;AT130;00000;0000;43;Nina;2;2013
AT1;AT13;AT130;00000;0000;42;Alma;2;2013
AT1;AT13;AT130;00000;0000;40;Katharina;2;2013
AT1;AT13;AT130;00000;0000;39;Elif;2;2013
AT1;AT13;AT130;00000;0000;39;Lisa;2;2013
AT1;AT13;AT130;00000;0000;39;Maria;2;2013
AT1;AT13;AT130;00000;0000;38;Ella;2;2013
AT1;AT13;AT130;00000;0000;38;Nora;2;2013
AT1;AT13;AT130;00000;0000;37;Anastasia;2;2013
AT1;AT13;AT130;00000;0000;36;Lina;2;2013
AT1;AT13;AT130;00000;0000;36;Magdalena;2;2013
AT1;AT13;AT130;00000;0000;34;Alina;2;2013
AT1;AT13;AT130;00000;0000;34;Amina;2;2013
AT1;AT13;AT130;00000;0000;34;Luisa;2;2013
AT1;AT13;AT130;00000;0000;33;Hanna;2;2013
AT1;AT13;AT130;00000;0000;32;Charlotte;2;2013
AT1;AT13;AT130;00000;0000;32;Flora;2;2013
AT1;AT13;AT130;00000;0000;32;Selina;2;2013
AT1;AT13;AT130;00000;0000;32;Zeynep;2;2013
AT1;AT13;AT130;00000;0000;31;Pia;2;2013
AT1;AT13;AT130;00000;0000;30;Melissa;2;2013
AT1;AT13;AT130;00000;0000;30;Sofia;2;2013
AT1;AT13;AT130;00000;0000;29;Ana;2;2013
AT1;AT13;AT130;00000;0000;29;Maja;2;2013
AT1;AT13;AT130;00000;0000;27;Azra;2;2013
AT1;AT13;AT130;00000;0000;27;Ela;2;2013
AT1;AT13;AT130;00000;0000;27;Elisa;2;2013
AT1;AT13;AT130;00000;0000;27;Elisabeth;2;2013
AT1;AT13;AT130;00000;0000;27;Jasmin;2;2013
AT1;AT13;AT130;00000;0000;27;Stella;2;2013
AT1;AT13;AT130;00000;0000;27;Vanessa;2;2013
AT1;AT13;AT130;00000;0000;26;Angelina;2;2013
AT1;AT13;AT130;00000;0000;26;Lana;2;2013
AT1;AT13;AT130;00000;0000;26;Rosa;2;2013
AT1;AT13;AT130;00000;0000;25;Annika;2;2013
AT1;AT13;AT130;00000;0000;25;Fabienne;2;2013
AT1;AT13;AT130;00000;0000;25;Hana;2;2013
AT1;AT13;AT130;00000;0000;25;Mina;2;2013
AT1;AT13;AT130;00000;0000;25;Zoe;2;2013
AT1;AT13;AT130;00000;0000;24;Ronja;2;2013
AT1;AT13;AT130;00000;0000;24;Sofija;2;2013
AT1;AT13;AT130;00000;0000;24;Teodora;2;2013
AT1;AT13;AT130;00000;0000;23;Livia;2;2013
AT1;AT13;AT130;00000;0000;23;Mila;2;2013
AT1;AT13;AT130;00000;0000;23;Mira;2;2013
AT1;AT13;AT130;00000;0000;23;Paula;2;2013
AT1;AT13;AT130;00000;0000;22;Jana;2;2013
AT1;AT13;AT130;00000;0000;22;Medina;2;2013
AT1;AT13;AT130;00000;0000;21;Antonia;2;2013
AT1;AT13;AT130;00000;0000;21;Ida;2;2013
AT1;AT13;AT130;00000;0000;21;Leonora;2;2013
AT1;AT13;AT130;00000;0000;21;Linda;2;2013
AT1;AT13;AT130;00000;0000;21;Matilda;2;2013
AT1;AT13;AT130;00000;0000;21;Maya;2;2013
AT1;AT13;AT130;00000;0000;21;Nisa;2;2013
AT1;AT13;AT130;00000;0000;20;Eva;2;2013
