NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;FPOE   ;OEVP   ;GRUE   ;KPOE   ;BZOE   ;SLP    ;WIF    ;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;0;0;208;5;56;14;97;31;1;4;0;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;1;864;471;14;148;32;183;89;2;3;0;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;2;778;519;8;192;45;181;83;2;8;0;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;3;742;465;12;170;33;148;90;7;4;1;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;4;401;220;3;39;15;112;48;2;1;0;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;5;873;466;6;122;42;227;61;2;6;0;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;6;660;357;7;88;27;174;55;1;5;0;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;7;705;388;4;126;30;161;59;5;3;0;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;8;617;378;5;98;25;166;77;1;5;1;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;9;885;545;25;183;28;191;104;5;9;0;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;10;828;483;12;154;39;150;117;7;4;0;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;11;531;316;8;69;24;146;64;0;5;0;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;12;749;450;7;79;47;221;82;6;7;1;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;13;665;387;4;94;39;177;62;3;8;0;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;14;607;377;3;103;28;151;81;6;5;0;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;15;869;542;8;155;40;202;125;10;1;1;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;16;564;348;12;76;21;154;75;6;2;2;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;17;872;463;4;151;44;140;103;10;10;1;0;                                                                                                                 
AT1;AT13;AT130;90101;4;1;1;1;18;659;394;10;102;25;170;76;5;6;0;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;0;0;250;6;94;14;84;48;1;2;1;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;1;631;389;3;101;35;176;68;2;4;0;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;2;561;352;6;102;20;112;105;3;4;0;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;3;562;305;7;107;33;67;80;5;5;1;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;4;563;352;11;110;20;92;114;5;0;0;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;5;669;415;6;156;47;85;112;7;1;1;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;6;498;310;14;94;20;82;86;7;7;0;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;7;634;374;3;120;42;109;93;4;2;1;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;8;570;345;10;122;23;76;101;9;3;1;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;9;645;407;7;141;46;96;106;10;1;0;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;10;601;343;13;79;34;123;87;3;3;1;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;11;829;517;6;120;53;190;132;9;7;0;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;12;673;432;5;141;27;120;131;4;2;2;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;13;621;377;4;144;29;89;103;6;2;0;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;14;538;283;5;137;35;45;54;3;3;1;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;15;498;288;2;128;27;62;61;5;2;1;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;16;594;358;4;142;32;92;77;6;4;1;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;17;528;447;9;187;39;115;81;9;7;0;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;18;582;332;14;125;34;85;64;7;3;0;0;                                                                                                                 
AT1;AT13;AT130;90401;4;1;1;4;19;680;419;7;133;44;109;109;5;10;2;0;                                                                                                                 
