NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;OEVP   ;GRUE   ;FPOE   ;BZOE   ;KPOE   ;LIF    ;MUT    ;SLP    ;DEM    ;                                                                                                 
AT1;AT13;AT130;;1;1;0;0;0;1144510;774079;19141;334757;105627;95445;194517;10057;8425;5192;514;73;331;                                                                                                 
AT1;AT13;AT130;;2;1;1;0;0;85906;58072;1155;22591;10694;11603;9616;702;791;632;288;0;0;                                                                                                 
AT1;AT13;AT130;;2;1;2;0;0;63141;44358;896;16202;8269;10829;6150;638;595;553;226;0;0;                                                                                                 
AT1;AT13;AT130;;2;1;3;0;0;58433;38463;816;17171;4148;6399;8466;479;661;323;0;0;0;                                                                                                 
AT1;AT13;AT130;;2;1;4;0;0;56526;38465;1043;16071;6189;6302;7548;489;498;325;0;0;0;                                                                                                 
AT1;AT13;AT130;;2;1;5;0;0;112813;73317;1923;34832;6110;4393;24159;828;691;381;0;0;0;                                                                                                 
AT1;AT13;AT130;;2;1;6;0;0;60054;39538;1094;18831;2890;2197;13648;315;358;205;0;0;0;                                                                                                 
AT1;AT13;AT130;;2;1;7;0;0;56897;36737;916;16867;4123;3973;9691;478;416;273;0;0;0;                                                                                                 
AT1;AT13;AT130;;2;1;8;0;0;39046;28586;675;9750;8035;3775;5521;566;264;0;0;0;0;                                                                                                 
AT1;AT13;AT130;;2;1;9;0;0;60376;41305;1016;17030;6578;5430;9931;602;401;317;0;0;0;                                                                                                 
AT1;AT13;AT130;;2;1;10;0;0;40529;25438;617;11750;2429;4015;5966;295;366;0;0;0;0;                                                                                                 
AT1;AT13;AT130;;2;1;11;0;0;58247;38801;993;17695;4253;5302;9329;469;455;305;0;0;0;                                                                                                 
AT1;AT13;AT130;;2;1;12;0;0;33312;22444;457;8898;3660;3673;4930;356;269;201;0;0;0;                                                                                                 
AT1;AT13;AT130;;2;1;13;0;0;32500;22933;539;7516;5604;4620;3776;346;242;290;0;0;0;                                                                                                 
AT1;AT13;AT130;;2;1;14;0;0;49396;34868;892;12908;8982;4299;6861;623;303;0;0;0;0;                                                                                                 
AT1;AT13;AT130;;2;1;15;0;0;50440;32564;816;15750;2667;3314;8990;349;358;247;0;73;0;                                                                                                 
AT1;AT13;AT130;;2;1;16;0;0;103086;69788;1821;32025;6509;4867;22607;911;639;409;0;0;0;                                                                                                 
AT1;AT13;AT130;;2;1;17;0;0;113806;78475;2154;37155;7204;5652;23971;892;714;402;0;0;331;                                                                                                 
AT1;AT13;AT130;;2;1;18;0;0;70002;49927;1318;21715;7283;4802;13357;719;404;329;0;0;0;                                                                                                 
AT1;AT13;AT130;90101;3;1;1;1;0;12092;8336;160;2541;2683;1349;1255;132;69;118;29;0;0;                                                                                                 
