Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;;;;;;;;;;;;
Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;90101;0101;2;2088;65;12;98;41;9;11;30;36;28;400;1358;20110101
AT1;AT13;AT130;90101;0102;2;863;26;0;43;18;4;9;16;9;19;197;522;20110101
AT1;AT13;AT130;90101;0103;2;1114;61;13;53;19;10;4;19;15;16;275;629;20110101
AT1;AT13;AT130;90101;0104;2;831;23;4;33;13;2;6;9;15;7;177;542;20110101
AT1;AT13;AT130;90101;0105;2;1127;34;8;42;14;2;14;15;14;11;209;764;20110101
AT1;AT13;AT130;90101;0106;2;1475;33;13;61;28;7;25;20;33;17;249;989;20110101
AT1;AT13;AT130;90101;0107;2;1382;39;11;77;23;16;17;21;33;27;280;838;20110101
AT1;AT13;AT130;90201;0201;2;5044;282;259;84;153;111;56;63;67;44;756;3169;20110101
AT1;AT13;AT130;90201;0202;2;5600;691;353;168;154;141;80;137;62;54;841;2919;20110101
AT1;AT13;AT130;90201;0203;2;6553;415;179;282;134;97;84;109;96;68;962;4127;20110101
AT1;AT13;AT130;90201;0204;2;7524;469;221;303;145;125;87;145;67;109;1304;4549;20110101
AT1;AT13;AT130;90201;0205;2;4736;259;117;161;111;71;48;78;62;55;1004;2770;20110101
AT1;AT13;AT130;90201;0206;2;3332;189;84;122;68;33;26;50;60;32;362;2306;20110101
AT1;AT13;AT130;90201;0207;2;6741;912;321;217;224;149;102;166;84;68;1301;3197;20110101
AT1;AT13;AT130;90201;0208;2;1070;68;24;16;16;11;5;3;15;7;123;782;20110101
AT1;AT13;AT130;90201;0209;2;8263;670;561;130;234;170;62;152;125;64;1024;5071;20110101
AT1;AT13;AT130;90201;0299;2;46;7;4;0;2;0;1;2;0;0;6;24;20110101
AT1;AT13;AT130;90301;0301;2;5812;302;115;290;148;86;49;82;69;63;755;3853;20110101
AT1;AT13;AT130;90301;0302;2;4592;183;37;229;69;50;38;50;72;44;617;3203;20110101
AT1;AT13;AT130;90301;0303;2;3309;116;40;162;56;28;23;34;58;61;631;2100;20110101
AT1;AT13;AT130;90301;0304;2;5587;465;158;216;222;143;84;124;94;69;1000;3012;20110101
AT1;AT13;AT130;90301;0305;2;4303;244;96;170;104;78;48;84;70;53;569;2787;20110101
AT1;AT13;AT130;90301;0306;2;7961;512;301;223;195;149;118;101;108;78;970;5206;20110101
AT1;AT13;AT130;90301;0307;2;2887;195;141;47;73;49;28;103;50;27;384;1790;20110101
AT1;AT13;AT130;90301;0308;2;862;14;1;33;9;2;3;6;24;7;67;696;20110101
AT1;AT13;AT130;90301;0309;2;4572;176;64;221;93;46;25;46;83;60;631;3127;20110101
