Sterbefälle  in Wien gemeldeter Personen nach Geschlecht und Alter;;;;;;;
Deaths of residents in Vienna by sex and age;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;AGE;DEATH;REF_YEAR
AT1;AT13;AT130;00000;0000;2;0;46;2010
AT1;AT13;AT130;00000;0000;2;1;4;2010
AT1;AT13;AT130;00000;0000;2;2;1;2010
AT1;AT13;AT130;00000;0000;2;3;1;2010
AT1;AT13;AT130;00000;0000;2;5;2;2010
AT1;AT13;AT130;00000;0000;2;7;1;2010
AT1;AT13;AT130;00000;0000;2;8;2;2010
AT1;AT13;AT130;00000;0000;2;9;2;2010
AT1;AT13;AT130;00000;0000;2;10;1;2010
AT1;AT13;AT130;00000;0000;2;13;1;2010
AT1;AT13;AT130;00000;0000;2;14;1;2010
AT1;AT13;AT130;00000;0000;2;15;1;2010
AT1;AT13;AT130;00000;0000;2;16;2;2010
AT1;AT13;AT130;00000;0000;2;17;3;2010
AT1;AT13;AT130;00000;0000;2;19;3;2010
AT1;AT13;AT130;00000;0000;2;20;5;2010
AT1;AT13;AT130;00000;0000;2;21;9;2010
AT1;AT13;AT130;00000;0000;2;22;4;2010
AT1;AT13;AT130;00000;0000;2;23;1;2010
AT1;AT13;AT130;00000;0000;2;24;2;2010
AT1;AT13;AT130;00000;0000;2;25;4;2010
AT1;AT13;AT130;00000;0000;2;26;4;2010
AT1;AT13;AT130;00000;0000;2;27;6;2010
AT1;AT13;AT130;00000;0000;2;28;3;2010
AT1;AT13;AT130;00000;0000;2;29;2;2010
AT1;AT13;AT130;00000;0000;2;30;3;2010
AT1;AT13;AT130;00000;0000;2;31;3;2010
AT1;AT13;AT130;00000;0000;2;32;10;2010
AT1;AT13;AT130;00000;0000;2;33;2;2010
AT1;AT13;AT130;00000;0000;2;34;4;2010
AT1;AT13;AT130;00000;0000;2;35;7;2010
AT1;AT13;AT130;00000;0000;2;36;14;2010
AT1;AT13;AT130;00000;0000;2;37;9;2010
AT1;AT13;AT130;00000;0000;2;38;8;2010
AT1;AT13;AT130;00000;0000;2;39;7;2010
AT1;AT13;AT130;00000;0000;2;40;10;2010
AT1;AT13;AT130;00000;0000;2;41;8;2010
AT1;AT13;AT130;00000;0000;2;42;17;2010
AT1;AT13;AT130;00000;0000;2;43;14;2010
AT1;AT13;AT130;00000;0000;2;44;17;2010
AT1;AT13;AT130;00000;0000;2;45;26;2010
AT1;AT13;AT130;00000;0000;2;46;25;2010
AT1;AT13;AT130;00000;0000;2;47;18;2010
AT1;AT13;AT130;00000;0000;2;48;28;2010
AT1;AT13;AT130;00000;0000;2;49;27;2010
AT1;AT13;AT130;00000;0000;2;50;32;2010
AT1;AT13;AT130;00000;0000;2;51;31;2010
AT1;AT13;AT130;00000;0000;2;52;40;2010
AT1;AT13;AT130;00000;0000;2;53;37;2010
AT1;AT13;AT130;00000;0000;2;54;34;2010
AT1;AT13;AT130;00000;0000;2;55;42;2010
AT1;AT13;AT130;00000;0000;2;56;53;2010
AT1;AT13;AT130;00000;0000;2;57;47;2010
AT1;AT13;AT130;00000;0000;2;58;57;2010
AT1;AT13;AT130;00000;0000;2;59;64;2010
AT1;AT13;AT130;00000;0000;2;60;87;2010
AT1;AT13;AT130;00000;0000;2;61;62;2010
AT1;AT13;AT130;00000;0000;2;62;74;2010
AT1;AT13;AT130;00000;0000;2;63;94;2010
AT1;AT13;AT130;00000;0000;2;64;65;2010
AT1;AT13;AT130;00000;0000;2;65;91;2010
AT1;AT13;AT130;00000;0000;2;66;107;2010
AT1;AT13;AT130;00000;0000;2;67;95;2010
AT1;AT13;AT130;00000;0000;2;68;127;2010
AT1;AT13;AT130;00000;0000;2;69;143;2010
AT1;AT13;AT130;00000;0000;2;70;152;2010
AT1;AT13;AT130;00000;0000;2;71;144;2010
AT1;AT13;AT130;00000;0000;2;72;106;2010
AT1;AT13;AT130;00000;0000;2;73;95;2010
AT1;AT13;AT130;00000;0000;2;74;107;2010
AT1;AT13;AT130;00000;0000;2;75;107;2010
AT1;AT13;AT130;00000;0000;2;76;134;2010
AT1;AT13;AT130;00000;0000;2;77;177;2010
AT1;AT13;AT130;00000;0000;2;78;183;2010
AT1;AT13;AT130;00000;0000;2;79;204;2010
AT1;AT13;AT130;00000;0000;2;80;213;2010
AT1;AT13;AT130;00000;0000;2;81;275;2010
AT1;AT13;AT130;00000;0000;2;82;316;2010
AT1;AT13;AT130;00000;0000;2;83;353;2010
AT1;AT13;AT130;00000;0000;2;84;387;2010
AT1;AT13;AT130;00000;0000;2;85;424;2010
AT1;AT13;AT130;00000;0000;2;86;439;2010
AT1;AT13;AT130;00000;0000;2;87;450;2010
AT1;AT13;AT130;00000;0000;2;88;471;2010
AT1;AT13;AT130;00000;0000;2;89;444;2010
AT1;AT13;AT130;00000;0000;2;90;388;2010
AT1;AT13;AT130;00000;0000;2;91;247;2010
AT1;AT13;AT130;00000;0000;2;92;157;2010
AT1;AT13;AT130;00000;0000;2;93;190;2010
AT1;AT13;AT130;00000;0000;2;94;153;2010
AT1;AT13;AT130;00000;0000;2;95;188;2010
AT1;AT13;AT130;00000;0000;2;96;161;2010
AT1;AT13;AT130;00000;0000;2;97;137;2010
AT1;AT13;AT130;00000;0000;2;98;99;2010
AT1;AT13;AT130;00000;0000;2;99;62;2010
AT1;AT13;AT130;00000;0000;2;100;57;2010
AT1;AT13;AT130;00000;0000;2;101;32;2010
AT1;AT13;AT130;00000;0000;2;102;22;2010
AT1;AT13;AT130;00000;0000;2;103;10;2010
AT1;AT13;AT130;00000;0000;2;104;5;2010
AT1;AT13;AT130;00000;0000;2;105;2;2010
AT1;AT13;AT130;00000;0000;2;106;2;2010
AT1;AT13;AT130;00000;0000;2;109;1;2010
AT1;AT13;AT130;00000;0000;1;0;58;2010
AT1;AT13;AT130;00000;0000;1;1;6;2010
AT1;AT13;AT130;00000;0000;1;2;3;2010
AT1;AT13;AT130;00000;0000;1;3;3;2010
AT1;AT13;AT130;00000;0000;1;4;1;2010
AT1;AT13;AT130;00000;0000;1;5;1;2010
AT1;AT13;AT130;00000;0000;1;7;1;2010
AT1;AT13;AT130;00000;0000;1;8;1;2010
AT1;AT13;AT130;00000;0000;1;12;1;2010
AT1;AT13;AT130;00000;0000;1;13;1;2010
AT1;AT13;AT130;00000;0000;1;14;2;2010
AT1;AT13;AT130;00000;0000;1;15;2;2010
AT1;AT13;AT130;00000;0000;1;17;3;2010
AT1;AT13;AT130;00000;0000;1;18;1;2010
AT1;AT13;AT130;00000;0000;1;19;4;2010
AT1;AT13;AT130;00000;0000;1;20;10;2010
AT1;AT13;AT130;00000;0000;1;21;10;2010
AT1;AT13;AT130;00000;0000;1;22;7;2010
AT1;AT13;AT130;00000;0000;1;23;8;2010
AT1;AT13;AT130;00000;0000;1;24;8;2010
AT1;AT13;AT130;00000;0000;1;25;8;2010
AT1;AT13;AT130;00000;0000;1;26;11;2010
AT1;AT13;AT130;00000;0000;1;27;11;2010
AT1;AT13;AT130;00000;0000;1;28;9;2010
AT1;AT13;AT130;00000;0000;1;29;6;2010
AT1;AT13;AT130;00000;0000;1;30;7;2010
AT1;AT13;AT130;00000;0000;1;31;5;2010
AT1;AT13;AT130;00000;0000;1;32;9;2010
AT1;AT13;AT130;00000;0000;1;33;10;2010
AT1;AT13;AT130;00000;0000;1;34;12;2010
AT1;AT13;AT130;00000;0000;1;35;18;2010
AT1;AT13;AT130;00000;0000;1;36;9;2010
AT1;AT13;AT130;00000;0000;1;37;16;2010
AT1;AT13;AT130;00000;0000;1;38;14;2010
AT1;AT13;AT130;00000;0000;1;39;12;2010
AT1;AT13;AT130;00000;0000;1;40;16;2010
AT1;AT13;AT130;00000;0000;1;41;26;2010
AT1;AT13;AT130;00000;0000;1;42;30;2010
