NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;OEVP   ;SPOE   ;FPOE   ;GRUE   ;BZOE   ;NEOS   ;REKOS  ;ANDER  ;EUSTO  ;                                                                                                         
AT1;AT13;AT130;;1;9;0;0;0;1163061;503284;9386;81974;136391;89963;103249;1516;44891;4592;19523;11799;                                                                                                         
AT1;AT13;AT130;;2;9;1;0;0;111279;52674;774;9344;12395;6482;14154;114;5412;526;2591;882;                                                                                                         
AT1;AT13;AT130;;2;9;2;0;0;98379;51785;646;10324;10236;4700;15398;124;6569;490;2663;635;                                                                                                         
AT1;AT13;AT130;;2;9;3;0;0;110527;45483;810;5317;13304;7816;10944;115;3613;339;2278;947;                                                                                                         
AT1;AT13;AT130;;2;9;4;0;0;229521;84387;1953;10097;27922;21091;11631;256;5299;741;2759;2638;                                                                                                         
AT1;AT13;AT130;;2;9;5;0;0;212262;97755;1806;18703;25314;16613;19333;324;9175;918;3346;2223;                                                                                                         
AT1;AT13;AT130;;2;9;6;0;0;175288;82790;1321;17560;19059;11765;18996;242;8389;700;3294;1464;                                                                                                         
AT1;AT13;AT130;;2;9;7;0;0;225805;88410;2076;10629;28161;21496;12793;341;6434;878;2592;3010;                                                                                                         
AT1;AT13;AT130;90301;3;9;1;3;0;57528;27320;412;4938;6586;3567;6969;68;2789;316;1223;452;                                                                                                         
AT1;AT13;AT130;90401;3;9;1;4;0;21000;11027;138;2401;2253;1068;3082;26;1277;117;509;156;                                                                                                         
AT1;AT13;AT130;90501;3;9;1;5;0;32751;14327;224;2005;3556;1847;4103;20;1346;93;859;274;                                                                                                         
AT1;AT13;AT130;90101;3;9;2;1;0;12307;6511;63;2121;1203;650;1209;17;914;101;166;67;                                                                                                         
AT1;AT13;AT130;90601;3;9;2;6;0;21079;10457;139;1710;2158;985;3320;20;1295;91;589;150;                                                                                                         
AT1;AT13;AT130;90701;3;9;2;7;0;21235;11366;148;1749;2300;940;3976;26;1381;89;631;126;                                                                                                         
AT1;AT13;AT130;90801;3;9;2;8;0;16642;9327;108;2022;1678;761;2841;27;1205;77;511;97;                                                                                                         
AT1;AT13;AT130;90901;3;9;2;9;0;27116;14124;188;2722;2897;1364;4052;34;1774;132;766;195;                                                                                                         
AT1;AT13;AT130;90201;3;9;3;2;0;60877;26869;449;3324;7394;3936;7194;61;2306;203;1474;528;                                                                                                         
AT1;AT13;AT130;92001;3;9;3;20;0;49650;18614;361;1993;5910;3880;3750;54;1307;136;804;419;                                                                                                         
AT1;AT13;AT130;91001;3;9;4;10;0;112181;40755;953;4618;13936;10787;5053;115;2365;337;1274;1317;                                                                                                         
AT1;AT13;AT130;91101;3;9;4;11;0;60647;21101;532;2132;7368;5894;2405;77;1227;185;591;690;                                                                                                         
AT1;AT13;AT130;91201;3;9;4;12;0;56693;22531;468;3347;6618;4410;4173;64;1707;219;894;631;                                                                                                         
AT1;AT13;AT130;91301;3;9;5;13;0;38860;20874;304;6085;4252;2674;3824;55;2500;219;562;399;                                                                                                         
AT1;AT13;AT130;91401;3;9;5;14;0;60980;27694;546;5124;6949;4796;5766;92;2530;260;1014;617;                                                                                                         
AT1;AT13;AT130;91501;3;9;5;15;0;41300;16160;260;1790;4383;2610;4404;52;1206;176;950;329;                                                                                                         
AT1;AT13;AT130;92301;3;9;5;23;0;71122;33027;696;5704;9730;6533;5339;125;2939;263;820;878;                                                                                                         
AT1;AT13;AT130;91601;3;9;6;16;0;59434;24813;420;3364;6781;4316;6050;84;1822;198;1252;526;                                                                                                         
AT1;AT13;AT130;91701;3;9;6;17;0;33735;15545;268;2810;3537;2306;3979;54;1506;107;698;280;                                                                                                         
AT1;AT13;AT130;91801;3;9;6;18;0;32711;17518;263;4516;3105;1753;4601;44;2159;164;681;232;                                                                                                         
AT1;AT13;AT130;91901;3;9;6;19;0;49408;24914;370;6870;5636;3390;4366;60;2902;231;663;426;                                                                                                         
AT1;AT13;AT130;92101;3;9;7;21;0;105432;41351;961;5123;13307;10533;5688;139;2730;376;1129;1365;                                                                                                         
AT1;AT13;AT130;92201;3;9;7;22;0;120373;47059;1115;5506;14854;10963;7105;202;3704;502;1463;1645;                                                                                                         
