NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;OEVP   ;MARTI  ;GRUE   ;FPOE   ;KPOE   ;JULIS  ;BZOE   ;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;1;477;200;3;53;40;24;57;13;4;4;2;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;2;545;215;0;49;50;17;69;14;3;8;5;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;3;416;131;1;29;20;7;49;18;4;0;3;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;4;359;168;6;43;19;14;68;8;4;3;3;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;5;557;194;1;39;35;18;65;25;5;2;4;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;6;512;189;0;51;43;28;40;17;6;0;4;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;7;432;168;2;45;27;24;44;19;6;0;1;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;8;448;177;2;36;29;23;62;14;8;0;3;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;9;689;297;5;58;82;37;74;25;10;2;4;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;10;633;279;1;67;75;33;70;21;0;5;7;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;11;566;230;6;65;42;26;47;34;2;6;2;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;12;460;206;0;54;33;18;63;26;7;2;3;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;13;590;237;3;56;65;20;64;23;1;2;3;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;14;843;338;3;79;71;33;104;33;2;5;8;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;15;514;218;3;50;52;21;59;17;8;2;6;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;16;461;192;6;54;36;24;52;8;6;4;2;                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;17;584;289;3;59;69;66;45;30;0;6;11;                                                                                                                 
