NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_AUT_BORN;POP_FOR_BORN;POP_TOTAL;REF_DATE
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz;208073;54150;262223;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60301;Aibl;1350;77;1427;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60302;Deutschlandsberg;7425;690;8115;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60303;Eibiswald;1321;64;1385;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz;2814;129;2943;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60306;Freiland bei Deutschlandsberg;146;8;154;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60307;Bad Gams;2176;111;2287;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60308;Garanas;256;8;264;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60309;Georgsberg;1422;66;1488;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60310;Greisdorf;990;25;1015;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60311;Gressenberg;302;5;307;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60312;Groß Sankt Florian;2810;109;2919;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60313;Großradl;1401;28;1429;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60314;Gundersdorf;392;24;416;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60315;Hollenegg;2013;113;2126;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60316;Kloster;184;8;192;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach;3097;217;3314;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60319;Limberg bei Wies;894;26;920;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60320;Marhof;1009;40;1049;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60321;Osterwitz;143;5;148;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60322;Pitschgau;1522;54;1576;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn;1589;79;1668;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding;1625;68;1693;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60325;Rassach;1387;50;1437;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark);1335;63;1398;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60327;Sankt Martin im Sulmtal;1747;69;1816;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60328;Sankt Oswald ob Eibiswald;526;33;559;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal;1309;48;1357;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60330;Sankt Stefan ob Stainz;2097;89;2186;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60331;Schwanberg;1957;129;2086;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60332;Soboth;329;11;340;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60333;Stainz;2374;153;2527;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60334;Stainztal;1404;55;1459;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60335;Stallhof;483;40;523;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60336;Sulmeck-Greith;1297;35;1332;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60338;Trahütten;373;20;393;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60339;Unterbergla;1336;34;1370;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60340;Wernersdorf;615;17;632;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60341;Wettmannstätten;1486;51;1537;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60342;Wielfresen;558;14;572;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60343;Wies;2189;111;2300;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60601;Attendorf;1688;108;1796;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60602;Brodingberg;1207;37;1244;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60603;Deutschfeistritz;3552;353;3905;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60604;Dobl;1633;118;1751;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60605;Edelsgrub;682;17;699;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60606;Eggersdorf bei Graz;1947;153;2100;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60607;Eisbach;2831;155;2986;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60608;Feldkirchen bei Graz;4626;874;5500;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60609;Fernitz;3014;190;3204;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60610;Frohnleiten;5576;425;6001;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60611;Gössendorf;3371;351;3722;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60612;Grambach;1523;135;1658;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60613;Gratkorn;6829;712;7541;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60614;Gratwein;3327;355;3682;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60615;Großstübing;332;5;337;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60616;Gschnaidt;340;4;344;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60617;Hart bei Graz;4100;363;4463;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60618;Haselsdorf-Tobelbad;1261;86;1347;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60619;Hausmannstätten;2618;230;2848;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60620;Hitzendorf;3476;159;3635;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60621;Höf-Präbach;1343;92;1435;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60622;Judendorf-Straßengel;5336;374;5710;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60623;Kainbach bei Graz;2467;164;2631;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60624;Kalsdorf bei Graz;4938;930;5868;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60625;Krumegg;1388;55;1443;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60626;Kumberg;3453;157;3610;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60627;Langegg bei Graz;806;28;834;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60628;Laßnitzhöhe;2491;204;2695;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60629;Lieboch;4293;393;4686;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60630;Mellach;1127;69;1196;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60631;Nestelbach bei Graz;1009;62;1071;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60632;Peggau;1858;270;2128;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60633;Pirka;2885;316;3201;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60634;Hart-Purgstall;1554;64;1618;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60635;Raaba;1935;244;2179;01.01.2012
